Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,DDGR,0.348312757201646
All Exemplars,DDGR,0.2604651162790697
All Exemplars,DDGR,0.3009623797025371
All Exemplars,DDGR,0.2061802575107296
All Exemplars,DDGR,0.2333044232437121
All Exemplars,DDGR,0.211705685618729
All Exemplars,DDGR,0.1571552471812662
All Exemplars,DDGR,0.2349127182044887
All Exemplars,DDGR,0.2515966386554621
All Exemplars,DDGR,0.2042798353909464
All Exemplars,DDGR,0.2021612635078969
All Exemplars,DDGR,0.2181968569065343
All Exemplars,DDGR,0.1651162790697674
All Exemplars,DDGR,0.1557081545064377
All Exemplars,DDGR,0.2625418060200669
All Exemplars,DDGR,0.2273251028806584
All Exemplars,DDGR,0.3002652519893899
All Exemplars,DDGR,0.2907161803713528
All Exemplars,DDGR,0.1787719298245613
All Exemplars,DDGR,0.1173873045078196
All Exemplars,DDGR,0.1643859649122806
All Exemplars,DDGR,0.2794044665012406
All Exemplars,DDGR,0.2007036059806508
All Exemplars,DDGR,0.2316053511705685
All Exemplars,DDGR,0.1442105263157894
All Exemplars,DDGR,0.1225194132873166
All Exemplars,DDGR,0.21084864391951
All Exemplars,DDGR,0.1642140468227425
All Exemplars,DDGR,0.1308576480990274
All Exemplars,DDGR,0.2372093023255813
All Exemplars,VAE_Adapt,0.669135802469136
All Exemplars,VAE_Adapt,0.4640429338103756
All Exemplars,VAE_Adapt,0.5301837270341206
All Exemplars,VAE_Adapt,0.5735622317596567
All Exemplars,VAE_Adapt,0.6740676496097138
All Exemplars,VAE_Adapt,0.5235785953177257
All Exemplars,VAE_Adapt,0.6948829141370338
All Exemplars,VAE_Adapt,0.4099750623441396
All Exemplars,VAE_Adapt,0.4534453781512605
All Exemplars,VAE_Adapt,0.6204115226337449
All Exemplars,VAE_Adapt,0.6152950955943475
All Exemplars,VAE_Adapt,0.644995864350703
All Exemplars,VAE_Adapt,0.4905187835420393
All Exemplars,VAE_Adapt,0.5907296137339056
All Exemplars,VAE_Adapt,0.501505016722408
All Exemplars,VAE_Adapt,0.5646090534979424
All Exemplars,VAE_Adapt,0.5515473032714413
All Exemplars,VAE_Adapt,0.5692307692307693
All Exemplars,VAE_Adapt,0.5124561403508772
All Exemplars,VAE_Adapt,0.5326586936522539
All Exemplars,VAE_Adapt,0.4280701754385965
All Exemplars,VAE_Adapt,0.6832092638544252
All Exemplars,VAE_Adapt,0.487598944591029
All Exemplars,VAE_Adapt,0.5637123745819398
All Exemplars,VAE_Adapt,0.4749122807017544
All Exemplars,VAE_Adapt,0.7019844693701467
All Exemplars,VAE_Adapt,0.5112860892388451
All Exemplars,VAE_Adapt,0.5180602006688964
All Exemplars,VAE_Adapt,0.5209549071618037
All Exemplars,VAE_Adapt,0.4457960644007155
All Exemplars,VAE_BBox,0.4651851851851852
All Exemplars,VAE_BBox,0.5062611806797854
All Exemplars,VAE_BBox,0.4440944881889764
All Exemplars,VAE_BBox,0.5031759656652361
All Exemplars,VAE_BBox,0.6307025151777971
All Exemplars,VAE_BBox,0.3658862876254179
All Exemplars,VAE_BBox,0.5490026019080658
All Exemplars,VAE_BBox,0.4793017456359102
All Exemplars,VAE_BBox,0.3033613445378151
All Exemplars,VAE_BBox,0.4801646090534979
All Exemplars,VAE_BBox,0.3876974231088944
All Exemplars,VAE_BBox,0.5387923904052936
All Exemplars,VAE_BBox,0.570840787119857
All Exemplars,VAE_BBox,0.5052360515021459
All Exemplars,VAE_BBox,0.3195652173913043
All Exemplars,VAE_BBox,0.3384362139917695
All Exemplars,VAE_BBox,0.6401414677276747
All Exemplars,VAE_BBox,0.6068965517241379
All Exemplars,VAE_BBox,0.4691228070175438
All Exemplars,VAE_BBox,0.3766329346826126
All Exemplars,VAE_BBox,0.3968421052631579
All Exemplars,VAE_BBox,0.6292803970223326
All Exemplars,VAE_BBox,0.3553210202286719
All Exemplars,VAE_BBox,0.4031772575250836
All Exemplars,VAE_BBox,0.4924561403508772
All Exemplars,VAE_BBox,0.5599654874892147
All Exemplars,VAE_BBox,0.6629921259842518
All Exemplars,VAE_BBox,0.3831103678929765
All Exemplars,VAE_BBox,0.4072502210433245
All Exemplars,VAE_BBox,0.3343470483005366
All Exemplars,VAE_Filter,0.5120987654320988
All Exemplars,VAE_Filter,0.4771019677996422
All Exemplars,VAE_Filter,0.5077865266841645
All Exemplars,VAE_Filter,0.59862660944206
All Exemplars,VAE_Filter,0.5467476149176063
All Exemplars,VAE_Filter,0.4331103678929765
All Exemplars,VAE_Filter,0.599479618386817
All Exemplars,VAE_Filter,0.4247714048212801
All Exemplars,VAE_Filter,0.3391596638655462
All Exemplars,VAE_Filter,0.4347325102880658
All Exemplars,VAE_Filter,0.4136325852036575
All Exemplars,VAE_Filter,0.6003308519437551
All Exemplars,VAE_Filter,0.4828264758497316
All Exemplars,VAE_Filter,0.5100429184549357
All Exemplars,VAE_Filter,0.3031772575250836
All Exemplars,VAE_Filter,0.35440329218107
