Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.36
All Exemplars,FeTrIL,0.2579606440071556
All Exemplars,FeTrIL,0.3489063867016623
All Exemplars,FeTrIL,0.3294420600858369
All Exemplars,FeTrIL,0.2870771899392887
All Exemplars,FeTrIL,0.3648829431438126
All Exemplars,FeTrIL,0.3144839549002601
All Exemplars,FeTrIL,0.2869492934330839
All Exemplars,FeTrIL,0.2924369747899159
All Exemplars,FeTrIL,0.3071604938271605
All Exemplars,FeTrIL,0.3461346633416459
All Exemplars,FeTrIL,0.2436724565756823
All Exemplars,FeTrIL,0.2915921288014311
All Exemplars,FeTrIL,0.2645493562231759
All Exemplars,FeTrIL,0.3120401337792641
All Exemplars,FeTrIL,0.2404938271604938
All Exemplars,FeTrIL,0.2992042440318302
All Exemplars,FeTrIL,0.3671087533156498
All Exemplars,FeTrIL,0.2526315789473684
All Exemplars,FeTrIL,0.2209751609935602
All Exemplars,FeTrIL,0.2305263157894736
All Exemplars,FeTrIL,0.2911497105045492
All Exemplars,FeTrIL,0.2740545294635003
All Exemplars,FeTrIL,0.3163879598662207
All Exemplars,FeTrIL,0.3675438596491227
All Exemplars,FeTrIL,0.3190681622088006
All Exemplars,FeTrIL,0.2920384951881014
All Exemplars,FeTrIL,0.2653846153846153
All Exemplars,FeTrIL,0.2831122900088416
All Exemplars,FeTrIL,0.2699463327370304
All Exemplars,DDGR,0.6640329218106996
All Exemplars,DDGR,0.6711985688729875
All Exemplars,DDGR,0.6601924759405075
All Exemplars,DDGR,0.6516738197424893
All Exemplars,DDGR,0.6062445793581961
All Exemplars,DDGR,0.6301003344481606
All Exemplars,DDGR,0.593235039028621
All Exemplars,DDGR,0.6679966749792186
All Exemplars,DDGR,0.6996638655462185
All Exemplars,DDGR,0.6021399176954733
All Exemplars,DDGR,0.6121363258520366
All Exemplars,DDGR,0.7268817204301075
All Exemplars,DDGR,0.6542039355992845
All Exemplars,DDGR,0.6401716738197425
All Exemplars,DDGR,0.6314381270903009
All Exemplars,DDGR,0.6492181069958848
All Exemplars,DDGR,0.658709106984969
All Exemplars,DDGR,0.639080459770115
All Exemplars,DDGR,0.6205263157894737
All Exemplars,DDGR,0.6029438822447102
All Exemplars,DDGR,0.6656140350877193
All Exemplars,DDGR,0.7141439205955336
All Exemplars,DDGR,0.6279683377308707
All Exemplars,DDGR,0.6692307692307693
All Exemplars,DDGR,0.5850877192982457
All Exemplars,DDGR,0.6207075064710958
All Exemplars,DDGR,0.6638670166229221
All Exemplars,DDGR,0.6630434782608695
All Exemplars,DDGR,0.6235190097259062
All Exemplars,DDGR,0.635778175313059
All Exemplars,VAE_Adapt,0.8021399176954732
All Exemplars,VAE_Adapt,0.910196779964222
All Exemplars,VAE_Adapt,0.9492563429571304
All Exemplars,VAE_Adapt,0.9507296137339054
All Exemplars,VAE_Adapt,0.9061578490893322
All Exemplars,VAE_Adapt,0.8187290969899665
All Exemplars,VAE_Adapt,0.8969644405897659
All Exemplars,VAE_Adapt,0.9704073150457192
All Exemplars,VAE_Adapt,0.7900840336134454
