Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.5935975609756097
All Exemplars,FeTrIL,0.3983050847457627
All Exemplars,FeTrIL,0.4162962962962963
All Exemplars,FeTrIL,0.4128
All Exemplars,FeTrIL,0.4488448844884488
All Exemplars,FeTrIL,0.5759146341463415
All Exemplars,FeTrIL,0.4488448844884488
All Exemplars,FeTrIL,0.49632
All Exemplars,FeTrIL,0.5387543252595155
All Exemplars,FeTrIL,0.1970588235294118
All Exemplars,FeTrIL,0.5554878048780487
All Exemplars,FeTrIL,0.2743150684931507
All Exemplars,FeTrIL,0.6037878787878789
All Exemplars,FeTrIL,0.4518783542039356
All Exemplars,FeTrIL,0.3816993464052287
All Exemplars,FeTrIL,0.4845771144278608
All Exemplars,FeTrIL,0.4294117647058823
All Exemplars,FeTrIL,0.6885572139303482
All Exemplars,FeTrIL,0.4452145214521452
All Exemplars,FeTrIL,0.4429629629629629
All Exemplars,FeTrIL,0.2933333333333333
All Exemplars,FeTrIL,0.4018292682926828
All Exemplars,FeTrIL,0.3640677966101694
All Exemplars,FeTrIL,0.3399339933993399
All Exemplars,FeTrIL,0.5293729372937295
All Exemplars,FeTrIL,0.5276666666666666
All Exemplars,FeTrIL,0.6036166365280289
All Exemplars,FeTrIL,0.3342372881355931
All Exemplars,FeTrIL,0.4851919561243144
All Exemplars,FeTrIL,0.471917808219178
All Exemplars,DDGR,0.3777439024390244
All Exemplars,DDGR,0.3789830508474576
All Exemplars,DDGR,0.2811111111111111
All Exemplars,DDGR,0.35136
All Exemplars,DDGR,0.2508250825082508
All Exemplars,DDGR,0.3259146341463415
All Exemplars,DDGR,0.226072607260726
All Exemplars,DDGR,0.37184
All Exemplars,DDGR,0.383044982698962
All Exemplars,DDGR,0.2101307189542483
All Exemplars,DDGR,0.2887195121951219
All Exemplars,DDGR,0.4345890410958904
All Exemplars,DDGR,0.2791666666666667
All Exemplars,DDGR,0.2504472271914132
All Exemplars,DDGR,0.2895424836601307
All Exemplars,DDGR,0.2951907131011608
All Exemplars,DDGR,0.3321799307958478
All Exemplars,DDGR,0.3260364842454394
All Exemplars,DDGR,0.2947194719471947
All Exemplars,DDGR,0.2007407407407407
All Exemplars,DDGR,0.3025925925925926
All Exemplars,DDGR,0.473170731707317
All Exemplars,DDGR,0.283050847457627
All Exemplars,DDGR,0.3544554455445544
All Exemplars,DDGR,0.2257425742574257
All Exemplars,DDGR,0.2673333333333333
All Exemplars,DDGR,0.3164556962025316
All Exemplars,DDGR,0.3176271186440678
All Exemplars,DDGR,0.236563071297989
All Exemplars,DDGR,0.311986301369863
All Exemplars,VAE_Adapt,0.6335365853658537
All Exemplars,VAE_Adapt,0.831864406779661
All Exemplars,VAE_Adapt,0.8929629629629631
All Exemplars,VAE_Adapt,0.9094400000000002
All Exemplars,VAE_Adapt,0.8214521452145215
All Exemplars,VAE_Adapt,0.6695121951219513
All Exemplars,VAE_Adapt,0.803960396039604
All Exemplars,VAE_Adapt,0.95264
All Exemplars,VAE_Adapt,0.5685121107266436
All Exemplars,VAE_Adapt,0.762091503267974
All Exemplars,VAE_Adapt,0.6670731707317074
