Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.5492125984251969
All Exemplars,FeTrIL,0.53
All Exemplars,FeTrIL,0.5982456140350877
All Exemplars,FeTrIL,0.5828779599271403
All Exemplars,FeTrIL,0.5663716814159292
All Exemplars,FeTrIL,0.5492125984251969
All Exemplars,FeTrIL,0.5663716814159292
All Exemplars,FeTrIL,0.5324427480916031
All Exemplars,FeTrIL,0.5
All Exemplars,FeTrIL,0.5492125984251969
All Exemplars,FeTrIL,0.5324427480916031
All Exemplars,FeTrIL,0.5033755274261603
All Exemplars,FeTrIL,0.53
All Exemplars,FeTrIL,0.5828779599271403
All Exemplars,FeTrIL,0.5295275590551181
All Exemplars,FeTrIL,0.5492125984251969
All Exemplars,FeTrIL,0.5819112627986348
All Exemplars,FeTrIL,0.4655290102389078
All Exemplars,FeTrIL,0.479465776293823
All Exemplars,FeTrIL,0.5031770045385779
All Exemplars,FeTrIL,0.4931552587646076
All Exemplars,FeTrIL,0.5168776371308017
All Exemplars,FeTrIL,0.49
All Exemplars,FeTrIL,0.5492125984251969
All Exemplars,FeTrIL,0.520534223706177
All Exemplars,FeTrIL,0.520534223706177
All Exemplars,FeTrIL,0.5982456140350877
All Exemplars,FeTrIL,0.5492125984251969
All Exemplars,FeTrIL,0.5819112627986348
All Exemplars,FeTrIL,0.45
All Exemplars,DDGR,0.9996062992125984
All Exemplars,DDGR,0.9996774193548388
All Exemplars,DDGR,0.9936842105263156
All Exemplars,DDGR,0.9981785063752276
All Exemplars,DDGR,0.9978761061946904
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9989380530973452
All Exemplars,DDGR,0.999618320610687
All Exemplars,DDGR,0.999283154121864
All Exemplars,DDGR,0.9992125984251968
All Exemplars,DDGR,0.999236641221374
All Exemplars,DDGR,0.9742616033755274
All Exemplars,DDGR,0.9996774193548388
All Exemplars,DDGR,0.9992714025500912
All Exemplars,DDGR,0.9992125984251968
All Exemplars,DDGR,0.9992125984251968
All Exemplars,DDGR,0.9931740614334472
All Exemplars,DDGR,0.9945392491467576
All Exemplars,DDGR,0.998998330550918
