Exemplar_Size,Task 2,Task 3,Method
All Exemplars,0.00916030534351142,0.5492125984251969,FeTrIL
All Exemplars,0.0,0.53,FeTrIL
All Exemplars,0.09315525876460769,0.5982456140350877,FeTrIL
All Exemplars,0.00152671755725188,0.5828779599271403,FeTrIL
All Exemplars,0.11692913385826768,0.5663716814159292,FeTrIL
All Exemplars,0.13664122137404577,0.5492125984251969,FeTrIL
All Exemplars,0.21968503937007874,0.5663716814159292,FeTrIL
All Exemplars,0.5468123861566485,0.5324427480916031,FeTrIL
All Exemplars,0.11467576791808873,0.5,FeTrIL
All Exemplars,0.10918196994991651,0.5492125984251969,FeTrIL
All Exemplars,0.0,0.5324427480916031,FeTrIL
All Exemplars,0.05064516129032258,0.5033755274261603,FeTrIL
All Exemplars,0.0,0.53,FeTrIL
All Exemplars,0.00225806451612902,0.5828779599271403,FeTrIL
All Exemplars,0.08981636060100165,0.5295275590551181,FeTrIL
All Exemplars,0.03515358361774744,0.5492125984251969,FeTrIL
All Exemplars,0.0,0.5819112627986348,FeTrIL
All Exemplars,0.00354330708661416,0.46552901023890786,FeTrIL
All Exemplars,0.01097046413502108,0.479465776293823,FeTrIL
All Exemplars,0.1299212598425197,0.5031770045385779,FeTrIL
All Exemplars,0.00035087719298244,0.49315525876460764,FeTrIL
All Exemplars,0.08458781362007166,0.5168776371308017,FeTrIL
All Exemplars,0.018503937007873998,0.49000000000000005,FeTrIL
All Exemplars,0.0,0.5492125984251969,FeTrIL
All Exemplars,0.00042194092827004,0.520534223706177,FeTrIL
All Exemplars,0.22022900763358777,0.520534223706177,FeTrIL
All Exemplars,0.01557522123893804,0.5982456140350877,FeTrIL
All Exemplars,0.0,0.5492125984251969,FeTrIL
All Exemplars,0.09315525876460769,0.5819112627986348,FeTrIL
All Exemplars,0.00759493670886076,0.45,FeTrIL
All Exemplars,0.999618320610687,0.9996062992125985,DDGR
All Exemplars,0.9980314960629922,0.9996774193548387,DDGR
All Exemplars,0.9993322203672788,0.9936842105263157,DDGR
All Exemplars,0.9992366412213741,0.9981785063752276,DDGR
All Exemplars,0.9988188976377952,0.9978761061946904,DDGR
All Exemplars,0.9992366412213741,1.0,DDGR
All Exemplars,0.9996062992125985,0.9989380530973451,DDGR
All Exemplars,0.9996357012750454,0.999618320610687,DDGR
All Exemplars,0.9914675767918089,0.9992831541218639,DDGR
All Exemplars,1.0,0.9992125984251968,DDGR
All Exemplars,0.9992125984251968,0.9992366412213741,DDGR
All Exemplars,0.9996774193548387,0.9742616033755274,DDGR
All Exemplars,0.999646017699115,0.9996774193548387,DDGR
All Exemplars,0.9996774193548387,0.9992714025500911,DDGR
All Exemplars,0.9989983305509181,0.9992125984251968,DDGR
All Exemplars,0.9918088737201366,0.9992125984251968,DDGR
All Exemplars,1.0,0.9931740614334471,DDGR
All Exemplars,0.9984251968503937,0.9945392491467577,DDGR
All Exemplars,0.9776371308016877,0.9989983305509181,DDGR
All Exemplars,0.9988188976377952,0.9990922844175492,DDGR
All Exemplars,0.9940350877192982,0.9993322203672788,DDGR
All Exemplars,0.9982078853046596,0.9780590717299578,DDGR
All Exemplars,0.9992125984251968,1.0,DDGR
All Exemplars,0.9992920353982301,1.0,DDGR
All Exemplars,0.9767932489451476,0.9989983305509181,DDGR
All Exemplars,0.9988549618320611,0.9979966611018364,DDGR
All Exemplars,0.9989380530973451,0.9943859649122808,DDGR
All Exemplars,1.0,0.9984251968503935,DDGR
All Exemplars,0.9989983305509181,0.9955631399317406,DDGR
All Exemplars,0.9725738396624471,0.9987096774193548,DDGR
All Exemplars,1.0,0.9988188976377952,VAE_Adapt
All Exemplars,0.9996062992125984,1.0,VAE_Adapt
All Exemplars,0.9993322203672788,0.996140350877193,VAE_Adapt
All Exemplars,0.999618320610687,1.0,VAE_Adapt
All Exemplars,0.9988188976377952,0.9989380530973453,VAE_Adapt
All Exemplars,1.0,0.9992125984251968,VAE_Adapt
All Exemplars,1.0,0.9992920353982301,VAE_Adapt
All Exemplars,0.9996357012750454,1.0,VAE_Adapt
All Exemplars,0.9904436860068259,1.0,VAE_Adapt
All Exemplars,0.9989983305509181,1.0,VAE_Adapt
All Exemplars,0.9996062992125985,1.0,VAE_Adapt
All Exemplars,1.0,0.980168776371308,VAE_Adapt
All Exemplars,0.9985840707964602,1.0,VAE_Adapt
All Exemplars,1.0,1.0,VAE_Adapt
All Exemplars,0.9986644407345576,0.9996062992125984,VAE_Adapt
All Exemplars,0.9911262798634812,0.9996062992125985,VAE_Adapt
All Exemplars,0.9996415770609319,0.9931740614334471,VAE_Adapt
All Exemplars,0.9996062992125984,0.9914675767918089,VAE_Adapt
All Exemplars,0.9780590717299578,0.9993322203672788,VAE_Adapt
All Exemplars,1.0,0.9975794251134642,VAE_Adapt
All Exemplars,0.9926315789473683,0.9996661101836395,VAE_Adapt
All Exemplars,0.9992831541218639,0.9814345991561181,VAE_Adapt
All Exemplars,0.9996062992125985,1.0,VAE_Adapt
All Exemplars,0.999646017699115,0.9996062992125985,VAE_Adapt
All Exemplars,0.9746835443037976,0.9979966611018364,VAE_Adapt
All Exemplars,0.999618320610687,0.9993322203672788,VAE_Adapt
All Exemplars,0.999646017699115,0.9947368421052631,VAE_Adapt
All Exemplars,1.0,1.0,VAE_Adapt
All Exemplars,0.9989983305509181,0.9935153583617747,VAE_Adapt
