Exemplar_Size,Task 2,Task 3,Method
All Exemplars,0.2762195121951219,0.0,FeTrIL
All Exemplars,0.29186440677966097,0.0,FeTrIL
All Exemplars,0.19777777777777777,0.0,FeTrIL
All Exemplars,0.10016,0.0,FeTrIL
All Exemplars,0.22277227722772275,0.0,FeTrIL
All Exemplars,0.34939024390243895,0.0,FeTrIL
All Exemplars,0.09867986798679867,0.0,FeTrIL
All Exemplars,0.2944,0.0,FeTrIL
All Exemplars,0.4051903114186851,0.0,FeTrIL
All Exemplars,0.1310457516339869,0.0,FeTrIL
All Exemplars,0.286890243902439,0.0,FeTrIL
All Exemplars,0.3595890410958904,0.0,FeTrIL
All Exemplars,0.36250000000000004,0.0,FeTrIL
All Exemplars,0.1821109123434705,0.0,FeTrIL
All Exemplars,0.24575163398692812,0.0,FeTrIL
All Exemplars,0.12072968490878937,0.0,FeTrIL
All Exemplars,0.10968858131487888,0.0,FeTrIL
All Exemplars,0.379436152570481,0.0,FeTrIL
All Exemplars,0.2881188118811881,0.0,FeTrIL
All Exemplars,0.00037037037037036,0.0,FeTrIL
All Exemplars,0.20703703703703705,0.0,FeTrIL
All Exemplars,0.10609756097560971,0.0,FeTrIL
All Exemplars,0.1847457627118644,0.0,FeTrIL
All Exemplars,0.3518151815181518,0.0,FeTrIL
All Exemplars,0.3066006600660066,0.0,FeTrIL
All Exemplars,0.5389999999999999,0.0,FeTrIL
All Exemplars,0.10343580470162747,0.0,FeTrIL
All Exemplars,0.38372881355932204,0.0,FeTrIL
All Exemplars,0.10786106032906762,0.0,FeTrIL
All Exemplars,0.3575342465753425,0.0,FeTrIL
All Exemplars,0.33749999999999997,0.3594850948509485,DDGR
All Exemplars,0.2840677966101695,0.47948717948717945,DDGR
All Exemplars,0.31814814814814807,0.4233468286099865,DDGR
All Exemplars,0.29152,0.3527349228611501,DDGR
All Exemplars,0.28316831683168314,0.3531556802244039,DDGR
All Exemplars,0.2890243902439024,0.2925188743994509,DDGR
All Exemplars,0.3369636963696369,0.3054698457223001,DDGR
All Exemplars,0.26976,0.3338753387533875,DDGR
All Exemplars,0.20069204152249132,0.39299931365820184,DDGR
All Exemplars,0.23202614379084965,0.4628726287262873,DDGR
All Exemplars,0.3484756097560975,0.41210884353741495,DDGR
All Exemplars,0.26301369863013696,0.3578231292517007,DDGR
All Exemplars,0.20643939393939387,0.382566918325326,DDGR
All Exemplars,0.2493738819320214,0.34179523141654977,DDGR
