Exemplar_Size,Task 2,Task 3,Task 4,Method
All Exemplars,0.5384284176533908,0.0,0.0,FeTrIL
All Exemplars,0.4156359393232205,0.0,0.0,FeTrIL
All Exemplars,0.33002421307506047,0.0,0.0,FeTrIL
All Exemplars,0.4903587443946188,0.0,0.0,FeTrIL
All Exemplars,0.5026905829596412,0.0,0.0,FeTrIL
All Exemplars,0.39046587215601297,0.0,0.0,FeTrIL
All Exemplars,0.33702422145328714,0.0,0.0,FeTrIL
All Exemplars,0.3376975169300226,0.0,0.0,FeTrIL
All Exemplars,0.3908396946564886,0.0,0.0,FeTrIL
All Exemplars,0.37717976318622176,0.0,0.0,FeTrIL
All Exemplars,0.43489640130861495,0.0,0.0,FeTrIL
All Exemplars,0.33737811484290353,0.0,0.0,FeTrIL
All Exemplars,0.26541822721598,0.0,0.0,FeTrIL
All Exemplars,0.3598062953995157,0.0,0.0,FeTrIL
All Exemplars,0.4398277717976319,0.0,0.0,FeTrIL
All Exemplars,0.5254777070063694,0.0,0.0,FeTrIL
All Exemplars,0.4164351851851852,0.0,0.0,FeTrIL
All Exemplars,0.39356321839080455,0.0,0.0,FeTrIL
All Exemplars,0.4896473265073948,0.0,0.0,FeTrIL
All Exemplars,0.5302663438256658,0.0,0.0,FeTrIL
All Exemplars,0.29088639200998745,0.0,0.0,FeTrIL
All Exemplars,0.4592356687898089,0.0,0.0,FeTrIL
All Exemplars,0.5109589041095891,0.0,0.0,FeTrIL
All Exemplars,0.45222101841820156,0.0,0.0,FeTrIL
All Exemplars,0.49442548350398174,0.0,0.0,FeTrIL
All Exemplars,0.38877434135166095,0.0,0.0,FeTrIL
All Exemplars,0.38873563218390805,0.0,0.0,FeTrIL
All Exemplars,0.4486544671689989,0.0,0.0,FeTrIL
All Exemplars,0.3368055555555556,0.0,0.0,FeTrIL
All Exemplars,0.3311551925320887,0.0,0.0,FeTrIL
All Exemplars,0.5304628632938644,0.4095473251028806,0.2876693766937669,DDGR
All Exemplars,0.45250875145857633,0.4087656529516995,0.29230769230769227,DDGR
All Exemplars,0.4641646489104116,0.42502187226596677,0.26734143049932524,DDGR
All Exemplars,0.5179372197309418,0.2992274678111587,0.2287517531556802,DDGR
All Exemplars,0.5795964125560539,0.31708586296617514,0.2402524544179523,DDGR
All Exemplars,0.47670639219934996,0.3175585284280936,0.2881262868908716,DDGR
All Exemplars,0.601845444059977,0.35420641803989594,0.23899018232819072,DDGR
All Exemplars,0.49119638826185097,0.35644222776392354,0.26829268292682923,DDGR
All Exemplars,0.5476553980370774,0.29226890756302515,0.19601921757035,DDGR
All Exemplars,0.5603875134553282,0.4041152263374485,0.2590785907859079,DDGR
All Exemplars,0.48135223555070883,0.3743973399833749,0.2729251700680272,DDGR
All Exemplars,0.5451787648970747,0.4722911497105045,0.26231292517006805,DDGR
All Exemplars,0.5111111111111111,0.33076923076923076,0.2742621825669183,DDGR
All Exemplars,0.5905569007263922,0.3651502145922747,0.24908835904628326,DDGR
All Exemplars,0.7463939720129171,0.3976588628762542,0.3644474948524365,DDGR
All Exemplars,0.5501061571125265,0.41119341563786005,0.22577597840755734,DDGR
All Exemplars,0.5842592592592593,0.3938107869142352,0.2512925170068027,DDGR
All Exemplars,0.46551724137931033,0.40583554376657827,0.2700680272108843,DDGR
All Exemplars,0.46143344709897605,0.353859649122807,0.3085553997194951,DDGR
All Exemplars,0.5569007263922517,0.31922723091076355,0.2236467236467236,DDGR
All Exemplars,0.5313358302122346,0.31052631578947365,0.27398764584763213,DDGR
All Exemplars,0.656475583864119,0.43722084367245656,0.2331972789115646,DDGR
All Exemplars,0.6214611872146119,0.40879507475813553,0.30327635327635327,DDGR
All Exemplars,0.49880823401950164,0.28812709030100325,0.30226492793411114,DDGR
All Exemplars,0.4525597269624573,0.3863157894736842,0.31626928471248245,DDGR
All Exemplars,0.424971363115693,0.22985332182916302,0.17750677506775064,DDGR
All Exemplars,0.40114942528735636,0.3118110236220472,0.2622507122507122,DDGR
All Exemplars,0.5371367061356297,0.36086956521739133,0.34934797529169526,DDGR
All Exemplars,0.5092592592592593,0.38019451812555255,0.22530612244897955,DDGR
All Exemplars,0.3883313885647608,0.32361359570661896,0.23603988603988596,DDGR
All Exemplars,0.6594187298170076,0.36987654320987645,0.30474254742547424,VAE_Adapt
All Exemplars,0.7684947491248542,0.4737030411449016,0.30185185185185187,VAE_Adapt
All Exemplars,0.876997578692494,0.500262467191601,0.30742240215924427,VAE_Adapt
All Exemplars,0.8060538116591929,0.44446351931330463,0.3246844319775596,VAE_Adapt
