Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.1604855023600809
All Exemplars,FeTrIL,0.1853448275862069
All Exemplars,FeTrIL,0.2306666666666666
All Exemplars,FeTrIL,0.173216885007278
All Exemplars,FeTrIL,0.2016011644832605
All Exemplars,FeTrIL,0.1608108108108108
All Exemplars,FeTrIL,0.2016011644832605
All Exemplars,FeTrIL,0.1867835468644639
All Exemplars,FeTrIL,0.1722972972972972
All Exemplars,FeTrIL,0.1604855023600809
All Exemplars,FeTrIL,0.1745379876796714
All Exemplars,FeTrIL,0.16290212183436
All Exemplars,FeTrIL,0.2337837837837836
All Exemplars,FeTrIL,0.173216885007278
All Exemplars,FeTrIL,0.1608108108108108
All Exemplars,FeTrIL,0.17
All Exemplars,FeTrIL,0.2368240930869267
All Exemplars,FeTrIL,0.2368240930869267
All Exemplars,FeTrIL,0.2005822416302765
All Exemplars,FeTrIL,0.2614942528735632
All Exemplars,FeTrIL,0.2459459459459459
All Exemplars,FeTrIL,0.16290212183436
All Exemplars,FeTrIL,0.1831896551724137
All Exemplars,FeTrIL,0.1608108108108108
All Exemplars,FeTrIL,0.1877729257641921
All Exemplars,FeTrIL,0.2454484153742414
All Exemplars,FeTrIL,0.1709770114942528
All Exemplars,FeTrIL,0.1608108108108108
All Exemplars,FeTrIL,0.2368240930869267
All Exemplars,FeTrIL,0.1853448275862069
All Exemplars,DDGR,0.489278489548213
All Exemplars,DDGR,0.4846264367816092
All Exemplars,DDGR,0.4993333333333333
All Exemplars,DDGR,0.4278020378457059
All Exemplars,DDGR,0.4256186317321688
All Exemplars,DDGR,0.4201351351351351
All Exemplars,DDGR,0.4748180494905386
All Exemplars,DDGR,0.4683749157113958
All Exemplars,DDGR,0.4039189189189189
All Exemplars,DDGR,0.4521915037086986
All Exemplars,DDGR,0.5446954140999315
All Exemplars,DDGR,0.5533196440793977
All Exemplars,DDGR,0.5014864864864864
All Exemplars,DDGR,0.4014556040756914
All Exemplars,DDGR,0.4413513513513513
All Exemplars,DDGR,0.4474666666666665
All Exemplars,DDGR,0.544832306639288
All Exemplars,DDGR,0.4455852156057494
All Exemplars,DDGR,0.5136826783114993
All Exemplars,DDGR,0.4521551724137931
All Exemplars,DDGR,0.428108108108108
All Exemplars,DDGR,0.4220396988364134
All Exemplars,DDGR,0.437212643678161
All Exemplars,DDGR,0.3954054054054053
All Exemplars,DDGR,0.532896652110626
All Exemplars,DDGR,0.4945380984490897
All Exemplars,DDGR,0.3643678160919539
All Exemplars,DDGR,0.4441891891891892
All Exemplars,DDGR,0.5085557837097878
All Exemplars,DDGR,0.4906609195402298
All Exemplars,VAE_Adapt,0.3989211058664869
All Exemplars,VAE_Adapt,0.4994252873563217
All Exemplars,VAE_Adapt,0.5749333333333333
All Exemplars,VAE_Adapt,0.4972343522561863
All Exemplars,VAE_Adapt,0.5401746724890829
All Exemplars,VAE_Adapt,0.4722972972972973
All Exemplars,VAE_Adapt,0.4829694323144104
All Exemplars,VAE_Adapt,0.5255563047875927
All Exemplars,VAE_Adapt,0.4785135135135135
All Exemplars,VAE_Adapt,0.4044504383007418
All Exemplars,VAE_Adapt,0.4039698836413415
All Exemplars,VAE_Adapt,0.5475701574264202
All Exemplars,VAE_Adapt,0.5433783783783783
All Exemplars,VAE_Adapt,0.4812227074235807
All Exemplars,VAE_Adapt,0.6282432432432432
All Exemplars,VAE_Adapt,0.3681333333333333
All Exemplars,VAE_Adapt,0.6082135523613963
All Exemplars,VAE_Adapt,0.5541409993155373
All Exemplars,VAE_Adapt,0.5254730713245997
All Exemplars,VAE_Adapt,0.6136494252873563
All Exemplars,VAE_Adapt,0.5462162162162162
All Exemplars,VAE_Adapt,0.5902806297056811
All Exemplars,VAE_Adapt,0.5152298850574712
All Exemplars,VAE_Adapt,0.4924324324324324
All Exemplars,VAE_Adapt,0.5241630276564775
All Exemplars,VAE_Adapt,0.4508428860418071
All Exemplars,VAE_Adapt,0.4619252873563217
All Exemplars,VAE_Adapt,0.6152702702702703
All Exemplars,VAE_Adapt,0.5991786447638603
All Exemplars,VAE_Adapt,0.5386494252873563
All Exemplars,VAE_BBox,0.2830748482805124
All Exemplars,VAE_BBox,0.4886494252873563
All Exemplars,VAE_BBox,0.5326666666666666
All Exemplars,VAE_BBox,0.3560407569141193
All Exemplars,VAE_BBox,0.4291120815138282
All Exemplars,VAE_BBox,0.4363513513513513
All Exemplars,VAE_BBox,0.3087336244541484
All Exemplars,VAE_BBox,0.4922454484153743
All Exemplars,VAE_BBox,0.4566216216216215
All Exemplars,VAE_BBox,0.2706675657451112
All Exemplars,VAE_BBox,0.240520191649555
All Exemplars,VAE_BBox,0.3268993839835729
All Exemplars,VAE_BBox,0.5690540540540541
All Exemplars,VAE_BBox,0.6870451237263464
All Exemplars,VAE_BBox,0.4275675675675675
All Exemplars,VAE_BBox,0.5422666666666667
All Exemplars,VAE_BBox,0.5308692676249145
All Exemplars,VAE_BBox,0.5830253251197809
All Exemplars,VAE_BBox,0.4953420669577875
All Exemplars,VAE_BBox,0.7469827586206896
All Exemplars,VAE_BBox,0.6728378378378379
All Exemplars,VAE_BBox,0.4387405886379192
All Exemplars,VAE_BBox,0.64066091954023
All Exemplars,VAE_BBox,0.3733783783783783
All Exemplars,VAE_BBox,0.5189228529839883
All Exemplars,VAE_BBox,0.3795010114632501
All Exemplars,VAE_BBox,0.5018678160919541
All Exemplars,VAE_BBox,0.4621621621621622
All Exemplars,VAE_BBox,0.5264887063655032
All Exemplars,VAE_BBox,0.452155172413793
All Exemplars,VAE_Filter,0.2659474039109912
All Exemplars,VAE_Filter,0.4623563218390804
All Exemplars,VAE_Filter,0.5782666666666667
All Exemplars,VAE_Filter,0.3655021834061135
All Exemplars,VAE_Filter,0.3640465793304221
All Exemplars,VAE_Filter,0.3432432432432432
All Exemplars,VAE_Filter,0.2887918486171761
All Exemplars,VAE_Filter,0.5197572488199594
All Exemplars,VAE_Filter,0.4520270270270269
All Exemplars,VAE_Filter,0.3707349966284557
All Exemplars,VAE_Filter,0.2531143052703627
All Exemplars,VAE_Filter,0.3496235455167693
All Exemplars,VAE_Filter,0.5582432432432433
All Exemplars,VAE_Filter,0.6503639010189228
All Exemplars,VAE_Filter,0.4227027027027026
All Exemplars,VAE_Filter,0.5394666666666668
All Exemplars,VAE_Filter,0.5347022587268994
All Exemplars,VAE_Filter,0.5958932238193018
All Exemplars,VAE_Filter,0.5020378457059679
All Exemplars,VAE_Filter,0.664367816091954
All Exemplars,VAE_Filter,0.682972972972973
All Exemplars,VAE_Filter,0.4446269678302532
All Exemplars,VAE_Filter,0.6165229885057472
All Exemplars,VAE_Filter,0.3747297297297297
All Exemplars,VAE_Filter,0.4812227074235807
All Exemplars,VAE_Filter,0.3637221847606203
All Exemplars,VAE_Filter,0.5228448275862069
All Exemplars,VAE_Filter,0.4322972972972972
All Exemplars,VAE_Filter,0.5225188227241616
All Exemplars,VAE_Filter,0.4602011494252872
All Exemplars,VAE_GMM,0.4547538772757923
All Exemplars,VAE_GMM,0.5410919540229885
All Exemplars,VAE_GMM,0.5254666666666667
All Exemplars,VAE_GMM,0.4599708879184861
All Exemplars,VAE_GMM,0.4704512372634643
All Exemplars,VAE_GMM,0.5452702702702703
All Exemplars,VAE_GMM,0.4302765647743813
All Exemplars,VAE_GMM,0.629130141604855
All Exemplars,VAE_GMM,0.4277027027027026
All Exemplars,VAE_GMM,0.4887390424814565
All Exemplars,VAE_GMM,0.4944558521560575
All Exemplars,VAE_GMM,0.5505817932922656
All Exemplars,VAE_GMM,0.5866216216216216
All Exemplars,VAE_GMM,0.4270742358078602
All Exemplars,VAE_GMM,0.6094594594594593
All Exemplars,VAE_GMM,0.4856
All Exemplars,VAE_GMM,0.6528405201916496
All Exemplars,VAE_GMM,0.497741273100616
All Exemplars,VAE_GMM,0.4582241630276564
All Exemplars,VAE_GMM,0.4238505747126436
All Exemplars,VAE_GMM,0.4510810810810811
All Exemplars,VAE_GMM,0.6420260095824778
All Exemplars,VAE_GMM,0.4017241379310344
All Exemplars,VAE_GMM,0.5133783783783783
All Exemplars,VAE_GMM,0.5077147016011645
All Exemplars,VAE_GMM,0.5112609575185434
All Exemplars,VAE_GMM,0.3955459770114942
All Exemplars,VAE_GMM,0.5840540540540541
All Exemplars,VAE_GMM,0.6366872005475701
All Exemplars,VAE_GMM,0.5205459770114942
