FeTrIL,DDGR,VAE - BBox,TaskVAE,DAR
1.0,0.99921568627451,1.0,1.0,1.0
1.0,1.0,0.999421965317919,0.999421965317919,1.0
1.0,1.0,0.9991596638655462,0.9983193277310924,0.9991596638655462
1.0,1.0,1.0,1.0,1.0
1.0,0.9983516483516484,1.0,0.9994505494505496,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9994505494505496,1.0
1.0,0.99921568627451,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.99921568627451,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9992779783393502,0.9992779783393502,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9994505494505496,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9949579831932772,0.9949579831932772,0.9983193277310924
1.0,1.0,0.9978339350180504,0.9992779783393502,1.0
1.0,1.0,1.0,0.9978339350180504,1.0
1.0,0.9994505494505496,0.9994505494505496,0.9994505494505496,1.0
1.0,1.0,0.999421965317919,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.9992779783393502,1.0,1.0,1.0
1.0,1.0,1.0,0.999421965317919,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9994505494505496,1.0,0.9989010989010988
1.0,0.99921568627451,1.0,0.99921568627451,0.99921568627451
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
