Exemplar_Size,Task 2,Method
All Exemplars,0.17804090419806246,FeTrIL
All Exemplars,0.12742123687281212,FeTrIL
All Exemplars,0.2239709443099273,FeTrIL
All Exemplars,0.20650224215246632,FeTrIL
All Exemplars,0.2760089686098654,FeTrIL
All Exemplars,0.19523293607800646,FeTrIL
All Exemplars,0.19584775086505188,FeTrIL
All Exemplars,0.18803611738148987,FeTrIL
All Exemplars,0.12584514721919302,FeTrIL
All Exemplars,0.23186221743810548,FeTrIL
All Exemplars,0.26673936750272625,FeTrIL
All Exemplars,0.1265438786565547,FeTrIL
All Exemplars,0.06816479400749063,FeTrIL
All Exemplars,0.20314769975786923,FeTrIL
All Exemplars,0.18729817007534985,FeTrIL
All Exemplars,0.23418259023354562,FeTrIL
All Exemplars,0.3395833333333334,FeTrIL
All Exemplars,0.2701149425287356,FeTrIL
All Exemplars,0.12423208191126281,FeTrIL
All Exemplars,0.12929782082324454,FeTrIL
All Exemplars,0.06891385767790262,FeTrIL
All Exemplars,0.18874734607218682,FeTrIL
All Exemplars,0.26529680365296804,FeTrIL
All Exemplars,0.19631635969664138,FeTrIL
All Exemplars,0.18361774744027307,FeTrIL
All Exemplars,0.12508591065292096,FeTrIL
All Exemplars,0.13425287356321838,FeTrIL
All Exemplars,0.24499461786867602,FeTrIL
All Exemplars,0.1872685185185185,FeTrIL
All Exemplars,0.26231038506417736,FeTrIL
All Exemplars,0.2820236813778256,DDGR
All Exemplars,0.2189031505250875,DDGR
All Exemplars,0.3723970944309927,DDGR
All Exemplars,0.24058295964125556,DDGR
All Exemplars,0.3179372197309417,DDGR
All Exemplars,0.3319609967497291,DDGR
All Exemplars,0.26482122260668967,DDGR
All Exemplars,0.1620767494356659,DDGR
All Exemplars,0.29182115594329333,DDGR
All Exemplars,0.3029063509149623,DDGR
All Exemplars,0.2538713195201745,DDGR
All Exemplars,0.28039003250270855,DDGR
All Exemplars,0.3807740324594257,DDGR
All Exemplars,0.42227602905569006,DDGR
All Exemplars,0.3961248654467169,DDGR
All Exemplars,0.38152866242038214,DDGR
All Exemplars,0.46319444444444435,DDGR
All Exemplars,0.293103448275862,DDGR
All Exemplars,0.3194539249146758,DDGR
All Exemplars,0.30726392251815976,DDGR
All Exemplars,0.29588014981273403,DDGR
All Exemplars,0.31868365180467084,DDGR
All Exemplars,0.36050228310502286,DDGR
All Exemplars,0.2513542795232936,DDGR
All Exemplars,0.2703071672354949,DDGR
All Exemplars,0.35899198167239404,DDGR
All Exemplars,0.24275862068965517,DDGR
All Exemplars,0.3470398277717976,DDGR
All Exemplars,0.4125,DDGR
All Exemplars,0.28448074679113183,DDGR
All Exemplars,0.6602798708288484,VAE_Adapt
All Exemplars,0.6868144690781797,VAE_Adapt
All Exemplars,0.7835351089588378,VAE_Adapt
All Exemplars,0.8230941704035875,VAE_Adapt
All Exemplars,0.7894618834080718,VAE_Adapt
All Exemplars,0.6472372697724811,VAE_Adapt
All Exemplars,0.669204152249135,VAE_Adapt
All Exemplars,0.7085778781038374,VAE_Adapt
All Exemplars,0.5249727371864775,VAE_Adapt
All Exemplars,0.6917115177610333,VAE_Adapt
All Exemplars,0.5574700109051254,VAE_Adapt
All Exemplars,0.6554712892741061,VAE_Adapt
All Exemplars,0.7220973782771537,VAE_Adapt
All Exemplars,0.7811138014527845,VAE_Adapt
All Exemplars,0.6514531754574813,VAE_Adapt
All Exemplars,0.6974522292993631,VAE_Adapt
All Exemplars,0.6266203703703704,VAE_Adapt
All Exemplars,0.6988505747126437,VAE_Adapt
All Exemplars,0.7565415244596132,VAE_Adapt
All Exemplars,0.8046004842615012,VAE_Adapt
All Exemplars,0.7543071161048689,VAE_Adapt
All Exemplars,0.7261146496815287,VAE_Adapt
All Exemplars,0.7303652968036529,VAE_Adapt
All Exemplars,0.618418201516793,VAE_Adapt
All Exemplars,0.7374288964732651,VAE_Adapt
All Exemplars,0.679725085910653,VAE_Adapt
All Exemplars,0.7204597701149427,VAE_Adapt
All Exemplars,0.6641550053821315,VAE_Adapt
All Exemplars,0.6581018518518519,VAE_Adapt
All Exemplars,0.6373395565927655,VAE_Adapt
All Exemplars,0.6202368137782562,VAE_BBox
All Exemplars,0.6336056009334889,VAE_BBox
All Exemplars,0.8476997578692493,VAE_BBox
All Exemplars,0.587219730941704,VAE_BBox
All Exemplars,0.6374439461883409,VAE_BBox
All Exemplars,0.40585048754062836,VAE_BBox
All Exemplars,0.5356401384083045,VAE_BBox
All Exemplars,0.6354401805869075,VAE_BBox
All Exemplars,0.4381679389312977,VAE_BBox
All Exemplars,0.6148546824542518,VAE_BBox
All Exemplars,0.47480916030534354,VAE_BBox
All Exemplars,0.41863488624052014,VAE_BBox
All Exemplars,0.7001248439450687,VAE_BBox
All Exemplars,0.788861985472155,VAE_BBox
All Exemplars,0.6480086114101185,VAE_BBox
All Exemplars,0.6615711252653927,VAE_BBox
All Exemplars,0.6918981481481481,VAE_BBox
All Exemplars,0.7232183908045977,VAE_BBox
All Exemplars,0.6875995449374289,VAE_BBox
All Exemplars,0.793220338983051,VAE_BBox
All Exemplars,0.7510611735330837,VAE_BBox
All Exemplars,0.6318471337579619,VAE_BBox
All Exemplars,0.617579908675799,VAE_BBox
All Exemplars,0.3863488624052005,VAE_BBox
All Exemplars,0.6930602957906713,VAE_BBox
All Exemplars,0.5693012600229095,VAE_BBox
All Exemplars,0.7795402298850574,VAE_BBox
All Exemplars,0.6182992465016146,VAE_BBox
All Exemplars,0.8469907407407407,VAE_BBox
All Exemplars,0.6739789964994166,VAE_BBox
All Exemplars,0.6520990312163617,VAE_Filter
All Exemplars,0.6546091015169195,VAE_Filter
All Exemplars,0.8571428571428571,VAE_Filter
All Exemplars,0.7022421524663678,VAE_Filter
All Exemplars,0.608744394618834,VAE_Filter
All Exemplars,0.40931744312026,VAE_Filter
All Exemplars,0.5065743944636678,VAE_Filter
All Exemplars,0.6257336343115123,VAE_Filter
All Exemplars,0.41832061068702286,VAE_Filter
All Exemplars,0.6288482238966631,VAE_Filter
All Exemplars,0.44994547437295535,VAE_Filter
All Exemplars,0.41776814734561213,VAE_Filter
All Exemplars,0.7887640449438202,VAE_Filter
All Exemplars,0.7658595641646488,VAE_Filter
All Exemplars,0.6299246501614639,VAE_Filter
All Exemplars,0.6666666666666667,VAE_Filter
All Exemplars,0.75625,VAE_Filter
All Exemplars,0.6850574712643678,VAE_Filter
All Exemplars,0.6678043230944255,VAE_Filter
All Exemplars,0.8106537530266344,VAE_Filter
All Exemplars,0.671410736579276,VAE_Filter
All Exemplars,0.6305732484076433,VAE_Filter
All Exemplars,0.7484018264840182,VAE_Filter
All Exemplars,0.39501625135427954,VAE_Filter
All Exemplars,0.684641638225256,VAE_Filter
All Exemplars,0.6164948453608247,VAE_Filter
All Exemplars,0.7298850574712644,VAE_Filter
All Exemplars,0.6215285252960173,VAE_Filter
All Exemplars,0.6645833333333334,VAE_Filter
All Exemplars,0.7012835472578762,VAE_Filter
All Exemplars,0.7713670613562972,VAE_GMM
All Exemplars,0.7908984830805134,VAE_GMM
All Exemplars,0.9697336561743342,VAE_GMM
All Exemplars,0.9271300448430493,VAE_GMM
All Exemplars,0.9307174887892377,VAE_GMM
All Exemplars,0.7057421451787649,VAE_GMM
All Exemplars,0.7817762399077277,VAE_GMM
