Exemplar_Size,Task 2,Method
All Exemplars,0.09614604462474644,FeTrIL
All Exemplars,0.11456953642384107,FeTrIL
All Exemplars,0.11849315068493152,FeTrIL
All Exemplars,0.24186046511627907,FeTrIL
All Exemplars,0.11357254290171608,FeTrIL
All Exemplars,0.09596774193548388,FeTrIL
All Exemplars,0.11357254290171608,FeTrIL
All Exemplars,0.1924812030075188,FeTrIL
All Exemplars,0.1988304093567251,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.09586466165413535,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.22913907284768215,FeTrIL
All Exemplars,0.24186046511627907,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.2198782961460446,FeTrIL
All Exemplars,0.4443017656500802,FeTrIL
All Exemplars,0.11107544141252006,FeTrIL
All Exemplars,0.11704180064308682,FeTrIL
All Exemplars,0.10253521126760563,FeTrIL
All Exemplars,0.11704180064308682,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.1697171381031614,FeTrIL
All Exemplars,0.19193548387096776,FeTrIL
All Exemplars,0.11704180064308682,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.09596774193548388,FeTrIL
All Exemplars,0.0019261637239165199,FeTrIL
All Exemplars,0.22913907284768215,FeTrIL
All Exemplars,0.9991886409736308,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9750000000000002,DDGR
All Exemplars,0.9966777408637875,DDGR
All Exemplars,0.9968798751950079,DDGR
All Exemplars,0.9991935483870968,DDGR
All Exemplars,0.9987519500780031,DDGR
All Exemplars,0.9996240601503759,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9975659229208926,DDGR
All Exemplars,0.9992481203007518,DDGR
All Exemplars,0.9766990291262136,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9980066445182727,DDGR
All Exemplars,0.9995967741935484,DDGR
All Exemplars,0.999188640973631,DDGR
All Exemplars,0.9929373996789727,DDGR
All Exemplars,0.9910112359550561,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9983098591549296,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9782524271844661,DDGR
All Exemplars,0.9993344425956738,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.997092084006462,DDGR
All Exemplars,0.979794520547945,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9900481540930979,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9983772819472618,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9736301369863014,VAE_Adapt
All Exemplars,0.9970099667774088,VAE_Adapt
All Exemplars,0.9981279251170048,VAE_Adapt
All Exemplars,0.9967741935483871,VAE_Adapt
All Exemplars,0.9987519500780031,VAE_Adapt
All Exemplars,0.9992481203007518,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9979716024340771,VAE_Adapt
All Exemplars,0.9992481203007518,VAE_Adapt
All Exemplars,0.9794174757281553,VAE_Adapt
All Exemplars,0.9993377483443708,VAE_Adapt
All Exemplars,0.9983388704318937,VAE_Adapt
All Exemplars,0.9975806451612904,VAE_Adapt
All Exemplars,0.9987829614604463,VAE_Adapt
All Exemplars,0.9916532905296951,VAE_Adapt
All Exemplars,0.9935794542536115,VAE_Adapt
All Exemplars,0.99967845659164,VAE_Adapt
All Exemplars,0.9988732394366198,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9825242718446601,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9991935483870968,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9980613893376413,VAE_Adapt
All Exemplars,0.9770547945205479,VAE_Adapt
All Exemplars,0.9987903225806452,VAE_Adapt
All Exemplars,0.9913322632423756,VAE_Adapt
All Exemplars,0.9996688741721854,VAE_Adapt
All Exemplars,0.9987829614604463,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9801369863013697,VAE_BBox
All Exemplars,0.9976744186046513,VAE_BBox
All Exemplars,0.9984399375975042,VAE_BBox
All Exemplars,0.9991935483870968,VAE_BBox
All Exemplars,0.9981279251170048,VAE_BBox
All Exemplars,0.9992481203007518,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.999188640973631,VAE_BBox
All Exemplars,0.9992481203007518,VAE_BBox
All Exemplars,0.9724271844660194,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9966777408637875,VAE_BBox
All Exemplars,0.9995967741935484,VAE_BBox
All Exemplars,0.9975659229208926,VAE_BBox
All Exemplars,0.993900481540931,VAE_BBox
All Exemplars,0.9929373996789728,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9971830985915492,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9825242718446603,VAE_BBox
All Exemplars,0.9993344425956738,VAE_BBox
All Exemplars,0.9991935483870968,VAE_BBox
All Exemplars,0.99967845659164,VAE_BBox
All Exemplars,0.9987075928917608,VAE_BBox
All Exemplars,0.9815068493150685,VAE_BBox
All Exemplars,0.995967741935484,VAE_BBox
All Exemplars,0.9900481540930979,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9987829614604463,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9773972602739726,VAE_Filter
All Exemplars,0.9983388704318937,VAE_Filter
All Exemplars,0.9975039001560063,VAE_Filter
All Exemplars,0.9987903225806452,VAE_Filter
All Exemplars,0.9981279251170048,VAE_Filter
All Exemplars,0.9996240601503759,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9995943204868155,VAE_Filter
All Exemplars,0.9992481203007518,VAE_Filter
All Exemplars,0.9844660194174757,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9976744186046513,VAE_Filter
All Exemplars,0.9983870967741936,VAE_Filter
All Exemplars,0.999188640973631,VAE_Filter
All Exemplars,0.9935794542536117,VAE_Filter
All Exemplars,0.9932584269662922,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9985915492957746,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9848543689320388,VAE_Filter
All Exemplars,0.9980033277870216,VAE_Filter
All Exemplars,0.9995967741935484,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9977382875605816,VAE_Filter
All Exemplars,0.9801369863013699,VAE_Filter
All Exemplars,0.9987903225806452,VAE_Filter
All Exemplars,0.9932584269662922,VAE_Filter
All Exemplars,0.9996688741721854,VAE_Filter
All Exemplars,0.9959432048681542,VAE_GMM
All Exemplars,1.0,VAE_GMM
All Exemplars,0.9763698630136985,VAE_GMM
All Exemplars,0.9990033222591362,VAE_GMM
All Exemplars,0.9990639625585024,VAE_GMM
All Exemplars,0.9991935483870968,VAE_GMM
All Exemplars,0.9984399375975039,VAE_GMM
All Exemplars,0.9996240601503759,VAE_GMM
All Exemplars,1.0,VAE_GMM
All Exemplars,0.9995943204868155,VAE_GMM
All Exemplars,0.9992481203007518,VAE_GMM
All Exemplars,0.9801941747572815,VAE_GMM
All Exemplars,1.0,VAE_GMM
All Exemplars,0.9990033222591365,VAE_GMM
All Exemplars,0.9991935483870968,VAE_GMM
All Exemplars,0.9975659229208926,VAE_GMM
All Exemplars,0.9922953451043339,VAE_GMM
All Exemplars,0.9929373996789728,VAE_GMM
All Exemplars,1.0,VAE_GMM
All Exemplars,0.9974647887323943,VAE_GMM
All Exemplars,1.0,VAE_GMM
All Exemplars,0.9825242718446603,VAE_GMM
All Exemplars,0.9983361064891847,VAE_GMM
All Exemplars,0.9983870967741936,VAE_GMM
All Exemplars,1.0,VAE_GMM
All Exemplars,0.9980613893376413,VAE_GMM
All Exemplars,0.9726027397260275,VAE_GMM
All Exemplars,0.9987903225806452,VAE_GMM
All Exemplars,0.9922953451043339,VAE_GMM
All Exemplars,1.0,VAE_GMM
