Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.9848484848484848,0.7577777777777779,0.5460992907801419,0.47006369426751593,0.23818181818181813,FeTrIL
All Exemplars,0.9767441860465116,0.530188679245283,0.3032786885245901,0.34797687861271676,0.2518181818181818,FeTrIL
All Exemplars,1.0,0.6275362318840579,0.4942675159235669,0.3617647058823529,0.35181818181818175,FeTrIL
All Exemplars,1.0,0.6186335403726708,0.5113513513513515,0.42288557213930345,0.33545454545454545,FeTrIL
All Exemplars,1.0,0.6881987577639752,0.5073446327683616,0.4427860696517413,0.3636363636363636,FeTrIL
All Exemplars,0.9848484848484848,0.5317829457364341,0.49934640522875806,0.4319526627218934,0.2627272727272727,FeTrIL
All Exemplars,1.0,0.7555555555555555,0.5468926553672316,0.43283582089552236,0.4081818181818182,FeTrIL
All Exemplars,1.0,0.6403508771929823,0.4902255639097744,0.4050955414012739,0.35636363636363627,FeTrIL
All Exemplars,0.9657142857142856,0.5121951219512195,0.3943396226415094,0.27573964497041414,0.23636363636363633,FeTrIL
All Exemplars,0.991549295774648,0.5,0.45248226950354614,0.35159235668789807,0.24999999999999994,FeTrIL
All Exemplars,0.9848484848484848,0.7560975609756099,0.5157894736842106,0.36326530612244895,0.3836363636363636,FeTrIL
All Exemplars,0.9975609756097562,0.7116279069767442,0.5555555555555556,0.44795918367346943,0.4045454545454545,FeTrIL
All Exemplars,1.0,0.7553398058252427,0.6311475409836065,0.4887573964497041,0.4209090909090909,FeTrIL
All Exemplars,1.0,0.6057971014492753,0.34702702702702704,0.35920398009950244,0.30727272727272725,FeTrIL
All Exemplars,0.9887323943661972,0.5133333333333334,0.35686274509803917,0.2733727810650887,0.17090909090909084,FeTrIL
All Exemplars,0.9971428571428571,0.6786324786324787,0.5588652482269504,0.4401960784313725,0.38909090909090904,FeTrIL
All Exemplars,0.9657142857142856,0.40697674418604646,0.39194630872483216,0.2816326530612244,0.18181818181818174,FeTrIL
All Exemplars,0.9942857142857143,0.6390977443609023,0.4953020134228188,0.3755102040816326,0.35272727272727267,FeTrIL
All Exemplars,1.0,0.6611940298507462,0.5800000000000001,0.4606965174129353,0.41090909090909084,FeTrIL
All Exemplars,1.0,0.7188405797101449,0.5246753246753247,0.4658959537572255,0.39,FeTrIL
All Exemplars,1.0,0.7165048543689321,0.5013333333333333,0.4366863905325443,0.38090909090909086,FeTrIL
All Exemplars,0.9848484848484848,0.611965811965812,0.3833333333333333,0.37448979591836734,0.34454545454545454,FeTrIL
All Exemplars,0.9767441860465116,0.5574468085106383,0.3927272727272727,0.3606936416184971,0.2963636363636363,FeTrIL
All Exemplars,1.0,0.6790697674418605,0.538562091503268,0.4840236686390533,0.41909090909090907,FeTrIL
All Exemplars,1.0,0.6373134328358209,0.5813333333333334,0.45174129353233833,0.3854545454545454,FeTrIL
All Exemplars,0.9777777777777776,0.6252873563218392,0.4536231884057971,0.39235668789808914,0.3363636363636363,FeTrIL
All Exemplars,0.9964912280701753,0.881203007518797,0.7401273885350319,0.5780346820809249,0.45636363636363636,FeTrIL
All Exemplars,0.9767441860465116,0.5644444444444444,0.3176470588235294,0.25680473372781065,0.13181818181818178,FeTrIL
All Exemplars,1.0,0.7604651162790698,0.553020134228188,0.44693877551020406,0.43999999999999995,FeTrIL
All Exemplars,0.9951219512195122,0.7509433962264151,0.6426229508196721,0.5190751445086705,0.3845454545454546,FeTrIL
All Exemplars,0.9848484848484848,0.5511111111111111,0.5148936170212766,0.21910828025477702,0.36454545454545445,DDGR
All Exemplars,0.9767441860465116,0.7584905660377358,0.2590163934426229,0.3641618497109827,0.2536363636363636,DDGR
All Exemplars,1.0,0.5231884057971016,0.3592356687898089,0.3578431372549019,0.1518181818181818,DDGR
All Exemplars,1.0,0.5850931677018634,0.23135135135135135,0.14129353233830844,0.12090909090909088,DDGR
All Exemplars,1.0,0.49440993788819876,0.2429378531073446,0.22985074626865667,0.18454545454545448,DDGR
All Exemplars,0.9848484848484848,0.9085271317829458,0.392156862745098,0.27100591715976324,0.3381818181818182,DDGR
All Exemplars,1.0,0.4428571428571429,0.4508474576271187,0.2368159203980099,0.16272727272727266,DDGR
All Exemplars,1.0,0.46842105263157896,0.3909774436090225,0.4165605095541401,0.38818181818181813,DDGR
All Exemplars,0.9657142857142856,0.7878048780487805,0.37924528301886784,0.47455621301775147,0.30999999999999994,DDGR
All Exemplars,1.0,0.6355555555555557,0.6709219858156028,0.38980891719745225,0.4354545454545454,DDGR
All Exemplars,0.9848484848484848,0.4439024390243902,0.5864661654135339,0.45714285714285713,0.2581818181818181,DDGR
All Exemplars,0.9975609756097562,0.5023255813953489,0.3844444444444444,0.13469387755102039,0.15909090909090903,DDGR
All Exemplars,1.0,0.3883495145631068,0.2852459016393442,0.4,0.3009090909090909,DDGR
All Exemplars,1.0,0.6246376811594203,0.3351351351351351,0.13830845771144273,0.11636363636363631,DDGR
