Exemplar_Size,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.26923076923076916,0.37272727272727274,0.48695652173913045,0.4136363636363637,FeTrIL
All Exemplars,0.19999999999999996,0.3391304347826087,0.39090909090909093,0.34509803921568627,FeTrIL
All Exemplars,0.37272727272727274,0.32727272727272727,0.14901960784313723,0.29565217391304344,FeTrIL
All Exemplars,0.25909090909090904,0.2538461538461537,0.26956521739130435,0.3181818181818181,FeTrIL
All Exemplars,0.38636363636363635,0.3043478260869565,0.2538461538461538,0.23636363636363633,FeTrIL
All Exemplars,0.43181818181818177,0.21538461538461534,0.11304347826086951,0.3318181818181818,FeTrIL
All Exemplars,0.4521739130434782,0.2772727272727272,0.2923076923076922,0.3545454545454545,FeTrIL
All Exemplars,0.3565217391304348,0.309090909090909,0.19999999999999996,0.07727272727272723,FeTrIL
All Exemplars,0.3215686274509803,0.30769230769230765,0.43636363636363634,0.6090909090909091,FeTrIL
All Exemplars,0.2727272727272727,0.36363636363636365,0.2434782608695652,0.37272727272727274,FeTrIL
All Exemplars,0.48695652173913045,0.3090909090909091,0.31363636363636366,0.2461538461538461,FeTrIL
All Exemplars,0.22745098039215686,0.5,0.4434782608695652,0.7846153846153847,FeTrIL
All Exemplars,0.29999999999999993,0.24545454545454543,0.3333333333333333,0.3318181818181818,FeTrIL
All Exemplars,0.30909090909090914,0.3254901960784314,0.18260869565217389,0.28181818181818175,FeTrIL
All Exemplars,0.34545454545454546,0.2909090909090909,0.25217391304347825,0.13181818181818178,FeTrIL
All Exemplars,0.38431372549019605,0.3153846153846153,0.4545454545454545,0.26956521739130435,FeTrIL
All Exemplars,0.4,0.4727272727272728,0.34509803921568627,0.6692307692307692,FeTrIL
All Exemplars,0.32727272727272727,0.33043478260869563,0.10588235294117647,0.30000000000000004,FeTrIL
All Exemplars,0.4615384615384615,0.3391304347826087,0.2045454545454545,0.2636363636363636,FeTrIL
All Exemplars,0.19999999999999998,0.3565217391304348,0.32727272727272727,0.27450980392156865,FeTrIL
All Exemplars,0.30434782608695654,0.050980392156862744,0.17272727272727273,0.18181818181818182,FeTrIL
All Exemplars,0.3954545454545455,0.3954545454545454,0.19130434782608693,0.1384615384615384,FeTrIL
All Exemplars,0.3727272727272727,0.26956521739130435,0.15,0.5882352941176471,FeTrIL
All Exemplars,0.42727272727272725,0.39999999999999997,0.2260869565217391,0.27272727272727276,FeTrIL
All Exemplars,0.2076923076923077,0.2608695652173913,0.2363636363636364,0.3545454545454545,FeTrIL
All Exemplars,0.3076923076923076,0.32727272727272727,0.23636363636363633,0.29999999999999993,FeTrIL
All Exemplars,0.3181818181818182,0.44615384615384607,0.12173913043478257,0.18431372549019603,FeTrIL
All Exemplars,0.32941176470588235,0.2681818181818182,0.21739130434782603,0.4045454545454545,FeTrIL
All Exemplars,0.39090909090909093,0.21363636363636357,0.16470588235294115,0.3,FeTrIL
All Exemplars,0.3384615384615385,0.2695652173913043,0.17727272727272725,0.3882352941176471,FeTrIL
All Exemplars,0.9923076923076923,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,0.9727272727272727,0.996078431372549,1.0,DDGR
All Exemplars,1.0,0.9923076923076923,1.0,0.9545454545454547,DDGR
All Exemplars,1.0,1.0,0.9923076923076923,0.9636363636363636,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,0.9846153846153847,0.9636363636363636,DDGR
All Exemplars,1.0,0.9818181818181818,0.9846153846153847,1.0,DDGR
All Exemplars,1.0,0.9923076923076923,1.0,1.0,DDGR
All Exemplars,0.990909090909091,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,0.9923076923076923,0.9636363636363636,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,0.9545454545454547,DDGR
All Exemplars,0.9636363636363636,1.0,1.0,1.0,DDGR
All Exemplars,1.0,0.9846153846153847,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,0.9923076923076923,DDGR
All Exemplars,1.0,1.0,1.0,0.9846153846153847,DDGR
All Exemplars,0.9923076923076923,1.0,1.0,0.9454545454545455,DDGR
All Exemplars,1.0,1.0,0.9454545454545455,1.0,DDGR
All Exemplars,1.0,0.996078431372549,0.9636363636363636,1.0,DDGR
All Exemplars,1.0,1.0,1.0,0.9923076923076923,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,0.9636363636363636,1.0,1.0,1.0,DDGR
All Exemplars,0.9923076923076923,1.0,1.0,0.9636363636363636,DDGR
All Exemplars,1.0,1.0,0.9545454545454547,1.0,DDGR
All Exemplars,0.9727272727272727,0.9923076923076923,1.0,0.996078431372549,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,0.990909090909091,1.0,1.0,1.0,DDGR
All Exemplars,0.9923076923076923,1.0,1.0,1.0,DDGR
All Exemplars,0.9846153846153847,0.9863636363636363,1.0,0.9727272727272729,VAE_Adapt
All Exemplars,0.9772727272727273,0.9826086956521738,1.0,0.9843137254901961,VAE_Adapt
All Exemplars,1.0,0.9818181818181818,0.9803921568627452,1.0,VAE_Adapt
All Exemplars,0.9772727272727273,0.9846153846153847,1.0,0.990909090909091,VAE_Adapt
All Exemplars,1.0,1.0,1.0,0.9636363636363636,VAE_Adapt
All Exemplars,0.9772727272727273,0.976923076923077,0.9826086956521738,0.990909090909091,VAE_Adapt
All Exemplars,1.0,1.0,1.0,1.0,VAE_Adapt
