Exemplar_Size,Task 1,Task 2,Task 3,Method
All Exemplars,0.9890410958904109,0.5771084337349397,0.32857142857142857,FeTrIL
All Exemplars,0.9958333333333332,0.3723270440251572,0.34380952380952384,FeTrIL
All Exemplars,0.9885714285714287,0.3967914438502674,0.3057142857142857,FeTrIL
All Exemplars,0.9978947368421054,0.4957446808510638,0.35809523809523813,FeTrIL
All Exemplars,0.9936842105263158,0.4829787234042553,0.31714285714285717,FeTrIL
All Exemplars,0.9890410958904109,0.5614457831325301,0.16761904761904758,FeTrIL
All Exemplars,0.991578947368421,0.45,0.33809523809523806,FeTrIL
All Exemplars,0.9957894736842106,0.5879518072289157,0.39619047619047615,FeTrIL
All Exemplars,0.9822222222222221,0.655421686746988,0.17999999999999997,FeTrIL
All Exemplars,0.9506493506493507,0.6337349397590362,0.4619047619047619,FeTrIL
All Exemplars,0.9890410958904109,0.548913043478261,0.43047619047619035,FeTrIL
All Exemplars,1.0,0.4195652173913043,0.3895238095238095,FeTrIL
All Exemplars,0.9850746268656716,0.4903614457831325,0.3180952380952381,FeTrIL
All Exemplars,1.0,0.5553191489361702,0.30380952380952375,FeTrIL
All Exemplars,0.9480519480519479,0.5843373493975904,0.3447619047619047,FeTrIL
All Exemplars,1.0,0.49090909090909085,0.4152380952380953,FeTrIL
All Exemplars,0.9866666666666666,0.41847826086956513,0.3266666666666666,FeTrIL
All Exemplars,1.0,0.6130434782608696,0.38190476190476186,FeTrIL
All Exemplars,0.9894736842105264,0.4840425531914893,0.30476190476190473,FeTrIL
All Exemplars,0.9857142857142858,0.5874213836477987,0.25142857142857145,FeTrIL
All Exemplars,0.9857142857142858,0.5060240963855421,0.34571428571428575,FeTrIL
All Exemplars,0.9917808219178081,0.5554347826086956,0.4619047619047619,FeTrIL
All Exemplars,1.0,0.4477987421383648,0.3695238095238095,FeTrIL
All Exemplars,0.9936842105263158,0.49638554216867464,0.36,FeTrIL
All Exemplars,0.9936842105263157,0.47659574468085103,0.3342857142857143,FeTrIL
All Exemplars,0.9783783783783783,0.6855421686746987,0.48571428571428565,FeTrIL
All Exemplars,0.7,0.45408805031446536,0.33999999999999997,FeTrIL
All Exemplars,1.0,0.5168674698795181,0.2352380952380952,FeTrIL
All Exemplars,1.0,0.5445652173913044,0.2809523809523809,FeTrIL
All Exemplars,1.0,0.5194968553459118,0.35619047619047617,FeTrIL
All Exemplars,0.9917808219178081,0.6433734939759036,0.44380952380952376,DDGR
All Exemplars,1.0,0.5823899371069182,0.34095238095238095,DDGR
All Exemplars,0.9857142857142858,0.6481283422459893,0.2542857142857142,DDGR
All Exemplars,0.9936842105263158,0.6329787234042553,0.38476190476190475,DDGR
All Exemplars,0.9894736842105264,0.6797872340425533,0.5199999999999999,DDGR
All Exemplars,0.9917808219178081,0.6771084337349398,0.44857142857142857,DDGR
All Exemplars,0.991578947368421,0.6851063829787234,0.440952380952381,DDGR
All Exemplars,1.0,0.5204819277108433,0.3657142857142857,DDGR
All Exemplars,0.9911111111111112,0.8,0.600952380952381,DDGR
All Exemplars,0.9662337662337663,0.744578313253012,0.3885714285714285,DDGR
All Exemplars,0.9863013698630138,0.5336956521739131,0.2895238095238095,DDGR
All Exemplars,1.0,0.7086956521739131,0.2685714285714285,DDGR
All Exemplars,0.9850746268656716,0.6590361445783133,0.5380952380952381,DDGR
All Exemplars,1.0,0.7159574468085106,0.45809523809523806,DDGR
All Exemplars,0.9506493506493507,0.7409638554216867,0.41428571428571426,DDGR
All Exemplars,1.0,0.7026737967914439,0.24571428571428564,DDGR
All Exemplars,0.9911111111111112,0.6413043478260869,0.27238095238095233,DDGR
All Exemplars,1.0,0.6967391304347826,0.2752380952380952,DDGR
All Exemplars,0.9915789473684212,0.6393617021276596,0.48190476190476195,DDGR
All Exemplars,0.9857142857142858,0.6314465408805032,0.44380952380952376,DDGR
All Exemplars,0.9857142857142858,0.6108433734939759,0.518095238095238,DDGR
All Exemplars,0.9890410958904109,0.5065217391304347,0.24761904761904757,DDGR
All Exemplars,0.9958333333333332,0.6238993710691824,0.3419047619047619,DDGR
All Exemplars,0.9873684210526317,0.5349397590361445,0.41428571428571426,DDGR
All Exemplars,0.9894736842105264,0.6680851063829788,0.38952380952380955,DDGR
All Exemplars,0.9702702702702704,0.8397590361445783,0.4923809523809523,DDGR
All Exemplars,0.9477272727272726,0.558490566037736,0.39904761904761904,DDGR
All Exemplars,1.0,0.7963855421686747,0.5647619047619048,DDGR
All Exemplars,0.9970149253731343,0.6793478260869565,0.3533333333333333,DDGR
All Exemplars,1.0,0.6691823899371069,0.30380952380952375,DDGR
All Exemplars,0.9863013698630138,0.6734939759036145,0.4152380952380952,VAE_Adapt
All Exemplars,1.0,0.6817610062893081,0.5961904761904762,VAE_Adapt
All Exemplars,0.9857142857142858,0.8106951871657755,0.4438095238095238,VAE_Adapt
All Exemplars,0.9978947368421054,0.8138297872340425,0.39999999999999997,VAE_Adapt
All Exemplars,0.991578947368421,0.8457446808510639,0.39142857142857146,VAE_Adapt
All Exemplars,0.9890410958904109,0.6120481927710844,0.46761904761904755,VAE_Adapt
All Exemplars,0.9894736842105264,0.7659574468085106,0.36761904761904757,VAE_Adapt
All Exemplars,0.9978947368421054,0.7313253012048193,0.520952380952381,VAE_Adapt
All Exemplars,0.9777777777777776,0.7710843373493976,0.5561904761904761,VAE_Adapt
All Exemplars,0.9558441558441558,0.5734939759036145,0.44571428571428573,VAE_Adapt
