Exemplar_Size,Task 2,Task 3,Method
All Exemplars,0.6273972602739727,0.3469879518072289,FeTrIL
All Exemplars,0.5791666666666667,0.3748427672955975,FeTrIL
All Exemplars,0.5228571428571429,0.3144385026737968,FeTrIL
All Exemplars,0.5936842105263158,0.36808510638297876,FeTrIL
All Exemplars,0.6905263157894737,0.3287234042553191,FeTrIL
All Exemplars,0.7123287671232876,0.208433734939759,FeTrIL
All Exemplars,0.38736842105263164,0.36489361702127654,FeTrIL
All Exemplars,0.72,0.4710843373493976,FeTrIL
All Exemplars,0.6444444444444445,0.19638554216867465,FeTrIL
All Exemplars,0.561038961038961,0.519277108433735,FeTrIL
All Exemplars,0.6876712328767123,0.4619565217391305,FeTrIL
All Exemplars,0.3363636363636363,0.4130434782608695,FeTrIL
All Exemplars,0.7104477611940299,0.3843373493975904,FeTrIL
All Exemplars,0.6285714285714284,0.3170212765957447,FeTrIL
All Exemplars,0.4623376623376624,0.3927710843373494,FeTrIL
All Exemplars,0.5878787878787879,0.4524064171122994,FeTrIL
All Exemplars,0.5422222222222223,0.3456521739130434,FeTrIL
All Exemplars,0.909090909090909,0.4,FeTrIL
All Exemplars,0.4189473684210527,0.30425531914893617,FeTrIL
All Exemplars,0.6200000000000001,0.28427672955974836,FeTrIL
All Exemplars,0.7057142857142857,0.4120481927710843,FeTrIL
All Exemplars,0.6054794520547946,0.49565217391304345,FeTrIL
All Exemplars,0.5833333333333333,0.40628930817610065,FeTrIL
All Exemplars,0.5978947368421053,0.42048192771084336,FeTrIL
All Exemplars,0.44842105263157894,0.3531914893617021,FeTrIL
All Exemplars,0.7054054054054054,0.5421686746987951,FeTrIL
All Exemplars,0.5727272727272729,0.39748427672955977,FeTrIL
All Exemplars,0.6041666666666667,0.27349397590361446,FeTrIL
All Exemplars,0.6388059701492537,0.30434782608695654,FeTrIL
All Exemplars,0.3939393939393939,0.359748427672956,FeTrIL
All Exemplars,0.19452054794520546,0.29638554216867463,DDGR
All Exemplars,0.25416666666666665,0.12955974842767293,DDGR
All Exemplars,0.0771428571428571,0.16256684491978607,DDGR
All Exemplars,0.29052631578947363,0.31702127659574464,DDGR
All Exemplars,0.3768421052631579,0.46914893617021275,DDGR
All Exemplars,0.29863013698630136,0.3024096385542169,DDGR
All Exemplars,0.38526315789473686,0.37978723404255316,DDGR
All Exemplars,0.17684210526315786,0.1975903614457831,DDGR
All Exemplars,0.3466666666666667,0.4951807228915663,DDGR
All Exemplars,0.4597402597402597,0.2265060240963855,DDGR
All Exemplars,0.26575342465753427,0.19021739130434775,DDGR
All Exemplars,0.20303030303030303,0.16630434782608694,DDGR
All Exemplars,0.208955223880597,0.41566265060240964,DDGR
All Exemplars,0.2714285714285714,0.4,DDGR
All Exemplars,0.4597402597402597,0.2590361445783132,DDGR
All Exemplars,0.21515151515151515,0.1529411764705882,DDGR
All Exemplars,0.28,0.17065217391304344,DDGR
All Exemplars,0.19090909090909086,0.1739130434782608,DDGR
All Exemplars,0.29473684210526313,0.42659574468085104,DDGR
All Exemplars,0.17428571428571427,0.26540880503144654,DDGR
All Exemplars,0.11428571428571425,0.3903614457831325,DDGR
All Exemplars,0.2054794520547945,0.1413043478260869,DDGR
All Exemplars,0.30416666666666664,0.13207547169811318,DDGR
All Exemplars,0.20631578947368417,0.25903614457831325,DDGR
All Exemplars,0.34947368421052627,0.324468085106383,DDGR
All Exemplars,0.645945945945946,0.3578313253012048,DDGR
All Exemplars,0.2204545454545454,0.2075471698113207,DDGR
All Exemplars,0.3458333333333333,0.4493975903614459,DDGR
All Exemplars,0.14626865671641784,0.26413043478260867,DDGR
All Exemplars,0.20606060606060606,0.080503144654088,DDGR
All Exemplars,0.26575342465753427,0.26626506024096386,VAE_Adapt
All Exemplars,0.1833333333333333,0.4679245283018868,VAE_Adapt
All Exemplars,0.5171428571428571,0.38181818181818183,VAE_Adapt
All Exemplars,0.6778947368421053,0.33404255319148934,VAE_Adapt
All Exemplars,0.7031578947368422,0.324468085106383,VAE_Adapt
All Exemplars,0.1643835616438356,0.3265060240963855,VAE_Adapt
All Exemplars,0.5536842105263158,0.29680851063829783,VAE_Adapt
All Exemplars,0.5410526315789473,0.4036144578313253,VAE_Adapt
All Exemplars,0.23555555555555552,0.4385542168674698,VAE_Adapt
All Exemplars,0.09350649350649345,0.30843373493975906,VAE_Adapt
All Exemplars,0.20273972602739723,0.4880434782608695,VAE_Adapt
All Exemplars,0.7393939393939395,0.49565217391304345,VAE_Adapt
All Exemplars,0.6149253731343284,0.2662650602409638,VAE_Adapt
All Exemplars,0.5857142857142857,0.22978723404255313,VAE_Adapt
All Exemplars,0.049350649350649325,0.28915662650602403,VAE_Adapt
All Exemplars,0.7090909090909092,0.4096256684491978,VAE_Adapt
All Exemplars,0.31999999999999995,0.55,VAE_Adapt
All Exemplars,0.8454545454545455,0.40869565217391307,VAE_Adapt
All Exemplars,0.5957894736842105,0.35957446808510635,VAE_Adapt
All Exemplars,0.49714285714285705,0.4389937106918239,VAE_Adapt
All Exemplars,0.5342857142857143,0.19999999999999998,VAE_Adapt
All Exemplars,0.2191780821917808,0.43804347826086965,VAE_Adapt
All Exemplars,0.16666666666666666,0.5371069182389936,VAE_Adapt
All Exemplars,0.4336842105263158,0.30963855421686753,VAE_Adapt
All Exemplars,0.64,0.3031914893617021,VAE_Adapt
All Exemplars,0.4243243243243243,0.1325301204819277,VAE_Adapt
All Exemplars,0.5613636363636363,0.15597484276729556,VAE_Adapt
All Exemplars,0.24166666666666664,0.4554216867469879,VAE_Adapt
All Exemplars,0.5850746268656717,0.4043478260869565,VAE_Adapt
All Exemplars,0.8757575757575757,0.4918238993710692,VAE_Adapt
All Exemplars,0.32602739726027397,0.3024096385542169,VAE_BBox
All Exemplars,0.4291666666666666,0.5044025157232704,VAE_BBox
All Exemplars,0.64,0.5379679144385027,VAE_BBox
All Exemplars,0.7557894736842106,0.5968085106382979,VAE_BBox
All Exemplars,0.8821052631578947,0.5053191489361701,VAE_BBox
All Exemplars,0.3287671232876712,0.36626506024096384,VAE_BBox
All Exemplars,0.8126315789473686,0.5734042553191488,VAE_BBox
All Exemplars,0.6252631578947369,0.46144578313253015,VAE_BBox
All Exemplars,0.4533333333333333,0.5530120481927712,VAE_BBox
All Exemplars,0.44675324675324674,0.43493975903614457,VAE_BBox
All Exemplars,0.34520547945205476,0.46304347826086956,VAE_BBox
All Exemplars,0.8757575757575757,0.7206521739130436,VAE_BBox
All Exemplars,0.6865671641791045,0.3867469879518072,VAE_BBox
All Exemplars,0.8171428571428573,0.4574468085106383,VAE_BBox
All Exemplars,0.3844155844155844,0.3048192771084337,VAE_BBox
All Exemplars,0.9515151515151515,0.5058823529411764,VAE_BBox
All Exemplars,0.36444444444444446,0.5521739130434783,VAE_BBox
All Exemplars,0.8606060606060606,0.5967391304347827,VAE_BBox
All Exemplars,0.8168421052631579,0.5276595744680851,VAE_BBox
All Exemplars,0.6114285714285714,0.539622641509434,VAE_BBox
All Exemplars,0.5914285714285714,0.36506024096385536,VAE_BBox
All Exemplars,0.347945205479452,0.42934782608695654,VAE_BBox
All Exemplars,0.35,0.44905660377358486,VAE_BBox
All Exemplars,0.6463157894736842,0.5578313253012048,VAE_BBox
All Exemplars,0.8378947368421054,0.47765957446808505,VAE_BBox
All Exemplars,0.591891891891892,0.30722891566265054,VAE_BBox
All Exemplars,0.2272727272727272,0.36226415094339626,VAE_BBox
All Exemplars,0.3333333333333333,0.5012048192771085,VAE_BBox
All Exemplars,0.5343283582089552,0.48695652173913057,VAE_BBox
All Exemplars,0.8636363636363636,0.6528301886792452,VAE_BBox
All Exemplars,0.30410958904109586,0.24457831325301202,VAE_Filter
All Exemplars,0.31249999999999994,0.5672955974842767,VAE_Filter
All Exemplars,0.5942857142857143,0.5037433155080213,VAE_Filter
All Exemplars,0.8442105263157895,0.46914893617021286,VAE_Filter
All Exemplars,0.9557894736842105,0.6563829787234042,VAE_Filter
All Exemplars,0.28219178082191776,0.3409638554216868,VAE_Filter
