Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.5957446808510638
All Exemplars,FeTrIL,0.798360655737705
All Exemplars,FeTrIL,0.7694267515923567
All Exemplars,FeTrIL,0.6389189189189188
All Exemplars,FeTrIL,0.743502824858757
All Exemplars,FeTrIL,0.8183006535947713
All Exemplars,FeTrIL,0.6802259887005649
All Exemplars,FeTrIL,0.7142857142857142
All Exemplars,FeTrIL,0.7283018867924529
All Exemplars,FeTrIL,0.6056737588652481
All Exemplars,FeTrIL,0.6526315789473683
All Exemplars,FeTrIL,0.7255555555555555
All Exemplars,FeTrIL,0.7360655737704919
All Exemplars,FeTrIL,0.6108108108108108
All Exemplars,FeTrIL,0.592156862745098
All Exemplars,FeTrIL,0.825531914893617
All Exemplars,FeTrIL,0.5986577181208054
All Exemplars,FeTrIL,0.8469798657718121
All Exemplars,FeTrIL,0.72
All Exemplars,FeTrIL,0.7766233766233765
All Exemplars,FeTrIL,0.6573333333333333
All Exemplars,FeTrIL,0.6733333333333332
All Exemplars,FeTrIL,0.8381818181818183
All Exemplars,FeTrIL,0.8300653594771242
All Exemplars,FeTrIL,0.7333333333333333
All Exemplars,FeTrIL,0.5318840579710146
All Exemplars,FeTrIL,0.8318471337579618
All Exemplars,FeTrIL,0.5816993464052288
All Exemplars,FeTrIL,0.6174496644295303
All Exemplars,FeTrIL,0.7918032786885245
All Exemplars,DDGR,0.8127659574468085
All Exemplars,DDGR,0.3278688524590164
All Exemplars,DDGR,0.4063694267515924
All Exemplars,DDGR,0.4043243243243243
All Exemplars,DDGR,0.3265536723163841
All Exemplars,DDGR,0.550326797385621
All Exemplars,DDGR,0.592090395480226
All Exemplars,DDGR,0.7127819548872181
All Exemplars,DDGR,0.6811320754716981
All Exemplars,DDGR,0.8056737588652482
All Exemplars,DDGR,0.9398496240601504
All Exemplars,DDGR,0.61
All Exemplars,DDGR,0.4639344262295082
All Exemplars,DDGR,0.4021621621621621
All Exemplars,DDGR,0.8431372549019608
All Exemplars,DDGR,0.5446808510638299
All Exemplars,DDGR,0.5879194630872483
All Exemplars,DDGR,0.2295302013422818
All Exemplars,DDGR,0.4933333333333333
All Exemplars,DDGR,0.2909090909090909
All Exemplars,DDGR,0.5253333333333333
All Exemplars,DDGR,0.6922222222222223
All Exemplars,DDGR,0.4363636363636363
All Exemplars,DDGR,0.530718954248366
All Exemplars,DDGR,0.516
All Exemplars,DDGR,0.8536231884057971
All Exemplars,DDGR,0.3019108280254776
All Exemplars,DDGR,0.8248366013071896
All Exemplars,DDGR,0.6013422818791947
All Exemplars,DDGR,0.3426229508196721
All Exemplars,VAE_Adapt,0.5375886524822695
All Exemplars,VAE_Adapt,0.759016393442623
All Exemplars,VAE_Adapt,0.915923566878981
All Exemplars,VAE_Adapt,0.9070270270270272
All Exemplars,VAE_Adapt,0.9254237288135594
All Exemplars,VAE_Adapt,0.6679738562091503
All Exemplars,VAE_Adapt,0.8519774011299435
All Exemplars,VAE_Adapt,0.550375939849624
All Exemplars,VAE_Adapt,0.4075471698113208
All Exemplars,VAE_Adapt,0.4992907801418439
All Exemplars,VAE_Adapt,0.5338345864661653
All Exemplars,VAE_Adapt,0.6166666666666667
All Exemplars,VAE_Adapt,0.6163934426229508
All Exemplars,VAE_Adapt,0.9459459459459462
All Exemplars,VAE_Adapt,0.5450980392156863
All Exemplars,VAE_Adapt,0.6666666666666666
All Exemplars,VAE_Adapt,0.7812080536912751
All Exemplars,VAE_Adapt,0.9369127516778524
All Exemplars,VAE_Adapt,0.8226666666666667
All Exemplars,VAE_Adapt,0.9155844155844156
All Exemplars,VAE_Adapt,0.808
All Exemplars,VAE_Adapt,0.681111111111111
All Exemplars,VAE_Adapt,0.7727272727272727
All Exemplars,VAE_Adapt,0.6745098039215687
All Exemplars,VAE_Adapt,0.7826666666666666
All Exemplars,VAE_Adapt,0.7420289855072464
All Exemplars,VAE_Adapt,0.951592356687898
All Exemplars,VAE_Adapt,0.5359477124183006
All Exemplars,VAE_Adapt,0.795973154362416
All Exemplars,VAE_Adapt,0.7524590163934426
All Exemplars,VAE_BBox,0.6666666666666667
All Exemplars,VAE_BBox,0.8295081967213115
All Exemplars,VAE_BBox,0.9210191082802548
All Exemplars,VAE_BBox,0.932972972972973
All Exemplars,VAE_BBox,0.96045197740113
All Exemplars,VAE_BBox,0.6875816993464052
All Exemplars,VAE_BBox,0.8282485875706215
All Exemplars,VAE_BBox,0.6812030075187969
All Exemplars,VAE_BBox,0.5622641509433963
All Exemplars,VAE_BBox,0.6127659574468085
All Exemplars,VAE_BBox,0.6090225563909775
All Exemplars,VAE_BBox,0.65
All Exemplars,VAE_BBox,0.6836065573770491
All Exemplars,VAE_BBox,0.932972972972973
All Exemplars,VAE_BBox,0.5921568627450979
All Exemplars,VAE_BBox,0.7645390070921986
All Exemplars,VAE_BBox,0.8201342281879194
All Exemplars,VAE_BBox,0.9140939597315436
All Exemplars,VAE_BBox,0.7986666666666667
All Exemplars,VAE_BBox,0.9415584415584414
All Exemplars,VAE_BBox,0.8253333333333334
All Exemplars,VAE_BBox,0.7233333333333334
All Exemplars,VAE_BBox,0.7890909090909091
All Exemplars,VAE_BBox,0.7542483660130719
All Exemplars,VAE_BBox,0.8266666666666668
All Exemplars,VAE_BBox,0.7565217391304347
All Exemplars,VAE_BBox,0.9057324840764333
All Exemplars,VAE_BBox,0.6130718954248365
All Exemplars,VAE_BBox,0.7624161073825504
All Exemplars,VAE_BBox,0.8114754098360656
All Exemplars,VAE_Filter,0.5843971631205673
All Exemplars,VAE_Filter,0.8245901639344263
All Exemplars,VAE_Filter,0.932484076433121
All Exemplars,VAE_Filter,0.8972972972972973
All Exemplars,VAE_Filter,0.902824858757062
All Exemplars,VAE_Filter,0.7803921568627451
All Exemplars,VAE_Filter,0.7536723163841808
All Exemplars,VAE_Filter,0.7218045112781954
All Exemplars,VAE_Filter,0.5773584905660377
All Exemplars,VAE_Filter,0.6624113475177305
