Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Method
All Exemplars,0.9888888888888887,0.5957446808510638,0.5312101910828025,0.3927272727272727,FeTrIL
All Exemplars,0.9905660377358492,0.798360655737705,0.5583815028901734,0.4445454545454545,FeTrIL
All Exemplars,0.9985507246376812,0.7694267515923567,0.5725490196078431,0.5581818181818182,FeTrIL
All Exemplars,0.9987577639751553,0.6389189189189188,0.5741293532338309,0.5163636363636364,FeTrIL
All Exemplars,0.9987577639751553,0.743502824858757,0.6318407960199005,0.5545454545454545,FeTrIL
All Exemplars,0.9922480620155041,0.8183006535947713,0.7065088757396449,0.5700000000000001,FeTrIL
All Exemplars,0.9920634920634921,0.6802259887005649,0.5671641791044776,0.4800000000000001,FeTrIL
All Exemplars,0.9859649122807017,0.7142857142857142,0.592356687898089,0.4745454545454545,FeTrIL
All Exemplars,0.9829268292682926,0.7283018867924529,0.4686390532544379,0.18636363636363634,FeTrIL
All Exemplars,0.9844444444444445,0.6056737588652481,0.4904458598726114,0.4427272727272727,FeTrIL
All Exemplars,0.9804878048780488,0.6526315789473683,0.44795918367346943,0.4045454545454545,FeTrIL
All Exemplars,0.9922480620155041,0.7255555555555555,0.5857142857142857,0.5218181818181817,FeTrIL
All Exemplars,0.996116504854369,0.7360655737704919,0.48520710059171596,0.4372727272727272,FeTrIL
All Exemplars,1.0,0.6108108108108108,0.6059701492537314,0.5618181818181818,FeTrIL
All Exemplars,0.9888888888888887,0.592156862745098,0.4994082840236686,0.38636363636363635,FeTrIL
All Exemplars,0.9914529914529917,0.825531914893617,0.5823529411764705,0.48090909090909095,FeTrIL
All Exemplars,0.9883720930232558,0.5986577181208054,0.44387755102040816,0.3036363636363636,FeTrIL
All Exemplars,0.9939849624060152,0.8469798657718121,0.6316326530612244,0.5790909090909091,FeTrIL
All Exemplars,0.9985074626865671,0.72,0.48955223880597015,0.46818181818181814,FeTrIL
All Exemplars,1.0,0.7766233766233765,0.7179190751445088,0.5236363636363637,FeTrIL
All Exemplars,0.9980582524271846,0.6573333333333333,0.5727810650887574,0.4536363636363636,FeTrIL
All Exemplars,0.9914529914529917,0.6733333333333332,0.5683673469387756,0.46545454545454545,FeTrIL
All Exemplars,0.9893617021276595,0.8381818181818183,0.5260115606936416,0.3454545454545454,FeTrIL
All Exemplars,0.9922480620155041,0.8300653594771242,0.7207100591715976,0.5709090909090909,FeTrIL
All Exemplars,0.9955223880597014,0.7333333333333333,0.5154228855721393,0.4536363636363636,FeTrIL
All Exemplars,0.9839080459770114,0.5318840579710146,0.47515923566878976,0.35545454545454536,FeTrIL
All Exemplars,0.9864661654135339,0.8318471337579618,0.738728323699422,0.5672727272727273,FeTrIL
All Exemplars,0.9866666666666666,0.5816993464052288,0.4461538461538462,0.24090909090909088,FeTrIL
All Exemplars,0.9883720930232558,0.6174496644295303,0.4224489795918367,0.35545454545454536,FeTrIL
All Exemplars,0.9905660377358492,0.7918032786885245,0.6173410404624278,0.40727272727272723,FeTrIL
All Exemplars,0.9888888888888887,0.8127659574468085,0.44968152866242034,0.49818181818181817,DDGR
All Exemplars,0.9905660377358492,0.3278688524590164,0.41387283236994216,0.2672727272727272,DDGR
All Exemplars,0.9985507246376812,0.4063694267515924,0.3813725490196078,0.1745454545454545,DDGR
All Exemplars,1.0,0.40432432432432436,0.2437810945273632,0.27545454545454545,DDGR
All Exemplars,1.0,0.3265536723163841,0.2875621890547263,0.1727272727272727,DDGR
All Exemplars,0.9922480620155041,0.550326797385621,0.3715976331360946,0.37363636363636366,DDGR
All Exemplars,0.9936507936507935,0.592090395480226,0.3522388059701492,0.3027272727272727,DDGR
All Exemplars,0.9982456140350877,0.7127819548872181,0.5082802547770701,0.4627272727272727,DDGR
All Exemplars,0.9731707317073169,0.6811320754716981,0.6674556213017752,0.4054545454545454,DDGR
All Exemplars,0.9866666666666666,0.8056737588652482,0.3388535031847134,0.42181818181818176,DDGR
All Exemplars,0.9829268292682926,0.9398496240601505,0.5928571428571429,0.33818181818181814,DDGR
All Exemplars,0.9906976744186047,0.61,0.2989795918367347,0.3018181818181818,DDGR
All Exemplars,0.996116504854369,0.4639344262295082,0.4899408284023668,0.35727272727272724,DDGR
All Exemplars,0.9956521739130434,0.40216216216216216,0.19203980099502482,0.21363636363636362,DDGR
All Exemplars,0.9888888888888887,0.8431372549019608,0.3928994082840236,0.41090909090909084,DDGR
All Exemplars,0.9914529914529917,0.5446808510638299,0.4980392156862745,0.19999999999999996,DDGR
All Exemplars,0.9860465116279069,0.5879194630872483,0.31836734693877544,0.1818181818181818,DDGR
All Exemplars,0.9759398496240603,0.22953020134228183,0.29387755102040813,0.14545454545454542,DDGR
All Exemplars,0.9985074626865671,0.49333333333333335,0.4746268656716418,0.3981818181818182,DDGR
All Exemplars,1.0,0.2909090909090909,0.27514450867052015,0.3445454545454545,DDGR
All Exemplars,0.9980582524271846,0.5253333333333333,0.2461538461538461,0.38,DDGR
All Exemplars,0.9914529914529917,0.6922222222222223,0.2897959183673469,0.22636363636363632,DDGR
All Exemplars,0.9893617021276595,0.43636363636363634,0.49364161849710975,0.2590909090909091,DDGR
All Exemplars,0.9922480620155041,0.530718954248366,0.32781065088757394,0.3672727272727272,DDGR
All Exemplars,1.0,0.516,0.5064676616915422,0.27181818181818185,DDGR
All Exemplars,0.9908045977011495,0.8536231884057971,0.6191082802547772,0.4881818181818181,DDGR
All Exemplars,0.9939849624060152,0.30191082802547764,0.16647398843930633,0.2618181818181818,DDGR
All Exemplars,0.9888888888888887,0.8248366013071896,0.40828402366863903,0.44545454545454544,DDGR
All Exemplars,0.9883720930232558,0.6013422818791947,0.32142857142857145,0.15545454545454543,DDGR
All Exemplars,0.9905660377358492,0.3426229508196721,0.4,0.2581818181818181,DDGR
All Exemplars,0.9888888888888887,0.5375886524822695,0.5414012738853503,0.4154545454545454,VAE_Adapt
All Exemplars,0.9905660377358492,0.759016393442623,0.5479768786127168,0.4254545454545454,VAE_Adapt
All Exemplars,1.0,0.915923566878981,0.75,0.28818181818181815,VAE_Adapt
All Exemplars,0.9975155279503106,0.9070270270270271,0.42587064676616915,0.2772727272727272,VAE_Adapt
All Exemplars,0.9975155279503106,0.9254237288135594,0.4577114427860696,0.24272727272727274,VAE_Adapt
All Exemplars,0.9922480620155041,0.6679738562091503,0.44260355029585796,0.34363636363636363,VAE_Adapt
All Exemplars,0.9968253968253968,0.8519774011299435,0.6447761194029851,0.31636363636363635,VAE_Adapt
All Exemplars,0.9929824561403509,0.550375939849624,0.6624203821656051,0.5745454545454545,VAE_Adapt
All Exemplars,0.9804878048780488,0.4075471698113208,0.5136094674556213,0.34454545454545454,VAE_Adapt
All Exemplars,0.9888888888888887,0.49929078014184397,0.5426751592356688,0.4918181818181818,VAE_Adapt
All Exemplars,0.9853658536585366,0.5338345864661653,0.5836734693877551,0.5181818181818181,VAE_Adapt
All Exemplars,0.9922480620155041,0.6166666666666667,0.4867346938775509,0.2809090909090909,VAE_Adapt
All Exemplars,0.9941747572815535,0.6163934426229508,0.4958579881656805,0.5018181818181817,VAE_Adapt
All Exemplars,0.9985507246376812,0.9459459459459462,0.5064676616915423,0.26090909090909087,VAE_Adapt
All Exemplars,0.9888888888888887,0.5450980392156863,0.5727810650887573,0.5863636363636363,VAE_Adapt
All Exemplars,0.9914529914529917,0.6666666666666666,0.5480392156862746,0.3972727272727272,VAE_Adapt
