Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.63855421686747
All Exemplars,FeTrIL,0.6088050314465409
All Exemplars,FeTrIL,0.5283422459893049
All Exemplars,FeTrIL,0.524468085106383
All Exemplars,FeTrIL,0.4712765957446808
All Exemplars,FeTrIL,0.7253012048192771
All Exemplars,FeTrIL,0.6180851063829786
All Exemplars,FeTrIL,0.7349397590361445
All Exemplars,FeTrIL,0.7048192771084336
All Exemplars,FeTrIL,0.6987951807228916
All Exemplars,FeTrIL,0.5086956521739131
All Exemplars,FeTrIL,0.6141304347826088
All Exemplars,FeTrIL,0.4783132530120482
All Exemplars,FeTrIL,0.6276595744680852
All Exemplars,FeTrIL,0.6734939759036145
All Exemplars,FeTrIL,0.6588235294117647
All Exemplars,FeTrIL,0.6195652173913044
All Exemplars,FeTrIL,0.4141304347826086
All Exemplars,FeTrIL,0.5063829787234042
All Exemplars,FeTrIL,0.638993710691824
All Exemplars,FeTrIL,0.5433734939759036
All Exemplars,FeTrIL,0.6565217391304348
All Exemplars,FeTrIL,0.5635220125786164
All Exemplars,FeTrIL,0.7096385542168675
All Exemplars,FeTrIL,0.4914893617021277
All Exemplars,FeTrIL,0.6373493975903615
All Exemplars,FeTrIL,0.4477987421383648
All Exemplars,FeTrIL,0.6939759036144577
All Exemplars,FeTrIL,0.5652173913043478
All Exemplars,FeTrIL,0.618867924528302
All Exemplars,DDGR,0.6024096385542169
All Exemplars,DDGR,0.5371069182389937
All Exemplars,DDGR,0.4352941176470588
All Exemplars,DDGR,0.4351063829787233
All Exemplars,DDGR,0.4180851063829786
All Exemplars,DDGR,0.5819277108433735
All Exemplars,DDGR,0.6861702127659575
All Exemplars,DDGR,0.5590361445783133
All Exemplars,DDGR,0.6734939759036144
All Exemplars,DDGR,0.5590361445783133
All Exemplars,DDGR,0.6586956521739131
All Exemplars,DDGR,0.5032608695652174
All Exemplars,DDGR,0.5975903614457831
All Exemplars,DDGR,0.5010638297872341
All Exemplars,DDGR,0.6144578313253012
All Exemplars,DDGR,0.5743315508021392
All Exemplars,DDGR,0.6195652173913044
All Exemplars,DDGR,0.4826086956521739
All Exemplars,DDGR,0.6372340425531915
All Exemplars,DDGR,0.3610062893081761
All Exemplars,DDGR,0.6204819277108433
