Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.6848484848484848
All Exemplars,FeTrIL,0.6369565217391304
All Exemplars,FeTrIL,0.7929824561403509
All Exemplars,FeTrIL,0.6446043165467625
All Exemplars,FeTrIL,0.712230215827338
All Exemplars,FeTrIL,0.7760683760683761
All Exemplars,FeTrIL,0.576271186440678
All Exemplars,FeTrIL,0.6372881355932203
All Exemplars,FeTrIL,0.7791666666666667
All Exemplars,FeTrIL,0.7636363636363636
All Exemplars,FeTrIL,0.7708333333333334
All Exemplars,FeTrIL,0.6376068376068377
All Exemplars,FeTrIL,0.5204301075268817
All Exemplars,FeTrIL,0.7035087719298246
All Exemplars,FeTrIL,0.6848484848484848
All Exemplars,FeTrIL,0.7487179487179487
All Exemplars,FeTrIL,0.6674157303370787
All Exemplars,FeTrIL,0.5527272727272727
All Exemplars,FeTrIL,0.6247933884297521
All Exemplars,FeTrIL,0.6877192982456141
All Exemplars,FeTrIL,0.5139784946236559
All Exemplars,FeTrIL,0.6837606837606838
All Exemplars,FeTrIL,0.7
All Exemplars,FeTrIL,0.6923076923076923
All Exemplars,FeTrIL,0.4082644628099173
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,0.5309090909090909
All Exemplars,FeTrIL,0.7313131313131314
All Exemplars,FeTrIL,0.7235955056179775
All Exemplars,FeTrIL,0.7304347826086958
All Exemplars,DDGR,0.3353535353535353
All Exemplars,DDGR,0.1652173913043478
All Exemplars,DDGR,0.1280701754385964
All Exemplars,DDGR,0.135251798561151
All Exemplars,DDGR,0.1381294964028777
All Exemplars,DDGR,0.2273504273504273
All Exemplars,DDGR,0.4406779661016949
All Exemplars,DDGR,0.3576271186440677
All Exemplars,DDGR,0.4854166666666667
All Exemplars,DDGR,0.3454545454545454
All Exemplars,DDGR,0.40625
All Exemplars,DDGR,0.3367521367521367
All Exemplars,DDGR,0.2623655913978494
All Exemplars,DDGR,0.0578947368421052
All Exemplars,DDGR,0.2787878787878787
All Exemplars,DDGR,0.2683760683760683
All Exemplars,DDGR,0.251685393258427
All Exemplars,DDGR,0.1599999999999999
All Exemplars,DDGR,0.3768595041322314
All Exemplars,DDGR,0.0894736842105262
All Exemplars,DDGR,0.2795698924731182
All Exemplars,DDGR,0.3299145299145299
All Exemplars,DDGR,0.1456521739130434
All Exemplars,DDGR,0.3230769230769231
All Exemplars,DDGR,0.3619834710743801
All Exemplars,DDGR,0.732
All Exemplars,DDGR,0.1454545454545454
All Exemplars,DDGR,0.3272727272727272
All Exemplars,DDGR,0.251685393258427
All Exemplars,DDGR,0.1739130434782608
All Exemplars,VAE_Adapt,0.2181818181818181
All Exemplars,VAE_Adapt,0.5956521739130435
All Exemplars,VAE_Adapt,0.531578947368421
All Exemplars,VAE_Adapt,0.5266187050359712
All Exemplars,VAE_Adapt,0.441726618705036
All Exemplars,VAE_Adapt,0.5470085470085471
All Exemplars,VAE_Adapt,0.5288135593220339
All Exemplars,VAE_Adapt,0.4745762711864406
All Exemplars,VAE_Adapt,0.2354166666666666
All Exemplars,VAE_Adapt,0.216161616161616
All Exemplars,VAE_Adapt,0.2395833333333333
All Exemplars,VAE_Adapt,0.5538461538461539
All Exemplars,VAE_Adapt,0.3999999999999999
All Exemplars,VAE_Adapt,0.5701754385964912
All Exemplars,VAE_Adapt,0.2141414141414141
All Exemplars,VAE_Adapt,0.5487179487179488
All Exemplars,VAE_Adapt,0.6359550561797752
All Exemplars,VAE_Adapt,0.7018181818181819
All Exemplars,VAE_Adapt,0.4694214876033058
All Exemplars,VAE_Adapt,0.4964912280701754
All Exemplars,VAE_Adapt,0.4064516129032258
All Exemplars,VAE_Adapt,0.541880341880342
All Exemplars,VAE_Adapt,0.6586956521739131
All Exemplars,VAE_Adapt,0.5555555555555556
All Exemplars,VAE_Adapt,0.5603305785123968
All Exemplars,VAE_Adapt,0.3219999999999999
All Exemplars,VAE_Adapt,0.7254545454545455
All Exemplars,VAE_Adapt,0.2323232323232323
All Exemplars,VAE_Adapt,0.6359550561797753
All Exemplars,VAE_Adapt,0.5739130434782609
All Exemplars,VAE_BBox,0.305050505050505
All Exemplars,VAE_BBox,0.6652173913043478
All Exemplars,VAE_BBox,0.6438596491228071
All Exemplars,VAE_BBox,0.6388489208633094
All Exemplars,VAE_BBox,0.493525179856115
All Exemplars,VAE_BBox,0.5572649572649573
All Exemplars,VAE_BBox,0.6220338983050848
All Exemplars,VAE_BBox,0.716949152542373
All Exemplars,VAE_BBox,0.3291666666666667
All Exemplars,VAE_BBox,0.305050505050505
All Exemplars,VAE_BBox,0.3208333333333333
All Exemplars,VAE_BBox,0.5538461538461539
All Exemplars,VAE_BBox,0.5182795698924731
All Exemplars,VAE_BBox,0.5894736842105264
All Exemplars,VAE_BBox,0.2808080808080808
All Exemplars,VAE_BBox,0.5897435897435896
All Exemplars,VAE_BBox,0.7123595505617979
All Exemplars,VAE_BBox,0.6618181818181819
All Exemplars,VAE_BBox,0.6446280991735538
All Exemplars,VAE_BBox,0.5754385964912281
All Exemplars,VAE_BBox,0.5655913978494624
All Exemplars,VAE_BBox,0.5675213675213675
All Exemplars,VAE_BBox,0.673913043478261
All Exemplars,VAE_BBox,0.5675213675213675
All Exemplars,VAE_BBox,0.5768595041322315
All Exemplars,VAE_BBox,0.43
All Exemplars,VAE_BBox,0.6163636363636364
All Exemplars,VAE_BBox,0.3272727272727272
All Exemplars,VAE_BBox,0.7146067415730337
All Exemplars,VAE_BBox,0.6347826086956522
All Exemplars,VAE_Filter,0.2909090909090909
All Exemplars,VAE_Filter,0.6608695652173913
All Exemplars,VAE_Filter,0.656140350877193
All Exemplars,VAE_Filter,0.5597122302158273
All Exemplars,VAE_Filter,0.5496402877697841
All Exemplars,VAE_Filter,0.5606837606837607
All Exemplars,VAE_Filter,0.6474576271186442
All Exemplars,VAE_Filter,0.5796610169491526
All Exemplars,VAE_Filter,0.2833333333333333
All Exemplars,VAE_Filter,0.2707070707070707
All Exemplars,VAE_Filter,0.2916666666666666
All Exemplars,VAE_Filter,0.5709401709401709
All Exemplars,VAE_Filter,0.4623655913978495
All Exemplars,VAE_Filter,0.5157894736842106
All Exemplars,VAE_Filter,0.2868686868686868
All Exemplars,VAE_Filter,0.5863247863247864
All Exemplars,VAE_Filter,0.6876404494382025
All Exemplars,VAE_Filter,0.6963636363636364
All Exemplars,VAE_Filter,0.6661157024793389
All Exemplars,VAE_Filter,0.4947368421052632
All Exemplars,VAE_Filter,0.6
All Exemplars,VAE_Filter,0.5794871794871794
All Exemplars,VAE_Filter,0.6500000000000001
All Exemplars,VAE_Filter,0.5675213675213675
All Exemplars,VAE_Filter,0.5305785123966942
All Exemplars,VAE_Filter,0.456
All Exemplars,VAE_Filter,0.6527272727272727
All Exemplars,VAE_Filter,0.3515151515151514
All Exemplars,VAE_Filter,0.6966292134831461
All Exemplars,VAE_Filter,0.6739130434782609
All Exemplars,VAE_GMM,0.2585858585858586
All Exemplars,VAE_GMM,0.6652173913043479
All Exemplars,VAE_GMM,0.5701754385964912
All Exemplars,VAE_GMM,0.6532374100719425
All Exemplars,VAE_GMM,0.6892086330935252
All Exemplars,VAE_GMM,0.5846153846153846
All Exemplars,VAE_GMM,0.771186440677966
All Exemplars,VAE_GMM,0.6644067796610169
All Exemplars,VAE_GMM,0.5020833333333333
All Exemplars,VAE_GMM,0.4969696969696969
All Exemplars,VAE_GMM,0.66875
All Exemplars,VAE_GMM,0.5914529914529915
All Exemplars,VAE_GMM,0.4924731182795699
All Exemplars,VAE_GMM,0.6508771929824562
All Exemplars,VAE_GMM,0.5616161616161616
All Exemplars,VAE_GMM,0.6803418803418804
All Exemplars,VAE_GMM,0.5370786516853933
All Exemplars,VAE_GMM,0.66
All Exemplars,VAE_GMM,0.5735537190082646
All Exemplars,VAE_GMM,0.656140350877193
All Exemplars,VAE_GMM,0.4559139784946236
All Exemplars,VAE_GMM,0.6769230769230768
All Exemplars,VAE_GMM,0.6565217391304348
All Exemplars,VAE_GMM,0.8256410256410257
All Exemplars,VAE_GMM,0.7553719008264463
All Exemplars,VAE_GMM,0.532
All Exemplars,VAE_GMM,0.7745454545454545
All Exemplars,VAE_GMM,0.4262626262626263
All Exemplars,VAE_GMM,0.6966292134831462
