Exemplar_Size,Task 1,Task 2,Method
All Exemplars,0.9595959595959597,0.5695238095238094,FeTrIL
All Exemplars,0.9956521739130434,0.5409523809523809,FeTrIL
All Exemplars,0.8982456140350876,0.5247619047619048,FeTrIL
All Exemplars,0.9151079136690647,0.5228571428571429,FeTrIL
All Exemplars,0.9482014388489208,0.5752380952380952,FeTrIL
All Exemplars,0.9914529914529915,0.6038095238095239,FeTrIL
All Exemplars,0.9779661016949153,0.5771428571428572,FeTrIL
All Exemplars,0.9881355932203391,0.6085714285714285,FeTrIL
All Exemplars,0.98125,0.5799999999999998,FeTrIL
All Exemplars,0.9555555555555555,0.4904761904761905,FeTrIL
All Exemplars,0.9770833333333334,0.5038095238095238,FeTrIL
All Exemplars,0.9880341880341881,0.5695238095238094,FeTrIL
All Exemplars,0.9634408602150538,0.48,FeTrIL
All Exemplars,0.9140350877192983,0.5485714285714286,FeTrIL
All Exemplars,0.9777777777777776,0.5190476190476191,FeTrIL
All Exemplars,0.9948717948717949,0.6133333333333334,FeTrIL
All Exemplars,0.9865168539325844,0.559047619047619,FeTrIL
All Exemplars,0.6527272727272727,0.46952380952380945,FeTrIL
All Exemplars,0.9735537190082646,0.580952380952381,FeTrIL
All Exemplars,0.9385964912280702,0.48952380952380947,FeTrIL
All Exemplars,0.9763440860215054,0.5371428571428571,FeTrIL
All Exemplars,0.9914529914529915,0.6352380952380953,FeTrIL
All Exemplars,0.9956521739130434,0.6057142857142856,FeTrIL
All Exemplars,0.9931623931623932,0.5895238095238095,FeTrIL
All Exemplars,0.9669421487603307,0.4647619047619047,FeTrIL
All Exemplars,0.9640000000000001,0.6104761904761904,FeTrIL
All Exemplars,0.7127272727272728,0.439047619047619,FeTrIL
All Exemplars,0.9757575757575758,0.5304761904761904,FeTrIL
All Exemplars,0.9887640449438202,0.5704761904761904,FeTrIL
All Exemplars,0.9869565217391305,0.5066666666666666,FeTrIL
All Exemplars,0.9717171717171716,0.539047619047619,DDGR
All Exemplars,0.9913043478260869,0.6219047619047618,DDGR
All Exemplars,0.9473684210526315,0.5152380952380952,DDGR
All Exemplars,0.9136690647482013,0.41999999999999993,DDGR
All Exemplars,0.9366906474820145,0.42190476190476184,DDGR
All Exemplars,0.9880341880341881,0.5628571428571428,DDGR
All Exemplars,0.9830508474576272,0.6828571428571428,DDGR
All Exemplars,0.9864406779661017,0.6361904761904762,DDGR
All Exemplars,0.9729166666666668,0.6476190476190476,DDGR
All Exemplars,0.9777777777777776,0.5419047619047619,DDGR
All Exemplars,0.9770833333333332,0.5838095238095239,DDGR
All Exemplars,0.9829059829059827,0.6238095238095237,DDGR
All Exemplars,0.956989247311828,0.6676190476190476,DDGR
All Exemplars,0.9228070175438596,0.47523809523809524,DDGR
All Exemplars,0.9676767676767677,0.5114285714285713,DDGR
All Exemplars,0.9982905982905983,0.579047619047619,DDGR
All Exemplars,0.9910112359550561,0.6657142857142857,DDGR
All Exemplars,0.7090909090909091,0.5352380952380952,DDGR
All Exemplars,0.9702479338842975,0.6371428571428571,DDGR
All Exemplars,0.9315789473684211,0.49428571428571433,DDGR
All Exemplars,0.9806451612903226,0.6733333333333335,DDGR
All Exemplars,0.9931623931623932,0.621904761904762,DDGR
All Exemplars,0.9934782608695653,0.6152380952380951,DDGR
All Exemplars,0.9897435897435898,0.6180952380952381,DDGR
All Exemplars,0.9685950413223139,0.6285714285714287,DDGR
All Exemplars,0.946,0.7047619047619048,DDGR
All Exemplars,0.7327272727272728,0.540952380952381,DDGR
All Exemplars,0.9737373737373737,0.49714285714285716,DDGR
All Exemplars,0.9910112359550561,0.661904761904762,DDGR
All Exemplars,0.9913043478260869,0.6257142857142857,DDGR
All Exemplars,0.9575757575757574,0.540952380952381,VAE_Adapt
All Exemplars,0.9913043478260869,0.8085714285714285,VAE_Adapt
All Exemplars,0.9350877192982455,0.7333333333333333,VAE_Adapt
All Exemplars,0.9280575539568346,0.680952380952381,VAE_Adapt
All Exemplars,0.9366906474820145,0.618095238095238,VAE_Adapt
All Exemplars,0.9863247863247864,0.7428571428571429,VAE_Adapt
All Exemplars,0.9779661016949153,0.7314285714285714,VAE_Adapt
All Exemplars,0.9830508474576272,0.700952380952381,VAE_Adapt
All Exemplars,0.9791666666666666,0.5542857142857143,VAE_Adapt
All Exemplars,0.9717171717171716,0.5561904761904761,VAE_Adapt
All Exemplars,0.9729166666666667,0.5771428571428572,VAE_Adapt
All Exemplars,0.9897435897435898,0.7476190476190476,VAE_Adapt
All Exemplars,0.967741935483871,0.7257142857142858,VAE_Adapt
All Exemplars,0.9263157894736841,0.7533333333333333,VAE_Adapt
All Exemplars,0.9676767676767677,0.5314285714285714,VAE_Adapt
All Exemplars,0.9948717948717949,0.740952380952381,VAE_Adapt
All Exemplars,0.9887640449438202,0.8257142857142856,VAE_Adapt
All Exemplars,0.8109090909090909,0.8247619047619048,VAE_Adapt
All Exemplars,0.9685950413223141,0.6838095238095238,VAE_Adapt
All Exemplars,0.9245614035087719,0.7123809523809523,VAE_Adapt
All Exemplars,0.9548387096774194,0.7323809523809525,VAE_Adapt
All Exemplars,0.9931623931623932,0.7333333333333334,VAE_Adapt
All Exemplars,0.9956521739130434,0.8352380952380951,VAE_Adapt
All Exemplars,0.9880341880341881,0.7485714285714286,VAE_Adapt
All Exemplars,0.9685950413223141,0.740952380952381,VAE_Adapt
All Exemplars,0.9460000000000001,0.5885714285714286,VAE_Adapt
All Exemplars,0.7854545454545454,0.8400000000000001,VAE_Adapt
All Exemplars,0.9575757575757577,0.579047619047619,VAE_Adapt
All Exemplars,0.9887640449438202,0.8285714285714285,VAE_Adapt
All Exemplars,0.9913043478260869,0.8028571428571428,VAE_Adapt
All Exemplars,0.9737373737373737,0.5752380952380952,VAE_BBox
All Exemplars,0.9891304347826086,0.8333333333333333,VAE_BBox
All Exemplars,0.9280701754385964,0.7933333333333333,VAE_BBox
All Exemplars,0.893525179856115,0.7523809523809524,VAE_BBox
All Exemplars,0.9223021582733812,0.6580952380952381,VAE_BBox
All Exemplars,0.9897435897435898,0.7495238095238095,VAE_BBox
