Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.4533333333333333
All Exemplars,FeTrIL,0.4989473684210526
All Exemplars,FeTrIL,0.244776119402985
All Exemplars,FeTrIL,0.3333333333333333
All Exemplars,FeTrIL,0.3045454545454544
All Exemplars,FeTrIL,0.5151515151515151
All Exemplars,FeTrIL,0.209090909090909
All Exemplars,FeTrIL,0.5538461538461539
All Exemplars,FeTrIL,0.3818181818181818
All Exemplars,FeTrIL,0.3899999999999999
All Exemplars,FeTrIL,0.4523076923076923
All Exemplars,FeTrIL,0.1627906976744185
All Exemplars,FeTrIL,0.4821052631578948
All Exemplars,FeTrIL,0.2051282051282051
All Exemplars,FeTrIL,0.609090909090909
All Exemplars,FeTrIL,0.5566666666666666
All Exemplars,FeTrIL,0.2527777777777777
All Exemplars,FeTrIL,0.236111111111111
All Exemplars,FeTrIL,0.3701492537313432
All Exemplars,FeTrIL,0.1735294117647058
All Exemplars,FeTrIL,0.7940298507462686
All Exemplars,FeTrIL,0.2930232558139535
All Exemplars,FeTrIL,0.2179775280898876
All Exemplars,FeTrIL,0.6696969696969697
All Exemplars,FeTrIL,0.4955223880597015
All Exemplars,FeTrIL,0.3147540983606557
All Exemplars,FeTrIL,0.262686567164179
All Exemplars,FeTrIL,0.5333333333333332
All Exemplars,FeTrIL,0.2111111111111111
All Exemplars,FeTrIL,0.3894736842105263
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9850746268656716
All Exemplars,DDGR,0.9948717948717948
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9954545454545456
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.7886363636363637
All Exemplars,DDGR,0.9966666666666668
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.975
All Exemplars,DDGR,0.9805555555555556
All Exemplars,DDGR,0.9970149253731344
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9953488372093025
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9791044776119404
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9805555555555556
All Exemplars,DDGR,1.0
All Exemplars,VAE_Adapt,0.9966666666666668
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9940298507462686
All Exemplars,VAE_Adapt,0.9948717948717948
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9969696969696968
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9846153846153848
All Exemplars,VAE_Adapt,0.9727272727272728
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9723076923076924
All Exemplars,VAE_Adapt,0.972093023255814
All Exemplars,VAE_Adapt,0.9978947368421054
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9933333333333334
All Exemplars,VAE_Adapt,0.9694444444444444
All Exemplars,VAE_Adapt,0.9833333333333334
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9941176470588236
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9906976744186048
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9970149253731344
All Exemplars,VAE_Adapt,0.9868852459016392
All Exemplars,VAE_Adapt,0.9880597014925372
All Exemplars,VAE_Adapt,0.993939393939394
All Exemplars,VAE_Adapt,0.972222222222222
All Exemplars,VAE_Adapt,0.9978947368421054
All Exemplars,VAE_BBox,0.9966666666666668
All Exemplars,VAE_BBox,0.991578947368421
All Exemplars,VAE_BBox,0.9910447761194028
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9954545454545456
All Exemplars,VAE_BBox,0.9907692307692308
All Exemplars,VAE_BBox,0.9613636363636364
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9938461538461538
All Exemplars,VAE_BBox,0.9906976744186048
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9969696969696968
All Exemplars,VAE_BBox,0.9966666666666668
All Exemplars,VAE_BBox,0.9583333333333334
All Exemplars,VAE_BBox,0.9916666666666668
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9941176470588236
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9906976744186048
All Exemplars,VAE_BBox,0.995505617977528
All Exemplars,VAE_BBox,0.993939393939394
All Exemplars,VAE_BBox,0.991044776119403
All Exemplars,VAE_BBox,0.99672131147541
All Exemplars,VAE_BBox,0.9940298507462686
All Exemplars,VAE_BBox,0.9969696969696968
All Exemplars,VAE_BBox,0.9833333333333334
All Exemplars,VAE_BBox,0.991578947368421
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9936842105263158
All Exemplars,VAE_Filter,0.991044776119403
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9969696969696968
All Exemplars,VAE_Filter,0.9954545454545456
All Exemplars,VAE_Filter,0.9969230769230768
All Exemplars,VAE_Filter,0.965909090909091
All Exemplars,VAE_Filter,0.9966666666666668
All Exemplars,VAE_Filter,0.9815384615384616
All Exemplars,VAE_Filter,0.9860465116279068
All Exemplars,VAE_Filter,0.9957894736842106
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9969696969696968
All Exemplars,VAE_Filter,0.9966666666666668
All Exemplars,VAE_Filter,0.9694444444444444
All Exemplars,VAE_Filter,0.986111111111111
All Exemplars,VAE_Filter,0.9970149253731344
All Exemplars,VAE_Filter,0.9970588235294118
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9906976744186048
All Exemplars,VAE_Filter,0.9820224719101124
All Exemplars,VAE_Filter,0.9969696969696968
All Exemplars,VAE_Filter,0.9970149253731344
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9880597014925372
All Exemplars,VAE_Filter,0.990909090909091
All Exemplars,VAE_Filter,0.986111111111111
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9969696969696968
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9907692307692308
All Exemplars,VAE_GMM,0.9500000000000002
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9969230769230768
All Exemplars,VAE_GMM,0.9953488372093025
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.975
All Exemplars,VAE_GMM,0.9638888888888888
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9970588235294118
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9953488372093025
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9694444444444448
All Exemplars,VAE_GMM,1.0
