Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.8816901408450704,0.709090909090909,0.331404958677686,0.18745874587458744,0.10967741935483866,FeTrIL
All Exemplars,0.8474226804123711,0.5086705202312138,0.34879999999999994,0.23908794788273613,0.10215053763440858,FeTrIL
All Exemplars,0.9295774647887324,0.7257142857142858,0.4140703517587939,0.24357142857142855,0.14462365591397847,FeTrIL
All Exemplars,0.9343283582089551,0.5517730496453901,0.32448132780082983,0.22876254180602004,0.10376344086021505,FeTrIL
All Exemplars,0.9671232876712329,0.6850299401197605,0.3056910569105691,0.1592476489028213,0.08817204301075263,FeTrIL
All Exemplars,0.9758241758241759,0.7634146341463415,0.52579185520362,0.3903780068728522,0.1080645161290322,FeTrIL
All Exemplars,0.9681159420289855,0.6566929133858268,0.41400000000000003,0.1985347985347985,0.1586021505376344,FeTrIL
All Exemplars,0.9353846153846155,0.6257142857142857,0.3634042553191489,0.30067567567567566,0.14838709677419348,FeTrIL
All Exemplars,0.9621621621621621,0.5764705882352941,0.32999999999999996,0.14276094276094273,0.09946236559139783,FeTrIL
All Exemplars,0.9264705882352942,0.7338582677165355,0.3153153153153153,0.23745819397993304,0.1102150537634408,FeTrIL
All Exemplars,0.904225352112676,0.6,0.39909090909090905,0.22589928057553954,0.14677419354838708,FeTrIL
All Exemplars,0.8333333333333334,0.5578947368421053,0.33099999999999996,0.16884057971014488,0.1586021505376344,FeTrIL
All Exemplars,0.9323076923076922,0.6699186991869919,0.34470046082949307,0.1613559322033898,0.10752688172043005,FeTrIL
All Exemplars,0.9888888888888889,0.6563758389261745,0.4770731707317073,0.3306397306397306,0.10967741935483868,FeTrIL
All Exemplars,1.0,0.8511904761904763,0.5941908713692946,0.28187919463087246,0.10591397849462361,FeTrIL
All Exemplars,0.9746835443037976,0.7741935483870968,0.5286384976525821,0.25146579804560254,0.08817204301075264,FeTrIL
All Exemplars,0.9721518987341773,0.764963503649635,0.504390243902439,0.2676156583629893,0.1586021505376344,FeTrIL
All Exemplars,0.9288135593220339,0.6839694656488551,0.4206896551724138,0.22983050847457628,0.1102150537634408,FeTrIL
All Exemplars,0.9625,0.7921052631578948,0.5292035398230088,0.28561872909698993,0.10376344086021502,FeTrIL
All Exemplars,0.9333333333333332,0.8191082802547772,0.4213333333333333,0.1443708609271523,0.09892473118279568,FeTrIL
All Exemplars,0.9298245614035088,0.5229508196721311,0.4131979695431472,0.21414141414141413,0.10483870967741934,FeTrIL
All Exemplars,0.8864864864864865,0.6207407407407408,0.32692307692307687,0.16928571428571426,0.14838709677419354,FeTrIL
All Exemplars,0.8945945945945946,0.48275862068965514,0.3489361702127659,0.15999999999999995,0.10430107526881716,FeTrIL
All Exemplars,0.9384615384615385,0.5308641975308642,0.37706422018348623,0.25979381443298966,0.10913978494623652,FeTrIL
All Exemplars,0.946808510638298,0.7648648648648647,0.4886877828054298,0.31224489795918364,0.1064516129032258,FeTrIL
All Exemplars,0.9558823529411764,0.6737588652482269,0.4185185185185184,0.16148648648648642,0.10376344086021501,FeTrIL
All Exemplars,0.9235294117647059,0.7135135135135136,0.3699115044247787,0.2167224080267558,0.1102150537634408,FeTrIL
All Exemplars,0.9315068493150684,0.6321428571428571,0.4099585062240664,0.1986622073578595,0.10698924731182793,FeTrIL
All Exemplars,0.8371134020618557,0.5205298013245033,0.40175438596491225,0.23881578947368415,0.13709677419354835,FeTrIL
All Exemplars,0.9594594594594594,0.6473282442748091,0.40291262135922323,0.274,0.1075268817204301,FeTrIL
All Exemplars,0.8704225352112676,0.6351515151515151,0.38512396694214873,0.2924092409240924,0.31129032258064515,DDGR
All Exemplars,0.8309278350515463,0.6173410404624278,0.45840000000000003,0.3250814332247557,0.2279569892473118,DDGR
All Exemplars,0.9267605633802816,0.6757142857142856,0.4522613065326633,0.4057142857142857,0.3231182795698924,DDGR
All Exemplars,0.9194029850746268,0.6439716312056737,0.5087136929460581,0.2929765886287626,0.393010752688172,DDGR
All Exemplars,0.9671232876712328,0.7796407185628743,0.3934959349593496,0.34733542319749217,0.30107526881720426,DDGR
All Exemplars,0.9824175824175825,0.6097560975609756,0.3728506787330317,0.3195876288659794,0.4032258064516129,DDGR
All Exemplars,0.9623188405797102,0.5039370078740157,0.561,0.34505494505494505,0.32096774193548383,DDGR
All Exemplars,0.9507692307692309,0.7357142857142858,0.48425531914893616,0.3716216216216216,0.28817204301075267,DDGR
All Exemplars,0.9621621621621623,0.7635294117647058,0.4574999999999999,0.3023569023569024,0.2672043010752688,DDGR
All Exemplars,0.9264705882352942,0.6141732283464567,0.4594594594594595,0.33311036789297654,0.3043010752688172,DDGR
All Exemplars,0.8591549295774646,0.6430555555555555,0.5072727272727272,0.32230215827338127,0.32473118279569885,DDGR
All Exemplars,0.8185185185185185,0.718796992481203,0.492,0.4108695652173913,0.4241935483870968,DDGR
All Exemplars,0.9415384615384615,0.6601626016260163,0.471889400921659,0.32677966101694916,0.26881720430107525,DDGR
All Exemplars,0.9972222222222221,0.7436241610738253,0.5160975609756098,0.3939393939393939,0.3129032258064516,DDGR
All Exemplars,0.997979797979798,0.6047619047619047,0.41493775933609955,0.25771812080536904,0.27956989247311825,DDGR
All Exemplars,0.9721518987341773,0.6335483870967742,0.4488262910798122,0.36872964169381106,0.2833333333333333,DDGR
All Exemplars,0.9721518987341773,0.5883211678832116,0.44487804878048776,0.3537366548042704,0.31559139784946233,DDGR
All Exemplars,0.9254237288135594,0.6778625954198474,0.4098522167487685,0.4,0.2806451612903226,DDGR
All Exemplars,0.9575000000000001,0.5618421052631579,0.45044247787610614,0.33578595317725746,0.27849462365591393,DDGR
All Exemplars,0.9298245614035088,0.6993630573248407,0.31911111111111107,0.3688741721854304,0.2779569892473118,DDGR
All Exemplars,0.9298245614035088,0.580327868852459,0.48324873096446697,0.38585858585858585,0.2956989247311828,DDGR
All Exemplars,0.9135135135135135,0.7244444444444446,0.48173076923076924,0.3528571428571428,0.3193548387096774,DDGR
All Exemplars,0.8810810810810811,0.6229885057471265,0.39234042553191484,0.3324590163934426,0.30107526881720437,DDGR
All Exemplars,0.96,0.6740740740740739,0.4128440366972477,0.4185567010309278,0.34784946236559133,DDGR
All Exemplars,0.946808510638298,0.44459459459459455,0.41357466063348414,0.39319727891156453,0.26827956989247304,DDGR
All Exemplars,0.9441176470588234,0.7120567375886525,0.5712962962962963,0.37972972972972974,0.3473118279569892,DDGR
All Exemplars,0.9264705882352942,0.654054054054054,0.43982300884955744,0.37993311036789296,0.32634408602150533,DDGR
All Exemplars,0.9315068493150684,0.6273809523809524,0.41493775933609955,0.34916387959866213,0.36182795698924736,DDGR
All Exemplars,0.8309278350515463,0.41986754966887413,0.4745614035087719,0.37960526315789467,0.3306451612903226,DDGR
All Exemplars,0.9567567567567569,0.6931297709923664,0.4475728155339806,0.36866666666666664,0.3521505376344086,DDGR
All Exemplars,0.8535211267605632,0.8921212121212122,0.6181818181818183,0.3603960396039604,0.3059139784946236,VAE_Adapt
All Exemplars,0.8350515463917525,0.707514450867052,0.5064,0.45667752442996734,0.32795698924731176,VAE_Adapt
All Exemplars,0.9211267605633802,0.8242857142857142,0.542713567839196,0.4828571428571428,0.3672043010752688,VAE_Adapt
All Exemplars,0.9253731343283583,0.7177304964539006,0.6448132780082988,0.3926421404682274,0.33763440860215055,VAE_Adapt
All Exemplars,0.9643835616438355,0.8035928143712574,0.6439024390243901,0.4282131661442007,0.3849462365591398,VAE_Adapt
All Exemplars,0.9692307692307691,0.8256097560975609,0.5502262443438914,0.3436426116838488,0.4354838709677419,VAE_Adapt
All Exemplars,0.9565217391304348,0.88503937007874,0.655,0.4366300366300366,0.3752688172043011,VAE_Adapt
All Exemplars,0.9538461538461538,0.7957142857142856,0.7182978723404255,0.42027027027027025,0.4317204301075269,VAE_Adapt
All Exemplars,0.9540540540540542,0.7752941176470587,0.6041666666666666,0.44915824915824915,0.4091397849462366,VAE_Adapt
All Exemplars,0.9264705882352942,0.7417322834645669,0.7108108108108109,0.5384615384615384,0.4134408602150537,VAE_Adapt
All Exemplars,0.8704225352112676,0.8875,0.6690909090909092,0.41798561151079133,0.4854838709677419,VAE_Adapt
All Exemplars,0.8666666666666668,0.7323308270676693,0.631,0.4340579710144928,0.4553763440860215,VAE_Adapt
All Exemplars,0.963076923076923,0.7788617886178862,0.7253456221198158,0.471864406779661,0.3951612903225806,VAE_Adapt
All Exemplars,0.9972222222222221,0.8161073825503357,0.5609756097560976,0.5239057239057239,0.367741935483871,VAE_Adapt
All Exemplars,0.997979797979798,0.7761904761904762,0.5560165975103734,0.39731543624161075,0.37956989247311823,VAE_Adapt
All Exemplars,0.969620253164557,0.7664516129032257,0.6882629107981221,0.49837133550488594,0.3758064516129032,VAE_Adapt
All Exemplars,0.9721518987341773,0.7591240875912408,0.6497560975609756,0.501067615658363,0.4236559139784946,VAE_Adapt
