Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.3112195121951219
All Exemplars,FeTrIL,0.3673267326732673
All Exemplars,FeTrIL,0.7404494382022472
All Exemplars,FeTrIL,0.4273170731707317
All Exemplars,FeTrIL,0.6779342723004695
All Exemplars,FeTrIL,0.5677419354838709
All Exemplars,FeTrIL,0.5066666666666666
All Exemplars,FeTrIL,0.5800000000000001
All Exemplars,FeTrIL,0.5306930693069307
All Exemplars,FeTrIL,0.6215909090909092
All Exemplars,FeTrIL,0.3462686567164179
All Exemplars,FeTrIL,0.5793103448275863
All Exemplars,FeTrIL,0.6816091954022988
All Exemplars,FeTrIL,0.6201923076923077
All Exemplars,FeTrIL,0.7190697674418605
All Exemplars,FeTrIL,0.6094736842105263
All Exemplars,FeTrIL,0.7514450867052023
All Exemplars,FeTrIL,0.3913043478260868
All Exemplars,FeTrIL,0.4778378378378377
All Exemplars,FeTrIL,0.5743589743589743
All Exemplars,FeTrIL,0.6337078651685393
All Exemplars,FeTrIL,0.5531914893617021
All Exemplars,FeTrIL,0.5662100456621004
All Exemplars,FeTrIL,0.6338308457711442
All Exemplars,FeTrIL,0.5005291005291005
All Exemplars,FeTrIL,0.6117073170731707
All Exemplars,FeTrIL,0.5774193548387097
All Exemplars,FeTrIL,0.6458536585365853
All Exemplars,FeTrIL,0.4141414141414141
All Exemplars,FeTrIL,0.6233333333333333
All Exemplars,DDGR,0.6878048780487805
All Exemplars,DDGR,0.6415841584158416
All Exemplars,DDGR,0.6584269662921349
All Exemplars,DDGR,0.7092682926829268
All Exemplars,DDGR,0.628169014084507
All Exemplars,DDGR,0.689247311827957
All Exemplars,DDGR,0.5922222222222222
All Exemplars,DDGR,0.7557894736842105
All Exemplars,DDGR,0.6603960396039603
All Exemplars,DDGR,0.7011363636363636
All Exemplars,DDGR,0.6945273631840796
All Exemplars,DDGR,0.7413793103448276
All Exemplars,DDGR,0.6701149425287356
All Exemplars,DDGR,0.716346153846154
All Exemplars,DDGR,0.6781395348837209
All Exemplars,DDGR,0.6578947368421053
All Exemplars,DDGR,0.6439306358381504
All Exemplars,DDGR,0.7869565217391304
All Exemplars,DDGR,0.6951351351351353
All Exemplars,DDGR,0.598974358974359
All Exemplars,DDGR,0.651685393258427
All Exemplars,DDGR,0.6787234042553191
All Exemplars,DDGR,0.6821917808219178
All Exemplars,DDGR,0.6517412935323382
All Exemplars,DDGR,0.656084656084656
All Exemplars,DDGR,0.7112195121951219
All Exemplars,DDGR,0.6602150537634409
All Exemplars,DDGR,0.6907317073170731
All Exemplars,DDGR,0.6040404040404039
All Exemplars,DDGR,0.7777777777777778
All Exemplars,VAE_Adapt,0.9121951219512194
All Exemplars,VAE_Adapt,0.8574257425742575
All Exemplars,VAE_Adapt,0.9359550561797754
All Exemplars,VAE_Adapt,0.8146341463414635
All Exemplars,VAE_Adapt,0.8046948356807512
All Exemplars,VAE_Adapt,0.8924731182795698
All Exemplars,VAE_Adapt,0.9466666666666664
All Exemplars,VAE_Adapt,0.8747368421052633
All Exemplars,VAE_Adapt,0.7970297029702971
All Exemplars,VAE_Adapt,0.8704545454545454
All Exemplars,VAE_Adapt,0.9124378109452737
All Exemplars,VAE_Adapt,0.7965517241379311
All Exemplars,VAE_Adapt,0.8206896551724139
All Exemplars,VAE_Adapt,0.8
All Exemplars,VAE_Adapt,0.7990697674418604
All Exemplars,VAE_Adapt,0.8768421052631579
All Exemplars,VAE_Adapt,0.8601156069364162
All Exemplars,VAE_Adapt,0.9
All Exemplars,VAE_Adapt,0.785945945945946
All Exemplars,VAE_Adapt,0.8533333333333333
All Exemplars,VAE_Adapt,0.8943820224719101
All Exemplars,VAE_Adapt,0.9340425531914894
All Exemplars,VAE_Adapt,0.935159817351598
All Exemplars,VAE_Adapt,0.7472636815920398
All Exemplars,VAE_Adapt,0.888888888888889
All Exemplars,VAE_Adapt,0.9326829268292685
All Exemplars,VAE_Adapt,0.835483870967742
All Exemplars,VAE_Adapt,0.9268292682926828
All Exemplars,VAE_Adapt,0.8434343434343434
All Exemplars,VAE_Adapt,0.8411111111111111
All Exemplars,VAE_BBox,0.8556097560975611
All Exemplars,VAE_BBox,0.7871287128712872
All Exemplars,VAE_BBox,0.9730337078651686
All Exemplars,VAE_BBox,0.8946341463414633
All Exemplars,VAE_BBox,0.844131455399061
All Exemplars,VAE_BBox,0.9537634408602153
All Exemplars,VAE_BBox,0.8677777777777778
All Exemplars,VAE_BBox,0.8842105263157893
All Exemplars,VAE_BBox,0.8356435643564357
All Exemplars,VAE_BBox,0.9522727272727274
All Exemplars,VAE_BBox,0.8606965174129353
All Exemplars,VAE_BBox,0.9
All Exemplars,VAE_BBox,0.8827586206896552
All Exemplars,VAE_BBox,0.8682692307692307
All Exemplars,VAE_BBox,0.8400000000000001
All Exemplars,VAE_BBox,0.8852631578947369
All Exemplars,VAE_BBox,0.8670520231213873
All Exemplars,VAE_BBox,0.959782608695652
All Exemplars,VAE_BBox,0.8983783783783785
All Exemplars,VAE_BBox,0.8574358974358974
All Exemplars,VAE_BBox,0.944943820224719
All Exemplars,VAE_BBox,0.8148936170212766
All Exemplars,VAE_BBox,0.8200913242009132
All Exemplars,VAE_BBox,0.8069651741293533
All Exemplars,VAE_BBox,0.9682539682539684
All Exemplars,VAE_BBox,0.9658536585365852
All Exemplars,VAE_BBox,0.9010752688172042
All Exemplars,VAE_BBox,0.9541463414634146
All Exemplars,VAE_BBox,0.7797979797979798
All Exemplars,VAE_BBox,0.8533333333333333
All Exemplars,VAE_Filter,0.8663414634146342
All Exemplars,VAE_Filter,0.7930693069306931
All Exemplars,VAE_Filter,0.9820224719101124
All Exemplars,VAE_Filter,0.897560975609756
All Exemplars,VAE_Filter,0.8525821596244132
All Exemplars,VAE_Filter,0.9376344086021506
All Exemplars,VAE_Filter,0.8744444444444444
All Exemplars,VAE_Filter,0.8810526315789474
All Exemplars,VAE_Filter,0.8475247524752476
All Exemplars,VAE_Filter,0.9590909090909092
All Exemplars,VAE_Filter,0.87363184079602
All Exemplars,VAE_Filter,0.8885057471264368
All Exemplars,VAE_Filter,0.8620689655172414
All Exemplars,VAE_Filter,0.8865384615384615
All Exemplars,VAE_Filter,0.813953488372093
All Exemplars,VAE_Filter,0.9273684210526316
All Exemplars,VAE_Filter,0.9653179190751444
All Exemplars,VAE_Filter,0.9652173913043478
All Exemplars,VAE_Filter,0.8735135135135137
All Exemplars,VAE_Filter,0.8717948717948719
All Exemplars,VAE_Filter,0.949438202247191
All Exemplars,VAE_Filter,0.8021276595744681
All Exemplars,VAE_Filter,0.8155251141552512
All Exemplars,VAE_Filter,0.817910447761194
All Exemplars,VAE_Filter,0.9597883597883596
All Exemplars,VAE_Filter,0.9619512195121952
All Exemplars,VAE_Filter,0.8978494623655914
All Exemplars,VAE_Filter,0.9482926829268292
All Exemplars,VAE_Filter,0.7666666666666666
All Exemplars,VAE_Filter,0.9011111111111112
All Exemplars,VAE_GMM,0.8956097560975611
All Exemplars,VAE_GMM,0.8574257425742575
All Exemplars,VAE_GMM,0.9696629213483146
All Exemplars,VAE_GMM,0.8780487804878048
All Exemplars,VAE_GMM,0.876056338028169
All Exemplars,VAE_GMM,0.9258064516129032
All Exemplars,VAE_GMM,0.94
All Exemplars,VAE_GMM,0.8557894736842104
All Exemplars,VAE_GMM,0.8623762376237624
All Exemplars,VAE_GMM,0.9352272727272728
All Exemplars,VAE_GMM,0.9014925373134328
All Exemplars,VAE_GMM,0.9080459770114944
All Exemplars,VAE_GMM,0.9114942528735632
All Exemplars,VAE_GMM,0.975
All Exemplars,VAE_GMM,0.9293023255813952
All Exemplars,VAE_GMM,0.9705263157894738
All Exemplars,VAE_GMM,0.9514450867052024
All Exemplars,VAE_GMM,0.9532608695652174
All Exemplars,VAE_GMM,0.8594594594594595
All Exemplars,VAE_GMM,0.8594871794871797
All Exemplars,VAE_GMM,0.9460674157303371
All Exemplars,VAE_GMM,0.925531914893617
All Exemplars,VAE_GMM,0.917808219178082
All Exemplars,VAE_GMM,0.8328358208955224
All Exemplars,VAE_GMM,0.9407407407407408
All Exemplars,VAE_GMM,0.9619512195121952
All Exemplars,VAE_GMM,0.8731182795698924
All Exemplars,VAE_GMM,0.9473170731707315
All Exemplars,VAE_GMM,0.8383838383838382
All Exemplars,VAE_GMM,0.9511111111111112
