Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.5252631578947369
All Exemplars,FeTrIL,0.6363636363636364
All Exemplars,FeTrIL,0.6759493670886075
All Exemplars,FeTrIL,0.4895833333333333
All Exemplars,FeTrIL,0.6827586206896552
All Exemplars,FeTrIL,0.6731428571428572
All Exemplars,FeTrIL,0.6411428571428571
All Exemplars,FeTrIL,0.5894736842105263
All Exemplars,FeTrIL,0.4990476190476191
All Exemplars,FeTrIL,0.5126582278481012
All Exemplars,FeTrIL,0.4625592417061611
All Exemplars,FeTrIL,0.6646706586826348
All Exemplars,FeTrIL,0.64375
All Exemplars,FeTrIL,0.5346938775510204
All Exemplars,FeTrIL,0.7113300492610838
All Exemplars,FeTrIL,0.7031914893617021
All Exemplars,FeTrIL,0.7438202247191011
All Exemplars,FeTrIL,0.6670520231213872
All Exemplars,FeTrIL,0.7732558139534883
All Exemplars,FeTrIL,0.4973544973544973
All Exemplars,FeTrIL,0.5447058823529412
All Exemplars,FeTrIL,0.5595628415300545
All Exemplars,FeTrIL,0.5245454545454545
All Exemplars,FeTrIL,0.6659793814432989
All Exemplars,FeTrIL,0.5528735632183908
All Exemplars,FeTrIL,0.598
All Exemplars,FeTrIL,0.6034682080924856
All Exemplars,FeTrIL,0.5572916666666667
All Exemplars,FeTrIL,0.5224489795918367
All Exemplars,FeTrIL,0.6971428571428572
All Exemplars,DDGR,0.6726315789473685
All Exemplars,DDGR,0.6434343434343435
All Exemplars,DDGR,0.6620253164556963
All Exemplars,DDGR,0.7083333333333334
All Exemplars,DDGR,0.6394088669950739
All Exemplars,DDGR,0.5417142857142857
All Exemplars,DDGR,0.5897142857142857
All Exemplars,DDGR,0.6589473684210527
All Exemplars,DDGR,0.7466666666666666
All Exemplars,DDGR,0.6544303797468355
All Exemplars,DDGR,0.7033175355450237
All Exemplars,DDGR,0.7233532934131736
All Exemplars,DDGR,0.6237499999999999
All Exemplars,DDGR,0.7030612244897959
All Exemplars,DDGR,0.5891625615763547
All Exemplars,DDGR,0.6936170212765957
All Exemplars,DDGR,0.6157303370786517
All Exemplars,DDGR,0.7052023121387283
All Exemplars,DDGR,0.6104651162790697
All Exemplars,DDGR,0.6666666666666666
All Exemplars,DDGR,0.6529411764705882
All Exemplars,DDGR,0.6338797814207651
All Exemplars,DDGR,0.7154545454545455
All Exemplars,DDGR,0.6938144329896907
All Exemplars,DDGR,0.5517241379310345
All Exemplars,DDGR,0.669
All Exemplars,DDGR,0.7167630057803469
All Exemplars,DDGR,0.66875
All Exemplars,DDGR,0.6275510204081632
All Exemplars,DDGR,0.7017142857142857
All Exemplars,VAE_Adapt,0.8852631578947369
All Exemplars,VAE_Adapt,0.8727272727272727
All Exemplars,VAE_Adapt,0.8734177215189873
All Exemplars,VAE_Adapt,0.8625
All Exemplars,VAE_Adapt,0.8610837438423644
All Exemplars,VAE_Adapt,0.8560000000000001
All Exemplars,VAE_Adapt,0.8971428571428571
All Exemplars,VAE_Adapt,0.8242105263157894
All Exemplars,VAE_Adapt,0.8428571428571429
All Exemplars,VAE_Adapt,0.7987341772151899
All Exemplars,VAE_Adapt,0.872037914691943
All Exemplars,VAE_Adapt,0.8251497005988023
All Exemplars,VAE_Adapt,0.8225
All Exemplars,VAE_Adapt,0.810204081632653
All Exemplars,VAE_Adapt,0.8403940886699507
All Exemplars,VAE_Adapt,0.848936170212766
All Exemplars,VAE_Adapt,0.8797752808988765
All Exemplars,VAE_Adapt,0.8682080924855491
All Exemplars,VAE_Adapt,0.8813953488372093
All Exemplars,VAE_Adapt,0.8730158730158729
All Exemplars,VAE_Adapt,0.8811764705882353
All Exemplars,VAE_Adapt,0.8284153005464481
All Exemplars,VAE_Adapt,0.938181818181818
All Exemplars,VAE_Adapt,0.8546391752577319
All Exemplars,VAE_Adapt,0.7908045977011493
All Exemplars,VAE_Adapt,0.9319999999999998
All Exemplars,VAE_Adapt,0.8057803468208092
All Exemplars,VAE_Adapt,0.878125
All Exemplars,VAE_Adapt,0.8357142857142857
All Exemplars,VAE_Adapt,0.7862857142857143
All Exemplars,VAE_BBox,0.8157894736842106
All Exemplars,VAE_BBox,0.7474747474747475
All Exemplars,VAE_BBox,0.9075949367088608
All Exemplars,VAE_BBox,0.8854166666666666
All Exemplars,VAE_BBox,0.8669950738916257
All Exemplars,VAE_BBox,0.8674285714285714
All Exemplars,VAE_BBox,0.8811428571428571
All Exemplars,VAE_BBox,0.8147368421052633
All Exemplars,VAE_BBox,0.8723809523809525
All Exemplars,VAE_BBox,0.8329113924050633
All Exemplars,VAE_BBox,0.8265402843601896
All Exemplars,VAE_BBox,0.895808383233533
All Exemplars,VAE_BBox,0.7575000000000001
All Exemplars,VAE_BBox,0.8857142857142858
All Exemplars,VAE_BBox,0.9083743842364532
All Exemplars,VAE_BBox,0.9085106382978724
All Exemplars,VAE_BBox,0.8157303370786517
All Exemplars,VAE_BBox,0.9179190751445084
All Exemplars,VAE_BBox,0.9186046511627908
All Exemplars,VAE_BBox,0.9005291005291005
All Exemplars,VAE_BBox,0.8847058823529412
All Exemplars,VAE_BBox,0.7540983606557377
All Exemplars,VAE_BBox,0.8099999999999999
All Exemplars,VAE_BBox,0.8082474226804124
All Exemplars,VAE_BBox,0.8379310344827585
All Exemplars,VAE_BBox,0.945
All Exemplars,VAE_BBox,0.8635838150289017
All Exemplars,VAE_BBox,0.8802083333333334
All Exemplars,VAE_BBox,0.7785714285714286
All Exemplars,VAE_BBox,0.8171428571428571
All Exemplars,VAE_Filter,0.8
All Exemplars,VAE_Filter,0.7787878787878788
All Exemplars,VAE_Filter,0.8670886075949367
All Exemplars,VAE_Filter,0.8760416666666666
All Exemplars,VAE_Filter,0.8729064039408867
All Exemplars,VAE_Filter,0.8594285714285714
All Exemplars,VAE_Filter,0.8845714285714286
All Exemplars,VAE_Filter,0.8073684210526316
All Exemplars,VAE_Filter,0.8638095238095238
All Exemplars,VAE_Filter,0.8518987341772151
All Exemplars,VAE_Filter,0.837914691943128
All Exemplars,VAE_Filter,0.881437125748503
All Exemplars,VAE_Filter,0.78125
All Exemplars,VAE_Filter,0.8642857142857142
All Exemplars,VAE_Filter,0.922167487684729
All Exemplars,VAE_Filter,0.9085106382978724
All Exemplars,VAE_Filter,0.8876404494382022
All Exemplars,VAE_Filter,0.9052023121387284
All Exemplars,VAE_Filter,0.9174418604651162
All Exemplars,VAE_Filter,0.8804232804232803
All Exemplars,VAE_Filter,0.8788235294117648
All Exemplars,VAE_Filter,0.7453551912568306
All Exemplars,VAE_Filter,0.8081818181818182
All Exemplars,VAE_Filter,0.7958762886597939
All Exemplars,VAE_Filter,0.8218390804597702
All Exemplars,VAE_Filter,0.943
All Exemplars,VAE_Filter,0.8473988439306359
All Exemplars,VAE_Filter,0.884375
All Exemplars,VAE_Filter,0.7785714285714285
All Exemplars,VAE_Filter,0.8342857142857143
All Exemplars,VAE_GMM,0.8947368421052632
All Exemplars,VAE_GMM,0.914141414141414
All Exemplars,VAE_GMM,0.9316455696202532
All Exemplars,VAE_GMM,0.9114583333333334
All Exemplars,VAE_GMM,0.911330049261084
All Exemplars,VAE_GMM,0.8822857142857142
All Exemplars,VAE_GMM,0.9314285714285716
All Exemplars,VAE_GMM,0.82
All Exemplars,VAE_GMM,0.9047619047619048
All Exemplars,VAE_GMM,0.8658227848101265
All Exemplars,VAE_GMM,0.8985781990521327
All Exemplars,VAE_GMM,0.8514970059880239
All Exemplars,VAE_GMM,0.835
All Exemplars,VAE_GMM,0.953061224489796
All Exemplars,VAE_GMM,0.9467980295566502
All Exemplars,VAE_GMM,0.9446808510638298
All Exemplars,VAE_GMM,0.9235955056179774
All Exemplars,VAE_GMM,0.8994219653179192
All Exemplars,VAE_GMM,0.8895348837209301
All Exemplars,VAE_GMM,0.9037037037037036
All Exemplars,VAE_GMM,0.8764705882352942
All Exemplars,VAE_GMM,0.9071038251366124
All Exemplars,VAE_GMM,0.9272727272727274
All Exemplars,VAE_GMM,0.8546391752577319
All Exemplars,VAE_GMM,0.8586206896551725
All Exemplars,VAE_GMM,0.946
All Exemplars,VAE_GMM,0.8901734104046242
All Exemplars,VAE_GMM,0.8958333333333333
All Exemplars,VAE_GMM,0.9
All Exemplars,VAE_GMM,0.9348571428571428
