Exemplar_Size,Task 1,Task 2,Task 3,Method
All Exemplars,0.7272727272727273,0.5315589353612167,0.27419354838709675,FeTrIL
All Exemplars,0.7710982658959538,0.4965034965034965,0.3043010752688172,FeTrIL
All Exemplars,0.9242857142857144,0.6384937238493724,0.24354838709677415,FeTrIL
All Exemplars,0.9191489361702126,0.45038167938931295,0.21666666666666665,FeTrIL
All Exemplars,0.9209580838323352,0.6063604240282685,0.2994623655913978,FeTrIL
All Exemplars,0.8195121951219513,0.5465116279069768,0.1903225806451613,FeTrIL
All Exemplars,0.8866141732283465,0.5193277310924369,0.26021505376344084,FeTrIL
All Exemplars,0.8857142857142858,0.64921875,0.2838709677419355,FeTrIL
All Exemplars,0.943529411764706,0.6475095785440613,0.3946236559139784,FeTrIL
All Exemplars,0.8220472440944881,0.532824427480916,0.22741935483870962,FeTrIL
All Exemplars,0.8916666666666666,0.47859922178988323,0.2456989247311827,FeTrIL
All Exemplars,0.849624060150376,0.5466101694915254,0.2666666666666666,FeTrIL
All Exemplars,0.878048780487805,0.49105058365758747,0.1682795698924731,FeTrIL
All Exemplars,0.9677852348993289,0.6235294117647059,0.20967741935483866,FeTrIL
All Exemplars,0.9678571428571429,0.6028880866425992,0.3344086021505376,FeTrIL
All Exemplars,0.9548387096774194,0.6375,0.3241935483870968,FeTrIL
All Exemplars,0.9343065693430657,0.6122448979591837,0.2440860215053763,FeTrIL
All Exemplars,0.9221374045801527,0.5641221374045802,0.20053763440860212,FeTrIL
All Exemplars,0.9223684210526315,0.6104868913857677,0.29462365591397843,FeTrIL
All Exemplars,0.8662420382165605,0.4988679245283019,0.2258064516129032,FeTrIL
All Exemplars,0.8868852459016393,0.507563025210084,0.2462365591397849,FeTrIL
All Exemplars,0.8992592592592594,0.5273469387755101,0.24999999999999994,FeTrIL
All Exemplars,0.8448275862068965,0.6147058823529412,0.31451612903225806,FeTrIL
All Exemplars,0.8308641975308643,0.6070866141732283,0.25860215053763436,FeTrIL
All Exemplars,0.8716216216216217,0.5089494163424125,0.2161290322580645,FeTrIL
All Exemplars,0.9418439716312058,0.43490909090909086,0.2983870967741935,FeTrIL
All Exemplars,0.8648648648648649,0.5541984732824428,0.3086021505376344,FeTrIL
All Exemplars,0.7857142857142858,0.4778625954198473,0.22204301075268815,FeTrIL
All Exemplars,0.7417218543046358,0.5315589353612167,0.1994623655913978,FeTrIL
All Exemplars,0.8946564885496183,0.4384905660377358,0.21774193548387094,FeTrIL
All Exemplars,0.7272727272727273,0.5026615969581749,0.3709677419354839,DDGR
All Exemplars,0.8023121387283239,0.544055944055944,0.2951612903225806,DDGR
All Exemplars,0.927142857142857,0.5263598326359833,0.414516129032258,DDGR
All Exemplars,0.8893617021276595,0.5549618320610687,0.3854838709677419,DDGR
All Exemplars,0.9089820359281438,0.5752650176678445,0.39838709677419354,DDGR
All Exemplars,0.7707317073170732,0.4612403100775193,0.4360215053763441,DDGR
All Exemplars,0.889763779527559,0.5521008403361345,0.4693548387096774,DDGR
All Exemplars,0.8800000000000001,0.5203125,0.4021505376344086,DDGR
All Exemplars,0.9270588235294117,0.4750957854406129,0.3946236559139785,DDGR
All Exemplars,0.8299212598425196,0.5755725190839696,0.3784946236559139,DDGR
All Exemplars,0.8847222222222222,0.5922178988326848,0.36827956989247307,DDGR
All Exemplars,0.849624060150376,0.5745762711864406,0.4516129032258064,DDGR
All Exemplars,0.8926829268292682,0.6295719844357976,0.3908602150537634,DDGR
All Exemplars,0.9677852348993291,0.4890756302521009,0.385483870967742,DDGR
All Exemplars,0.9654761904761905,0.49386281588447645,0.3069892473118279,DDGR
All Exemplars,0.9264516129032259,0.5625,0.3473118279569892,DDGR
All Exemplars,0.9284671532846716,0.5142857142857142,0.4478494623655914,DDGR
All Exemplars,0.9129770992366412,0.6053435114503816,0.3456989247311828,DDGR
All Exemplars,0.9236842105263158,0.5625468164794007,0.33602150537634407,DDGR
All Exemplars,0.8624203821656053,0.5426415094339623,0.4381720430107527,DDGR
All Exemplars,0.8770491803278688,0.5478991596638656,0.4102150537634409,DDGR
All Exemplars,0.9022222222222223,0.5085714285714286,0.4295698924731182,DDGR
All Exemplars,0.8183908045977011,0.45,0.2956989247311828,DDGR
All Exemplars,0.8185185185185185,0.47637795275590544,0.35322580645161283,DDGR
All Exemplars,0.845945945945946,0.5813229571984435,0.4209677419354838,DDGR
All Exemplars,0.9503546099290782,0.5694545454545455,0.375268817204301,DDGR
All Exemplars,0.8256756756756756,0.5053435114503817,0.3543010752688172,DDGR
All Exemplars,0.7642857142857142,0.498473282442748,0.3870967741935484,DDGR
All Exemplars,0.7112582781456954,0.45551330798479084,0.36344086021505373,DDGR
All Exemplars,0.8809160305343511,0.5516981132075471,0.396774193548387,DDGR
All Exemplars,0.7042424242424242,0.6167300380228137,0.4516129032258064,VAE_Adapt
All Exemplars,0.7676300578034683,0.5958041958041959,0.4473118279569892,VAE_Adapt
All Exemplars,0.93,0.7748953974895396,0.5279569892473119,VAE_Adapt
All Exemplars,0.876595744680851,0.7732824427480915,0.37849462365591396,VAE_Adapt
All Exemplars,0.9053892215568862,0.623321554770318,0.4844086021505376,VAE_Adapt
All Exemplars,0.7804878048780487,0.6178294573643411,0.5064516129032258,VAE_Adapt
All Exemplars,0.8677165354330709,0.7907563025210085,0.5763440860215054,VAE_Adapt
All Exemplars,0.8828571428571429,0.7734375,0.5467741935483871,VAE_Adapt
All Exemplars,0.9141176470588235,0.6942528735632185,0.5591397849462366,VAE_Adapt
All Exemplars,0.8220472440944884,0.7083969465648855,0.5155913978494623,VAE_Adapt
All Exemplars,0.8861111111111111,0.6809338521400778,0.517741935483871,VAE_Adapt
All Exemplars,0.8481203007518797,0.738135593220339,0.5946236559139785,VAE_Adapt
All Exemplars,0.8894308943089431,0.7875486381322957,0.4870967741935484,VAE_Adapt
All Exemplars,0.9651006711409398,0.6546218487394959,0.4725806451612903,VAE_Adapt
All Exemplars,0.9630952380952381,0.7155234657039712,0.4774193548387097,VAE_Adapt
All Exemplars,0.9367741935483871,0.6727941176470589,0.4494623655913978,VAE_Adapt
All Exemplars,0.9343065693430657,0.830204081632653,0.5150537634408602,VAE_Adapt
All Exemplars,0.919083969465649,0.7603053435114504,0.5655913978494624,VAE_Adapt
All Exemplars,0.9131578947368422,0.7228464419475655,0.4446236559139784,VAE_Adapt
All Exemplars,0.8573248407643312,0.7464150943396227,0.446236559139785,VAE_Adapt
All Exemplars,0.8786885245901639,0.7394957983193278,0.543010752688172,VAE_Adapt
All Exemplars,0.9111111111111111,0.6955102040816327,0.5086021505376345,VAE_Adapt
All Exemplars,0.7839080459770116,0.5617647058823529,0.4188172043010752,VAE_Adapt
All Exemplars,0.8358024691358024,0.6692913385826771,0.4983870967741935,VAE_Adapt
All Exemplars,0.8216216216216216,0.6957198443579766,0.5220430107526882,VAE_Adapt
All Exemplars,0.9531914893617021,0.6996363636363636,0.4639784946236559,VAE_Adapt
All Exemplars,0.8297297297297297,0.6648854961832061,0.4752688172043011,VAE_Adapt
All Exemplars,0.7904761904761906,0.5526717557251908,0.34569892473118274,VAE_Adapt
All Exemplars,0.7271523178807946,0.6220532319391635,0.5134408602150538,VAE_Adapt
All Exemplars,0.8977099236641223,0.7132075471698113,0.5774193548387097,VAE_Adapt
All Exemplars,0.7078787878787879,0.6441064638783269,0.4833333333333333,VAE_BBox
All Exemplars,0.761849710982659,0.6517482517482518,0.4779569892473118,VAE_BBox
All Exemplars,0.93,0.6786610878661088,0.5010752688172042,VAE_BBox
All Exemplars,0.8808510638297873,0.6793893129770991,0.4489247311827957,VAE_BBox
All Exemplars,0.9113772455089821,0.7102473498233216,0.4155913978494623,VAE_BBox
All Exemplars,0.7597560975609756,0.6627906976744187,0.4387096774193548,VAE_BBox
All Exemplars,0.8771653543307087,0.7084033613445377,0.6086021505376344,VAE_BBox
All Exemplars,0.89,0.66875,0.5252688172043011,VAE_BBox
All Exemplars,0.9117647058823529,0.6950191570881227,0.5752688172043011,VAE_BBox
All Exemplars,0.8267716535433071,0.7870229007633588,0.5241935483870968,VAE_BBox
All Exemplars,0.9027777777777777,0.7735408560311284,0.5290322580645161,VAE_BBox
All Exemplars,0.8210526315789475,0.7728813559322033,0.6623655913978496,VAE_BBox
All Exemplars,0.8894308943089431,0.7019455252918287,0.5010752688172043,VAE_BBox
All Exemplars,0.9677852348993289,0.6899159663865546,0.510752688172043,VAE_BBox
All Exemplars,0.9654761904761905,0.6924187725631767,0.4763440860215054,VAE_BBox
All Exemplars,0.9341935483870968,0.6470588235294118,0.4709677419354838,VAE_BBox
All Exemplars,0.927007299270073,0.7902040816326531,0.4940860215053764,VAE_BBox
All Exemplars,0.9083969465648855,0.8099236641221375,0.5220430107526881,VAE_BBox
All Exemplars,0.9184210526315789,0.7453183520599251,0.4763440860215054,VAE_BBox
All Exemplars,0.8624203821656051,0.7630188679245283,0.5021505376344086,VAE_BBox
All Exemplars,0.8934426229508198,0.8210084033613445,0.5758064516129033,VAE_BBox
All Exemplars,0.9051851851851851,0.7053061224489796,0.550537634408602,VAE_BBox
All Exemplars,0.8126436781609195,0.5985294117647059,0.4532258064516129,VAE_BBox
All Exemplars,0.8382716049382715,0.6897637795275591,0.5193548387096774,VAE_BBox
All Exemplars,0.8432432432432433,0.7782101167315176,0.5881720430107527,VAE_BBox
All Exemplars,0.9432624113475179,0.7709090909090909,0.4526881720430108,VAE_BBox
All Exemplars,0.8432432432432432,0.7549618320610686,0.5532258064516128,VAE_BBox
All Exemplars,0.7702380952380952,0.6068702290076337,0.4575268817204301,VAE_BBox
All Exemplars,0.6768211920529802,0.7049429657794677,0.5301075268817204,VAE_BBox
All Exemplars,0.883969465648855,0.7426415094339622,0.49677419354838703,VAE_BBox
All Exemplars,0.6896969696969697,0.6471482889733841,0.4672043010752688,VAE_Filter
All Exemplars,0.7630057803468208,0.6559440559440559,0.45376344086021503,VAE_Filter
All Exemplars,0.9299999999999999,0.6694560669456068,0.5580645161290322,VAE_Filter
All Exemplars,0.873758865248227,0.7541984732824427,0.4908602150537634,VAE_Filter
All Exemplars,0.8838323353293414,0.7045936395759717,0.4376344086021505,VAE_Filter
All Exemplars,0.7853658536585366,0.6255813953488373,0.4451612903225806,VAE_Filter
All Exemplars,0.8866141732283465,0.7285714285714285,0.5682795698924731,VAE_Filter
All Exemplars,0.8928571428571429,0.6875,0.5193548387096774,VAE_Filter
All Exemplars,0.9117647058823529,0.6804597701149426,0.5967741935483871,VAE_Filter
All Exemplars,0.8409448818897637,0.7809160305343512,0.564516129032258,VAE_Filter
All Exemplars,0.8777777777777777,0.7626459143968872,0.4736559139784946,VAE_Filter
All Exemplars,0.8556390977443609,0.7720338983050847,0.6688172043010753,VAE_Filter
All Exemplars,0.8959349593495937,0.7844357976653696,0.5397849462365591,VAE_Filter
All Exemplars,0.963758389261745,0.7050420168067226,0.524731182795699,VAE_Filter
All Exemplars,0.9630952380952381,0.6736462093862816,0.5048387096774193,VAE_Filter
All Exemplars,0.9432258064516127,0.5772058823529411,0.4559139784946237,VAE_Filter
All Exemplars,0.92992700729927,0.7355102040816326,0.5161290322580645,VAE_Filter
All Exemplars,0.9282442748091603,0.8305343511450382,0.5672043010752688,VAE_Filter
All Exemplars,0.9184210526315789,0.6794007490636704,0.446774193548387,VAE_Filter
All Exemplars,0.8509554140127389,0.7479245283018867,0.4962365591397849,VAE_Filter
All Exemplars,0.8737704918032787,0.823529411764706,0.6456989247311828,VAE_Filter
All Exemplars,0.8814814814814815,0.7175510204081632,0.5258064516129032,VAE_Filter
All Exemplars,0.8333333333333334,0.5852941176470589,0.4505376344086021,VAE_Filter
All Exemplars,0.845679012345679,0.6897637795275591,0.5279569892473119,VAE_Filter
All Exemplars,0.854054054054054,0.8085603112840468,0.5876344086021505,VAE_Filter
All Exemplars,0.9418439716312056,0.7592727272727273,0.4403225806451612,VAE_Filter
All Exemplars,0.8405405405405405,0.7755725190839694,0.5919354838709677,VAE_Filter
All Exemplars,0.7976190476190477,0.6190839694656489,0.510752688172043,VAE_Filter
All Exemplars,0.6993377483443709,0.68212927756654,0.5252688172043011,VAE_Filter
All Exemplars,0.9038167938931299,0.739622641509434,0.4263440860215054,VAE_Filter
All Exemplars,0.663030303030303,0.6836501901140684,0.5978494623655914,VAE_GMM
All Exemplars,0.7653179190751445,0.7027972027972028,0.6150537634408602,VAE_GMM
All Exemplars,0.9328571428571427,0.8761506276150627,0.6564516129032258,VAE_GMM
All Exemplars,0.8950354609929079,0.8305343511450382,0.5408602150537634,VAE_GMM
All Exemplars,0.8946107784431139,0.8148409893992932,0.6516129032258065,VAE_GMM
All Exemplars,0.7402439024390244,0.717829457364341,0.5967741935483871,VAE_GMM
All Exemplars,0.8771653543307087,0.8596638655462184,0.7010752688172042,VAE_GMM
All Exemplars,0.8857142857142858,0.825,0.4456989247311828,VAE_GMM
All Exemplars,0.9164705882352943,0.8283524904214559,0.6704301075268817,VAE_GMM
All Exemplars,0.8125984251968503,0.8267175572519084,0.6559139784946236,VAE_GMM
All Exemplars,0.8833333333333334,0.8544747081712064,0.7198924731182796,VAE_GMM
All Exemplars,0.8436090225563909,0.8177966101694916,0.6940860215053763,VAE_GMM
All Exemplars,0.8910569105691056,0.8404669260700389,0.6005376344086022,VAE_GMM
All Exemplars,0.9610738255033556,0.846218487394958,0.6026881720430108,VAE_GMM
All Exemplars,0.9630952380952383,0.8628158844765343,0.5602150537634408,VAE_GMM
All Exemplars,0.9354838709677418,0.8367647058823529,0.6521505376344087,VAE_GMM
