FeTrIL,DDGR,VAE - BBox,TaskVAE,DAR
1.0,0.9891891891891892,1.0,0.9945945945945944,1.0
1.0,0.9684210526315792,0.9947368421052633,1.0,1.0
0.8,0.984313725490196,0.996078431372549,0.9882352941176472,1.0
1.0,1.0,1.0,1.0,1.0
0.8,0.9350000000000002,0.985,0.99,0.95
1.0,1.0,1.0,1.0,1.0
1.0,0.9959183673469388,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.4076923076923077,0.9,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
0.5846153846153846,0.9384615384615383,1.0,1.0,1.0
0.8,0.9837837837837836,0.9945945945945944,1.0,1.0
0.2,0.977777777777778,1.0,0.977777777777778,0.961111111111111
0.8,0.9945945945945944,1.0,1.0,0.9945945945945944
1.0,0.9955555555555556,1.0,1.0,1.0
1.0,0.955,0.985,0.98,0.975
1.0,0.9,0.94,0.98,0.975
1.0,0.9955555555555556,1.0,1.0,1.0
1.0,0.9578947368421054,1.0,1.0,1.0
1.0,0.9589743589743592,0.9794871794871796,0.9897435897435898,0.9846153846153848
0.6,0.9153846153846156,0.9923076923076924,1.0,1.0
1.0,0.9736842105263156,1.0,0.9947368421052633,0.9947368421052633
0.5692307692307692,0.9692307692307692,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
1.0,0.9959183673469388,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.9911111111111112,1.0,1.0,1.0
1.0,0.9789473684210528,0.9947368421052633,0.9894736842105264,1.0
1.0,0.9350000000000002,0.995,0.965,0.995
1.0,1.0,1.0,1.0,1.0
