Exemplar_Size,Method,Task 6
All Exemplars,FeTrIL,0.0217647058823529
All Exemplars,FeTrIL,0.0894117647058823
All Exemplars,FeTrIL,0.119298245614035
All Exemplars,FeTrIL,0.0286549707602339
All Exemplars,FeTrIL,0.1108033240997229
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0595744680851063
All Exemplars,FeTrIL,0.1271186440677966
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.1323529411764706
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0217008797653958
All Exemplars,FeTrIL,0.0789473684210525
All Exemplars,FeTrIL,0.0701754385964911
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0523255813953488
All Exemplars,FeTrIL,0.0229607250755287
All Exemplars,FeTrIL,0.0458823529411764
All Exemplars,FeTrIL,0.0157099697885196
All Exemplars,FeTrIL,0.0231003039513677
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0862170087976539
All Exemplars,FeTrIL,0.1271186440677966
All Exemplars,FeTrIL,0.0794117647058823
All Exemplars,FeTrIL,0.0459214501510574
All Exemplars,FeTrIL,0.0465116279069767
All Exemplars,FeTrIL,0.0864705882352941
All Exemplars,DDGR,0.1976470588235293
All Exemplars,DDGR,0.148235294117647
All Exemplars,DDGR,0.1514619883040935
All Exemplars,DDGR,0.2660818713450292
All Exemplars,DDGR,0.1761772853185595
All Exemplars,DDGR,0.0634441087613292
All Exemplars,DDGR,0.1768996960486321
All Exemplars,DDGR,0.1372881355932202
All Exemplars,DDGR,0.1419939577039274
All Exemplars,DDGR,0.2199999999999999
All Exemplars,DDGR,0.1379939209726443
All Exemplars,DDGR,0.2990881458966565
All Exemplars,DDGR,0.1122388059701492
All Exemplars,DDGR,0.2064516129032258
All Exemplars,DDGR,0.1397660818713449
All Exemplars,DDGR,0.1964912280701753
All Exemplars,DDGR,0.1537993920972643
All Exemplars,DDGR,0.25
All Exemplars,DDGR,0.1625377643504531
All Exemplars,DDGR,0.2347058823529411
All Exemplars,DDGR,0.0924471299093655
All Exemplars,DDGR,0.1069908814589665
All Exemplars,DDGR,0.1299999999999999
All Exemplars,DDGR,0.1057401812688821
All Exemplars,DDGR,0.2492668621700879
All Exemplars,DDGR,0.0796610169491525
All Exemplars,DDGR,0.268235294117647
All Exemplars,DDGR,0.1268882175226585
All Exemplars,DDGR,0.1784883720930232
All Exemplars,DDGR,0.1194117647058823
All Exemplars,VAE_Adapt,0.0847058823529411
All Exemplars,VAE_Adapt,0.1435294117647058
All Exemplars,VAE_Adapt,0.1502923976608186
All Exemplars,VAE_Adapt,0.0953216374269005
All Exemplars,VAE_Adapt,0.1473684210526315
All Exemplars,VAE_Adapt,0.1214501510574017
All Exemplars,VAE_Adapt,0.1854103343465045
All Exemplars,VAE_Adapt,0.1457627118644067
All Exemplars,VAE_Adapt,0.1939577039274924
All Exemplars,VAE_Adapt,0.1199999999999999
All Exemplars,VAE_Adapt,0.1270516717325227
All Exemplars,VAE_Adapt,0.1386018237082066
All Exemplars,VAE_Adapt,0.1791044776119402
All Exemplars,VAE_Adapt,0.2087976539589442
All Exemplars,VAE_Adapt,0.0859649122807017
All Exemplars,VAE_Adapt,0.1964912280701753
All Exemplars,VAE_Adapt,0.2121580547112461
All Exemplars,VAE_Adapt,0.1645348837209301
All Exemplars,VAE_Adapt,0.1371601208459213
All Exemplars,VAE_Adapt,0.1811764705882353
All Exemplars,VAE_Adapt,0.1595166163141994
All Exemplars,VAE_Adapt,0.1829787234042553
All Exemplars,VAE_Adapt,0.1994117647058823
All Exemplars,VAE_Adapt,0.123262839879154
All Exemplars,VAE_Adapt,0.0903225806451612
All Exemplars,VAE_Adapt,0.1926553672316384
All Exemplars,VAE_Adapt,0.0929411764705882
All Exemplars,VAE_Adapt,0.1305135951661631
All Exemplars,VAE_Adapt,0.1953488372093023
All Exemplars,VAE_Adapt,0.2170588235294117
All Exemplars,VAE_BBox,0.1811764705882352
All Exemplars,VAE_BBox,0.1535294117647058
All Exemplars,VAE_BBox,0.1584795321637426
All Exemplars,VAE_BBox,0.1058479532163742
All Exemplars,VAE_BBox,0.1867036011080332
All Exemplars,VAE_BBox,0.1353474320241691
All Exemplars,VAE_BBox,0.2115501519756838
All Exemplars,VAE_BBox,0.1220338983050847
All Exemplars,VAE_BBox,0.2453172205438066
All Exemplars,VAE_BBox,0.1964705882352941
All Exemplars,VAE_BBox,0.2188449848024315
All Exemplars,VAE_BBox,0.1993920972644376
All Exemplars,VAE_BBox,0.191641791044776
All Exemplars,VAE_BBox,0.1272727272727272
All Exemplars,VAE_BBox,0.1502923976608187
All Exemplars,VAE_BBox,0.2058479532163742
All Exemplars,VAE_BBox,0.1696048632218844
All Exemplars,VAE_BBox,0.1255813953488372
All Exemplars,VAE_BBox,0.2646525679758308
All Exemplars,VAE_BBox,0.0747058823529411
All Exemplars,VAE_BBox,0.1540785498489425
All Exemplars,VAE_BBox,0.1337386018237081
All Exemplars,VAE_BBox,0.0688235294117646
All Exemplars,VAE_BBox,0.1522658610271903
All Exemplars,VAE_BBox,0.1436950146627565
All Exemplars,VAE_BBox,0.1858757062146892
All Exemplars,VAE_BBox,0.1352941176470587
All Exemplars,VAE_BBox,0.1480362537764349
All Exemplars,VAE_BBox,0.1581395348837209
All Exemplars,VAE_BBox,0.2047058823529411
All Exemplars,VAE_Filter,0.1505882352941175
All Exemplars,VAE_Filter,0.1217647058823529
All Exemplars,VAE_Filter,0.2163742690058479
All Exemplars,VAE_Filter,0.0923976608187133
All Exemplars,VAE_Filter,0.1368421052631578
All Exemplars,VAE_Filter,0.1607250755287008
All Exemplars,VAE_Filter,0.20790273556231
All Exemplars,VAE_Filter,0.0853107344632767
All Exemplars,VAE_Filter,0.2658610271903322
All Exemplars,VAE_Filter,0.1635294117647058
All Exemplars,VAE_Filter,0.2127659574468085
All Exemplars,VAE_Filter,0.1714285714285714
All Exemplars,VAE_Filter,0.2101492537313432
All Exemplars,VAE_Filter,0.126099706744868
All Exemplars,VAE_Filter,0.2672514619883041
All Exemplars,VAE_Filter,0.171345029239766
All Exemplars,VAE_Filter,0.2662613981762917
All Exemplars,VAE_Filter,0.1180232558139534
All Exemplars,VAE_Filter,0.2205438066465256
All Exemplars,VAE_Filter,0.1223529411764705
All Exemplars,VAE_Filter,0.2132930513595166
All Exemplars,VAE_Filter,0.1349544072948328
All Exemplars,VAE_Filter,0.1194117647058823
All Exemplars,VAE_Filter,0.1987915407854985
All Exemplars,VAE_Filter,0.1495601173020527
All Exemplars,VAE_Filter,0.2531073446327684
All Exemplars,VAE_Filter,0.1623529411764705
All Exemplars,VAE_Filter,0.1377643504531721
All Exemplars,VAE_Filter,0.1499999999999999
All Exemplars,VAE_Filter,0.2064705882352941
All Exemplars,VAE_GMM,0.2899999999999999
All Exemplars,VAE_GMM,0.2911764705882352
All Exemplars,VAE_GMM,0.3549707602339181
All Exemplars,VAE_GMM,0.3409356725146198
All Exemplars,VAE_GMM,0.2775623268698061
All Exemplars,VAE_GMM,0.2368580060422961
All Exemplars,VAE_GMM,0.3422492401215805
All Exemplars,VAE_GMM,0.2632768361581921
All Exemplars,VAE_GMM,0.2833836858006042
All Exemplars,VAE_GMM,0.3076470588235294
All Exemplars,VAE_GMM,0.3009118541033435
All Exemplars,VAE_GMM,0.4316109422492401
All Exemplars,VAE_GMM,0.2704477611940298
All Exemplars,VAE_GMM,0.456891495601173
All Exemplars,VAE_GMM,0.2847953216374269
All Exemplars,VAE_GMM,0.3023391812865497
All Exemplars,VAE_GMM,0.3112462006079027
All Exemplars,VAE_GMM,0.3720930232558139
All Exemplars,VAE_GMM,0.2737160120845921
All Exemplars,VAE_GMM,0.1794117647058823
All Exemplars,VAE_GMM,0.3117824773413897
All Exemplars,VAE_GMM,0.2188449848024315
All Exemplars,VAE_GMM,0.2864705882352941
All Exemplars,VAE_GMM,0.2435045317220543
All Exemplars,VAE_GMM,0.3249266862170087
All Exemplars,VAE_GMM,0.3101694915254237
All Exemplars,VAE_GMM,0.3241176470588235
All Exemplars,VAE_GMM,0.3250755287009063
All Exemplars,VAE_GMM,0.2244186046511627
All Exemplars,VAE_GMM,0.2670588235294118
