Exemplar_Size,Task 2,Task 3,Method
All Exemplars,0.14867256637168139,0.2773333333333333,FeTrIL
All Exemplars,0.11304347826086955,0.21578947368421053,FeTrIL
All Exemplars,0.0464,0.1422222222222222,FeTrIL
All Exemplars,0.29200000000000004,0.08636363636363636,FeTrIL
All Exemplars,0.24873949579831933,0.4950819672131148,FeTrIL
All Exemplars,0.21025641025641023,0.0,FeTrIL
All Exemplars,0.2252252252252252,0.0,FeTrIL
All Exemplars,0.1856,0.10256410256410256,FeTrIL
All Exemplars,0.35922330097087374,0.00454545454545454,FeTrIL
All Exemplars,0.0,0.15897435897435894,FeTrIL
All Exemplars,0.22941176470588234,0.00222222222222222,FeTrIL
All Exemplars,0.09076923076923074,0.12134831460674159,FeTrIL
All Exemplars,0.1591240875912409,0.10243902439024391,FeTrIL
All Exemplars,0.1203539823008849,0.21666666666666665,FeTrIL
All Exemplars,0.138,0.0025641025641025598,FeTrIL
All Exemplars,0.17952755905511808,0.0,FeTrIL
All Exemplars,0.21076923076923074,0.2311111111111111,FeTrIL
All Exemplars,0.1511811023622047,0.10243902439024391,FeTrIL
All Exemplars,0.25666666666666665,0.08863636363636362,FeTrIL
All Exemplars,0.28959999999999997,0.0821917808219178,FeTrIL
All Exemplars,0.2251968503937008,0.06363636363636363,FeTrIL
All Exemplars,0.11826086956521738,0.29777777777777775,FeTrIL
All Exemplars,0.20612244897959178,0.0026315789473684197,FeTrIL
All Exemplars,0.3137254901960785,0.0,FeTrIL
All Exemplars,0.12268907563025208,0.2352941176470588,FeTrIL
All Exemplars,0.3145454545454546,0.0,FeTrIL
All Exemplars,0.137984496124031,0.2615384615384615,FeTrIL
All Exemplars,0.15599999999999997,0.01136363636363636,FeTrIL
All Exemplars,0.3060869565217391,0.28500000000000003,FeTrIL
All Exemplars,0.2096,0.0977272727272727,FeTrIL
All Exemplars,0.9185840707964601,0.9786666666666669,DDGR
All Exemplars,0.9652173913043477,0.9157894736842105,DDGR
All Exemplars,0.9471999999999999,0.7444444444444445,DDGR
All Exemplars,0.966,0.9750000000000002,DDGR
All Exemplars,0.9731092436974789,0.9475409836065575,DDGR
All Exemplars,0.9367521367521368,0.9022222222222223,DDGR
All Exemplars,0.9693693693693695,0.9803921568627452,DDGR
All Exemplars,0.968,0.9820512820512821,DDGR
All Exemplars,0.9728155339805827,0.984090909090909,DDGR
All Exemplars,0.9611510791366907,0.9846153846153847,DDGR
All Exemplars,0.9588235294117649,0.9888888888888887,DDGR
All Exemplars,0.9800000000000001,0.9573033707865168,DDGR
All Exemplars,0.8496350364963503,0.9878048780487804,DDGR
All Exemplars,0.7823008849557522,0.9527777777777781,DDGR
All Exemplars,0.9279999999999999,0.9871794871794872,DDGR
All Exemplars,0.9669291338582677,0.8973684210526317,DDGR
All Exemplars,0.9784615384615385,0.9622222222222223,DDGR
All Exemplars,0.7968503937007874,0.9878048780487804,DDGR
All Exemplars,0.9766666666666668,0.9772727272727273,DDGR
All Exemplars,0.9743999999999999,0.9643835616438358,DDGR
All Exemplars,0.862992125984252,0.9886363636363636,DDGR
All Exemplars,0.9808695652173913,0.7577777777777778,DDGR
All Exemplars,0.9571428571428571,0.9894736842105264,DDGR
All Exemplars,0.9647058823529413,0.9066666666666668,DDGR
All Exemplars,0.9647058823529411,0.976470588235294,DDGR
All Exemplars,0.8254545454545454,0.9846153846153847,DDGR
All Exemplars,0.9674418604651163,0.9871794871794872,DDGR
All Exemplars,0.9640000000000001,0.975,DDGR
All Exemplars,0.9808695652173913,0.9824999999999999,DDGR
All Exemplars,0.8464,0.975,DDGR
All Exemplars,0.9699115044247787,0.9706666666666669,VAE_Adapt
All Exemplars,0.9565217391304348,0.9289473684210527,VAE_Adapt
All Exemplars,0.9328,0.7644444444444445,VAE_Adapt
