Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.1094594594594594
All Exemplars,FeTrIL,0.1163120567375886
All Exemplars,FeTrIL,0.0166666666666666
All Exemplars,FeTrIL,0.0689189189189189
All Exemplars,FeTrIL,0.3142857142857143
All Exemplars,FeTrIL,0.0969696969696969
All Exemplars,FeTrIL,0.1965714285714285
All Exemplars,FeTrIL,0.0993377483443708
All Exemplars,FeTrIL,0.0640522875816993
All Exemplars,FeTrIL,0.0642424242424242
All Exemplars,FeTrIL,0.2546666666666666
All Exemplars,FeTrIL,0.0883977900552486
All Exemplars,FeTrIL,0.0634730538922155
All Exemplars,FeTrIL,0.1135802469135802
All Exemplars,FeTrIL,0.0923076923076923
All Exemplars,FeTrIL,0.0120481927710843
All Exemplars,FeTrIL,0.0307692307692307
All Exemplars,FeTrIL,0.0569767441860464
All Exemplars,FeTrIL,0.108433734939759
All Exemplars,FeTrIL,0.1375
All Exemplars,FeTrIL,0.1355555555555555
All Exemplars,FeTrIL,0.1866666666666666
All Exemplars,FeTrIL,0.1761589403973509
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0549019607843137
All Exemplars,FeTrIL,0.132484076433121
All Exemplars,FeTrIL,0.0986486486486486
All Exemplars,FeTrIL,0.0025316455696202
All Exemplars,FeTrIL,0.1314606741573033
All Exemplars,DDGR,0.9621621621621624
All Exemplars,DDGR,0.924822695035461
All Exemplars,DDGR,0.8033333333333333
All Exemplars,DDGR,0.9527027027027029
All Exemplars,DDGR,0.9728571428571428
All Exemplars,DDGR,0.9236363636363636
All Exemplars,DDGR,0.8685714285714287
All Exemplars,DDGR,0.9417218543046358
All Exemplars,DDGR,0.968627450980392
All Exemplars,DDGR,0.9393939393939392
All Exemplars,DDGR,0.9653333333333334
All Exemplars,DDGR,0.9414364640883978
All Exemplars,DDGR,0.9089820359281438
All Exemplars,DDGR,0.7333333333333333
All Exemplars,DDGR,0.9608391608391608
All Exemplars,DDGR,0.819277108433735
All Exemplars,DDGR,0.9362637362637362
All Exemplars,DDGR,0.8267441860465118
All Exemplars,DDGR,0.9156626506024096
All Exemplars,DDGR,0.9525
All Exemplars,DDGR,0.9355555555555556
All Exemplars,DDGR,0.823030303030303
All Exemplars,DDGR,0.9364238410596026
All Exemplars,DDGR,0.9396449704142013
All Exemplars,DDGR,0.9207317073170732
All Exemplars,DDGR,0.9738562091503268
All Exemplars,DDGR,0.9745222929936304
All Exemplars,DDGR,0.958108108108108
All Exemplars,DDGR,0.979746835443038
All Exemplars,DDGR,0.9640449438202248
All Exemplars,VAE_Adapt,0.966216216216216
All Exemplars,VAE_Adapt,0.9106382978723404
