Exemplar_Size,Task 2,Method
All Exemplars,0.10945945945945942,FeTrIL
All Exemplars,0.1163120567375886,FeTrIL
All Exemplars,0.01666666666666666,FeTrIL
All Exemplars,0.06891891891891891,FeTrIL
All Exemplars,0.3142857142857143,FeTrIL
All Exemplars,0.09696969696969694,FeTrIL
All Exemplars,0.19657142857142856,FeTrIL
All Exemplars,0.09933774834437084,FeTrIL
All Exemplars,0.06405228758169933,FeTrIL
All Exemplars,0.06424242424242423,FeTrIL
All Exemplars,0.25466666666666665,FeTrIL
All Exemplars,0.0883977900552486,FeTrIL
All Exemplars,0.06347305389221555,FeTrIL
All Exemplars,0.11358024691358022,FeTrIL
All Exemplars,0.09230769230769231,FeTrIL
All Exemplars,0.01204819277108432,FeTrIL
All Exemplars,0.030769230769230736,FeTrIL
All Exemplars,0.05697674418604648,FeTrIL
All Exemplars,0.10843373493975902,FeTrIL
All Exemplars,0.1375,FeTrIL
All Exemplars,0.1355555555555555,FeTrIL
All Exemplars,0.18666666666666665,FeTrIL
All Exemplars,0.17615894039735094,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.05490196078431372,FeTrIL
All Exemplars,0.13248407643312105,FeTrIL
All Exemplars,0.09864864864864861,FeTrIL
All Exemplars,0.0025316455696202398,FeTrIL
All Exemplars,0.1314606741573033,FeTrIL
All Exemplars,0.9621621621621623,DDGR
All Exemplars,0.924822695035461,DDGR
All Exemplars,0.8033333333333333,DDGR
All Exemplars,0.9527027027027029,DDGR
All Exemplars,0.9728571428571428,DDGR
All Exemplars,0.9236363636363636,DDGR
All Exemplars,0.8685714285714287,DDGR
All Exemplars,0.9417218543046358,DDGR
All Exemplars,0.968627450980392,DDGR
All Exemplars,0.9393939393939392,DDGR
All Exemplars,0.9653333333333334,DDGR
All Exemplars,0.9414364640883978,DDGR
All Exemplars,0.9089820359281438,DDGR
All Exemplars,0.7333333333333333,DDGR
All Exemplars,0.9608391608391609,DDGR
All Exemplars,0.819277108433735,DDGR
All Exemplars,0.9362637362637362,DDGR
All Exemplars,0.8267441860465118,DDGR
All Exemplars,0.9156626506024097,DDGR
All Exemplars,0.9524999999999999,DDGR
All Exemplars,0.9355555555555556,DDGR
All Exemplars,0.823030303030303,DDGR
All Exemplars,0.9364238410596026,DDGR
All Exemplars,0.9396449704142013,DDGR
All Exemplars,0.9207317073170731,DDGR
All Exemplars,0.9738562091503269,DDGR
All Exemplars,0.9745222929936304,DDGR
All Exemplars,0.9581081081081081,DDGR
All Exemplars,0.9797468354430379,DDGR
All Exemplars,0.9640449438202248,DDGR
All Exemplars,0.9662162162162161,VAE_Adapt
All Exemplars,0.9106382978723404,VAE_Adapt
All Exemplars,0.8233333333333335,VAE_Adapt
All Exemplars,0.9432432432432432,VAE_Adapt
All Exemplars,0.9557142857142857,VAE_Adapt
All Exemplars,0.9454545454545455,VAE_Adapt
All Exemplars,0.8811428571428571,VAE_Adapt
All Exemplars,0.9430463576158938,VAE_Adapt
All Exemplars,0.9581699346405228,VAE_Adapt
All Exemplars,0.9418181818181818,VAE_Adapt
All Exemplars,0.952,VAE_Adapt
All Exemplars,0.9403314917127071,VAE_Adapt
All Exemplars,0.9365269461077844,VAE_Adapt
All Exemplars,0.7580246913580246,VAE_Adapt
All Exemplars,0.932867132867133,VAE_Adapt
All Exemplars,0.8349397590361447,VAE_Adapt
All Exemplars,0.9384615384615385,VAE_Adapt
All Exemplars,0.8453488372093023,VAE_Adapt
All Exemplars,0.9445783132530121,VAE_Adapt
All Exemplars,0.9487499999999999,VAE_Adapt
All Exemplars,0.9600000000000002,VAE_Adapt
All Exemplars,0.8218181818181817,VAE_Adapt
All Exemplars,0.9456953642384107,VAE_Adapt
All Exemplars,0.949112426035503,VAE_Adapt
All Exemplars,0.9243902439024391,VAE_Adapt
All Exemplars,0.9751633986928103,VAE_Adapt
All Exemplars,0.961783439490446,VAE_Adapt
All Exemplars,0.9418918918918919,VAE_Adapt
All Exemplars,0.9835443037974685,VAE_Adapt
All Exemplars,0.9606741573033709,VAE_Adapt
All Exemplars,0.9621621621621623,VAE_BBox
All Exemplars,0.9191489361702129,VAE_BBox
All Exemplars,0.8533333333333335,VAE_BBox
All Exemplars,0.9540540540540541,VAE_BBox
All Exemplars,0.9671428571428573,VAE_BBox
All Exemplars,0.943030303030303,VAE_BBox
All Exemplars,0.8880000000000001,VAE_BBox
All Exemplars,0.9536423841059601,VAE_BBox
All Exemplars,0.968627450980392,VAE_BBox
All Exemplars,0.9539393939393939,VAE_BBox
All Exemplars,0.9613333333333334,VAE_BBox
All Exemplars,0.9403314917127072,VAE_BBox
All Exemplars,0.9353293413173654,VAE_BBox
All Exemplars,0.7407407407407408,VAE_BBox
All Exemplars,0.9454545454545455,VAE_BBox
All Exemplars,0.8228915662650603,VAE_BBox
All Exemplars,0.9461538461538461,VAE_BBox
All Exemplars,0.8267441860465116,VAE_BBox
All Exemplars,0.9469879518072288,VAE_BBox
All Exemplars,0.9499999999999998,VAE_BBox
All Exemplars,0.9677777777777778,VAE_BBox
All Exemplars,0.8327272727272728,VAE_BBox
All Exemplars,0.9403973509933776,VAE_BBox
All Exemplars,0.9431952662721894,VAE_BBox
All Exemplars,0.9292682926829269,VAE_BBox
All Exemplars,0.9790849673202615,VAE_BBox
All Exemplars,0.9707006369426752,VAE_BBox
All Exemplars,0.9540540540540542,VAE_BBox
All Exemplars,0.9784810126582277,VAE_BBox
All Exemplars,0.9662921348314608,VAE_BBox
All Exemplars,0.9621621621621623,VAE_Filter
All Exemplars,0.9432624113475179,VAE_Filter
All Exemplars,0.8400000000000001,VAE_Filter
All Exemplars,0.9608108108108109,VAE_Filter
All Exemplars,0.9657142857142859,VAE_Filter
All Exemplars,0.9515151515151515,VAE_Filter
All Exemplars,0.8777142857142858,VAE_Filter
All Exemplars,0.9589403973509933,VAE_Filter
All Exemplars,0.9581699346405228,VAE_Filter
All Exemplars,0.96,VAE_Filter
All Exemplars,0.9546666666666667,VAE_Filter
All Exemplars,0.9392265193370166,VAE_Filter
All Exemplars,0.9281437125748502,VAE_Filter
All Exemplars,0.7345679012345678,VAE_Filter
All Exemplars,0.9482517482517483,VAE_Filter
All Exemplars,0.8240963855421688,VAE_Filter
All Exemplars,0.9395604395604396,VAE_Filter
All Exemplars,0.8244186046511628,VAE_Filter
All Exemplars,0.9433734939759036,VAE_Filter
All Exemplars,0.9475,VAE_Filter
All Exemplars,0.968888888888889,VAE_Filter
All Exemplars,0.8351515151515152,VAE_Filter
All Exemplars,0.9496688741721855,VAE_Filter
All Exemplars,0.9597633136094675,VAE_Filter
All Exemplars,0.9280487804878049,VAE_Filter
All Exemplars,0.9751633986928105,VAE_Filter
All Exemplars,0.9656050955414013,VAE_Filter
All Exemplars,0.9594594594594597,VAE_Filter
All Exemplars,0.9835443037974685,VAE_Filter
All Exemplars,0.9651685393258429,VAE_Filter
All Exemplars,0.9702702702702704,VAE_GMM
All Exemplars,0.9375886524822695,VAE_GMM
All Exemplars,0.8544444444444445,VAE_GMM
All Exemplars,0.956756756756757,VAE_GMM
All Exemplars,0.96,VAE_GMM
All Exemplars,0.9333333333333332,VAE_GMM
All Exemplars,0.8605714285714285,VAE_GMM
All Exemplars,0.9629139072847683,VAE_GMM
All Exemplars,0.9660130718954247,VAE_GMM
All Exemplars,0.9515151515151515,VAE_GMM
All Exemplars,0.9546666666666667,VAE_GMM
All Exemplars,0.9392265193370166,VAE_GMM
All Exemplars,0.9245508982035927,VAE_GMM
All Exemplars,0.7518518518518518,VAE_GMM
All Exemplars,0.9552447552447554,VAE_GMM
All Exemplars,0.8313253012048193,VAE_GMM
All Exemplars,0.9417582417582417,VAE_GMM
All Exemplars,0.8372093023255814,VAE_GMM
All Exemplars,0.9397590361445782,VAE_GMM
All Exemplars,0.9475,VAE_GMM
All Exemplars,0.9611111111111112,VAE_GMM
All Exemplars,0.8278787878787879,VAE_GMM
All Exemplars,0.9350993377483444,VAE_GMM
All Exemplars,0.953846153846154,VAE_GMM
All Exemplars,0.9268292682926829,VAE_GMM
All Exemplars,0.9764705882352942,VAE_GMM
All Exemplars,0.978343949044586,VAE_GMM
All Exemplars,0.9581081081081082,VAE_GMM
All Exemplars,0.9822784810126584,VAE_GMM
All Exemplars,0.9640449438202248,VAE_GMM
