Exemplar_Size,Method,Task 4
All Exemplars,FeTrIL,0.1215538847117793
All Exemplars,FeTrIL,0.1240601503759398
All Exemplars,FeTrIL,0.1340852130325814
All Exemplars,FeTrIL,0.2030075187969923
All Exemplars,FeTrIL,0.2030075187969923
All Exemplars,FeTrIL,0.131578947368421
All Exemplars,FeTrIL,0.1824561403508771
All Exemplars,FeTrIL,0.1177944862155388
All Exemplars,FeTrIL,0.1240601503759398
All Exemplars,FeTrIL,0.131578947368421
All Exemplars,FeTrIL,0.1516290726817042
All Exemplars,FeTrIL,0.1516290726817042
All Exemplars,FeTrIL,0.1240601503759398
All Exemplars,FeTrIL,0.2030075187969923
All Exemplars,FeTrIL,0.1340852130325814
All Exemplars,FeTrIL,0.1340852130325814
All Exemplars,FeTrIL,0.1516290726817042
All Exemplars,FeTrIL,0.1516290726817042
All Exemplars,FeTrIL,0.2030075187969923
All Exemplars,FeTrIL,0.131578947368421
All Exemplars,FeTrIL,0.2030075187969923
All Exemplars,FeTrIL,0.1516290726817042
All Exemplars,FeTrIL,0.119298245614035
All Exemplars,FeTrIL,0.131578947368421
All Exemplars,FeTrIL,0.2030075187969923
All Exemplars,FeTrIL,0.1288220551378445
All Exemplars,FeTrIL,0.131578947368421
All Exemplars,FeTrIL,0.1340852130325814
All Exemplars,FeTrIL,0.1516290726817042
All Exemplars,FeTrIL,0.1230576441102756
All Exemplars,DDGR,0.3649122807017543
All Exemplars,DDGR,0.3904761904761904
All Exemplars,DDGR,0.3368421052631579
All Exemplars,DDGR,0.4521303258145363
All Exemplars,DDGR,0.4182957393483709
All Exemplars,DDGR,0.3994987468671679
All Exemplars,DDGR,0.4704260651629072
All Exemplars,DDGR,0.244611528822055
All Exemplars,DDGR,0.3476190476190476
All Exemplars,DDGR,0.3807017543859649
All Exemplars,DDGR,0.3847117794486215
All Exemplars,DDGR,0.4072681704260651
All Exemplars,DDGR,0.3501253132832079
All Exemplars,DDGR,0.4453634085213032
All Exemplars,DDGR,0.4300751879699248
All Exemplars,DDGR,0.2997493734335839
All Exemplars,DDGR,0.4556390977443609
All Exemplars,DDGR,0.368671679197995
All Exemplars,DDGR,0.518045112781955
All Exemplars,DDGR,0.3508771929824561
All Exemplars,DDGR,0.4137844611528821
All Exemplars,DDGR,0.4646616541353383
All Exemplars,DDGR,0.4062656641604009
All Exemplars,DDGR,0.4233082706766917
All Exemplars,DDGR,0.4516290726817041
All Exemplars,DDGR,0.3398496240601503
All Exemplars,DDGR,0.4338345864661653
All Exemplars,DDGR,0.3223057644110275
All Exemplars,DDGR,0.3586466165413533
All Exemplars,DDGR,0.3791979949874687
All Exemplars,VAE_Adapt,0.4225563909774436
All Exemplars,VAE_Adapt,0.55062656641604
All Exemplars,VAE_Adapt,0.4037593984962406
All Exemplars,VAE_Adapt,0.6967418546365914
All Exemplars,VAE_Adapt,0.6807017543859649
