Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.3286783042394014
All Exemplars,FeTrIL,0.2334164588528678
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0692556634304207
All Exemplars,FeTrIL,0.063258785942492
All Exemplars,FeTrIL,0.103076923076923
All Exemplars,FeTrIL,0.3913043478260869
All Exemplars,FeTrIL,0.0458598726114649
All Exemplars,FeTrIL,0.0067183462532299
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.3007915567282321
All Exemplars,FeTrIL,0.0641921397379912
All Exemplars,FeTrIL,0.2072649572649572
All Exemplars,FeTrIL,0.1878345498783454
All Exemplars,FeTrIL,0.0514588859416445
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0437229437229437
All Exemplars,FeTrIL,0.0858407079646017
All Exemplars,FeTrIL,0.4129449838187701
All Exemplars,FeTrIL,0.108313539192399
All Exemplars,FeTrIL,0.0153846153846153
All Exemplars,FeTrIL,0.0070080862533692
All Exemplars,FeTrIL,0.1022784810126582
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.1838187702265372
All Exemplars,FeTrIL,0.1419811320754716
All Exemplars,FeTrIL,0.0538043478260869
All Exemplars,FeTrIL,0.0523076923076923
All Exemplars,FeTrIL,0.0837209302325581
All Exemplars,FeTrIL,0.030057803468208
All Exemplars,DDGR,0.1436408977556109
All Exemplars,DDGR,0.2673316708229426
All Exemplars,DDGR,0.104564315352697
All Exemplars,DDGR,0.1857605177993527
All Exemplars,DDGR,0.3437699680511182
All Exemplars,DDGR,0.4128205128205128
All Exemplars,DDGR,0.2031055900621118
All Exemplars,DDGR,0.3019108280254777
All Exemplars,DDGR,0.2687338501291988
All Exemplars,DDGR,0.2921518987341772
All Exemplars,DDGR,0.0580474934036938
All Exemplars,DDGR,0.2161572052401746
All Exemplars,DDGR,0.2508547008547008
All Exemplars,DDGR,0.3007299270072993
All Exemplars,DDGR,0.2286472148541113
All Exemplars,DDGR,0.1638603696098562
All Exemplars,DDGR,0.2718614718614718
All Exemplars,DDGR,0.2243362831858407
All Exemplars,DDGR,0.3637540453074434
All Exemplars,DDGR,0.1581947743467933
All Exemplars,DDGR,0.3940828402366864
All Exemplars,DDGR,0.2900269541778976
All Exemplars,DDGR,0.2491139240506328
All Exemplars,DDGR,0.162295081967213
All Exemplars,DDGR,0.3255663430420711
All Exemplars,DDGR,0.2391509433962264
All Exemplars,DDGR,0.2135869565217391
All Exemplars,DDGR,0.1605128205128204
All Exemplars,DDGR,0.1729386892177589
All Exemplars,DDGR,0.1953757225433525
All Exemplars,VAE_Adapt,0.3750623441396508
All Exemplars,VAE_Adapt,0.5286783042394014
All Exemplars,VAE_Adapt,0.5406639004149377
All Exemplars,VAE_Adapt,0.5391585760517799
All Exemplars,VAE_Adapt,0.6185303514376997
All Exemplars,VAE_Adapt,0.3984615384615385
All Exemplars,VAE_Adapt,0.3590062111801242
All Exemplars,VAE_Adapt,0.4280254777070064
All Exemplars,VAE_Adapt,0.4583979328165374
All Exemplars,VAE_Adapt,0.4086075949367088
All Exemplars,VAE_Adapt,0.2744063324538258
All Exemplars,VAE_Adapt,0.5851528384279475
All Exemplars,VAE_Adapt,0.3217948717948717
All Exemplars,VAE_Adapt,0.6019464720194646
All Exemplars,VAE_Adapt,0.5931034482758621
All Exemplars,VAE_Adapt,0.5075975359342916
All Exemplars,VAE_Adapt,0.4354978354978354
All Exemplars,VAE_Adapt,0.2163716814159291
All Exemplars,VAE_Adapt,0.3281553398058252
All Exemplars,VAE_Adapt,0.6161520190023753
All Exemplars,VAE_Adapt,0.4751479289940828
All Exemplars,VAE_Adapt,0.5994609164420485
All Exemplars,VAE_Adapt,0.5367088607594936
All Exemplars,VAE_Adapt,0.2846994535519125
All Exemplars,VAE_Adapt,0.4627831715210356
All Exemplars,VAE_Adapt,0.6028301886792453
All Exemplars,VAE_Adapt,0.4940217391304348
All Exemplars,VAE_Adapt,0.5461538461538461
All Exemplars,VAE_Adapt,0.4490486257928118
All Exemplars,VAE_Adapt,0.4803468208092486
All Exemplars,VAE_BBox,0.5087281795511222
All Exemplars,VAE_BBox,0.2952618453865337
All Exemplars,VAE_BBox,0.5340248962655602
All Exemplars,VAE_BBox,0.3294498381877022
All Exemplars,VAE_BBox,0.4664536741214056
All Exemplars,VAE_BBox,0.661025641025641
All Exemplars,VAE_BBox,0.1422360248447204
All Exemplars,VAE_BBox,0.2233545647558386
All Exemplars,VAE_BBox,0.517312661498708
All Exemplars,VAE_BBox,0.4055696202531645
All Exemplars,VAE_BBox,0.3746701846965699
All Exemplars,VAE_BBox,0.5179039301310043
All Exemplars,VAE_BBox,0.3957264957264957
All Exemplars,VAE_BBox,0.7357664233576642
All Exemplars,VAE_BBox,0.2360742705570291
All Exemplars,VAE_BBox,0.5039014373716633
All Exemplars,VAE_BBox,0.4445887445887446
All Exemplars,VAE_BBox,0.3592920353982301
All Exemplars,VAE_BBox,0.174757281553398
All Exemplars,VAE_BBox,0.6874109263657958
All Exemplars,VAE_BBox,0.4958579881656804
All Exemplars,VAE_BBox,0.6
All Exemplars,VAE_BBox,0.6151898734177215
All Exemplars,VAE_BBox,0.4398907103825137
All Exemplars,VAE_BBox,0.3592233009708738
All Exemplars,VAE_BBox,0.775
All Exemplars,VAE_BBox,0.6266304347826087
All Exemplars,VAE_BBox,0.6543589743589744
All Exemplars,VAE_BBox,0.5890063424947146
All Exemplars,VAE_BBox,0.2132947976878612
All Exemplars,VAE_Filter,0.5720698254364089
All Exemplars,VAE_Filter,0.3032418952618453
All Exemplars,VAE_Filter,0.3850622406639004
All Exemplars,VAE_Filter,0.3475728155339805
All Exemplars,VAE_Filter,0.4070287539936102
All Exemplars,VAE_Filter,0.6682051282051282
All Exemplars,VAE_Filter,0.3950310559006211
All Exemplars,VAE_Filter,0.197452229299363
All Exemplars,VAE_Filter,0.5023255813953489
All Exemplars,VAE_Filter,0.5164556962025316
All Exemplars,VAE_Filter,0.3693931398416886
All Exemplars,VAE_Filter,0.52882096069869
All Exemplars,VAE_Filter,0.4051282051282051
All Exemplars,VAE_Filter,0.8340632603406325
All Exemplars,VAE_Filter,0.2726790450928382
All Exemplars,VAE_Filter,0.5096509240246406
All Exemplars,VAE_Filter,0.4086580086580086
All Exemplars,VAE_Filter,0.293362831858407
All Exemplars,VAE_Filter,0.1055016181229773
All Exemplars,VAE_Filter,0.66270783847981
All Exemplars,VAE_Filter,0.4159763313609467
All Exemplars,VAE_Filter,0.6873315363881402
All Exemplars,VAE_Filter,0.5594936708860759
All Exemplars,VAE_Filter,0.4005464480874316
All Exemplars,VAE_Filter,0.3546925566343041
All Exemplars,VAE_Filter,0.7679245283018868
All Exemplars,VAE_Filter,0.6402173913043478
All Exemplars,VAE_Filter,0.6938461538461539
All Exemplars,VAE_Filter,0.5471458773784356
All Exemplars,VAE_Filter,0.2676300578034681
All Exemplars,VAE_GMM,0.6124688279301747
All Exemplars,VAE_GMM,0.7556109725685786
All Exemplars,VAE_GMM,0.8439834024896266
All Exemplars,VAE_GMM,0.8420711974110034
All Exemplars,VAE_GMM,0.6051118210862619
All Exemplars,VAE_GMM,0.6989743589743591
All Exemplars,VAE_GMM,0.6534161490683231
All Exemplars,VAE_GMM,0.562632696390658
All Exemplars,VAE_GMM,0.6315245478036176
