Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.7445692883895131
All Exemplars,FeTrIL,0.9668571428571427
All Exemplars,FeTrIL,0.8130232558139536
All Exemplars,FeTrIL,0.9890909090909092
All Exemplars,FeTrIL,0.9719626168224298
All Exemplars,FeTrIL,0.9725714285714286
All Exemplars,FeTrIL,0.9254901960784314
All Exemplars,FeTrIL,0.8826254826254827
All Exemplars,FeTrIL,0.78
All Exemplars,FeTrIL,0.7791044776119402
All Exemplars,FeTrIL,0.728735632183908
All Exemplars,FeTrIL,0.9707865168539328
All Exemplars,FeTrIL,0.964824120603015
All Exemplars,FeTrIL,0.8669767441860465
All Exemplars,FeTrIL,0.9693069306930694
All Exemplars,FeTrIL,0.9455938697318008
All Exemplars,FeTrIL,0.69453125
All Exemplars,FeTrIL,0.9036269430051816
All Exemplars,FeTrIL,0.6900523560209424
All Exemplars,FeTrIL,0.8762790697674419
All Exemplars,FeTrIL,0.9690909090909092
All Exemplars,FeTrIL,0.9668571428571427
All Exemplars,FeTrIL,0.8063636363636364
All Exemplars,FeTrIL,0.964485981308411
All Exemplars,FeTrIL,0.9527272727272728
All Exemplars,FeTrIL,0.9291262135922332
All Exemplars,FeTrIL,0.9875
All Exemplars,FeTrIL,0.9725714285714286
All Exemplars,FeTrIL,0.9707865168539328
All Exemplars,FeTrIL,0.971641791044776
All Exemplars,DDGR,0.2996254681647939
All Exemplars,DDGR,0.2754285714285714
All Exemplars,DDGR,0.3283720930232558
All Exemplars,DDGR,0.8690909090909091
All Exemplars,DDGR,0.1700934579439252
All Exemplars,DDGR,0.3611428571428571
All Exemplars,DDGR,0.7676470588235293
All Exemplars,DDGR,0.3536679536679536
All Exemplars,DDGR,0.6033333333333333
All Exemplars,DDGR,0.5358208955223881
All Exemplars,DDGR,0.1134099616858237
All Exemplars,DDGR,0.1647940074906367
All Exemplars,DDGR,0.250251256281407
All Exemplars,DDGR,0.4009302325581395
All Exemplars,DDGR,0.5089108910891088
All Exemplars,DDGR,0.2168582375478926
