Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Method
All Exemplars,0.9938461538461538,0.7112820512820515,0.2716577540106952,0.13298429319371724,FeTrIL
All Exemplars,0.9963963963963964,0.5112820512820513,0.16892857142857137,0.1335078534031413,FeTrIL
All Exemplars,1.0,0.6852941176470588,0.2694772344013491,0.1335078534031413,FeTrIL
All Exemplars,0.9965811965811966,0.47003154574132483,0.1395659432387312,0.1256544502617801,FeTrIL
All Exemplars,1.0,0.7588850174216029,0.10052724077328641,0.1295811518324607,FeTrIL
All Exemplars,0.9891891891891891,0.21326530612244893,0.1811722912966252,0.1335078534031413,FeTrIL
All Exemplars,0.9906432748538012,0.7115789473684211,0.1995901639344262,0.23560209424083772,FeTrIL
All Exemplars,0.9959595959595958,0.6557377049180328,0.18055555555555558,0.1321989528795811,FeTrIL
All Exemplars,0.9928571428571429,0.5555555555555556,0.2930481283422459,0.13246073298429314,FeTrIL
All Exemplars,1.0,0.6223918575063613,0.25,0.13115183246073295,FeTrIL
All Exemplars,0.997979797979798,0.8621794871794872,0.42655601659751036,0.23560209424083772,FeTrIL
All Exemplars,0.995897435897436,0.5984924623115577,0.22873786407766977,0.23560209424083772,FeTrIL
All Exemplars,0.99,0.64,0.1468315301391035,0.1335078534031413,FeTrIL
All Exemplars,1.0,0.5843298969072165,0.30050083472454087,0.10445026178010468,FeTrIL
All Exemplars,0.9940298507462687,0.714102564102564,0.2104553119730185,0.1335078534031413,FeTrIL
All Exemplars,0.997979797979798,0.5144654088050314,0.1703204047217538,0.1335078534031413,FeTrIL
All Exemplars,1.0,0.758695652173913,0.4610309278350515,0.23560209424083772,FeTrIL
All Exemplars,0.9763546798029556,0.6488778054862843,0.17609841827768008,0.23560209424083772,FeTrIL
All Exemplars,1.0,0.6794952681388013,0.29010600706713774,0.1335078534031413,FeTrIL
All Exemplars,1.0,0.6623893805309734,0.34280639431616333,0.13115183246073292,FeTrIL
All Exemplars,0.9982905982905983,0.3748633879781421,0.14734982332155475,0.1335078534031413,FeTrIL
All Exemplars,0.990990990990991,0.35936507936507933,0.16155339805825236,0.23560209424083772,FeTrIL
All Exemplars,1.0,0.8737913486005089,0.5786096256684491,0.1321989528795811,FeTrIL
All Exemplars,1.0,0.6171974522292993,0.2802841918294849,0.1335078534031413,FeTrIL
All Exemplars,0.9982905982905983,0.6220820189274449,0.2501766784452296,0.1335078534031413,FeTrIL
All Exemplars,0.9918128654970761,0.3607064017660044,0.1953900709219858,0.13167539267015702,FeTrIL
All Exemplars,1.0,0.6420382165605095,0.2593250444049734,0.1335078534031413,FeTrIL
All Exemplars,0.990990990990991,0.14489795918367343,0.1689713322091062,0.1335078534031413,FeTrIL
All Exemplars,0.9969230769230769,0.6912568306010929,0.1536028119507908,0.23560209424083772,FeTrIL
All Exemplars,1.0,0.8363636363636363,0.2746428571428571,0.1335078534031413,FeTrIL
All Exemplars,0.9969230769230769,0.6938461538461539,0.5750445632798573,0.43115183246073296,DDGR
All Exemplars,0.990990990990991,0.9364102564102564,0.6282142857142856,0.40366492146596855,DDGR
All Exemplars,1.0,0.6407563025210085,0.5065767284991568,0.37120418848167536,DDGR
All Exemplars,0.9965811965811966,0.8921135646687697,0.5232053422370618,0.4672774869109947,DDGR
All Exemplars,1.0,0.6334494773519164,0.5789103690685413,0.500261780104712,DDGR
All Exemplars,0.9963963963963964,0.9642857142857144,0.7214920071047957,0.40890052356020934,DDGR
All Exemplars,0.9906432748538011,0.8021052631578947,0.6573770491803279,0.5638743455497381,DDGR
All Exemplars,0.9969696969696968,0.6076502732240436,0.546604938271605,0.3819371727748691,DDGR
All Exemplars,0.9904761904761905,0.8724014336917563,0.6531194295900178,0.49188481675392665,DDGR
All Exemplars,1.0,0.6844783715012722,0.5439716312056737,0.4130890052356021,DDGR
All Exemplars,0.997979797979798,0.5294871794871796,0.5282157676348547,0.4345549738219895,DDGR
All Exemplars,0.9969230769230769,0.6723618090452261,0.421747572815534,0.44136125654450264,DDGR
All Exemplars,0.9880000000000001,0.650958904109589,0.5474497681607419,0.3963350785340314,DDGR
All Exemplars,1.0,0.6470103092783506,0.2994991652754591,0.3785340314136126,DDGR
All Exemplars,0.9900497512437811,0.6858974358974359,0.642158516020236,0.4513089005235601,DDGR
All Exemplars,1.0,0.6955974842767295,0.6172006745362564,0.39450261780104706,DDGR
All Exemplars,1.0,0.616304347826087,0.511340206185567,0.47539267015706804,DDGR
All Exemplars,0.9822660098522167,0.6932668329177059,0.48189806678383124,0.4479057591623037,DDGR
All Exemplars,1.0,0.5305993690851735,0.49293286219081267,0.45602094240837693,DDGR
All Exemplars,1.0,0.5769911504424778,0.4724689165186501,0.4041884816753926,DDGR
All Exemplars,0.9931623931623932,0.7295081967213115,0.48975265017667846,0.4321989528795812,DDGR
All Exemplars,0.9963963963963964,0.9523809523809523,0.5533980582524272,0.4505235602094241,DDGR
All Exemplars,0.999290780141844,0.7053435114503818,0.5233511586452763,0.4620418848167539,DDGR
All Exemplars,1.0,0.7656050955414013,0.5609236234458259,0.4816753926701571,DDGR
All Exemplars,0.9948717948717949,0.8801261829652998,0.5593639575971732,0.4630890052356021,DDGR
All Exemplars,0.9871345029239766,0.7099337748344371,0.5939716312056738,0.47748691099476437,DDGR
All Exemplars,1.0,0.7044585987261146,0.5779751332149201,0.4764397905759162,DDGR
All Exemplars,0.9963963963963964,0.9545918367346939,0.6178752107925801,0.40942408376963346,DDGR
All Exemplars,0.9938461538461538,0.6841530054644809,0.4323374340949033,0.4306282722513089,DDGR
All Exemplars,0.9989743589743589,0.6650137741046833,0.5053571428571428,0.4175392670157068,DDGR
All Exemplars,0.9928205128205129,0.9317948717948719,0.6281639928698752,0.4895287958115183,VAE_Adapt
All Exemplars,0.9927927927927926,0.8902564102564103,0.7203571428571429,0.6337696335078535,VAE_Adapt
All Exemplars,1.0,0.8512605042016806,0.7086003372681281,0.4295811518324607,VAE_Adapt
All Exemplars,0.9931623931623932,0.8201892744479495,0.8547579298831385,0.6649214659685865,VAE_Adapt
All Exemplars,1.0,0.9386759581881534,0.8372583479789103,0.6628272251308901,VAE_Adapt
All Exemplars,0.9945945945945945,0.9596938775510203,0.6909413854351687,0.5120418848167538,VAE_Adapt
All Exemplars,0.9906432748538012,0.7101754385964911,0.6766393442622951,0.6091623036649214,VAE_Adapt
All Exemplars,0.9929292929292929,0.7666666666666667,0.6682098765432098,0.5725130890052356,VAE_Adapt
All Exemplars,0.9928571428571429,0.8939068100358423,0.7540106951871659,0.6044502617801047,VAE_Adapt
All Exemplars,1.0,0.8295165394402035,0.6797872340425533,0.6235602094240837,VAE_Adapt
All Exemplars,0.997979797979798,0.9852564102564102,0.6514522821576764,0.581937172774869,VAE_Adapt
All Exemplars,0.9938461538461538,0.9155778894472361,0.6737864077669904,0.5916230366492147,VAE_Adapt
All Exemplars,0.9889999999999999,0.9172602739726028,0.637403400309119,0.49319371727748695,VAE_Adapt
All Exemplars,1.0,0.8639175257731958,0.5816360601001669,0.4007853403141361,VAE_Adapt
All Exemplars,0.9900497512437811,0.9455128205128205,0.7871838111298483,0.5494764397905759,VAE_Adapt
All Exemplars,0.997979797979798,0.9765199161425576,0.8623946037099494,0.5057591623036649,VAE_Adapt
All Exemplars,0.998984771573604,0.8809782608695652,0.6622680412371135,0.630890052356021,VAE_Adapt
All Exemplars,0.9802955665024632,0.9346633416458854,0.6755711775043937,0.5547120418848167,VAE_Adapt
All Exemplars,1.0,0.9381703470031546,0.7876325088339223,0.6340314136125654,VAE_Adapt
All Exemplars,1.0,0.8132743362831858,0.6341030195381883,0.5261780104712042,VAE_Adapt
All Exemplars,0.9982905982905983,0.8316939890710383,0.672791519434629,0.6240837696335079,VAE_Adapt
All Exemplars,0.9981981981981981,0.8425396825396826,0.7666019417475728,0.6725130890052357,VAE_Adapt
All Exemplars,0.9985815602836879,0.9460559796437659,0.752584670231729,0.587434554973822,VAE_Adapt
All Exemplars,1.0,0.9369426751592357,0.7222024866785081,0.5272251308900524,VAE_Adapt
All Exemplars,0.9965811965811966,0.7924290220820189,0.7865724381625441,0.6267015706806283,VAE_Adapt
All Exemplars,0.9883040935672515,0.9832229580573951,0.824468085106383,0.6314136125654449,VAE_Adapt
All Exemplars,1.0,0.954140127388535,0.7253996447602132,0.5793193717277486,VAE_Adapt
All Exemplars,0.990990990990991,0.9469387755102041,0.7440134907251265,0.6115183246073299,VAE_Adapt
All Exemplars,0.9938461538461538,0.8814207650273224,0.7103690685413004,0.601047120418848,VAE_Adapt
All Exemplars,1.0,0.7168044077134986,0.7367857142857143,0.6947643979057593,VAE_Adapt
All Exemplars,0.9907692307692308,0.9923076923076923,0.7215686274509803,0.4897905759162303,VAE_BBox
All Exemplars,0.9963963963963964,0.9579487179487179,0.6224999999999999,0.6863874345549739,VAE_BBox
All Exemplars,1.0,0.9067226890756303,0.7409780775716694,0.5204188481675392,VAE_BBox
All Exemplars,0.9982905982905983,0.9287066246056783,0.7058430717863106,0.581675392670157,VAE_BBox
