Exemplar_Size,Task 2,Task 3,Task 4,Method
All Exemplars,0.5887179487179488,0.36257309941520466,0.5004926108374386,FeTrIL
All Exemplars,0.37992831541218636,0.556470588235294,0.5,FeTrIL
All Exemplars,0.41230769230769226,0.6974358974358974,0.5964912280701754,FeTrIL
All Exemplars,0.173,0.1446808510638298,0.5818181818181818,FeTrIL
All Exemplars,0.5964912280701754,0.12269503546099289,0.5076923076923077,FeTrIL
All Exemplars,0.0,0.5964912280701754,0.5074626865671642,FeTrIL
All Exemplars,0.7105263157894737,0.06798029556650245,0.6521739130434783,FeTrIL
All Exemplars,0.25714285714285706,0.3446808510638298,0.8706896551724139,FeTrIL
All Exemplars,0.4246153846153846,0.5829787234042554,0.49852216748768485,FeTrIL
All Exemplars,0.2767676767676767,0.575438596491228,0.501,FeTrIL
All Exemplars,0.8192982456140351,0.2929411764705882,0.6382978723404256,FeTrIL
All Exemplars,0.225615763546798,0.8717948717948719,0.7228915662650605,FeTrIL
All Exemplars,0.22666666666666666,0.21702127659574472,0.8717948717948719,FeTrIL
All Exemplars,0.3196078431372548,0.4280701754385965,0.4836363636363636,FeTrIL
All Exemplars,0.5765765765765766,0.14377224199288258,0.5964912280701754,FeTrIL
All Exemplars,0.32616487455197135,0.8706896551724139,0.5964912280701754,FeTrIL
All Exemplars,0.48771929824561394,0.8615384615384617,0.6451612903225806,FeTrIL
All Exemplars,0.32121212121212117,0.2357142857142857,0.9230769230769231,FeTrIL
All Exemplars,0.5052631578947369,0.5783132530120484,0.5151515151515151,FeTrIL
All Exemplars,0.33216374269005844,0.7153153153153153,0.49850746268656715,FeTrIL
All Exemplars,0.15100401606425698,0.40199999999999997,0.5151515151515151,FeTrIL
All Exemplars,0.10196078431372549,0.29900000000000004,0.7228915662650605,FeTrIL
All Exemplars,0.5585585585585585,0.5226190476190476,0.497536945812808,FeTrIL
All Exemplars,0.39595959595959596,0.6337349397590363,0.5074626865671642,FeTrIL
All Exemplars,0.4029999999999999,0.4891566265060242,0.5151515151515151,FeTrIL
All Exemplars,0.00709219858156028,0.518918918918919,0.503,FeTrIL
All Exemplars,0.42944162436548217,0.47550200803212855,0.5074626865671642,FeTrIL
All Exemplars,0.0,0.49850746268656715,0.5964912280701754,FeTrIL
All Exemplars,0.43274853801169594,0.0995073891625616,0.9230769230769231,FeTrIL
All Exemplars,0.6476190476190476,0.30761421319796955,0.5,FeTrIL
All Exemplars,0.997948717948718,0.9894736842105264,1.0,DDGR
All Exemplars,0.9985663082437275,0.9882352941176473,0.9980392156862745,DDGR
All Exemplars,0.995897435897436,0.9948717948717949,0.982456140350877,DDGR
All Exemplars,0.9870000000000001,0.997872340425532,0.9866666666666667,DDGR
All Exemplars,0.9883040935672515,0.9985815602836879,0.9917948717948718,DDGR
All Exemplars,0.997864768683274,0.9836257309941521,0.9820895522388058,DDGR
All Exemplars,0.9947368421052634,0.9773399014778326,0.9971014492753622,DDGR
All Exemplars,0.9857142857142858,0.9971631205673759,0.9948275862068966,DDGR
All Exemplars,0.9948717948717947,0.9985815602836879,0.9783251231527095,DDGR
All Exemplars,0.997979797979798,0.9941520467836258,0.9829999999999999,DDGR
All Exemplars,0.9982456140350877,0.991764705882353,0.9985815602836879,DDGR
All Exemplars,1.0,0.9948717948717949,0.9959839357429718,DDGR
All Exemplars,0.9854545454545456,0.997872340425532,0.9931623931623934,DDGR
All Exemplars,0.996078431372549,1.0,0.9842424242424244,DDGR
All Exemplars,0.9945945945945948,0.9985765124555159,0.9883040935672515,DDGR
All Exemplars,0.9992831541218639,0.993103448275862,0.9906432748538012,DDGR
All Exemplars,0.9883040935672515,0.9982905982905983,0.9978494623655914,DDGR
All Exemplars,0.9939393939393939,0.9845238095238095,0.9938461538461538,DDGR
All Exemplars,0.9982456140350877,0.9983935742971888,0.998989898989899,DDGR
All Exemplars,0.9883040935672515,0.9891891891891891,0.9920398009950249,DDGR
All Exemplars,0.9975903614457831,0.9860000000000001,0.997979797979798,DDGR
All Exemplars,0.9941176470588236,0.9880000000000001,0.9951807228915662,DDGR
All Exemplars,0.9963963963963964,0.9869047619047618,1.0,DDGR
All Exemplars,0.9909090909090909,0.9983935742971888,0.9810945273631839,DDGR
All Exemplars,0.9870000000000001,0.9943775100401606,0.998989898989899,DDGR
All Exemplars,0.9971631205673759,0.990990990990991,0.9860000000000001,DDGR
All Exemplars,1.0,0.9975903614457831,0.991044776119403,DDGR
All Exemplars,0.99644128113879,0.9920398009950249,0.9883040935672515,DDGR
All Exemplars,0.9883040935672515,1.0,0.9907692307692308,DDGR
All Exemplars,0.9857142857142858,0.9939086294416242,0.9980392156862745,DDGR
All Exemplars,1.0,0.9906432748538012,1.0,VAE_Adapt
