Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.2374999999999999
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.118007662835249
All Exemplars,FeTrIL,0.0049019607843137
All Exemplars,FeTrIL,0.0640350877192982
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.530841121495327
All Exemplars,FeTrIL,0.1833333333333333
All Exemplars,FeTrIL,0.0227722772277227
All Exemplars,FeTrIL,0.0805825242718446
All Exemplars,FeTrIL,0.2366666666666666
All Exemplars,FeTrIL,0.6309090909090909
All Exemplars,FeTrIL,0.0063604240282685
All Exemplars,FeTrIL,0.0227722772277227
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0813559322033897
All Exemplars,FeTrIL,0.2520408163265306
All Exemplars,FeTrIL,0.0333333333333333
All Exemplars,FeTrIL,0.2895522388059701
All Exemplars,FeTrIL,0.0037174721189591
All Exemplars,FeTrIL,0.05929203539823
All Exemplars,FeTrIL,0.3841584158415841
All Exemplars,FeTrIL,0.3516666666666666
All Exemplars,FeTrIL,0.0007067137809187
All Exemplars,FeTrIL,0.0009302325581395
All Exemplars,FeTrIL,0.2981818181818181
All Exemplars,FeTrIL,0.1229681978798586
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.1124378109452736
All Exemplars,FeTrIL,0.0
All Exemplars,DDGR,0.9875
All Exemplars,DDGR,0.9811320754716982
All Exemplars,DDGR,0.9708812260536398
All Exemplars,DDGR,0.9735294117647058
All Exemplars,DDGR,0.9859649122807016
All Exemplars,DDGR,0.987719298245614
All Exemplars,DDGR,0.9925233644859814
All Exemplars,DDGR,0.9705882352941178
All Exemplars,DDGR,0.996039603960396
All Exemplars,DDGR,0.9679611650485438
All Exemplars,DDGR,0.995
All Exemplars,DDGR,0.990909090909091
All Exemplars,DDGR,0.968904593639576
All Exemplars,DDGR,0.992079207920792
All Exemplars,DDGR,0.9738515901060072
All Exemplars,DDGR,0.9864406779661016
All Exemplars,DDGR,0.9836734693877552
All Exemplars,DDGR,0.9901960784313726
All Exemplars,DDGR,0.9940298507462688
All Exemplars,DDGR,0.9680297397769516
All Exemplars,DDGR,0.9938053097345132
All Exemplars,DDGR,0.994059405940594
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9731448763250884
All Exemplars,DDGR,0.9972093023255816
All Exemplars,DDGR,0.9963636363636365
All Exemplars,DDGR,0.9717314487632508
All Exemplars,DDGR,0.993717277486911
All Exemplars,DDGR,0.9800995024875622
All Exemplars,DDGR,0.9591078066914498
All Exemplars,VAE_Adapt,0.9875
All Exemplars,VAE_Adapt,0.9867924528301886
All Exemplars,VAE_Adapt,0.9701149425287356
All Exemplars,VAE_Adapt,0.9705882352941178
All Exemplars,VAE_Adapt,0.9903508771929824
All Exemplars,VAE_Adapt,0.9921052631578948
All Exemplars,VAE_Adapt,0.9981308411214954
All Exemplars,VAE_Adapt,0.9745098039215684
All Exemplars,VAE_Adapt,0.993069306930693
All Exemplars,VAE_Adapt,0.9728155339805828
All Exemplars,VAE_Adapt,0.9966666666666668
All Exemplars,VAE_Adapt,0.9981818181818184
All Exemplars,VAE_Adapt,0.9787985865724382
All Exemplars,VAE_Adapt,0.993069306930693
All Exemplars,VAE_Adapt,0.974558303886926
All Exemplars,VAE_Adapt,0.9864406779661016
All Exemplars,VAE_Adapt,0.9775510204081634
All Exemplars,VAE_Adapt,0.9901960784313726
All Exemplars,VAE_Adapt,0.9970149253731344
All Exemplars,VAE_Adapt,0.9657992565055762
All Exemplars,VAE_Adapt,0.9938053097345132
All Exemplars,VAE_Adapt,0.9950495049504952
All Exemplars,VAE_Adapt,0.9966666666666668
All Exemplars,VAE_Adapt,0.9724381625441696
All Exemplars,VAE_Adapt,0.9990697674418604
All Exemplars,VAE_Adapt,0.9963636363636365
All Exemplars,VAE_Adapt,0.9745583038869258
All Exemplars,VAE_Adapt,0.9968586387434556
All Exemplars,VAE_Adapt,0.9880597014925374
All Exemplars,VAE_Adapt,0.9628252788104088
All Exemplars,VAE_BBox,0.9910714285714286
All Exemplars,VAE_BBox,0.9886792452830188
All Exemplars,VAE_BBox,0.970114942528736
All Exemplars,VAE_BBox,0.9754901960784312
All Exemplars,VAE_BBox,0.987719298245614
All Exemplars,VAE_BBox,0.9912280701754388
All Exemplars,VAE_BBox,0.994392523364486
All Exemplars,VAE_BBox,0.9666666666666668
All Exemplars,VAE_BBox,0.994059405940594
All Exemplars,VAE_BBox,0.971844660194175
All Exemplars,VAE_BBox,0.9966666666666668
All Exemplars,VAE_BBox,0.990909090909091
All Exemplars,VAE_BBox,0.9696113074204944
All Exemplars,VAE_BBox,0.9950495049504952
All Exemplars,VAE_BBox,0.976678445229682
All Exemplars,VAE_BBox,0.9864406779661016
All Exemplars,VAE_BBox,0.9836734693877552
All Exemplars,VAE_BBox,0.9921568627450984
All Exemplars,VAE_BBox,0.9925373134328356
All Exemplars,VAE_BBox,0.9635687732342006
All Exemplars,VAE_BBox,0.9938053097345132
All Exemplars,VAE_BBox,0.992079207920792
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9780918727915194
All Exemplars,VAE_BBox,0.9972093023255816
All Exemplars,VAE_BBox,0.9963636363636365
All Exemplars,VAE_BBox,0.9780918727915195
All Exemplars,VAE_BBox,0.9968586387434556
All Exemplars,VAE_BBox,0.9880597014925372
All Exemplars,VAE_BBox,0.9680297397769518
All Exemplars,VAE_Filter,0.9767857142857144
All Exemplars,VAE_Filter,0.9924528301886792
All Exemplars,VAE_Filter,0.970114942528736
All Exemplars,VAE_Filter,0.9705882352941178
All Exemplars,VAE_Filter,0.986842105263158
All Exemplars,VAE_Filter,0.987719298245614
All Exemplars,VAE_Filter,0.9981308411214954
All Exemplars,VAE_Filter,0.9745098039215688
All Exemplars,VAE_Filter,0.994059405940594
All Exemplars,VAE_Filter,0.9737864077669908
All Exemplars,VAE_Filter,0.9916666666666668
All Exemplars,VAE_Filter,0.9927272727272728
All Exemplars,VAE_Filter,0.982332155477032
All Exemplars,VAE_Filter,0.993069306930693
All Exemplars,VAE_Filter,0.9710247349823324
All Exemplars,VAE_Filter,0.9864406779661016
All Exemplars,VAE_Filter,0.9806122448979592
All Exemplars,VAE_Filter,0.9901960784313728
All Exemplars,VAE_Filter,0.9985074626865672
All Exemplars,VAE_Filter,0.9643122676579926
All Exemplars,VAE_Filter,0.9955752212389382
All Exemplars,VAE_Filter,0.9950495049504952
All Exemplars,VAE_Filter,0.995
All Exemplars,VAE_Filter,0.9773851590106004
All Exemplars,VAE_Filter,0.996279069767442
All Exemplars,VAE_Filter,0.9927272727272728
All Exemplars,VAE_Filter,0.9780918727915194
All Exemplars,VAE_Filter,0.9968586387434556
All Exemplars,VAE_Filter,0.983084577114428
All Exemplars,VAE_Filter,0.9657992565055764
All Exemplars,VAE_GMM,0.9928571428571428
All Exemplars,VAE_GMM,0.9867924528301886
All Exemplars,VAE_GMM,0.970114942528736
All Exemplars,VAE_GMM,0.9784313725490196
All Exemplars,VAE_GMM,0.9921052631578948
All Exemplars,VAE_GMM,0.9903508771929824
All Exemplars,VAE_GMM,0.994392523364486
All Exemplars,VAE_GMM,0.9754901960784316
All Exemplars,VAE_GMM,0.994059405940594
All Exemplars,VAE_GMM,0.966990291262136
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.990909090909091
All Exemplars,VAE_GMM,0.978798586572438
All Exemplars,VAE_GMM,0.993069306930693
All Exemplars,VAE_GMM,0.9745583038869258
All Exemplars,VAE_GMM,0.9915254237288136
All Exemplars,VAE_GMM,0.9785714285714286
All Exemplars,VAE_GMM,0.9901960784313726
All Exemplars,VAE_GMM,0.9955223880597014
All Exemplars,VAE_GMM,0.9591078066914498
All Exemplars,VAE_GMM,0.9946902654867256
All Exemplars,VAE_GMM,0.9950495049504952
All Exemplars,VAE_GMM,0.995
All Exemplars,VAE_GMM,0.9752650176678446
All Exemplars,VAE_GMM,0.9990697674418604
All Exemplars,VAE_GMM,0.9927272727272728
All Exemplars,VAE_GMM,0.9773851590106004
All Exemplars,VAE_GMM,0.9968586387434556
All Exemplars,VAE_GMM,0.982089552238806
All Exemplars,VAE_GMM,0.9643122676579924
