Exemplar_Size,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.40854700854700854,0.01739130434782608,1.0,1.0,FeTrIL
All Exemplars,0.3702380952380952,0.6,1.0,1.0,FeTrIL
All Exemplars,0.24646464646464641,0.30666666666666675,0.8,1.0,FeTrIL
All Exemplars,0.1353233830845771,0.8,1.0,1.0,FeTrIL
All Exemplars,0.07068273092369476,0.6,1.0,1.0,FeTrIL
All Exemplars,0.00240963855421686,1.0,1.0,1.0,FeTrIL
All Exemplars,0.49482758620689654,0.0,1.0,1.0,FeTrIL
All Exemplars,0.3940298507462687,1.0,1.0,0.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.18362573099415205,0.4568627450980392,1.0,1.0,FeTrIL
All Exemplars,0.2952380952380952,0.0,1.0,1.0,FeTrIL
All Exemplars,0.3162393162393163,0.0,1.0,1.0,FeTrIL
All Exemplars,0.03188405797101448,1.0,0.2,1.0,FeTrIL
All Exemplars,0.3761194029850746,0.64,1.0,1.0,FeTrIL
All Exemplars,0.038405797101449264,1.0,1.0,1.0,FeTrIL
All Exemplars,0.7105263157894737,0.0,1.0,0.6,FeTrIL
All Exemplars,0.17843137254901958,0.56,1.0,1.0,FeTrIL
All Exemplars,0.040935672514619825,0.2080808080808081,1.0,0.0,FeTrIL
All Exemplars,0.25435897435897437,0.4,1.0,1.0,FeTrIL
All Exemplars,0.2812121212121212,0.32,0.4,1.0,FeTrIL
All Exemplars,0.12473118279569892,1.0,1.0,1.0,FeTrIL
All Exemplars,0.18308457711442783,1.0,1.0,1.0,FeTrIL
All Exemplars,0.5595238095238095,0.0,1.0,1.0,FeTrIL
All Exemplars,0.020289855072463763,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.4512820512820513,0.05,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.17931034482758618,1.0,1.0,1.0,FeTrIL
All Exemplars,0.3258823529411764,1.0,0.2,1.0,FeTrIL
All Exemplars,0.13818181818181813,0.9861386138613861,1.0,1.0,FeTrIL
All Exemplars,0.9982905982905983,0.9913043478260869,1.0,1.0,DDGR
All Exemplars,0.9857142857142858,1.0,0.9980392156862745,1.0,DDGR
All Exemplars,0.997979797979798,0.9733333333333333,1.0,0.9971014492753623,DDGR
All Exemplars,0.9830845771144278,0.9988888888888889,0.9942028985507246,1.0,DDGR
All Exemplars,0.9943775100401606,1.0,0.995959595959596,1.0,DDGR
All Exemplars,0.9951807228915662,1.0,0.997979797979798,0.9980392156862745,DDGR
All Exemplars,0.9982758620689655,0.9980392156862745,0.9988888888888889,1.0,DDGR
All Exemplars,0.982089552238806,0.9988888888888889,1.0,0.9733333333333333,DDGR
All Exemplars,0.9920398009950249,0.9966666666666667,1.0,0.996078431372549,DDGR
All Exemplars,0.9894736842105264,1.0,1.0,0.9939393939393939,DDGR
All Exemplars,0.9952380952380953,1.0,1.0,1.0,DDGR
All Exemplars,0.9965811965811966,1.0,0.9855072463768115,0.9988888888888889,DDGR
All Exemplars,0.998550724637681,1.0,0.9733333333333333,1.0,DDGR
All Exemplars,0.9880597014925374,0.9866666666666667,0.9971014492753623,0.9958333333333332,DDGR
All Exemplars,0.9992753623188406,1.0,0.9855072463768118,0.9980392156862745,DDGR
All Exemplars,1.0,1.0,1.0,0.9855072463768118,DDGR
All Exemplars,0.9950980392156863,0.9733333333333333,1.0,0.9988888888888889,DDGR
All Exemplars,0.9871345029239766,0.997979797979798,1.0,0.9733333333333333,DDGR
All Exemplars,0.9969230769230769,0.9913043478260869,1.0,1.0,DDGR
All Exemplars,0.9927272727272728,1.0,0.997979797979798,1.0,DDGR
All Exemplars,0.9949820788530467,1.0,1.0,1.0,DDGR
All Exemplars,0.9870646766169153,1.0,0.982608695652174,0.9977777777777778,DDGR
All Exemplars,0.9904761904761905,0.995959595959596,1.0,1.0,DDGR
All Exemplars,0.9992753623188406,0.9971014492753623,0.997979797979798,1.0,DDGR
All Exemplars,0.9957295373665481,0.9884057971014494,1.0,0.9979166666666668,DDGR
All Exemplars,0.9982905982905983,1.0,0.995959595959596,1.0,DDGR
All Exemplars,0.998550724637681,0.9913043478260871,0.997979797979798,1.0,DDGR
All Exemplars,1.0,0.995959595959596,0.9855072463768115,0.9941176470588238,DDGR
All Exemplars,0.9882352941176473,1.0,0.9733333333333333,0.9966666666666665,DDGR
All Exemplars,0.9854545454545456,1.0,0.9980392156862745,1.0,DDGR
All Exemplars,0.9965811965811966,0.9942028985507246,1.0,0.998019801980198,VAE_Adapt
All Exemplars,0.9857142857142858,1.0,0.9921568627450981,1.0,VAE_Adapt
All Exemplars,0.9969696969696968,0.9866666666666667,1.0,1.0,VAE_Adapt
All Exemplars,0.9810945273631841,1.0,0.9884057971014493,1.0,VAE_Adapt
All Exemplars,0.9951807228915662,1.0,1.0,1.0,VAE_Adapt
All Exemplars,0.9959839357429718,1.0,1.0,1.0,VAE_Adapt
All Exemplars,0.9965517241379309,1.0,1.0,1.0,VAE_Adapt
All Exemplars,0.9830845771144279,0.9977777777777778,1.0,1.0,VAE_Adapt
All Exemplars,0.9880597014925373,0.9988888888888889,1.0,0.996078431372549,VAE_Adapt
All Exemplars,0.9906432748538012,1.0,1.0,1.0,VAE_Adapt
All Exemplars,0.9880952380952381,1.0,1.0,0.9988888888888889,VAE_Adapt
All Exemplars,0.9965811965811966,1.0,0.9826086956521738,1.0,VAE_Adapt
All Exemplars,1.0,1.0,0.9866666666666667,0.9980392156862745,VAE_Adapt
All Exemplars,0.991044776119403,0.9733333333333333,0.9942028985507246,1.0,VAE_Adapt
All Exemplars,1.0,0.998019801980198,0.9884057971014493,1.0,VAE_Adapt
All Exemplars,0.9964912280701755,1.0,1.0,0.9942028985507246,VAE_Adapt
All Exemplars,0.9941176470588238,0.9733333333333333,1.0,1.0,VAE_Adapt
All Exemplars,0.9871345029239768,0.9939393939393939,1.0,1.0,VAE_Adapt
All Exemplars,0.9989743589743589,0.9942028985507246,0.9980392156862745,1.0,VAE_Adapt
All Exemplars,0.9927272727272729,1.0,1.0,1.0,VAE_Adapt
All Exemplars,0.9971326164874551,1.0,1.0,1.0,VAE_Adapt
All Exemplars,0.9930348258706468,0.998019801980198,0.9855072463768115,1.0,VAE_Adapt
All Exemplars,0.9952380952380953,1.0,1.0,1.0,VAE_Adapt
All Exemplars,1.0,0.9913043478260871,1.0,1.0,VAE_Adapt
All Exemplars,0.9985765124555159,1.0,1.0,1.0,VAE_Adapt
All Exemplars,0.9982905982905983,1.0,1.0,1.0,VAE_Adapt
All Exemplars,0.998550724637681,0.9942028985507246,1.0,0.9980392156862745,VAE_Adapt
All Exemplars,1.0,1.0,0.9826086956521738,0.9941176470588238,VAE_Adapt
All Exemplars,0.9905882352941177,1.0,1.0,1.0,VAE_Adapt
All Exemplars,0.9890909090909092,0.998019801980198,1.0,1.0,VAE_Adapt
All Exemplars,0.9931623931623932,0.9942028985507246,1.0,0.998019801980198,VAE_BBox
All Exemplars,0.9857142857142858,0.998019801980198,1.0,1.0,VAE_BBox
All Exemplars,0.998989898989899,0.96,1.0,1.0,VAE_BBox
All Exemplars,0.9860696517412937,0.9988888888888889,0.9971014492753623,1.0,VAE_BBox
All Exemplars,0.9919678714859437,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9967871485943774,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9913793103448276,1.0,0.9977777777777778,1.0,VAE_BBox
All Exemplars,0.9791044776119403,1.0,1.0,0.9866666666666667,VAE_BBox
All Exemplars,0.9900497512437811,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9883040935672515,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9928571428571427,1.0,1.0,0.9988888888888889,VAE_BBox
All Exemplars,1.0,0.9980392156862745,1.0,0.9988888888888889,VAE_BBox
All Exemplars,1.0,1.0,0.9733333333333334,1.0,VAE_BBox
All Exemplars,0.9860696517412935,1.0,0.9971014492753623,1.0,VAE_BBox
All Exemplars,0.9992753623188406,0.998019801980198,0.9971014492753623,1.0,VAE_BBox
All Exemplars,0.9947368421052631,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9941176470588238,0.9733333333333333,1.0,0.9977777777777778,VAE_BBox
All Exemplars,0.9906432748538012,0.997979797979798,0.9977777777777778,0.9866666666666667,VAE_BBox
All Exemplars,0.9969230769230769,0.9884057971014493,0.9980392156862745,1.0,VAE_BBox
All Exemplars,0.9939393939393939,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.996415770609319,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9940298507462687,0.998019801980198,0.9884057971014493,0.9988888888888889,VAE_BBox
All Exemplars,0.9928571428571429,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,0.9971014492753623,1.0,1.0,VAE_BBox
All Exemplars,0.9965811965811966,1.0,1.0,0.998019801980198,VAE_BBox
All Exemplars,0.9992753623188406,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,0.997979797979798,0.9826086956521738,1.0,VAE_BBox
All Exemplars,0.9905882352941177,1.0,0.9733333333333334,0.9977777777777778,VAE_BBox
All Exemplars,0.9975757575757577,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9948717948717949,0.9768115942028984,1.0,1.0,VAE_Filter
All Exemplars,0.9845238095238095,0.998019801980198,1.0,1.0,VAE_Filter
All Exemplars,0.997979797979798,0.9866666666666667,1.0,1.0,VAE_Filter
All Exemplars,0.9800995024875622,0.9988888888888889,1.0,1.0,VAE_Filter
All Exemplars,0.9919678714859437,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9943775100401606,1.0,0.997979797979798,1.0,VAE_Filter
All Exemplars,0.9965517241379309,1.0,0.9988888888888889,1.0,VAE_Filter
All Exemplars,0.9860696517412935,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9880597014925373,0.9988888888888889,1.0,0.996078431372549,VAE_Filter
All Exemplars,0.9906432748538012,1.0,1.0,0.997979797979798,VAE_Filter
All Exemplars,0.9976190476190476,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9982905982905983,1.0,1.0,0.9988888888888889,VAE_Filter
All Exemplars,1.0,1.0,0.9866666666666667,1.0,VAE_Filter
All Exemplars,0.9890547263681592,0.96,1.0,1.0,VAE_Filter
All Exemplars,0.998550724637681,1.0,0.9913043478260871,0.9980392156862745,VAE_Filter
All Exemplars,0.9982456140350877,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9990196078431373,0.96,1.0,1.0,VAE_Filter
All Exemplars,0.9789473684210528,0.997979797979798,1.0,1.0,VAE_Filter
All Exemplars,0.997948717948718,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.987878787878788,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9971326164874551,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.991044776119403,0.994059405940594,1.0,0.9988888888888889,VAE_Filter
All Exemplars,0.9857142857142858,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,0.9980392156862745,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9982905982905983,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9992753623188406,0.9913043478260869,1.0,1.0,VAE_Filter
All Exemplars,1.0,0.9939393939393939,0.9971014492753623,1.0,VAE_Filter
All Exemplars,0.9952941176470589,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9927272727272728,1.0,0.9980392156862745,1.0,VAE_Filter
All Exemplars,0.9965811965811966,0.9942028985507246,1.0,1.0,VAE_GMM
All Exemplars,0.9845238095238095,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9959595959595958,0.9866666666666667,1.0,1.0,VAE_GMM
All Exemplars,0.9800995024875622,1.0,0.9971014492753623,1.0,VAE_GMM
All Exemplars,0.9959839357429718,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9959839357429718,1.0,0.997979797979798,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9890547263681592,1.0,1.0,0.9733333333333334,VAE_GMM
All Exemplars,0.9890547263681592,0.9988888888888889,1.0,0.9980392156862745,VAE_GMM
All Exemplars,0.9894736842105264,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9904761904761905,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9942028985507246,0.9977777777777778,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9920398009950249,1.0,0.9942028985507246,1.0,VAE_GMM
All Exemplars,0.9992753623188406,1.0,0.9971014492753623,1.0,VAE_GMM
All Exemplars,0.9982456140350877,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.996078431372549,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9777777777777779,1.0,0.9988888888888889,0.9866666666666667,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9927272727272728,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9985663082437275,1.0,0.9979166666666668,1.0,VAE_GMM
All Exemplars,0.9930348258706468,1.0,0.9942028985507246,0.9966666666666667,VAE_GMM
All Exemplars,0.9952380952380953,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9992753623188406,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9992882562277579,0.9913043478260869,1.0,1.0,VAE_GMM
All Exemplars,0.9965811965811966,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9941176470588236,1.0,1.0,0.9988888888888889,VAE_GMM
All Exemplars,0.9927272727272728,1.0,1.0,1.0,VAE_GMM
