Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.9581047381546135,0.5963999999999999,0.14695222405271827,0.1377840909090909,0.11779448621553881,FeTrIL
All Exemplars,0.9600997506234414,0.6165354330708661,0.1561461794019933,0.1412268188302425,0.12155388471177939,FeTrIL
All Exemplars,0.9307053941908714,0.593803786574871,0.4797979797979798,0.1403762662807525,0.1340852130325814,FeTrIL
All Exemplars,0.9818770226537218,0.7098039215686275,0.13875236294896026,0.1682389937106918,0.20300751879699236,FeTrIL
All Exemplars,0.9654952076677314,0.580184331797235,0.16007532956685494,0.1650943396226415,0.20300751879699236,FeTrIL
All Exemplars,0.9651282051282051,0.5979879275653923,0.16666666666666666,0.1502145922746781,0.1240601503759398,FeTrIL
All Exemplars,0.9881987577639751,0.6072115384615385,0.09203883495145627,0.190251572327044,0.20300751879699236,FeTrIL
All Exemplars,0.9558386411889597,0.6378947368421052,0.1681620839363241,0.1197452229299363,0.11779448621553881,FeTrIL
All Exemplars,0.9560723514211886,0.7272727272727273,0.16429752066115705,0.1344778254649499,0.1240601503759398,FeTrIL
All Exemplars,0.9564556962025316,0.6629482071713146,0.18530884808013348,0.1356421356421356,0.131578947368421,FeTrIL
All Exemplars,0.9567282321899736,0.657201646090535,0.1620689655172413,0.1432791728212703,0.1516290726817042,FeTrIL
All Exemplars,0.9480349344978167,0.8585987261146497,0.4831578947368421,0.1580502215657311,0.1516290726817042,FeTrIL
All Exemplars,0.9423076923076923,0.4478777589134125,0.141399416909621,0.1387696709585121,0.1240601503759398,FeTrIL
All Exemplars,0.9771289537712894,0.6085271317829457,0.5051039697542533,0.13553459119496852,0.20300751879699236,FeTrIL
All Exemplars,0.9687002652519896,0.48714859437751007,0.1587837837837837,0.1530758226037196,0.1240601503759398,FeTrIL
All Exemplars,0.9560574948665298,0.9032,0.6060606060606061,0.1403762662807525,0.1340852130325814,FeTrIL
All Exemplars,0.9549783549783548,0.6493738819320216,0.5520979020979021,0.155096011816839,0.1516290726817042,FeTrIL
All Exemplars,0.9606194690265486,0.5703041144901609,0.1581325301204819,0.154140127388535,0.1516290726817042,FeTrIL
All Exemplars,0.9805825242718449,0.613953488372093,0.1992551210428305,0.1556603773584905,0.20300751879699236,FeTrIL
All Exemplars,0.963895486935867,0.49502572898799324,0.21275167785234897,0.1497860199714693,0.12155388471177939,FeTrIL
All Exemplars,0.9863905325443787,0.6049661399548533,0.1750465549348231,0.23175965665236048,0.1240601503759398,FeTrIL
All Exemplars,0.9660377358490566,0.5331932773109245,0.1649122807017544,0.1580502215657311,0.1516290726817042,FeTrIL
All Exemplars,0.9579746835443037,0.6083665338645419,0.17364085667215812,0.1340941512125535,0.12155388471177939,FeTrIL
All Exemplars,0.937704918032787,0.542094455852156,0.1801346801346801,0.1502145922746781,0.1240601503759398,FeTrIL
