Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.0019607843137254
All Exemplars,FeTrIL,0.0177215189873417
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0547368421052631
All Exemplars,FeTrIL,0.0075949367088607
All Exemplars,FeTrIL,0.010752688172043
All Exemplars,FeTrIL,0.0019607843137254
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0050632911392404
All Exemplars,FeTrIL,0.040506329113924
All Exemplars,FeTrIL,0.1466666666666666
All Exemplars,FeTrIL,0.0294736842105263
All Exemplars,FeTrIL,0.1883495145631068
All Exemplars,FeTrIL,0.0442105263157894
All Exemplars,FeTrIL,0.1066666666666666
All Exemplars,FeTrIL,0.0037037037037037
All Exemplars,FeTrIL,0.030379746835443
All Exemplars,FeTrIL,0.0126315789473684
All Exemplars,FeTrIL,0.0045977011494252
All Exemplars,FeTrIL,0.2388349514563106
All Exemplars,FeTrIL,0.1922330097087378
All Exemplars,FeTrIL,0.0025316455696202
All Exemplars,FeTrIL,0.0105263157894736
All Exemplars,FeTrIL,0.0905263157894736
All Exemplars,FeTrIL,0.1866666666666666
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.1935483870967741
All Exemplars,FeTrIL,0.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9733333333333332
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9941747572815536
All Exemplars,DDGR,0.9978947368421054
All Exemplars,DDGR,0.9866666666666668
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9974683544303796
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.996116504854369
All Exemplars,DDGR,0.9922330097087378
All Exemplars,DDGR,0.9949367088607596
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9599999999999996
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9978494623655914
All Exemplars,DDGR,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9913978494623656
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.998148148148148
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.96
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9978947368421054
All Exemplars,VAE_Adapt,0.9466666666666664
All Exemplars,VAE_Adapt,0.998148148148148
All Exemplars,VAE_Adapt,0.9949367088607596
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9941747572815534
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9949367088607596
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.92
All Exemplars,VAE_Adapt,0.9978947368421054
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9956989247311828
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.998148148148148
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9733333333333332
All Exemplars,VAE_BBox,0.9978947368421054
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9333333333333332
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9974683544303796
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9333333333333332
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9913978494623656
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,1.0
