Exemplar_Size,Task 2,Task 3,Task 4,Method
All Exemplars,0.8098191214470285,0.07183098591549296,0.0,FeTrIL
All Exemplars,0.7509043927648579,0.061896243291592115,0.0,FeTrIL
All Exemplars,0.6950537634408602,0.16563573883161506,0.0,FeTrIL
All Exemplars,0.8996865203761756,0.07945736434108523,0.0,FeTrIL
All Exemplars,0.8512110726643598,0.0,0.0,FeTrIL
All Exemplars,0.5862068965517242,0.03829787234042552,0.0,FeTrIL
All Exemplars,0.7140983606557377,0.0,0.0,FeTrIL
All Exemplars,0.5530172413793103,0.0,0.123342175066313,FeTrIL
All Exemplars,0.7735849056603774,0.0,0.0,FeTrIL
All Exemplars,0.9176165803108809,0.0,0.0,FeTrIL
All Exemplars,0.8939086294416244,0.07208480565371024,0.0,FeTrIL
All Exemplars,0.6761506276150628,0.08403361344537812,0.0,FeTrIL
All Exemplars,0.64543429844098,0.2466257668711656,0.0,FeTrIL
All Exemplars,0.734673366834171,0.253875968992248,0.0,FeTrIL
All Exemplars,0.8065,0.0,0.0,FeTrIL
All Exemplars,0.8147679324894515,0.24089347079037796,0.0,FeTrIL
All Exemplars,0.6941964285714286,0.12574430823117339,0.0,FeTrIL
All Exemplars,0.6821802935010483,0.03277693474962064,0.10079575596816977,FeTrIL
All Exemplars,0.8764890282131663,0.0,0.0,FeTrIL
All Exemplars,0.686720867208672,0.028315412186379917,0.0,FeTrIL
All Exemplars,0.7393939393939395,0.01825557809330628,0.0,FeTrIL
All Exemplars,0.7914786967418547,0.06252100840336132,0.0,FeTrIL
All Exemplars,0.6440414507772021,0.0,0.0,FeTrIL
All Exemplars,0.6456410256410257,0.0053191489361702005,0.0,FeTrIL
All Exemplars,0.941692789968652,0.08762677484787015,0.0,FeTrIL
All Exemplars,0.5020833333333333,0.03804537521815008,0.0,FeTrIL
All Exemplars,0.6489583333333334,0.03405017921146952,0.0,FeTrIL
All Exemplars,0.5840848806366047,0.03503401360544216,0.0,FeTrIL
