Exemplar_Size,Task 2,Task 3,Method
All Exemplars,0.00097087378640776,0.4921465968586388,FeTrIL
All Exemplars,0.08258706467661692,0.5051020408163265,FeTrIL
All Exemplars,0.41428571428571426,0.14313725490196078,FeTrIL
All Exemplars,0.0027272727272727197,0.5613382899628252,FeTrIL
All Exemplars,0.01926605504587156,0.5213483146067416,FeTrIL
All Exemplars,0.0,0.4784313725490196,FeTrIL
All Exemplars,0.01036269430051812,0.48551236749116605,FeTrIL
All Exemplars,0.1009090909090909,0.7028037383177571,FeTrIL
All Exemplars,0.00458715596330274,0.49740932642487046,FeTrIL
All Exemplars,0.03039215686274508,0.4834170854271357,FeTrIL
All Exemplars,0.07761194029850746,0.555045871559633,FeTrIL
All Exemplars,0.44642857142857145,0.18771929824561404,FeTrIL
All Exemplars,0.00825688073394494,0.8839285714285714,FeTrIL
All Exemplars,0.5694915254237288,0.0,FeTrIL
All Exemplars,0.03162790697674418,0.4883495145631068,FeTrIL
All Exemplars,0.1009345794392523,0.09509803921568626,FeTrIL
All Exemplars,0.1145454545454545,0.09292035398230089,FeTrIL
All Exemplars,0.12641509433962264,0.9029850746268655,FeTrIL
All Exemplars,0.0,0.5724137931034482,FeTrIL
All Exemplars,0.0,0.5198019801980198,FeTrIL
All Exemplars,0.18994974874371862,0.496551724137931,FeTrIL
All Exemplars,0.0,0.493859649122807,FeTrIL
All Exemplars,0.00283018867924528,0.39371727748691104,FeTrIL
All Exemplars,0.0,0.4970588235294118,FeTrIL
All Exemplars,0.1043859649122807,0.5241379310344827,FeTrIL
All Exemplars,0.0,0.5055276381909548,FeTrIL
All Exemplars,0.0,0.5118811881188119,FeTrIL
All Exemplars,0.2227722772277228,0.4961165048543689,FeTrIL
All Exemplars,0.00732984293193716,0.9029850746268655,FeTrIL
All Exemplars,0.00078125,0.5051020408163265,FeTrIL
All Exemplars,0.9708737864077672,0.9958115183246073,DDGR
All Exemplars,0.9800995024875622,0.9806122448979593,DDGR
All Exemplars,0.9892857142857144,0.9911764705882355,DDGR
All Exemplars,0.9809090909090911,0.9672862453531599,DDGR
All Exemplars,0.9880733944954129,0.9700374531835207,DDGR
All Exemplars,0.9882352941176473,0.969607843137255,DDGR
All Exemplars,0.9709844559585493,0.9653710247349823,DDGR
All Exemplars,0.9790909090909092,0.994392523364486,DDGR
All Exemplars,0.9889908256880735,0.9689119170984457,DDGR
All Exemplars,0.9872549019607844,0.9618090452261306,DDGR
All Exemplars,0.9810945273631841,0.988073394495413,DDGR
All Exemplars,0.9875,0.9859649122807017,DDGR
All Exemplars,0.9871559633027523,0.9785714285714286,DDGR
All Exemplars,0.9881355932203391,0.9657992565055762,DDGR
All Exemplars,0.9981395348837211,0.9699029126213594,DDGR
All Exemplars,0.9981308411214954,0.9843137254901961,DDGR
All Exemplars,0.9963636363636365,0.9929203539823008,DDGR
All Exemplars,0.9858490566037735,0.9970149253731343,DDGR
All Exemplars,0.9885964912280703,0.9724137931034482,DDGR
All Exemplars,0.9840000000000002,0.994059405940594,DDGR
All Exemplars,0.9608040201005025,0.9716475095785441,DDGR
All Exemplars,0.9628140703517587,0.9894736842105264,DDGR
All Exemplars,0.9820754716981132,0.993717277486911,DDGR
All Exemplars,0.9885964912280703,0.9774509803921569,DDGR
All Exemplars,0.9894736842105264,0.9708812260536399,DDGR
All Exemplars,0.9840000000000002,0.9658291457286431,DDGR
All Exemplars,0.9885964912280703,0.994059405940594,DDGR
All Exemplars,0.994059405940594,0.9699029126213595,DDGR
All Exemplars,0.9926701570680627,0.9925373134328357,DDGR
All Exemplars,0.94921875,0.9826530612244898,DDGR
All Exemplars,0.971844660194175,0.9979057591623036,VAE_Adapt
All Exemplars,0.9830845771144279,0.9795918367346939,VAE_Adapt
All Exemplars,0.9892857142857142,0.9901960784313728,VAE_Adapt
All Exemplars,0.9781818181818183,0.9628252788104088,VAE_Adapt
All Exemplars,0.9889908256880734,0.9700374531835207,VAE_Adapt
All Exemplars,0.9901960784313728,0.973529411764706,VAE_Adapt
All Exemplars,0.9730569948186529,0.9795053003533569,VAE_Adapt
All Exemplars,0.9800000000000001,0.9962616822429908,VAE_Adapt
All Exemplars,0.9871559633027523,0.9689119170984457,VAE_Adapt
All Exemplars,0.9911764705882355,0.9658291457286431,VAE_Adapt
All Exemplars,0.9860696517412935,0.98348623853211,VAE_Adapt
All Exemplars,0.9821428571428571,0.9903508771929825,VAE_Adapt
All Exemplars,0.9844036697247708,0.9821428571428571,VAE_Adapt
All Exemplars,0.9898305084745763,0.9687732342007435,VAE_Adapt
All Exemplars,0.9972093023255815,0.9728155339805827,VAE_Adapt
All Exemplars,0.9943925233644861,0.9843137254901961,VAE_Adapt
All Exemplars,0.9945454545454547,0.9973451327433628,VAE_Adapt
All Exemplars,0.9877358490566037,0.9925373134328359,VAE_Adapt
All Exemplars,0.9885964912280703,0.9716475095785441,VAE_Adapt
All Exemplars,0.9897142857142859,0.9950495049504952,VAE_Adapt
All Exemplars,0.9849246231155779,0.9678160919540233,VAE_Adapt
All Exemplars,0.9748743718592966,0.9850877192982457,VAE_Adapt
All Exemplars,0.989622641509434,0.9979057591623036,VAE_Adapt
All Exemplars,0.9938596491228072,0.9715686274509805,VAE_Adapt
All Exemplars,0.9921052631578948,0.9716475095785441,VAE_Adapt
All Exemplars,0.9840000000000002,0.9728643216080402,VAE_Adapt
All Exemplars,0.9929824561403511,0.994059405940594,VAE_Adapt
All Exemplars,0.9910891089108912,0.9766990291262138,VAE_Adapt
All Exemplars,0.9958115183246073,0.9970149253731343,VAE_Adapt
All Exemplars,0.971875,0.9795918367346939,VAE_Adapt
All Exemplars,0.971844660194175,0.9958115183246073,VAE_BBox
