Exemplar_Size,Task 2,Method
All Exemplars,0.0,FeTrIL
All Exemplars,0.08275862068965514,FeTrIL
All Exemplars,0.15944700460829492,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.1601328903654485,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.14385964912280697,FeTrIL
All Exemplars,0.11910828025477707,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.24976076555023918,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.06466666666666666,FeTrIL
All Exemplars,0.00134228187919462,FeTrIL
All Exemplars,0.10627615062761506,FeTrIL
All Exemplars,0.08702928870292888,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.04837209302325578,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.0033783783783783395,FeTrIL
All Exemplars,0.03472668810289388,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.051523545706371174,FeTrIL
All Exemplars,0.06796116504854369,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.007792207792207779,FeTrIL
All Exemplars,0.09379310344827584,FeTrIL
All Exemplars,0.9791946308724834,DDGR
All Exemplars,0.9751724137931033,DDGR
All Exemplars,0.9889400921658986,DDGR
All Exemplars,0.9548717948717949,DDGR
All Exemplars,0.9615384615384615,DDGR
All Exemplars,0.9767441860465116,DDGR
All Exemplars,0.9591623036649215,DDGR
All Exemplars,0.9947368421052631,DDGR
All Exemplars,0.9796178343949045,DDGR
All Exemplars,0.9709459459459462,DDGR
All Exemplars,0.9903846153846153,DDGR
All Exemplars,0.9700305810397554,DDGR
All Exemplars,0.9866028708133971,DDGR
All Exemplars,0.9546099290780141,DDGR
All Exemplars,0.9646666666666668,DDGR
All Exemplars,0.976510067114094,DDGR
All Exemplars,0.989958158995816,DDGR
All Exemplars,0.98744769874477,DDGR
All Exemplars,0.9559782608695653,DDGR
All Exemplars,0.9906976744186048,DDGR
All Exemplars,0.9498591549295776,DDGR
All Exemplars,0.9813664596273293,DDGR
All Exemplars,0.9716216216216216,DDGR
All Exemplars,0.9665594855305468,DDGR
All Exemplars,0.9586956521739131,DDGR
All Exemplars,0.9484764542936288,DDGR
All Exemplars,0.9857605177993529,DDGR
All Exemplars,0.9762057877813508,DDGR
All Exemplars,0.9878787878787879,DDGR
All Exemplars,0.9786206896551723,DDGR
All Exemplars,0.9825503355704699,VAE_Adapt
All Exemplars,0.9786206896551723,VAE_Adapt
All Exemplars,0.9880184331797235,VAE_Adapt
All Exemplars,0.9605128205128205,VAE_Adapt
All Exemplars,0.9631868131868131,VAE_Adapt
All Exemplars,0.9787375415282392,VAE_Adapt
All Exemplars,0.9664921465968586,VAE_Adapt
All Exemplars,0.9894736842105264,VAE_Adapt
All Exemplars,0.9770700636942674,VAE_Adapt
All Exemplars,0.9885135135135135,VAE_Adapt
All Exemplars,0.9955128205128204,VAE_Adapt
All Exemplars,0.9755351681957188,VAE_Adapt
All Exemplars,0.9732057416267944,VAE_Adapt
All Exemplars,0.949645390070922,VAE_Adapt
All Exemplars,0.966,VAE_Adapt
All Exemplars,0.9832214765100671,VAE_Adapt
All Exemplars,0.990794979079498,VAE_Adapt
All Exemplars,0.99163179916318,VAE_Adapt
All Exemplars,0.9603260869565219,VAE_Adapt
All Exemplars,0.9897674418604652,VAE_Adapt
All Exemplars,0.9645070422535211,VAE_Adapt
All Exemplars,0.9801242236024844,VAE_Adapt
All Exemplars,0.9851351351351351,VAE_Adapt
All Exemplars,0.9736334405144694,VAE_Adapt
All Exemplars,0.9543478260869567,VAE_Adapt
All Exemplars,0.968421052631579,VAE_Adapt
All Exemplars,0.9818770226537218,VAE_Adapt
All Exemplars,0.9691318327974277,VAE_Adapt
All Exemplars,0.9861471861471862,VAE_Adapt
All Exemplars,0.9786206896551723,VAE_Adapt
All Exemplars,0.9791946308724832,VAE_BBox
All Exemplars,0.9786206896551726,VAE_BBox
All Exemplars,0.983410138248848,VAE_BBox
All Exemplars,0.9625641025641027,VAE_BBox
All Exemplars,0.964835164835165,VAE_BBox
All Exemplars,0.9807308970099669,VAE_BBox
All Exemplars,0.9596858638743455,VAE_BBox
All Exemplars,0.9947368421052631,VAE_BBox
All Exemplars,0.9789808917197451,VAE_BBox
All Exemplars,0.9864864864864863,VAE_BBox
All Exemplars,0.9897435897435898,VAE_BBox
All Exemplars,0.9761467889908257,VAE_BBox
All Exemplars,0.9770334928229664,VAE_BBox
All Exemplars,0.948936170212766,VAE_BBox
All Exemplars,0.9653333333333334,VAE_BBox
All Exemplars,0.9791946308724834,VAE_BBox
All Exemplars,0.993305439330544,VAE_BBox
All Exemplars,0.992468619246862,VAE_BBox
All Exemplars,0.9581521739130435,VAE_BBox
All Exemplars,0.9916279069767443,VAE_BBox
All Exemplars,0.9622535211267605,VAE_BBox
All Exemplars,0.984472049689441,VAE_BBox
All Exemplars,0.9878378378378379,VAE_BBox
All Exemplars,0.9691318327974278,VAE_BBox
All Exemplars,0.9554347826086957,VAE_BBox
All Exemplars,0.96398891966759,VAE_BBox
All Exemplars,0.9825242718446603,VAE_BBox
All Exemplars,0.9678456591639873,VAE_BBox
All Exemplars,0.987878787878788,VAE_BBox
All Exemplars,0.976551724137931,VAE_BBox
All Exemplars,0.9832214765100673,VAE_Filter
All Exemplars,0.9779310344827585,VAE_Filter
All Exemplars,0.9880184331797235,VAE_Filter
All Exemplars,0.961025641025641,VAE_Filter
All Exemplars,0.9675824175824175,VAE_Filter
All Exemplars,0.9794019933554818,VAE_Filter
All Exemplars,0.9623036649214658,VAE_Filter
All Exemplars,0.9929824561403509,VAE_Filter
All Exemplars,0.9802547770700636,VAE_Filter
All Exemplars,0.9804054054054052,VAE_Filter
All Exemplars,0.9903846153846153,VAE_Filter
All Exemplars,0.9743119266055047,VAE_Filter
All Exemplars,0.9760765550239234,VAE_Filter
All Exemplars,0.9588652482269502,VAE_Filter
All Exemplars,0.966666666666667,VAE_Filter
All Exemplars,0.980536912751678,VAE_Filter
All Exemplars,0.990794979079498,VAE_Filter
All Exemplars,0.988284518828452,VAE_Filter
All Exemplars,0.9521739130434783,VAE_Filter
All Exemplars,0.9897674418604652,VAE_Filter
All Exemplars,0.9707042253521128,VAE_Filter
All Exemplars,0.9857142857142858,VAE_Filter
All Exemplars,0.9837837837837837,VAE_Filter
All Exemplars,0.972347266881029,VAE_Filter
All Exemplars,0.9559782608695653,VAE_Filter
All Exemplars,0.9612188365650971,VAE_Filter
All Exemplars,0.9838187702265373,VAE_Filter
All Exemplars,0.9697749196141479,VAE_Filter
All Exemplars,0.9878787878787879,VAE_Filter
All Exemplars,0.9806896551724138,VAE_Filter
All Exemplars,0.9818791946308725,VAE_GMM
All Exemplars,0.9806896551724137,VAE_GMM
All Exemplars,0.9861751152073733,VAE_GMM
All Exemplars,0.9584615384615386,VAE_GMM
All Exemplars,0.9681318681318682,VAE_GMM
All Exemplars,0.9760797342192692,VAE_GMM
All Exemplars,0.9607329842931938,VAE_GMM
All Exemplars,0.9938596491228072,VAE_GMM
All Exemplars,0.9783439490445861,VAE_GMM
All Exemplars,0.981081081081081,VAE_GMM
All Exemplars,0.9897435897435898,VAE_GMM
All Exemplars,0.9761467889908257,VAE_GMM
All Exemplars,0.9732057416267942,VAE_GMM
All Exemplars,0.9602836879432625,VAE_GMM
All Exemplars,0.9633333333333336,VAE_GMM
All Exemplars,0.9818791946308727,VAE_GMM
All Exemplars,0.99163179916318,VAE_GMM
All Exemplars,0.989121338912134,VAE_GMM
All Exemplars,0.9586956521739131,VAE_GMM
All Exemplars,0.9888372093023257,VAE_GMM
All Exemplars,0.971830985915493,VAE_GMM
All Exemplars,0.9832298136645962,VAE_GMM
All Exemplars,0.9912162162162164,VAE_GMM
All Exemplars,0.9710610932475884,VAE_GMM
All Exemplars,0.9581521739130435,VAE_GMM
All Exemplars,0.9584487534626038,VAE_GMM
All Exemplars,0.9857605177993529,VAE_GMM
All Exemplars,0.9717041800643088,VAE_GMM
All Exemplars,0.9904761904761907,VAE_GMM
All Exemplars,0.9779310344827585,VAE_GMM
