Exemplar_Size,Task 1,Task 2,Method
All Exemplars,0.9914634146341463,0.46858638743455494,FeTrIL
All Exemplars,0.9899782135076253,0.35418848167539263,FeTrIL
All Exemplars,0.9858131487889275,0.687434554973822,FeTrIL
All Exemplars,0.9804295942720763,0.34267015706806275,FeTrIL
All Exemplars,0.985438972162741,0.4410994764397905,FeTrIL
All Exemplars,0.9917570498915401,0.37146596858638736,FeTrIL
All Exemplars,0.9860103626943004,0.3342931937172774,FeTrIL
All Exemplars,0.985897435897436,0.4795811518324607,FeTrIL
All Exemplars,0.984251968503937,0.21256544502617797,FeTrIL
All Exemplars,0.9948051948051948,0.38036649214659685,FeTrIL
All Exemplars,0.9816272965879265,0.20209424083769637,FeTrIL
All Exemplars,0.990314769975787,0.3183246073298429,FeTrIL
All Exemplars,0.9897247706422018,0.7180628272251308,FeTrIL
All Exemplars,0.9859589041095891,0.6264397905759163,FeTrIL
All Exemplars,0.9947154471544717,0.5269633507853403,FeTrIL
All Exemplars,0.9886178861788618,0.5479057591623037,FeTrIL
All Exemplars,0.9863829787234042,0.4863874345549738,FeTrIL
All Exemplars,0.9825531914893617,0.4133507853403141,FeTrIL
All Exemplars,0.9943661971830986,0.5107329842931938,FeTrIL
All Exemplars,0.9868613138686131,0.7659685863874345,FeTrIL
All Exemplars,0.9926881720430106,0.4526178010471204,FeTrIL
All Exemplars,0.9816425120772948,0.3866492146596858,FeTrIL
All Exemplars,0.9930735930735931,0.33717277486910996,FeTrIL
All Exemplars,0.9975708502024293,0.48926701570680625,FeTrIL
All Exemplars,0.9939637826961771,0.4672774869109947,FeTrIL
All Exemplars,0.994017094017094,0.40680628272251307,FeTrIL
All Exemplars,0.9862348178137653,0.5735602094240837,FeTrIL
All Exemplars,0.9971659919028341,0.34738219895287953,FeTrIL
All Exemplars,0.9798715203426124,0.3531413612565445,FeTrIL
All Exemplars,0.9912854030501089,0.24031413612565444,FeTrIL
All Exemplars,0.9934959349593495,0.6413612565445026,DDGR
All Exemplars,0.9895424836601308,0.6777486910994763,DDGR
All Exemplars,0.9868512110726643,0.42565445026178006,DDGR
All Exemplars,0.9823389021479713,0.5795811518324607,DDGR
All Exemplars,0.9850107066381156,0.5424083769633508,DDGR
All Exemplars,0.9917570498915401,0.619109947643979,DDGR
All Exemplars,0.9829015544041452,0.631413612565445,DDGR
All Exemplars,0.9824786324786323,0.5604712041884816,DDGR
All Exemplars,0.9853018372703412,0.6732984293193718,DDGR
All Exemplars,0.9900432900432901,0.6243455497382199,DDGR
All Exemplars,0.9821522309711286,0.6219895287958115,DDGR
All Exemplars,0.9893462469733656,0.5963350785340313,DDGR
All Exemplars,0.9889908256880734,0.6094240837696335,DDGR
All Exemplars,0.9859589041095891,0.6170157068062827,DDGR
All Exemplars,0.9959349593495936,0.6774869109947643,DDGR
All Exemplars,0.9922764227642276,0.6549738219895288,DDGR
All Exemplars,0.9821276595744681,0.5740837696335078,DDGR
All Exemplars,0.9804255319148936,0.543717277486911,DDGR
All Exemplars,0.9939637826961771,0.6120418848167539,DDGR
All Exemplars,0.9864963503649635,0.4672774869109948,DDGR
All Exemplars,0.9870967741935484,0.6321989528795812,DDGR
All Exemplars,0.9864734299516907,0.6010471204188482,DDGR
All Exemplars,0.9948051948051948,0.6384816753926701,DDGR
All Exemplars,0.994736842105263,0.5790575916230367,DDGR
All Exemplars,0.993158953722334,0.6068062827225131,DDGR
All Exemplars,0.9918803418803419,0.5698952879581152,DDGR
All Exemplars,0.979757085020243,0.4840314136125654,DDGR
All Exemplars,0.9955465587044536,0.5887434554973823,DDGR
All Exemplars,0.9811563169164883,0.5434554973821989,DDGR
All Exemplars,0.9895424836601305,0.6010471204188482,DDGR
All Exemplars,0.9922764227642278,0.8486910994764397,VAE_Adapt
All Exemplars,0.9873638344226577,0.743455497382199,VAE_Adapt
All Exemplars,0.9885813148788927,0.8630890052356021,VAE_Adapt
All Exemplars,0.9828162291169452,0.950261780104712,VAE_Adapt
All Exemplars,0.9862955032119913,0.7958115183246073,VAE_Adapt
All Exemplars,0.9921908893709327,0.7793193717277487,VAE_Adapt
All Exemplars,0.9808290155440416,0.8358638743455498,VAE_Adapt
All Exemplars,0.9854700854700855,0.8298429319371727,VAE_Adapt
All Exemplars,0.9879265091863516,0.7829842931937172,VAE_Adapt
All Exemplars,0.9917748917748919,0.7421465968586387,VAE_Adapt
All Exemplars,0.9826771653543306,0.8549738219895288,VAE_Adapt
All Exemplars,0.9883777239709444,0.8913612565445026,VAE_Adapt
All Exemplars,0.9882568807339449,0.7518324607329843,VAE_Adapt
All Exemplars,0.9873287671232877,0.8675392670157068,VAE_Adapt
All Exemplars,0.9922764227642276,0.7609947643979058,VAE_Adapt
All Exemplars,0.9922764227642278,0.8149214659685864,VAE_Adapt
All Exemplars,0.9851063829787234,0.8447643979057592,VAE_Adapt
All Exemplars,0.9859574468085107,0.7890052356020941,VAE_Adapt
All Exemplars,0.9939637826961771,0.8437172774869109,VAE_Adapt
All Exemplars,0.9864963503649635,0.756282722513089,VAE_Adapt
All Exemplars,0.9879569892473118,0.7510471204188482,VAE_Adapt
All Exemplars,0.989855072463768,0.8675392670157068,VAE_Adapt
All Exemplars,0.9926406926406927,0.7583769633507853,VAE_Adapt
All Exemplars,0.9951417004048583,0.7259162303664921,VAE_Adapt
All Exemplars,0.9935613682092554,0.793455497382199,VAE_Adapt
All Exemplars,0.9923076923076923,0.7201570680628272,VAE_Adapt
All Exemplars,0.9866396761133602,0.8151832460732985,VAE_Adapt
All Exemplars,0.9943319838056679,0.7290575916230367,VAE_Adapt
All Exemplars,0.9777301927194861,0.8620418848167539,VAE_Adapt
All Exemplars,0.9886710239651416,0.7230366492146597,VAE_Adapt
All Exemplars,0.991869918699187,0.769371727748691,VAE_BBox
All Exemplars,0.987363834422658,0.8293193717277486,VAE_BBox
All Exemplars,0.9865051903114186,0.7261780104712041,VAE_BBox
All Exemplars,0.9847255369928402,0.8204188481675393,VAE_BBox
All Exemplars,0.9832976445396145,0.7657068062827226,VAE_BBox
All Exemplars,0.9934924078091105,0.8219895287958116,VAE_BBox
All Exemplars,0.9818652849740932,0.9285340314136125,VAE_BBox
All Exemplars,0.9841880341880342,0.8565445026178009,VAE_BBox
All Exemplars,0.984251968503937,0.8243455497382198,VAE_BBox
All Exemplars,0.9922077922077921,0.8196335078534032,VAE_BBox
All Exemplars,0.9774278215223097,0.8282722513089004,VAE_BBox
All Exemplars,0.9898305084745761,0.8973821989528796,VAE_BBox
All Exemplars,0.9893577981651378,0.7746073298429319,VAE_BBox
All Exemplars,0.9866438356164384,0.7232984293193716,VAE_BBox
All Exemplars,0.9922764227642278,0.8439790575916231,VAE_BBox
All Exemplars,0.9922764227642276,0.7636125654450262,VAE_BBox
All Exemplars,0.9834042553191489,0.7895287958115184,VAE_BBox
All Exemplars,0.9842553191489362,0.7746073298429319,VAE_BBox
All Exemplars,0.9935613682092554,0.8701570680628272,VAE_BBox
All Exemplars,0.9883211678832117,0.7149214659685864,VAE_BBox
All Exemplars,0.9909677419354839,0.7856020942408376,VAE_BBox
All Exemplars,0.985024154589372,0.8698952879581151,VAE_BBox
All Exemplars,0.9922077922077921,0.7968586387434554,VAE_BBox
All Exemplars,0.9951417004048583,0.8520942408376964,VAE_BBox
All Exemplars,0.9935613682092554,0.8947643979057591,VAE_BBox
All Exemplars,0.9952991452991453,0.8735602094240837,VAE_BBox
All Exemplars,0.9842105263157894,0.7154450261780105,VAE_BBox
All Exemplars,0.9959514170040485,0.8596858638743455,VAE_BBox
All Exemplars,0.9751605995717345,0.7740837696335079,VAE_BBox
All Exemplars,0.9908496732026142,0.869109947643979,VAE_BBox
All Exemplars,0.9939024390243901,0.7609947643979058,VAE_Filter
All Exemplars,0.9891067538126361,0.8316753926701571,VAE_Filter
All Exemplars,0.989273356401384,0.7204188481675393,VAE_Filter
All Exemplars,0.9828162291169452,0.8222513089005234,VAE_Filter
All Exemplars,0.9862955032119916,0.7643979057591623,VAE_Filter
All Exemplars,0.9934924078091105,0.8057591623036651,VAE_Filter
All Exemplars,0.97720207253886,0.9301047120418847,VAE_Filter
All Exemplars,0.9850427350427351,0.8578534031413613,VAE_Filter
All Exemplars,0.9805774278215222,0.8311518324607331,VAE_Filter
All Exemplars,0.9943722943722942,0.8235602094240837,VAE_Filter
All Exemplars,0.9779527559055119,0.8358638743455498,VAE_Filter
All Exemplars,0.9907990314769975,0.9416230366492145,VAE_Filter
All Exemplars,0.9875229357798165,0.8130890052356021,VAE_Filter
All Exemplars,0.9873287671232877,0.718586387434555,VAE_Filter
All Exemplars,0.9934959349593495,0.8410994764397905,VAE_Filter
All Exemplars,0.9922764227642276,0.8154450261780104,VAE_Filter
All Exemplars,0.9842553191489362,0.7777486910994764,VAE_Filter
All Exemplars,0.9829787234042552,0.713089005235602,VAE_Filter
All Exemplars,0.9947686116700201,0.8848167539267016,VAE_Filter
All Exemplars,0.9868613138686131,0.6903141361256545,VAE_Filter
All Exemplars,0.986236559139785,0.8282722513089006,VAE_Filter
All Exemplars,0.9869565217391305,0.925392670157068,VAE_Filter
All Exemplars,0.9913419913419912,0.8387434554973823,VAE_Filter
All Exemplars,0.9959514170040485,0.8353403141361258,VAE_Filter
