Exemplar_Size,Method,Task 4
All Exemplars,FeTrIL,0.419047619047619
All Exemplars,FeTrIL,0.2984126984126983
All Exemplars,FeTrIL,0.4225352112676056
All Exemplars,FeTrIL,0.5555555555555556
All Exemplars,FeTrIL,0.5722222222222222
All Exemplars,FeTrIL,0.38125
All Exemplars,FeTrIL,0.5833333333333333
All Exemplars,FeTrIL,0.5460317460317461
All Exemplars,FeTrIL,0.315625
All Exemplars,FeTrIL,0.4634920634920634
All Exemplars,FeTrIL,0.4194444444444444
All Exemplars,FeTrIL,0.3444444444444444
All Exemplars,FeTrIL,0.384375
All Exemplars,FeTrIL,0.325
All Exemplars,FeTrIL,0.396875
All Exemplars,FeTrIL,0.4028169014084507
All Exemplars,FeTrIL,0.2694444444444444
All Exemplars,FeTrIL,0.4472222222222222
All Exemplars,FeTrIL,0.45
All Exemplars,FeTrIL,0.3873015873015872
All Exemplars,FeTrIL,0.4125
All Exemplars,FeTrIL,0.3666666666666666
All Exemplars,FeTrIL,0.2825396825396825
All Exemplars,FeTrIL,0.55625
All Exemplars,FeTrIL,0.525
All Exemplars,FeTrIL,0.3873015873015872
All Exemplars,FeTrIL,0.4253968253968253
All Exemplars,FeTrIL,0.234375
All Exemplars,FeTrIL,0.3555555555555555
All Exemplars,FeTrIL,0.438095238095238
All Exemplars,DDGR,0.292063492063492
All Exemplars,DDGR,0.4349206349206349
All Exemplars,DDGR,0.3633802816901408
All Exemplars,DDGR,0.2972222222222222
All Exemplars,DDGR,0.3305555555555555
All Exemplars,DDGR,0.26875
All Exemplars,DDGR,0.3333333333333333
All Exemplars,DDGR,0.2888888888888888
All Exemplars,DDGR,0.421875
All Exemplars,DDGR,0.3396825396825397
All Exemplars,DDGR,0.3
All Exemplars,DDGR,0.225
All Exemplars,DDGR,0.434375
All Exemplars,DDGR,0.2694444444444444
All Exemplars,DDGR,0.253125
All Exemplars,DDGR,0.3126760563380281
All Exemplars,DDGR,0.4333333333333334
All Exemplars,DDGR,0.3833333333333334
All Exemplars,DDGR,0.5
All Exemplars,DDGR,0.2412698412698412
All Exemplars,DDGR,0.2125
All Exemplars,DDGR,0.2166666666666666
All Exemplars,DDGR,0.3809523809523809
All Exemplars,DDGR,0.378125
All Exemplars,DDGR,0.4611111111111111
All Exemplars,DDGR,0.2761904761904762
All Exemplars,DDGR,0.2634920634920634
All Exemplars,DDGR,0.265625
All Exemplars,DDGR,0.3111111111111111
All Exemplars,DDGR,0.3523809523809523
All Exemplars,VAE_Adapt,0.4285714285714285
All Exemplars,VAE_Adapt,0.4857142857142856
All Exemplars,VAE_Adapt,0.3830985915492957
All Exemplars,VAE_Adapt,0.2722222222222222
All Exemplars,VAE_Adapt,0.1861111111111111
All Exemplars,VAE_Adapt,0.234375
All Exemplars,VAE_Adapt,0.4416666666666667
All Exemplars,VAE_Adapt,0.2761904761904761
All Exemplars,VAE_Adapt,0.503125
All Exemplars,VAE_Adapt,0.5968253968253968
All Exemplars,VAE_Adapt,0.4083333333333333
All Exemplars,VAE_Adapt,0.4111111111111111
All Exemplars,VAE_Adapt,0.4375
All Exemplars,VAE_Adapt,0.3361111111111111
All Exemplars,VAE_Adapt,0.471875
All Exemplars,VAE_Adapt,0.4197183098591549
All Exemplars,VAE_Adapt,0.4333333333333334
All Exemplars,VAE_Adapt,0.4111111111111111
All Exemplars,VAE_Adapt,0.3722222222222222
All Exemplars,VAE_Adapt,0.3555555555555555
All Exemplars,VAE_Adapt,0.490625
All Exemplars,VAE_Adapt,0.3694444444444444
All Exemplars,VAE_Adapt,0.4666666666666666
All Exemplars,VAE_Adapt,0.159375
All Exemplars,VAE_Adapt,0.3777777777777777
All Exemplars,VAE_Adapt,0.5682539682539682
All Exemplars,VAE_Adapt,0.1682539682539682
All Exemplars,VAE_Adapt,0.44375
All Exemplars,VAE_Adapt,0.5833333333333333
All Exemplars,VAE_Adapt,0.4825396825396824
All Exemplars,VAE_BBox,0.5428571428571428
All Exemplars,VAE_BBox,0.5111111111111111
All Exemplars,VAE_BBox,0.4253521126760563
All Exemplars,VAE_BBox,0.4638888888888889
All Exemplars,VAE_BBox,0.4
