Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.1444444444444444
All Exemplars,FeTrIL,0.1777777777777777
All Exemplars,FeTrIL,0.22
All Exemplars,FeTrIL,0.0888888888888888
All Exemplars,FeTrIL,0.0222222222222222
All Exemplars,FeTrIL,0.1176470588235294
All Exemplars,FeTrIL,0.1111111111111111
All Exemplars,FeTrIL,0.1555555555555555
All Exemplars,FeTrIL,0.0588235294117647
All Exemplars,FeTrIL,0.1222222222222222
All Exemplars,FeTrIL,0.1111111111111111
All Exemplars,FeTrIL,0.0444444444444444
All Exemplars,FeTrIL,0.1647058823529411
All Exemplars,FeTrIL,0.1111111111111111
All Exemplars,FeTrIL,0.1411764705882353
All Exemplars,FeTrIL,0.26
All Exemplars,FeTrIL,0.0888888888888888
All Exemplars,FeTrIL,0.1111111111111111
All Exemplars,FeTrIL,0.1111111111111111
All Exemplars,FeTrIL,0.1555555555555555
All Exemplars,FeTrIL,0.2
All Exemplars,FeTrIL,0.2444444444444444
All Exemplars,FeTrIL,0.111111111111111
All Exemplars,FeTrIL,0.1529411764705882
All Exemplars,FeTrIL,0.1777777777777777
All Exemplars,FeTrIL,0.211111111111111
All Exemplars,FeTrIL,0.1444444444444444
All Exemplars,FeTrIL,0.1764705882352941
All Exemplars,FeTrIL,0.0888888888888888
All Exemplars,FeTrIL,0.3222222222222222
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.9555555555555556
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,0.977777777777778
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
All Exemplars,VAE_Adapt,1.0
