Exemplar_Size,Method,Task 4
All Exemplars,FeTrIL,0.4864197530864197
All Exemplars,FeTrIL,0.4345679012345679
All Exemplars,FeTrIL,0.3851851851851852
All Exemplars,FeTrIL,0.4814814814814815
All Exemplars,FeTrIL,0.4716049382716049
All Exemplars,FeTrIL,0.5012345679012344
All Exemplars,FeTrIL,0.4469135802469135
All Exemplars,FeTrIL,0.4172839506172838
All Exemplars,FeTrIL,0.4543209876543209
All Exemplars,FeTrIL,0.4469135802469136
All Exemplars,FeTrIL,0.4271604938271604
All Exemplars,FeTrIL,0.4320987654320987
All Exemplars,FeTrIL,0.3925925925925925
All Exemplars,FeTrIL,0.4469135802469135
All Exemplars,FeTrIL,0.4666666666666666
All Exemplars,FeTrIL,0.3382716049382716
All Exemplars,FeTrIL,0.3604938271604938
All Exemplars,FeTrIL,0.4419753086419752
All Exemplars,FeTrIL,0.4518518518518519
All Exemplars,FeTrIL,0.4617283950617284
All Exemplars,FeTrIL,0.3728395061728394
All Exemplars,FeTrIL,0.4049382716049383
All Exemplars,FeTrIL,0.3407407407407407
All Exemplars,FeTrIL,0.4962962962962963
All Exemplars,FeTrIL,0.3925925925925925
All Exemplars,FeTrIL,0.4469135802469135
All Exemplars,FeTrIL,0.4444444444444443
All Exemplars,FeTrIL,0.3432098765432098
All Exemplars,FeTrIL,0.365432098765432
All Exemplars,FeTrIL,0.3604938271604937
All Exemplars,DDGR,0.3851851851851851
All Exemplars,DDGR,0.3135802469135801
All Exemplars,DDGR,0.3160493827160494
All Exemplars,DDGR,0.2345679012345679
All Exemplars,DDGR,0.2592592592592592
All Exemplars,DDGR,0.3209876543209876
All Exemplars,DDGR,0.3629629629629629
All Exemplars,DDGR,0.3950617283950617
All Exemplars,DDGR,0.4098765432098765
All Exemplars,DDGR,0.3185185185185185
All Exemplars,DDGR,0.3728395061728394
All Exemplars,DDGR,0.2864197530864197
All Exemplars,DDGR,0.3333333333333333
All Exemplars,DDGR,0.2765432098765431
All Exemplars,DDGR,0.3950617283950616
All Exemplars,DDGR,0.3679012345679012
All Exemplars,DDGR,0.3530864197530864
All Exemplars,DDGR,0.2518518518518518
All Exemplars,DDGR,0.2444444444444444
All Exemplars,DDGR,0.2814814814814814
All Exemplars,DDGR,0.3604938271604938
All Exemplars,DDGR,0.3234567901234567
All Exemplars,DDGR,0.2814814814814814
All Exemplars,DDGR,0.4123456790123456
All Exemplars,DDGR,0.3530864197530863
All Exemplars,DDGR,0.4913580246913581
All Exemplars,DDGR,0.2814814814814815
All Exemplars,DDGR,0.3432098765432098
All Exemplars,DDGR,0.3703703703703703
All Exemplars,DDGR,0.3086419753086419
All Exemplars,VAE_Adapt,0.5135802469135802
All Exemplars,VAE_Adapt,0.4098765432098765
All Exemplars,VAE_Adapt,0.4320987654320987
All Exemplars,VAE_Adapt,0.311111111111111
All Exemplars,VAE_Adapt,0.3185185185185185
All Exemplars,VAE_Adapt,0.4271604938271604
All Exemplars,VAE_Adapt,0.4469135802469135
All Exemplars,VAE_Adapt,0.4962962962962963
All Exemplars,VAE_Adapt,0.3925925925925925
All Exemplars,VAE_Adapt,0.5382716049382716
All Exemplars,VAE_Adapt,0.4419753086419752
All Exemplars,VAE_Adapt,0.3851851851851851
All Exemplars,VAE_Adapt,0.3925925925925925
All Exemplars,VAE_Adapt,0.3456790123456789
All Exemplars,VAE_Adapt,0.4074074074074074
All Exemplars,VAE_Adapt,0.5135802469135802
All Exemplars,VAE_Adapt,0.4049382716049382
All Exemplars,VAE_Adapt,0.3777777777777777
All Exemplars,VAE_Adapt,0.5209876543209877
All Exemplars,VAE_Adapt,0.3975308641975307
All Exemplars,VAE_Adapt,0.4567901234567901
All Exemplars,VAE_Adapt,0.4172839506172839
All Exemplars,VAE_Adapt,0.4395061728395061
All Exemplars,VAE_Adapt,0.3506172839506172
All Exemplars,VAE_Adapt,0.4790123456790123
All Exemplars,VAE_Adapt,0.5061728395061728
All Exemplars,VAE_Adapt,0.3851851851851851
All Exemplars,VAE_Adapt,0.4641975308641975
All Exemplars,VAE_Adapt,0.3654320987654321
All Exemplars,VAE_Adapt,0.4543209876543209
All Exemplars,VAE_BBox,0.4987654320987653
All Exemplars,VAE_BBox,0.4
All Exemplars,VAE_BBox,0.4518518518518519
All Exemplars,VAE_BBox,0.3901234567901234
All Exemplars,VAE_BBox,0.348148148148148
All Exemplars,VAE_BBox,0.4518518518518518
All Exemplars,VAE_BBox,0.5012345679012344
All Exemplars,VAE_BBox,0.5407407407407406
All Exemplars,VAE_BBox,0.3777777777777777
All Exemplars,VAE_BBox,0.508641975308642
All Exemplars,VAE_BBox,0.3308641975308641
All Exemplars,VAE_BBox,0.5135802469135802
All Exemplars,VAE_BBox,0.4493827160493827
All Exemplars,VAE_BBox,0.3160493827160493
All Exemplars,VAE_BBox,0.508641975308642
All Exemplars,VAE_BBox,0.3530864197530864
All Exemplars,VAE_BBox,0.4049382716049383
All Exemplars,VAE_BBox,0.3629629629629629
All Exemplars,VAE_BBox,0.5209876543209876
All Exemplars,VAE_BBox,0.437037037037037
All Exemplars,VAE_BBox,0.4074074074074073
All Exemplars,VAE_BBox,0.4246913580246912
All Exemplars,VAE_BBox,0.508641975308642
All Exemplars,VAE_BBox,0.5234567901234567
All Exemplars,VAE_BBox,0.5111111111111111
All Exemplars,VAE_BBox,0.5407407407407407
All Exemplars,VAE_BBox,0.474074074074074
All Exemplars,VAE_BBox,0.4419753086419753
All Exemplars,VAE_BBox,0.4123456790123456
All Exemplars,VAE_BBox,0.491358024691358
All Exemplars,VAE_Filter,0.5333333333333334
All Exemplars,VAE_Filter,0.4666666666666666
All Exemplars,VAE_Filter,0.5234567901234568
All Exemplars,VAE_Filter,0.348148148148148
All Exemplars,VAE_Filter,0.3975308641975308
All Exemplars,VAE_Filter,0.5802469135802469
All Exemplars,VAE_Filter,0.5012345679012346
All Exemplars,VAE_Filter,0.6271604938271604
All Exemplars,VAE_Filter,0.4370370370370369
All Exemplars,VAE_Filter,0.4395061728395061
All Exemplars,VAE_Filter,0.3308641975308641
All Exemplars,VAE_Filter,0.4024691358024691
All Exemplars,VAE_Filter,0.5185185185185185
All Exemplars,VAE_Filter,0.365432098765432
All Exemplars,VAE_Filter,0.4320987654320987
All Exemplars,VAE_Filter,0.4938271604938271
All Exemplars,VAE_Filter,0.3654320987654321
All Exemplars,VAE_Filter,0.4518518518518518
All Exemplars,VAE_Filter,0.5555555555555556
All Exemplars,VAE_Filter,0.4641975308641974
All Exemplars,VAE_Filter,0.4641975308641974
All Exemplars,VAE_Filter,0.4395061728395061
All Exemplars,VAE_Filter,0.4395061728395061
All Exemplars,VAE_Filter,0.5111111111111111
All Exemplars,VAE_Filter,0.5629629629629629
All Exemplars,VAE_Filter,0.5308641975308641
All Exemplars,VAE_Filter,0.5432098765432098
All Exemplars,VAE_Filter,0.4567901234567901
All Exemplars,VAE_Filter,0.4592592592592592
All Exemplars,VAE_Filter,0.4271604938271604
All Exemplars,VAE_GMM,0.5728395061728395
All Exemplars,VAE_GMM,0.6148148148148149
All Exemplars,VAE_GMM,0.708641975308642
All Exemplars,VAE_GMM,0.3950617283950617
All Exemplars,VAE_GMM,0.3604938271604937
All Exemplars,VAE_GMM,0.708641975308642
All Exemplars,VAE_GMM,0.6839506172839507
All Exemplars,VAE_GMM,0.7580246913580246
All Exemplars,VAE_GMM,0.5061728395061729
All Exemplars,VAE_GMM,0.6395061728395062
All Exemplars,VAE_GMM,0.5160493827160494
All Exemplars,VAE_GMM,0.4666666666666667
All Exemplars,VAE_GMM,0.8148148148148149
All Exemplars,VAE_GMM,0.5654320987654321
All Exemplars,VAE_GMM,0.5679012345679012
All Exemplars,VAE_GMM,0.6049382716049383
All Exemplars,VAE_GMM,0.5777777777777777
All Exemplars,VAE_GMM,0.7432098765432098
All Exemplars,VAE_GMM,0.6246913580246913
All Exemplars,VAE_GMM,0.65679012345679
All Exemplars,VAE_GMM,0.7185185185185186
All Exemplars,VAE_GMM,0.5506172839506173
All Exemplars,VAE_GMM,0.5382716049382716
All Exemplars,VAE_GMM,0.6641975308641975
All Exemplars,VAE_GMM,0.5753086419753086
All Exemplars,VAE_GMM,0.6592592592592592
All Exemplars,VAE_GMM,0.745679012345679
All Exemplars,VAE_GMM,0.45679012345679
All Exemplars,VAE_GMM,0.6172839506172839
All Exemplars,VAE_GMM,0.6962962962962964
