Exemplar_Size,Task 2,Task 3,Task 4,Method
All Exemplars,0.861111111111111,0.569811320754717,0.4888888888888888,FeTrIL
All Exemplars,0.8388888888888889,0.673913043478261,0.492063492063492,FeTrIL
All Exemplars,0.8636363636363636,0.7735849056603774,0.5830985915492958,FeTrIL
All Exemplars,0.9283018867924527,0.7290322580645162,0.7055555555555557,FeTrIL
All Exemplars,0.7962264150943396,0.7650793650793651,0.6916666666666667,FeTrIL
All Exemplars,0.8844444444444444,0.6481481481481481,0.690625,FeTrIL
All Exemplars,0.8869565217391304,0.6126984126984126,0.55,FeTrIL
All Exemplars,0.888888888888889,0.7481481481481482,0.6603174603174603,FeTrIL
All Exemplars,0.7513513513513513,0.673913043478261,0.534375,FeTrIL
All Exemplars,0.9555555555555555,0.6264150943396226,0.5650793650793651,FeTrIL
All Exemplars,0.8054054054054054,0.562962962962963,0.46944444444444444,FeTrIL
All Exemplars,0.9244444444444444,0.5967741935483871,0.5277777777777778,FeTrIL
All Exemplars,0.7891891891891892,0.6130434782608696,0.4875,FeTrIL
All Exemplars,0.8454545454545455,0.5935483870967742,0.575,FeTrIL
All Exemplars,0.8166666666666668,0.5592592592592593,0.540625,FeTrIL
All Exemplars,0.8227272727272729,0.720754716981132,0.523943661971831,FeTrIL
All Exemplars,0.788888888888889,0.5888888888888889,0.4027777777777778,FeTrIL
All Exemplars,0.8318181818181818,0.7333333333333333,0.5611111111111111,FeTrIL
All Exemplars,0.8488888888888889,0.7745454545454546,0.5472222222222222,FeTrIL
All Exemplars,0.859090909090909,0.7,0.6253968253968255,FeTrIL
All Exemplars,0.8162162162162161,0.5272727272727273,0.475,FeTrIL
All Exemplars,0.8545454545454547,0.6451612903225807,0.5694444444444444,FeTrIL
All Exemplars,0.8114285714285714,0.7022222222222222,0.4825396825396825,FeTrIL
All Exemplars,0.9244444444444444,0.7481481481481482,0.696875,FeTrIL
All Exemplars,0.7555555555555556,0.6618181818181819,0.538888888888889,FeTrIL
All Exemplars,0.8810810810810811,0.46296296296296297,0.4031746031746032,FeTrIL
All Exemplars,0.7727272727272728,0.6603773584905661,0.5841269841269842,FeTrIL
All Exemplars,0.8444444444444444,0.5444444444444445,0.56875,FeTrIL
All Exemplars,0.7611111111111111,0.5814814814814815,0.4333333333333333,FeTrIL
All Exemplars,0.8944444444444445,0.7565217391304347,0.5777777777777778,FeTrIL
All Exemplars,0.47777777777777775,0.1773584905660377,0.19047619047619044,DDGR
All Exemplars,0.4666666666666666,0.33043478260869563,0.25396825396825395,DDGR
All Exemplars,0.540909090909091,0.2830188679245283,0.2647887323943662,DDGR
All Exemplars,0.4679245283018868,0.29032258064516125,0.3277777777777778,DDGR
All Exemplars,0.46037735849056605,0.3206349206349206,0.2777777777777778,DDGR
All Exemplars,0.5333333333333333,0.28888888888888886,0.278125,DDGR
All Exemplars,0.4608695652173913,0.32698412698412693,0.2861111111111111,DDGR
All Exemplars,0.6,0.40740740740740733,0.2095238095238095,DDGR
All Exemplars,0.6864864864864865,0.3782608695652174,0.2375,DDGR
All Exemplars,0.42777777777777776,0.19245283018867926,0.27936507936507926,DDGR
All Exemplars,0.3945945945945946,0.23703703703703702,0.16666666666666669,DDGR
All Exemplars,0.47555555555555545,0.3290322580645161,0.29166666666666663,DDGR
All Exemplars,0.38918918918918916,0.3478260869565217,0.1875,DDGR
All Exemplars,0.5136363636363637,0.14838709677419354,0.08888888888888886,DDGR
All Exemplars,0.5,0.29259259259259257,0.1875,DDGR
All Exemplars,0.5727272727272728,0.3773584905660377,0.3154929577464788,DDGR
All Exemplars,0.45555555555555555,0.2592592592592592,0.16666666666666666,DDGR
All Exemplars,0.509090909090909,0.2777777777777778,0.3555555555555555,DDGR
All Exemplars,0.5422222222222223,0.3018181818181818,0.21666666666666665,DDGR
All Exemplars,0.5136363636363637,0.3740740740740741,0.22222222222222218,DDGR
All Exemplars,0.4486486486486486,0.26181818181818184,0.125,DDGR
All Exemplars,0.6045454545454546,0.4290322580645161,0.33333333333333337,DDGR
All Exemplars,0.48571428571428577,0.3022222222222222,0.18412698412698406,DDGR
All Exemplars,0.56,0.4629629629629629,0.33125,DDGR
All Exemplars,0.44000000000000006,0.30909090909090914,0.2583333333333333,DDGR
All Exemplars,0.3783783783783784,0.31111111111111106,0.1428571428571428,DDGR
All Exemplars,0.5454545454545455,0.29433962264150937,0.18412698412698408,DDGR
All Exemplars,0.8222222222222222,0.40740740740740733,0.31875,DDGR
All Exemplars,0.4833333333333334,0.3,0.25277777777777777,DDGR
All Exemplars,0.42777777777777776,0.27391304347826084,0.16190476190476186,DDGR
All Exemplars,0.8,0.6528301886792451,0.2666666666666666,VAE_Adapt
All Exemplars,0.8944444444444443,0.3826086956521739,0.47301587301587295,VAE_Adapt
All Exemplars,0.9545454545454547,0.5660377358490566,0.38591549295774646,VAE_Adapt
All Exemplars,0.660377358490566,0.2161290322580645,0.03055555555555552,VAE_Adapt
All Exemplars,0.6867924528301886,0.08888888888888885,0.04722222222222221,VAE_Adapt
All Exemplars,0.7155555555555556,0.3037037037037037,0.1875,VAE_Adapt
All Exemplars,0.9391304347826088,0.8634920634920634,0.425,VAE_Adapt
All Exemplars,0.8711111111111111,0.5666666666666667,0.2698412698412698,VAE_Adapt
All Exemplars,0.6054054054054054,0.4217391304347826,0.221875,VAE_Adapt
All Exemplars,0.7944444444444445,0.7207547169811321,0.2825396825396825,VAE_Adapt
All Exemplars,0.7243243243243243,0.3259259259259259,0.23055555555555554,VAE_Adapt
All Exemplars,0.7822222222222222,0.4064516129032258,0.01944444444444442,VAE_Adapt
All Exemplars,0.8432432432432433,0.40869565217391307,0.25,VAE_Adapt
All Exemplars,0.8090909090909092,0.806451612903226,0.3361111111111111,VAE_Adapt
All Exemplars,0.8055555555555556,0.6148148148148148,0.303125,VAE_Adapt
All Exemplars,0.931818181818182,0.46037735849056605,0.2535211267605634,VAE_Adapt
All Exemplars,0.711111111111111,0.4444444444444445,0.2111111111111111,VAE_Adapt
All Exemplars,0.831818181818182,0.5148148148148148,0.26666666666666666,VAE_Adapt
All Exemplars,0.8133333333333332,0.5200000000000001,0.35277777777777775,VAE_Adapt
All Exemplars,0.9681818181818184,0.662962962962963,0.47301587301587295,VAE_Adapt
All Exemplars,0.8,0.49818181818181817,0.228125,VAE_Adapt
All Exemplars,0.8545454545454545,0.6838709677419355,0.21944444444444447,VAE_Adapt
All Exemplars,0.7828571428571429,0.4800000000000001,0.4222222222222222,VAE_Adapt
All Exemplars,0.7155555555555556,0.34444444444444444,0.18125,VAE_Adapt
All Exemplars,0.8844444444444445,0.5927272727272728,0.36388888888888893,VAE_Adapt
All Exemplars,0.7783783783783784,0.7333333333333334,0.34285714285714286,VAE_Adapt
All Exemplars,0.8954545454545455,0.4716981132075471,0.29841269841269835,VAE_Adapt
All Exemplars,0.7944444444444445,0.5148148148148148,0.175,VAE_Adapt
All Exemplars,0.55,0.5555555555555556,0.26388888888888884,VAE_Adapt
All Exemplars,0.7333333333333333,0.4434782608695652,0.34603174603174597,VAE_Adapt
All Exemplars,0.75,0.4905660377358491,0.22857142857142856,VAE_BBox
All Exemplars,0.9277777777777778,0.5565217391304349,0.3492063492063492,VAE_BBox
All Exemplars,0.9363636363636365,0.588679245283019,0.4732394366197183,VAE_BBox
All Exemplars,0.5433962264150943,0.33870967741935487,0.24722222222222218,VAE_BBox
All Exemplars,0.6566037735849057,0.4317460317460317,0.3666666666666667,VAE_BBox
All Exemplars,0.7466666666666667,0.36296296296296293,0.18125,VAE_BBox
All Exemplars,0.9652173913043478,0.8952380952380953,0.3694444444444444,VAE_BBox
All Exemplars,0.9377777777777776,0.6555555555555557,0.42222222222222217,VAE_BBox
All Exemplars,0.6270270270270271,0.5260869565217391,0.303125,VAE_BBox
All Exemplars,0.7,0.49056603773584906,0.16825396825396824,VAE_BBox
All Exemplars,0.6864864864864865,0.20370370370370366,0.24166666666666664,VAE_BBox
All Exemplars,0.7911111111111111,0.5419354838709678,0.16666666666666666,VAE_BBox
All Exemplars,0.9027027027027028,0.5826086956521739,0.375,VAE_BBox
All Exemplars,0.8772727272727273,0.7129032258064516,0.44722222222222224,VAE_BBox
All Exemplars,0.7722222222222223,0.5592592592592591,0.33125,VAE_BBox
All Exemplars,0.9227272727272726,0.7849056603773585,0.5464788732394366,VAE_BBox
All Exemplars,0.7222222222222222,0.6111111111111112,0.3416666666666667,VAE_BBox
All Exemplars,0.9272727272727274,0.7666666666666668,0.4,VAE_BBox
All Exemplars,0.9422222222222223,0.6145454545454545,0.325,VAE_BBox
All Exemplars,0.9545454545454547,0.6851851851851853,0.42857142857142855,VAE_BBox
All Exemplars,0.8324324324324325,0.5672727272727273,0.290625,VAE_BBox
All Exemplars,0.8363636363636363,0.6290322580645161,0.325,VAE_BBox
