Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.8666666666666668
All Exemplars,FeTrIL,0.8111111111111111
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,0.831111111111111
All Exemplars,FeTrIL,0.8355555555555556
All Exemplars,FeTrIL,0.795
All Exemplars,FeTrIL,0.8523809523809524
All Exemplars,FeTrIL,0.8380952380952381
All Exemplars,FeTrIL,0.7243243243243243
All Exemplars,FeTrIL,0.8666666666666668
All Exemplars,FeTrIL,0.772972972972973
All Exemplars,FeTrIL,0.885
All Exemplars,FeTrIL,0.8210526315789475
All Exemplars,FeTrIL,0.8146341463414635
All Exemplars,FeTrIL,0.7444444444444445
All Exemplars,FeTrIL,0.8400000000000001
All Exemplars,FeTrIL,0.772972972972973
All Exemplars,FeTrIL,0.8200000000000001
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,0.7804878048780488
All Exemplars,FeTrIL,0.7578947368421053
All Exemplars,FeTrIL,0.905
All Exemplars,FeTrIL,0.7555555555555555
All Exemplars,FeTrIL,0.8300000000000001
All Exemplars,FeTrIL,0.8585365853658538
All Exemplars,FeTrIL,0.8421052631578947
All Exemplars,FeTrIL,0.825
All Exemplars,FeTrIL,0.8111111111111112
All Exemplars,FeTrIL,0.8378378378378379
All Exemplars,FeTrIL,0.7000000000000001
All Exemplars,DDGR,0.638888888888889
All Exemplars,DDGR,0.55
All Exemplars,DDGR,0.4146341463414634
All Exemplars,DDGR,0.5466666666666666
All Exemplars,DDGR,0.5911111111111111
All Exemplars,DDGR,0.61
All Exemplars,DDGR,0.5476190476190477
All Exemplars,DDGR,0.6142857142857143
All Exemplars,DDGR,0.6270270270270271
All Exemplars,DDGR,0.6166666666666666
All Exemplars,DDGR,0.5945945945945945
All Exemplars,DDGR,0.5650000000000001
All Exemplars,DDGR,0.531578947368421
All Exemplars,DDGR,0.3902439024390244
All Exemplars,DDGR,0.7055555555555557
All Exemplars,DDGR,0.58
All Exemplars,DDGR,0.5243243243243244
All Exemplars,DDGR,0.51
All Exemplars,DDGR,0.4487804878048781
All Exemplars,DDGR,0.3317073170731707
All Exemplars,DDGR,0.5105263157894737
All Exemplars,DDGR,0.615
All Exemplars,DDGR,0.5666666666666667
All Exemplars,DDGR,0.645
All Exemplars,DDGR,0.5463414634146342
All Exemplars,DDGR,0.4421052631578948
All Exemplars,DDGR,0.415
All Exemplars,DDGR,0.7166666666666668
All Exemplars,DDGR,0.5243243243243242
All Exemplars,DDGR,0.4888888888888889
All Exemplars,VAE_Adapt,0.6722222222222223
All Exemplars,VAE_Adapt,0.6777777777777778
All Exemplars,VAE_Adapt,0.7951219512195122
All Exemplars,VAE_Adapt,0.3644444444444444
All Exemplars,VAE_Adapt,0.4577777777777777
All Exemplars,VAE_Adapt,0.7799999999999999
All Exemplars,VAE_Adapt,0.8809523809523808
All Exemplars,VAE_Adapt,0.8571428571428571
All Exemplars,VAE_Adapt,0.3351351351351351
All Exemplars,VAE_Adapt,0.6944444444444444
All Exemplars,VAE_Adapt,0.5675675675675674
All Exemplars,VAE_Adapt,0.8299999999999998
All Exemplars,VAE_Adapt,0.8578947368421053
All Exemplars,VAE_Adapt,0.726829268292683
All Exemplars,VAE_Adapt,0.7111111111111112
All Exemplars,VAE_Adapt,0.7350000000000001
All Exemplars,VAE_Adapt,0.5135135135135135
All Exemplars,VAE_Adapt,0.8699999999999999
All Exemplars,VAE_Adapt,0.9073170731707318
All Exemplars,VAE_Adapt,0.8
All Exemplars,VAE_Adapt,0.8263157894736842
All Exemplars,VAE_Adapt,0.785
All Exemplars,VAE_Adapt,0.6333333333333333
All Exemplars,VAE_Adapt,0.85
All Exemplars,VAE_Adapt,0.9268292682926832
All Exemplars,VAE_Adapt,0.7578947368421053
All Exemplars,VAE_Adapt,0.8699999999999999
All Exemplars,VAE_Adapt,0.6833333333333333
All Exemplars,VAE_Adapt,0.6162162162162163
All Exemplars,VAE_Adapt,0.5277777777777778
All Exemplars,VAE_BBox,0.7166666666666666
All Exemplars,VAE_BBox,0.7055555555555555
All Exemplars,VAE_BBox,0.8243902439024391
All Exemplars,VAE_BBox,0.5199999999999999
All Exemplars,VAE_BBox,0.4977777777777777
All Exemplars,VAE_BBox,0.795
All Exemplars,VAE_BBox,0.9190476190476192
All Exemplars,VAE_BBox,0.9571428571428572
All Exemplars,VAE_BBox,0.4594594594594594
All Exemplars,VAE_BBox,0.6222222222222222
All Exemplars,VAE_BBox,0.5945945945945945
All Exemplars,VAE_BBox,0.885
All Exemplars,VAE_BBox,0.9210526315789476
All Exemplars,VAE_BBox,0.7073170731707317
All Exemplars,VAE_BBox,0.75
All Exemplars,VAE_BBox,0.72
All Exemplars,VAE_BBox,0.4216216216216216
All Exemplars,VAE_BBox,0.8150000000000001
All Exemplars,VAE_BBox,0.9317073170731708
All Exemplars,VAE_BBox,0.8146341463414635
All Exemplars,VAE_BBox,0.8157894736842106
All Exemplars,VAE_BBox,0.7250000000000001
All Exemplars,VAE_BBox,0.8388888888888889
All Exemplars,VAE_BBox,0.775
All Exemplars,VAE_BBox,0.9268292682926832
All Exemplars,VAE_BBox,0.8210526315789475
All Exemplars,VAE_BBox,0.8699999999999999
All Exemplars,VAE_BBox,0.6944444444444444
All Exemplars,VAE_BBox,0.3945945945945945
All Exemplars,VAE_BBox,0.6222222222222221
All Exemplars,VAE_Filter,0.6944444444444444
All Exemplars,VAE_Filter,0.7222222222222222
All Exemplars,VAE_Filter,0.7902439024390244
All Exemplars,VAE_Filter,0.5822222222222223
All Exemplars,VAE_Filter,0.5822222222222222
All Exemplars,VAE_Filter,0.835
All Exemplars,VAE_Filter,0.8952380952380953
All Exemplars,VAE_Filter,0.9571428571428572
All Exemplars,VAE_Filter,0.5243243243243242
All Exemplars,VAE_Filter,0.8055555555555556
All Exemplars,VAE_Filter,0.6594594594594595
All Exemplars,VAE_Filter,0.845
All Exemplars,VAE_Filter,0.9421052631578948
All Exemplars,VAE_Filter,0.7121951219512196
All Exemplars,VAE_Filter,0.7166666666666666
All Exemplars,VAE_Filter,0.8200000000000001
All Exemplars,VAE_Filter,0.5297297297297298
All Exemplars,VAE_Filter,0.8550000000000001
All Exemplars,VAE_Filter,0.9365853658536588
All Exemplars,VAE_Filter,0.7999999999999999
All Exemplars,VAE_Filter,0.8631578947368421
All Exemplars,VAE_Filter,0.755
All Exemplars,VAE_Filter,0.8166666666666667
All Exemplars,VAE_Filter,0.835
All Exemplars,VAE_Filter,0.9463414634146344
All Exemplars,VAE_Filter,0.8210526315789476
All Exemplars,VAE_Filter,0.785
All Exemplars,VAE_Filter,0.7111111111111111
All Exemplars,VAE_Filter,0.4594594594594594
All Exemplars,VAE_Filter,0.888888888888889
All Exemplars,VAE_GMM,0.7277777777777779
All Exemplars,VAE_GMM,0.9055555555555556
All Exemplars,VAE_GMM,0.8975609756097562
All Exemplars,VAE_GMM,0.5111111111111111
All Exemplars,VAE_GMM,0.5688888888888888
All Exemplars,VAE_GMM,0.885
All Exemplars,VAE_GMM,0.7952380952380953
All Exemplars,VAE_GMM,0.9714285714285716
All Exemplars,VAE_GMM,0.5783783783783784
All Exemplars,VAE_GMM,0.8333333333333334
All Exemplars,VAE_GMM,0.6270270270270271
All Exemplars,VAE_GMM,0.96
All Exemplars,VAE_GMM,0.8947368421052632
All Exemplars,VAE_GMM,0.878048780487805
All Exemplars,VAE_GMM,0.7333333333333333
All Exemplars,VAE_GMM,0.925
All Exemplars,VAE_GMM,0.745945945945946
All Exemplars,VAE_GMM,0.91
All Exemplars,VAE_GMM,0.95609756097561
All Exemplars,VAE_GMM,0.951219512195122
All Exemplars,VAE_GMM,0.8894736842105264
All Exemplars,VAE_GMM,0.745
All Exemplars,VAE_GMM,0.7555555555555555
All Exemplars,VAE_GMM,0.875
All Exemplars,VAE_GMM,0.9756097560975612
All Exemplars,VAE_GMM,0.8105263157894738
All Exemplars,VAE_GMM,0.93
All Exemplars,VAE_GMM,0.8277777777777778
All Exemplars,VAE_GMM,0.7189189189189189
All Exemplars,VAE_GMM,0.8666666666666666
