Exemplar_Size,Task 1,Task 2,Task 3,Method
All Exemplars,0.9842105263157894,0.6272727272727273,0.4567901234567901,FeTrIL
All Exemplars,0.9743589743589745,0.5611940298507463,0.44444444444444436,FeTrIL
All Exemplars,0.975609756097561,0.5151515151515151,0.40246913580246907,FeTrIL
All Exemplars,0.980952380952381,0.5999999999999999,0.5037037037037037,FeTrIL
All Exemplars,0.980952380952381,0.6485714285714286,0.508641975308642,FeTrIL
All Exemplars,0.9800000000000001,0.5205882352941176,0.4888888888888888,FeTrIL
All Exemplars,0.9818181818181817,0.6514285714285714,0.45925925925925914,FeTrIL
All Exemplars,1.0,0.6424242424242423,0.48395061728395056,FeTrIL
All Exemplars,0.975,0.5823529411764705,0.5111111111111111,FeTrIL
All Exemplars,0.9736842105263157,0.6030303030303029,0.4913580246913579,FeTrIL
All Exemplars,0.975,0.5558823529411765,0.4493827160493827,FeTrIL
All Exemplars,0.9800000000000001,0.6205882352941177,0.41234567901234553,FeTrIL
All Exemplars,0.9767441860465116,0.5852941176470587,0.3950617283950617,FeTrIL
All Exemplars,0.9804878048780488,0.5628571428571428,0.43950617283950616,FeTrIL
All Exemplars,0.9894736842105264,0.5705882352941176,0.44444444444444436,FeTrIL
All Exemplars,1.0,0.6303030303030303,0.4098765432098765,FeTrIL
All Exemplars,0.9743589743589745,0.6323529411764706,0.4148148148148148,FeTrIL
All Exemplars,0.9743589743589745,0.5205882352941177,0.3901234567901234,FeTrIL
All Exemplars,0.976190476190476,0.6257142857142857,0.382716049382716,FeTrIL
All Exemplars,0.975609756097561,0.46268656716417905,0.4469135802469135,FeTrIL
All Exemplars,0.9674418604651163,0.6176470588235294,0.4419753086419753,FeTrIL
All Exemplars,1.0,0.5764705882352941,0.39506172839506165,FeTrIL
All Exemplars,0.9513513513513514,0.5432835820895523,0.3975308641975308,FeTrIL
All Exemplars,0.99,0.5205882352941177,0.4716049382716049,FeTrIL
All Exemplars,0.9857142857142858,0.4800000000000001,0.3555555555555555,FeTrIL
