Exemplar_Size,Task 1,Task 2,Method
All Exemplars,1.0,0.6617283950617284,FeTrIL
All Exemplars,0.9888888888888889,0.5604938271604938,FeTrIL
All Exemplars,1.0,0.5358024691358024,FeTrIL
All Exemplars,1.0,0.7160493827160493,FeTrIL
All Exemplars,1.0,0.6814814814814815,FeTrIL
All Exemplars,1.0,0.5901234567901235,FeTrIL
All Exemplars,1.0,0.6,FeTrIL
All Exemplars,1.0,0.7061728395061728,FeTrIL
All Exemplars,0.9513513513513512,0.5950617283950617,FeTrIL
All Exemplars,1.0,0.5259259259259259,FeTrIL
All Exemplars,0.9567567567567569,0.5876543209876542,FeTrIL
All Exemplars,1.0,0.6222222222222222,FeTrIL
All Exemplars,0.9513513513513514,0.6271604938271605,FeTrIL
All Exemplars,1.0,0.5111111111111111,FeTrIL
All Exemplars,0.9944444444444445,0.5358024691358023,FeTrIL
All Exemplars,1.0,0.6419753086419753,FeTrIL
All Exemplars,0.9944444444444445,0.6395061728395062,FeTrIL
All Exemplars,1.0,0.6345679012345679,FeTrIL
All Exemplars,1.0,0.5827160493827162,FeTrIL
All Exemplars,1.0,0.5333333333333333,FeTrIL
All Exemplars,0.9891891891891891,0.7037037037037036,FeTrIL
All Exemplars,1.0,0.5580246913580247,FeTrIL
All Exemplars,0.9942857142857143,0.6049382716049383,FeTrIL
All Exemplars,1.0,0.5604938271604938,FeTrIL
All Exemplars,1.0,0.5728395061728395,FeTrIL
All Exemplars,0.972972972972973,0.4395061728395061,FeTrIL
All Exemplars,1.0,0.6444444444444445,FeTrIL
All Exemplars,1.0,0.5555555555555556,FeTrIL
All Exemplars,1.0,0.6938271604938271,FeTrIL
All Exemplars,1.0,0.6592592592592592,FeTrIL
All Exemplars,0.9833333333333334,0.7160493827160495,DDGR
All Exemplars,0.9944444444444445,0.7333333333333332,DDGR
All Exemplars,1.0,0.5358024691358024,DDGR
All Exemplars,0.9924528301886791,0.6074074074074074,DDGR
All Exemplars,0.9924528301886791,0.6024691358024692,DDGR
All Exemplars,1.0,0.7407407407407407,DDGR
All Exemplars,1.0,0.6469135802469135,DDGR
All Exemplars,1.0,0.6888888888888889,DDGR
All Exemplars,0.9405405405405407,0.5975308641975309,DDGR
All Exemplars,0.9944444444444445,0.654320987654321,DDGR
All Exemplars,0.9783783783783784,0.6765432098765433,DDGR
All Exemplars,1.0,0.6148148148148149,DDGR
All Exemplars,0.9891891891891891,0.6987654320987653,DDGR
All Exemplars,1.0,0.5259259259259259,DDGR
All Exemplars,0.9833333333333334,0.7555555555555555,DDGR
All Exemplars,1.0,0.7160493827160493,DDGR
All Exemplars,0.9944444444444445,0.7333333333333332,DDGR
All Exemplars,1.0,0.5654320987654321,DDGR
All Exemplars,1.0,0.6518518518518518,DDGR
All Exemplars,1.0,0.5753086419753086,DDGR
All Exemplars,0.9945945945945945,0.725925925925926,DDGR
All Exemplars,1.0,0.7012345679012346,DDGR
All Exemplars,1.0,0.7456790123456791,DDGR
All Exemplars,1.0,0.6246913580246913,DDGR
All Exemplars,1.0,0.6222222222222222,DDGR
All Exemplars,0.9513513513513514,0.6913580246913579,DDGR
All Exemplars,1.0,0.548148148148148,DDGR
All Exemplars,1.0,0.654320987654321,DDGR
All Exemplars,0.9944444444444445,0.7382716049382716,DDGR
All Exemplars,1.0,0.7333333333333334,DDGR
All Exemplars,1.0,0.8098765432098766,VAE_Adapt
All Exemplars,1.0,0.9382716049382717,VAE_Adapt
All Exemplars,1.0,0.8666666666666666,VAE_Adapt
All Exemplars,1.0,0.7703703703703704,VAE_Adapt
All Exemplars,0.9924528301886791,0.8271604938271604,VAE_Adapt
All Exemplars,1.0,0.8493827160493825,VAE_Adapt
