Exemplar_Size,Task 2,Method
All Exemplars,0.8277777777777778,FeTrIL
All Exemplars,0.7888888888888889,FeTrIL
All Exemplars,0.7512195121951221,FeTrIL
All Exemplars,0.8444444444444443,FeTrIL
All Exemplars,0.8266666666666665,FeTrIL
All Exemplars,0.85,FeTrIL
All Exemplars,0.7857142857142858,FeTrIL
All Exemplars,0.8333333333333334,FeTrIL
All Exemplars,0.6810810810810811,FeTrIL
All Exemplars,0.7444444444444445,FeTrIL
All Exemplars,0.5513513513513513,FeTrIL
All Exemplars,0.775,FeTrIL
All Exemplars,0.668421052631579,FeTrIL
All Exemplars,0.7365853658536585,FeTrIL
All Exemplars,0.7333333333333334,FeTrIL
All Exemplars,0.8949999999999999,FeTrIL
All Exemplars,0.7945945945945946,FeTrIL
All Exemplars,0.79,FeTrIL
All Exemplars,0.7073170731707317,FeTrIL
All Exemplars,0.7853658536585366,FeTrIL
All Exemplars,0.6473684210526315,FeTrIL
All Exemplars,0.875,FeTrIL
All Exemplars,0.75,FeTrIL
All Exemplars,0.8300000000000001,FeTrIL
All Exemplars,0.7073170731707317,FeTrIL
All Exemplars,0.8578947368421053,FeTrIL
All Exemplars,0.8600000000000001,FeTrIL
All Exemplars,0.8055555555555557,FeTrIL
All Exemplars,0.7513513513513513,FeTrIL
All Exemplars,0.8111111111111111,FeTrIL
All Exemplars,0.26111111111111107,DDGR
All Exemplars,0.47777777777777775,DDGR
All Exemplars,0.31707317073170727,DDGR
All Exemplars,0.52,DDGR
All Exemplars,0.6399999999999999,DDGR
All Exemplars,0.41000000000000003,DDGR
All Exemplars,0.44761904761904764,DDGR
All Exemplars,0.5571428571428572,DDGR
All Exemplars,0.38918918918918916,DDGR
All Exemplars,0.4111111111111111,DDGR
All Exemplars,0.43243243243243235,DDGR
All Exemplars,0.45999999999999996,DDGR
All Exemplars,0.5,DDGR
All Exemplars,0.2195121951219512,DDGR
All Exemplars,0.5166666666666667,DDGR
All Exemplars,0.55,DDGR
All Exemplars,0.38378378378378375,DDGR
All Exemplars,0.40499999999999997,DDGR
All Exemplars,0.3463414634146341,DDGR
All Exemplars,0.24878048780487805,DDGR
All Exemplars,0.45789473684210524,DDGR
All Exemplars,0.31500000000000006,DDGR
All Exemplars,0.46111111111111114,DDGR
All Exemplars,0.395,DDGR
All Exemplars,0.3365853658536585,DDGR
All Exemplars,0.27894736842105267,DDGR
All Exemplars,0.205,DDGR
All Exemplars,0.31666666666666665,DDGR
All Exemplars,0.30270270270270266,DDGR
All Exemplars,0.45555555555555555,DDGR
All Exemplars,0.4111111111111111,VAE_Adapt
All Exemplars,0.65,VAE_Adapt
All Exemplars,0.6585365853658536,VAE_Adapt
All Exemplars,0.4177777777777777,VAE_Adapt
All Exemplars,0.3333333333333333,VAE_Adapt
All Exemplars,0.6799999999999999,VAE_Adapt
All Exemplars,0.8666666666666668,VAE_Adapt
All Exemplars,0.7523809523809525,VAE_Adapt
All Exemplars,0.4486486486486486,VAE_Adapt
All Exemplars,0.4611111111111111,VAE_Adapt
All Exemplars,0.48108108108108105,VAE_Adapt
All Exemplars,0.865,VAE_Adapt
All Exemplars,0.7421052631578948,VAE_Adapt
All Exemplars,0.6195121951219513,VAE_Adapt
All Exemplars,0.4833333333333333,VAE_Adapt
All Exemplars,0.645,VAE_Adapt
All Exemplars,0.3351351351351351,VAE_Adapt
All Exemplars,0.6849999999999999,VAE_Adapt
All Exemplars,0.829268292682927,VAE_Adapt
All Exemplars,0.5853658536585366,VAE_Adapt
All Exemplars,0.7368421052631579,VAE_Adapt
All Exemplars,0.8550000000000001,VAE_Adapt
All Exemplars,0.5,VAE_Adapt
All Exemplars,0.8400000000000001,VAE_Adapt
All Exemplars,0.853658536585366,VAE_Adapt
All Exemplars,0.6,VAE_Adapt
All Exemplars,0.625,VAE_Adapt
All Exemplars,0.4222222222222222,VAE_Adapt
All Exemplars,0.38378378378378375,VAE_Adapt
All Exemplars,0.5555555555555556,VAE_Adapt
All Exemplars,0.41666666666666663,VAE_BBox
All Exemplars,0.6777777777777777,VAE_BBox
All Exemplars,0.702439024390244,VAE_BBox
All Exemplars,0.43999999999999995,VAE_BBox
All Exemplars,0.39999999999999997,VAE_BBox
All Exemplars,0.8300000000000001,VAE_BBox
All Exemplars,0.8761904761904763,VAE_BBox
All Exemplars,0.6571428571428573,VAE_BBox
All Exemplars,0.5351351351351351,VAE_BBox
All Exemplars,0.47777777777777786,VAE_BBox
All Exemplars,0.4378378378378378,VAE_BBox
All Exemplars,0.885,VAE_BBox
All Exemplars,0.8210526315789475,VAE_BBox
All Exemplars,0.6439024390243903,VAE_BBox
All Exemplars,0.5166666666666667,VAE_BBox
All Exemplars,0.665,VAE_BBox
All Exemplars,0.24864864864864863,VAE_BBox
All Exemplars,0.7300000000000001,VAE_BBox
All Exemplars,0.8731707317073172,VAE_BBox
All Exemplars,0.7365853658536585,VAE_BBox
All Exemplars,0.8157894736842106,VAE_BBox
All Exemplars,0.6450000000000001,VAE_BBox
All Exemplars,0.4333333333333334,VAE_BBox
All Exemplars,0.705,VAE_BBox
All Exemplars,0.8146341463414635,VAE_BBox
All Exemplars,0.6789473684210525,VAE_BBox
All Exemplars,0.7100000000000002,VAE_BBox
All Exemplars,0.611111111111111,VAE_BBox
All Exemplars,0.35135135135135137,VAE_BBox
All Exemplars,0.7944444444444445,VAE_BBox
All Exemplars,0.8,VAE_Filter
All Exemplars,0.9111111111111111,VAE_Filter
All Exemplars,0.6975609756097562,VAE_Filter
All Exemplars,0.5111111111111111,VAE_Filter
All Exemplars,0.43555555555555553,VAE_Filter
All Exemplars,0.78,VAE_Filter
All Exemplars,0.9428571428571428,VAE_Filter
All Exemplars,0.7904761904761906,VAE_Filter
All Exemplars,0.5459459459459459,VAE_Filter
All Exemplars,0.5333333333333333,VAE_Filter
All Exemplars,0.6108108108108108,VAE_Filter
All Exemplars,0.96,VAE_Filter
All Exemplars,0.8736842105263157,VAE_Filter
All Exemplars,0.7219512195121952,VAE_Filter
All Exemplars,0.5888888888888888,VAE_Filter
All Exemplars,0.6950000000000001,VAE_Filter
All Exemplars,0.427027027027027,VAE_Filter
All Exemplars,0.595,VAE_Filter
All Exemplars,0.8878048780487806,VAE_Filter
All Exemplars,0.7024390243902439,VAE_Filter
All Exemplars,0.8421052631578949,VAE_Filter
All Exemplars,0.7350000000000001,VAE_Filter
All Exemplars,0.5055555555555556,VAE_Filter
All Exemplars,0.7649999999999999,VAE_Filter
All Exemplars,0.8292682926829269,VAE_Filter
All Exemplars,0.6842105263157896,VAE_Filter
All Exemplars,0.7750000000000001,VAE_Filter
All Exemplars,0.7,VAE_Filter
All Exemplars,0.43243243243243246,VAE_Filter
All Exemplars,0.7500000000000001,VAE_Filter
All Exemplars,0.4833333333333334,VAE_GMM
All Exemplars,0.7277777777777777,VAE_GMM
All Exemplars,0.8097560975609757,VAE_GMM
All Exemplars,0.5777777777777777,VAE_GMM
All Exemplars,0.5422222222222223,VAE_GMM
All Exemplars,0.7350000000000001,VAE_GMM
All Exemplars,0.8952380952380953,VAE_GMM
All Exemplars,0.838095238095238,VAE_GMM
All Exemplars,0.4216216216216216,VAE_GMM
All Exemplars,0.55,VAE_GMM
All Exemplars,0.5027027027027027,VAE_GMM
All Exemplars,0.9349999999999999,VAE_GMM
All Exemplars,0.8631578947368423,VAE_GMM
All Exemplars,0.829268292682927,VAE_GMM
All Exemplars,0.6222222222222222,VAE_GMM
All Exemplars,0.7050000000000001,VAE_GMM
All Exemplars,0.7081081081081082,VAE_GMM
All Exemplars,0.75,VAE_GMM
All Exemplars,0.8926829268292684,VAE_GMM
All Exemplars,0.7804878048780488,VAE_GMM
All Exemplars,0.8736842105263157,VAE_GMM
All Exemplars,0.795,VAE_GMM
All Exemplars,0.7944444444444445,VAE_GMM
All Exemplars,0.8,VAE_GMM
All Exemplars,0.9170731707317075,VAE_GMM
All Exemplars,0.6210526315789473,VAE_GMM
All Exemplars,0.8450000000000001,VAE_GMM
All Exemplars,0.4166666666666667,VAE_GMM
All Exemplars,0.718918918918919,VAE_GMM
All Exemplars,0.8166666666666667,VAE_GMM
