Exemplar_Size,Task 2,Method
All Exemplars,0.31851851851851853,FeTrIL
All Exemplars,0.42666666666666664,FeTrIL
All Exemplars,0.3333333333333333,FeTrIL
All Exemplars,0.05454545454545452,FeTrIL
All Exemplars,0.15238095238095234,FeTrIL
All Exemplars,0.2074074074074074,FeTrIL
All Exemplars,0.15238095238095234,FeTrIL
All Exemplars,0.3538461538461538,FeTrIL
All Exemplars,0.19999999999999996,FeTrIL
All Exemplars,0.26666666666666666,FeTrIL
All Exemplars,0.20769230769230768,FeTrIL
All Exemplars,0.26956521739130435,FeTrIL
All Exemplars,0.23999999999999994,FeTrIL
All Exemplars,0.20909090909090905,FeTrIL
All Exemplars,0.2518518518518519,FeTrIL
All Exemplars,0.3925925925925926,FeTrIL
All Exemplars,0.36923076923076914,FeTrIL
All Exemplars,0.45384615384615384,FeTrIL
All Exemplars,0.33599999999999997,FeTrIL
All Exemplars,0.52,FeTrIL
All Exemplars,0.27999999999999997,FeTrIL
All Exemplars,0.2260869565217391,FeTrIL
All Exemplars,0.3666666666666666,FeTrIL
All Exemplars,0.19999999999999998,FeTrIL
All Exemplars,0.16,FeTrIL
All Exemplars,0.32,FeTrIL
All Exemplars,0.22962962962962963,FeTrIL
All Exemplars,0.274074074074074,FeTrIL
All Exemplars,0.21538461538461537,FeTrIL
All Exemplars,0.2733333333333333,FeTrIL
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.7636363636363637,DDGR
All Exemplars,0.8952380952380953,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9428571428571428,DDGR
All Exemplars,0.9923076923076923,DDGR
All Exemplars,0.9533333333333335,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9923076923076923,DDGR
All Exemplars,0.8956521739130435,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.8818181818181818,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.8608695652173914,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,DDGR
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9181818181818182,VAE_Adapt
All Exemplars,0.980952380952381,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9714285714285715,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9333333333333332,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9739130434782609,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9818181818181818,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.9923076923076923,VAE_Adapt
All Exemplars,0.984,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,0.992,VAE_Adapt
All Exemplars,0.9739130434782608,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_Adapt
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9636363636363636,VAE_BBox
All Exemplars,0.980952380952381,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9904761904761905,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9133333333333334,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9826086956521738,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9727272727272727,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9565217391304348,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9925925925925926,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9727272727272727,VAE_Filter
All Exemplars,0.9714285714285715,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9714285714285715,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9533333333333335,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9826086956521738,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9727272727272727,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,1.0,VAE_Filter
