Exemplar_Size,Method,Task 5
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,DDGR,0.2543360433604336
All Exemplars,DDGR,0.2851851851851851
All Exemplars,DDGR,0.216464237516869
All Exemplars,DDGR,0.1360448807854137
All Exemplars,DDGR,0.19382889200561
All Exemplars,DDGR,0.2731640356897735
All Exemplars,DDGR,0.2199158485273492
All Exemplars,DDGR,0.1964769647696476
All Exemplars,DDGR,0.2840082361015786
All Exemplars,DDGR,0.255691056910569
All Exemplars,DDGR,0.2585034013605441
All Exemplars,DDGR,0.210204081632653
All Exemplars,DDGR,0.2485929993136582
All Exemplars,DDGR,0.1096774193548386
All Exemplars,DDGR,0.2841455044612216
All Exemplars,DDGR,0.0859649122807017
All Exemplars,DDGR,0.2503401360544217
All Exemplars,DDGR,0.1929251700680271
All Exemplars,DDGR,0.2384291725105189
All Exemplars,DDGR,0.2116809116809116
All Exemplars,DDGR,0.2693205216197666
All Exemplars,DDGR,0.2096598639455781
All Exemplars,DDGR,0.2592592592592592
All Exemplars,DDGR,0.2778311599176389
All Exemplars,DDGR,0.2403927068723702
All Exemplars,DDGR,0.2039295392953929
All Exemplars,DDGR,0.1371794871794871
All Exemplars,DDGR,0.2561427590940288
All Exemplars,DDGR,0.1858503401360544
All Exemplars,DDGR,0.2955840455840455
All Exemplars,VAE_BBox,0.3787262872628726
All Exemplars,VAE_BBox,0.2754985754985755
All Exemplars,VAE_BBox,0.4161943319838056
All Exemplars,VAE_BBox,0.4342215988779803
All Exemplars,VAE_BBox,0.3873772791023843
All Exemplars,VAE_BBox,0.4442004118050789
All Exemplars,VAE_BBox,0.2669004207573632
All Exemplars,VAE_BBox,0.2336043360433604
All Exemplars,VAE_BBox,0.3604667124227865
All Exemplars,VAE_BBox,0.3333333333333333
All Exemplars,VAE_BBox,0.2565986394557823
All Exemplars,VAE_BBox,0.3576870748299319
All Exemplars,VAE_BBox,0.3474262182566918
All Exemplars,VAE_BBox,0.5244039270687237
All Exemplars,VAE_BBox,0.3741935483870968
All Exemplars,VAE_BBox,0.3180836707152496
All Exemplars,VAE_BBox,0.3723809523809523
All Exemplars,VAE_BBox,0.404625850340136
All Exemplars,VAE_BBox,0.205610098176718
All Exemplars,VAE_BBox,0.3648148148148148
All Exemplars,VAE_BBox,0.3280713795470145
All Exemplars,VAE_BBox,0.2632653061224489
All Exemplars,VAE_BBox,0.3559829059829059
All Exemplars,VAE_BBox,0.4104323953328757
All Exemplars,VAE_BBox,0.2166900420757363
All Exemplars,VAE_BBox,0.2668021680216801
All Exemplars,VAE_BBox,0.341025641025641
All Exemplars,VAE_BBox,0.4137268359643101
All Exemplars,VAE_BBox,0.3976870748299319
All Exemplars,VAE_BBox,0.3021367521367521
All Exemplars,VAE_Filter,0.3163956639566395
All Exemplars,VAE_Filter,0.2219373219373219
All Exemplars,VAE_Filter,0.3831309041835357
All Exemplars,VAE_Filter,0.3921458625525946
All Exemplars,VAE_Filter,0.3513323983169705
All Exemplars,VAE_Filter,0.3626630061770761
All Exemplars,VAE_Filter,0.3441795231416549
All Exemplars,VAE_Filter,0.2499999999999999
All Exemplars,VAE_Filter,0.2936170212765957
All Exemplars,VAE_Filter,0.3315718157181572
All Exemplars,VAE_Filter,0.2427210884353741
All Exemplars,VAE_Filter,0.4024489795918368
All Exemplars,VAE_Filter,0.3243651338366506
All Exemplars,VAE_Filter,0.3934081346423562
All Exemplars,VAE_Filter,0.3938229238160604
All Exemplars,VAE_Filter,0.3499325236167341
All Exemplars,VAE_Filter,0.3480272108843537
All Exemplars,VAE_Filter,0.4280272108843537
All Exemplars,VAE_Filter,0.2021037868162692
All Exemplars,VAE_Filter,0.3444444444444444
All Exemplars,VAE_Filter,0.3853122855181881
All Exemplars,VAE_Filter,0.4195918367346938
All Exemplars,VAE_Filter,0.3249287749287749
All Exemplars,VAE_Filter,0.3648592999313658
All Exemplars,VAE_Filter,0.3274894810659186
All Exemplars,VAE_Filter,0.229810298102981
All Exemplars,VAE_Filter,0.333048433048433
All Exemplars,VAE_Filter,0.3986273164035689
All Exemplars,VAE_Filter,0.408843537414966
All Exemplars,VAE_Filter,0.2699430199430199
All Exemplars,VAE_GMM,0.2314363143631436
All Exemplars,VAE_GMM,0.2699430199430199
All Exemplars,VAE_GMM,0.3217273954116059
All Exemplars,VAE_GMM,0.2037868162692846
All Exemplars,VAE_GMM,0.3952314165497895
All Exemplars,VAE_GMM,0.3117364447494852
All Exemplars,VAE_GMM,0.3729312762973352
All Exemplars,VAE_GMM,0.2441734417344173
All Exemplars,VAE_GMM,0.3232669869595058
All Exemplars,VAE_GMM,0.2859078590785908
All Exemplars,VAE_GMM,0.2272108843537414
All Exemplars,VAE_GMM,0.324625850340136
All Exemplars,VAE_GMM,0.4411805078929307
All Exemplars,VAE_GMM,0.3844319775596072
All Exemplars,VAE_GMM,0.2683596431022649
All Exemplars,VAE_GMM,0.2781376518218622
All Exemplars,VAE_GMM,0.2442176870748299
