Exemplar_Size,Method,Task 5
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,DDGR,0.192582602832097
All Exemplars,DDGR,0.2900862068965517
All Exemplars,DDGR,0.2074666666666666
All Exemplars,DDGR,0.1940320232896651
All Exemplars,DDGR,0.1890829694323144
All Exemplars,DDGR,0.2686486486486486
All Exemplars,DDGR,0.3001455604075692
All Exemplars,DDGR,0.1861092380310181
All Exemplars,DDGR,0.2404054054054053
All Exemplars,DDGR,0.2238705327039784
All Exemplars,DDGR,0.2340862422997946
All Exemplars,DDGR,0.2342231348391512
All Exemplars,DDGR,0.3079729729729729
All Exemplars,DDGR,0.2193595342066957
All Exemplars,DDGR,0.2671621621621621
All Exemplars,DDGR,0.2053333333333333
All Exemplars,DDGR,0.1915126625598904
All Exemplars,DDGR,0.1943874058863791
All Exemplars,DDGR,0.1890829694323143
All Exemplars,DDGR,0.2265804597701149
All Exemplars,DDGR,0.2632432432432432
All Exemplars,DDGR,0.1952087611225187
All Exemplars,DDGR,0.2360632183908045
All Exemplars,DDGR,0.2877027027027027
All Exemplars,DDGR,0.2107714701601164
All Exemplars,DDGR,0.1741065407956844
All Exemplars,DDGR,0.1784482758620689
All Exemplars,DDGR,0.2833783783783783
All Exemplars,DDGR,0.1737166324435318
All Exemplars,DDGR,0.3061781609195402
All Exemplars,VAE_BBox,0.1777478084962912
All Exemplars,VAE_BBox,0.1780172413793103
All Exemplars,VAE_BBox,0.3809333333333333
All Exemplars,VAE_BBox,0.2998544395924308
All Exemplars,VAE_BBox,0.2685589519650654
All Exemplars,VAE_BBox,0.2902702702702703
All Exemplars,VAE_BBox,0.2257641921397379
All Exemplars,VAE_BBox,0.4157788267026298
All Exemplars,VAE_BBox,0.2664864864864864
All Exemplars,VAE_BBox,0.2486850977747808
All Exemplars,VAE_BBox,0.1262149212867898
All Exemplars,VAE_BBox,0.275564681724846
All Exemplars,VAE_BBox,0.5
All Exemplars,VAE_BBox,0.4219796215429403
All Exemplars,VAE_BBox,0.2862162162162162
All Exemplars,VAE_BBox,0.3469333333333333
All Exemplars,VAE_BBox,0.3471594798083504
All Exemplars,VAE_BBox,0.3771389459274469
All Exemplars,VAE_BBox,0.0550218340611353
All Exemplars,VAE_BBox,0.385919540229885
All Exemplars,VAE_BBox,0.5518918918918919
All Exemplars,VAE_BBox,0.1928815879534565
All Exemplars,VAE_BBox,0.191235632183908
All Exemplars,VAE_BBox,0.3682432432432432
All Exemplars,VAE_BBox,0.1056768558951964
All Exemplars,VAE_BBox,0.3695212407282535
All Exemplars,VAE_BBox,0.3057471264367816
All Exemplars,VAE_BBox,0.3977027027027027
All Exemplars,VAE_BBox,0.4156057494866529
All Exemplars,VAE_BBox,0.2195402298850574
All Exemplars,VAE_Filter,0.1140930546190154
All Exemplars,VAE_Filter,0.2066091954022988
All Exemplars,VAE_Filter,0.4456
All Exemplars,VAE_Filter,0.3250363901018923
All Exemplars,VAE_Filter,0.2703056768558952
All Exemplars,VAE_Filter,0.2328378378378378
All Exemplars,VAE_Filter,0.2553129548762736
All Exemplars,VAE_Filter,0.466756574511126
All Exemplars,VAE_Filter,0.205
All Exemplars,VAE_Filter,0.124881995954147
All Exemplars,VAE_Filter,0.1882272416153319
All Exemplars,VAE_Filter,0.2626967830253251
All Exemplars,VAE_Filter,0.592027027027027
All Exemplars,VAE_Filter,0.4203784570596797
All Exemplars,VAE_Filter,0.2902702702702702
All Exemplars,VAE_Filter,0.38
All Exemplars,VAE_Filter,0.2309377138945927
All Exemplars,VAE_Filter,0.3322381930184804
All Exemplars,VAE_Filter,0.2229985443959243
All Exemplars,VAE_Filter,0.414367816091954
All Exemplars,VAE_Filter,0.5391891891891892
All Exemplars,VAE_Filter,0.1958932238193018
All Exemplars,VAE_Filter,0.2385057471264367
All Exemplars,VAE_Filter,0.3260810810810811
All Exemplars,VAE_Filter,0.2224163027656477
All Exemplars,VAE_Filter,0.3143627781523938
All Exemplars,VAE_Filter,0.3294540229885057
All Exemplars,VAE_Filter,0.3694594594594594
All Exemplars,VAE_Filter,0.3226557152635181
All Exemplars,VAE_Filter,0.0655172413793103
All Exemplars,VAE_GMM,0.2778152393796359
All Exemplars,VAE_GMM,0.2379310344827586
All Exemplars,VAE_GMM,0.2418666666666666
All Exemplars,VAE_GMM,0.2088791848617175
All Exemplars,VAE_GMM,0.2040756914119359
All Exemplars,VAE_GMM,0.2909459459459459
All Exemplars,VAE_GMM,0.2813682678311499
All Exemplars,VAE_GMM,0.2914362778152393
All Exemplars,VAE_GMM,0.4108108108108108
All Exemplars,VAE_GMM,0.1759946055293323
All Exemplars,VAE_GMM,0.2798083504449007
All Exemplars,VAE_GMM,0.1846680355920602
All Exemplars,VAE_GMM,0.4663513513513513
All Exemplars,VAE_GMM,0.2742358078602619
All Exemplars,VAE_GMM,0.2283783783783783
All Exemplars,VAE_GMM,0.2717333333333333
All Exemplars,VAE_GMM,0.2299794661190965
All Exemplars,VAE_GMM,0.2173853524982888
