Exemplar_Size,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0007168458781362001,1.0,1.0,1.0,FeTrIL
All Exemplars,0.037992831541218616,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.18279569892473116,1.0,1.0,1.0,FeTrIL
All Exemplars,0.02795698924731182,0.8,1.0,1.0,FeTrIL
All Exemplars,0.0061135371179039,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0057142857142857,0.8,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.30537634408602155,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0048979591836734605,0.6,1.0,1.0,FeTrIL
All Exemplars,0.0007168458781362001,0.8,1.0,1.0,FeTrIL
All Exemplars,0.04716157205240174,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,0.6,1.0,1.0,FeTrIL
All Exemplars,0.01551020408163264,0.4,1.0,1.0,FeTrIL
All Exemplars,0.09877551020408162,0.8,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.10850439882697946,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,1.0,FeTrIL
All Exemplars,1.0,0.9978494623655912,1.0,1.0,DDGR
All Exemplars,1.0,1.0,0.9992831541218639,1.0,DDGR
All Exemplars,0.9971326164874551,0.99875,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,0.996415770609319,1.0,1.0,0.999375,DDGR
All Exemplars,1.0,1.0,1.0,0.9985663082437275,DDGR
All Exemplars,1.0,0.9971326164874551,1.0,0.999375,DDGR
All Exemplars,1.0,0.999375,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,0.9978494623655914,DDGR
All Exemplars,1.0,0.9956989247311828,1.0,1.0,DDGR
All Exemplars,1.0,0.9992831541218639,1.0,1.0,DDGR
All Exemplars,1.0,0.9985663082437275,1.0,1.0,DDGR
All Exemplars,1.0,0.9981249999999999,1.0,0.9978494623655914,DDGR
All Exemplars,1.0,1.0,1.0,0.999375,DDGR
All Exemplars,0.999375,1.0,0.9991266375545852,0.9978494623655914,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,0.9978494623655914,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,0.9985663082437275,0.999375,DDGR
All Exemplars,0.9978494623655914,1.0,0.99875,1.0,DDGR
All Exemplars,1.0,1.0,0.9981249999999999,0.996415770609319,DDGR
All Exemplars,0.9971326164874552,1.0,1.0,1.0,DDGR
All Exemplars,0.9971326164874551,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,0.9992831541218639,DDGR
All Exemplars,1.0,1.0,0.9985663082437275,1.0,DDGR
All Exemplars,1.0,0.9985663082437275,0.9981249999999999,1.0,DDGR
All Exemplars,0.999375,1.0,0.9991266375545852,0.9988269794721407,DDGR
All Exemplars,1.0,1.0,1.0,0.9992831541218639,DDGR
All Exemplars,0.999375,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,0.9985663082437275,1.0,DDGR
All Exemplars,1.0,0.9992831541218639,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9985663082437277,1.0,1.0,0.999375,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,0.99875,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,0.9992831541218639,VAE_BBox
All Exemplars,1.0,0.9992831541218639,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,0.9992831541218639,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9992831541218639,1.0,0.9994134897360704,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,0.9992831541218639,1.0,VAE_BBox
