Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.153184165232358
All Exemplars,FeTrIL,0.1944922547332186
All Exemplars,FeTrIL,0.1497418244406196
All Exemplars,FeTrIL,0.1818703384968445
All Exemplars,FeTrIL,0.1818703384968445
All Exemplars,FeTrIL,0.1640849110728628
All Exemplars,FeTrIL,0.1818703384968445
All Exemplars,FeTrIL,0.153184165232358
All Exemplars,FeTrIL,0.1640849110728628
All Exemplars,FeTrIL,0.153184165232358
All Exemplars,FeTrIL,0.1566265060240964
All Exemplars,FeTrIL,0.1566265060240964
All Exemplars,FeTrIL,0.1640849110728628
All Exemplars,FeTrIL,0.1818703384968445
All Exemplars,FeTrIL,0.1640849110728628
All Exemplars,FeTrIL,0.1497418244406196
All Exemplars,FeTrIL,0.1566265060240964
All Exemplars,FeTrIL,0.1566265060240964
All Exemplars,FeTrIL,0.1818703384968445
All Exemplars,FeTrIL,0.1944922547332186
All Exemplars,FeTrIL,0.1640849110728628
All Exemplars,FeTrIL,0.1566265060240964
All Exemplars,FeTrIL,0.1944922547332186
All Exemplars,FeTrIL,0.1640849110728628
All Exemplars,FeTrIL,0.1818703384968445
All Exemplars,FeTrIL,0.153184165232358
All Exemplars,FeTrIL,0.1944922547332186
All Exemplars,FeTrIL,0.1640849110728628
All Exemplars,FeTrIL,0.1566265060240964
All Exemplars,FeTrIL,0.1944922547332186
All Exemplars,DDGR,0.4576018359150889
All Exemplars,DDGR,0.580722891566265
All Exemplars,DDGR,0.5096959265633965
All Exemplars,DDGR,0.4703384968445209
All Exemplars,DDGR,0.4707974756167526
All Exemplars,DDGR,0.4086058519793459
All Exemplars,DDGR,0.431784279977051
All Exemplars,DDGR,0.4359150889271371
All Exemplars,DDGR,0.4925989672977624
All Exemplars,DDGR,0.5451520367183018
All Exemplars,DDGR,0.5041881812966149
All Exemplars,DDGR,0.4584050487664944
All Exemplars,DDGR,0.4838783706253585
All Exemplars,DDGR,0.4615031554790591
All Exemplars,DDGR,0.5006310958118186
All Exemplars,DDGR,0.4315547905909351
All Exemplars,DDGR,0.5189902467010901
All Exemplars,DDGR,0.4773379231210556
All Exemplars,DDGR,0.4982214572576018
All Exemplars,DDGR,0.4601262191623637
All Exemplars,DDGR,0.4449799196787148
All Exemplars,DDGR,0.4857142857142856
All Exemplars,DDGR,0.5751004016064256
All Exemplars,DDGR,0.4362593230063109
All Exemplars,DDGR,0.5110728628800917
All Exemplars,DDGR,0.4802065404475042
All Exemplars,DDGR,0.4740103270223752
All Exemplars,DDGR,0.5226620768789443
All Exemplars,DDGR,0.4410786001147447
All Exemplars,DDGR,0.533907056798623
All Exemplars,VAE_BBox,0.5285140562248996
All Exemplars,VAE_BBox,0.523580034423408
All Exemplars,VAE_BBox,0.4647160068846815
All Exemplars,VAE_BBox,0.5558232931726907
All Exemplars,VAE_BBox,0.6699942627653471
All Exemplars,VAE_BBox,0.393689041881813
All Exemplars,VAE_BBox,0.5874928284566838
All Exemplars,VAE_BBox,0.5710843373493976
All Exemplars,VAE_BBox,0.491336775674125
All Exemplars,VAE_BBox,0.5505450372920253
All Exemplars,VAE_BBox,0.4930579460699942
All Exemplars,VAE_BBox,0.4757314974182444
All Exemplars,VAE_BBox,0.4987951807228915
All Exemplars,VAE_BBox,0.6159495123350545
All Exemplars,VAE_BBox,0.4506024096385542
All Exemplars,VAE_BBox,0.5155479059093516
All Exemplars,VAE_BBox,0.4898450946643717
All Exemplars,VAE_BBox,0.5698221457257603
All Exemplars,VAE_BBox,0.6207687894434883
All Exemplars,VAE_BBox,0.5855421686746988
All Exemplars,VAE_BBox,0.4979919678714859
All Exemplars,VAE_BBox,0.5545611015490534
All Exemplars,VAE_BBox,0.5588066551921974
All Exemplars,VAE_BBox,0.4898450946643717
All Exemplars,VAE_BBox,0.5974756167527252
All Exemplars,VAE_BBox,0.6283419391853127
All Exemplars,VAE_BBox,0.6790590935169248
All Exemplars,VAE_BBox,0.4909925415949512
All Exemplars,VAE_BBox,0.5059093516924842
All Exemplars,VAE_BBox,0.5092369477911646
All Exemplars,VAE_Filter,0.5460699942627654
All Exemplars,VAE_Filter,0.640390131956397
All Exemplars,VAE_Filter,0.4853700516351119
All Exemplars,VAE_Filter,0.6366035570854848
All Exemplars,VAE_Filter,0.604016064257028
All Exemplars,VAE_Filter,0.4081468732071142
All Exemplars,VAE_Filter,0.651176133103844
All Exemplars,VAE_Filter,0.5449225473321858
All Exemplars,VAE_Filter,0.4935169248422261
All Exemplars,VAE_Filter,0.5690189328743546
All Exemplars,VAE_Filter,0.5357429718875502
All Exemplars,VAE_Filter,0.4837636259323005
All Exemplars,VAE_Filter,0.4815834767641996
All Exemplars,VAE_Filter,0.5764773379231211
All Exemplars,VAE_Filter,0.4257028112449799
All Exemplars,VAE_Filter,0.4930579460699943
All Exemplars,VAE_Filter,0.4707974756167526
All Exemplars,VAE_Filter,0.5300057372346528
All Exemplars,VAE_Filter,0.6379804934021802
All Exemplars,VAE_Filter,0.5272518646012622
All Exemplars,VAE_Filter,0.5474469305794607
All Exemplars,VAE_Filter,0.4852553069420539
All Exemplars,VAE_Filter,0.5567412507171543
All Exemplars,VAE_Filter,0.4741250717154331
All Exemplars,VAE_Filter,0.6006884681583478
All Exemplars,VAE_Filter,0.5994262765347103
All Exemplars,VAE_Filter,0.6395869191049914
All Exemplars,VAE_Filter,0.4854847963281697
All Exemplars,VAE_Filter,0.4779116465863453
All Exemplars,VAE_Filter,0.5791164658634539
All Exemplars,VAE_GMM,0.7137119908204246
All Exemplars,VAE_GMM,0.7809523809523811
All Exemplars,VAE_GMM,0.721055651176133
