dataset,scenario,person,method,vae_sampling,filter,iteration,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time
hhar,111,1, ce_fetril,none, none,0,100,5.070367645006627,20.281470580026507,1.1632241679976385,4.652896671990553
hhar,111,1, ce_fetril,none, none,0,393,5.013433494139463,20.05373397655785,1.1604627574017892,4.641851029607157
hhar,111,1, ce_fetril,none, none,0,1547,4.99837705515739,19.99350822062956,1.1576342787904044,4.6305371151616175
hhar,111,1, ce_fetril,none, none,0,6085,4.99677936215885,19.9871174486354,1.156225186570858,4.624900746283432
hhar,111,1, ce_fetril,none, none,0,175,5.006345380886147,20.02538152354459,1.156042278725654,4.624169114902616
hhar,111,1, ce_ddgr,none, none,0,100,400.7357864121906,1602.9431456487623,461.1817578381238,1844.7270313524955
hhar,111,1, ce_ddgr,none, none,0,393,369.3042977727484,1477.2171910909935,429.5565617035143,1718.2262468140573
hhar,111,1, ce_ddgr,none, none,0,1547,359.59193895903104,1438.3677558361242,421.2131652923301,1684.8526611693203
hhar,111,1, ce_ddgr,none, none,0,6085,375.60604262386136,1502.4241704954454,435.3984783316031,1741.5939133264123
hhar,111,1, ce_ddgr,none, none,0,175,383.8188020479555,1535.275208191822,444.1710358569399,1776.6841434277594
hhar,111,1, ce_vae,boundary_box, none,0,100,49.790885163036485,199.16354065214597,48.48180537189668,193.9272214875867
hhar,111,1, ce_vae,boundary_box, none,0,393,50.65875161346048,202.63500645384192,49.31653570542112,197.26614282168447
hhar,111,1, ce_vae,boundary_box, none,0,1547,49.74188584934992,199.83269276764273,48.80364363429918,194.8039461944691
hhar,111,1, ce_vae,boundary_box, none,0,6085,49.64469382629722,199.4847862732168,48.97563926453979,194.64237295255927
hhar,111,1, ce_vae,boundary_box, none,0,175,49.90841728824917,200.35554828199304,48.55311043552736,195.89351825540857
hhar,111,1, ce_vae,boundary_box, probability,0,100,51.371990636518845,205.48796254607535,49.70490728753308,198.81962915013236
hhar,111,1, ce_vae,boundary_box, probability,0,393,51.39591908630294,205.58367634521176,49.72491792485428,198.89967169941715
hhar,111,1, ce_vae,boundary_box, probability,0,1547,51.466493929156826,205.8659757166273,49.76426934988962,199.0570773995585
hhar,111,1, ce_vae,boundary_box, probability,0,6085,51.11590840366359,204.4636336146544,49.412705242889935,197.6508209715597
hhar,111,1, ce_vae,boundary_box, probability,0,175,50.869859914816914,203.47943965926763,49.17114411950112,196.6845764780045
hhar,111,1, ce_vae,gmm, none,0,100,60.44831033664911,241.79324134659643,56.285998581101495,225.143994324406
hhar,111,1, ce_vae,gmm, none,0,393,60.01383390348249,240.05533561393,55.88542841593735,223.5417136637494
hhar,111,1, ce_vae,gmm, none,0,1547,59.63566013851927,238.54264055407708,55.50874809892589,222.0349923957036
hhar,111,1, ce_vae,gmm, none,0,6085,59.78285115542822,239.13140462171287,55.63247926826977,222.52991707307908
hhar,111,1, ce_vae,gmm, none,0,175,59.95044356079927,239.8017742431971,55.82268686016556,223.29074744066224
