Exemplar_Size,Task 2,Task 3,Task 4,Method
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.11937500000000001,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0007168458781362001,1.0,1.0,FeTrIL
All Exemplars,0.2,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.018340611353711782,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0014336917562724001,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.12544802867383514,1.0,1.0,FeTrIL
All Exemplars,0.0,1.0,1.0,FeTrIL
All Exemplars,0.9985663082437275,0.9982532751091704,1.0,DDGR
All Exemplars,0.9991266375545852,0.9985663082437275,1.0,DDGR
All Exemplars,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,0.999375,DDGR
All Exemplars,1.0,0.9991836734693876,0.999375,DDGR
All Exemplars,1.0,1.0,0.9978494623655914,DDGR
All Exemplars,0.9992831541218639,1.0,1.0,DDGR
All Exemplars,1.0,0.9991836734693876,1.0,DDGR
All Exemplars,1.0,1.0,0.9978494623655914,DDGR
All Exemplars,0.9985663082437275,1.0,1.0,DDGR
All Exemplars,0.9978494623655914,1.0,1.0,DDGR
All Exemplars,0.9978494623655914,1.0,1.0,DDGR
All Exemplars,0.999375,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,0.9971326164874552,DDGR
All Exemplars,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,0.999375,DDGR
All Exemplars,0.9991266375545852,1.0,0.9994134897360704,DDGR
All Exemplars,1.0,1.0,0.9971326164874551,DDGR
All Exemplars,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,0.9992831541218639,DDGR
All Exemplars,0.9991266375545852,0.9978494623655914,0.9981249999999999,DDGR
All Exemplars,0.9978494623655914,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,0.9992831541218639,DDGR
All Exemplars,1.0,1.0,1.0,DDGR
All Exemplars,1.0,0.9985663082437275,1.0,DDGR
All Exemplars,1.0,1.0,1.0,VAE_BBox
