Exemplar_Size,Method,Task 1
All Exemplars,FeTrIL,0.9984930032292788
All Exemplars,FeTrIL,0.9950991831971996
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,0.9976164680390032
All Exemplars,FeTrIL,0.9990772779700116
All Exemplars,FeTrIL,0.9997742663656884
All Exemplars,FeTrIL,0.9982551799345692
All Exemplars,FeTrIL,0.9978471474703982
All Exemplars,FeTrIL,0.9971646673936748
All Exemplars,FeTrIL,0.99783315276273
All Exemplars,FeTrIL,0.997003745318352
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,0.9989235737351992
All Exemplars,FeTrIL,0.9987261146496816
All Exemplars,FeTrIL,0.9979166666666666
All Exemplars,FeTrIL,0.997471264367816
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,0.9975031210986268
All Exemplars,FeTrIL,0.9995753715498938
All Exemplars,FeTrIL,0.9988584474885844
All Exemplars,FeTrIL,0.9969664138678224
All Exemplars,FeTrIL,0.9997724687144484
All Exemplars,FeTrIL,0.9974799541809852
All Exemplars,FeTrIL,0.9965517241379308
All Exemplars,FeTrIL,0.997416576964478
All Exemplars,FeTrIL,0.999074074074074
All Exemplars,FeTrIL,0.996966161026838
All Exemplars,DDGR,0.995263724434876
All Exemplars,DDGR,0.988098016336056
All Exemplars,DDGR,0.9995157384987892
All Exemplars,DDGR,0.999103139013453
All Exemplars,DDGR,0.9995515695067264
All Exemplars,DDGR,0.9891657638136512
All Exemplars,DDGR,0.9951557093425604
All Exemplars,DDGR,0.9948081264108352
All Exemplars,DDGR,0.9897491821155944
All Exemplars,DDGR,0.9972012917115178
All Exemplars,DDGR,0.991275899672846
All Exemplars,DDGR,0.9876489707475622
All Exemplars,DDGR,0.994756554307116
All Exemplars,DDGR,0.9997578692493946
All Exemplars,DDGR,0.9965554359526372
All Exemplars,DDGR,0.9983014861995754
All Exemplars,DDGR,0.9935185185185184
All Exemplars,DDGR,0.9919540229885058
All Exemplars,DDGR,0.9988623435722414
All Exemplars,DDGR,0.9995157384987896
All Exemplars,DDGR,0.995505617977528
All Exemplars,DDGR,0.9985138004246285
All Exemplars,DDGR,0.9963470319634702
All Exemplars,DDGR,0.9872156013001084
All Exemplars,DDGR,0.9984072810011376
All Exemplars,DDGR,0.9919816723940436
All Exemplars,DDGR,0.9912643678160918
All Exemplars,DDGR,0.9969860064585576
All Exemplars,DDGR,0.9925925925925926
All Exemplars,DDGR,0.9852975495915984
All Exemplars,VAE_BBox,0.9963401506996772
All Exemplars,VAE_BBox,0.9852975495915988
All Exemplars,VAE_BBox,0.9995157384987892
All Exemplars,VAE_BBox,0.9993273542600898
All Exemplars,VAE_BBox,0.9991031390134528
All Exemplars,VAE_BBox,0.988949079089924
All Exemplars,VAE_BBox,0.9970011534025376
All Exemplars,VAE_BBox,0.9941309255079004
All Exemplars,VAE_BBox,0.9908396946564884
All Exemplars,VAE_BBox,0.9956942949407968
All Exemplars,VAE_BBox,0.9914940021810248
All Exemplars,VAE_BBox,0.9848320693391116
All Exemplars,VAE_BBox,0.99625468164794
All Exemplars,VAE_BBox,0.9990314769975784
All Exemplars,VAE_BBox,0.995048439181916
All Exemplars,VAE_BBox,0.9985138004246285
All Exemplars,VAE_BBox,0.9939814814814814
All Exemplars,VAE_BBox,0.9910344827586206
All Exemplars,VAE_BBox,0.9988623435722412
All Exemplars,VAE_BBox,0.9997578692493946
All Exemplars,VAE_BBox,0.9960049937578028
All Exemplars,VAE_BBox,0.99723991507431
All Exemplars,VAE_BBox,0.995890410958904
All Exemplars,VAE_BBox,0.9887323943661972
All Exemplars,VAE_BBox,0.999089874857793
All Exemplars,VAE_BBox,0.9903780068728524
All Exemplars,VAE_BBox,0.9917241379310344
All Exemplars,VAE_BBox,0.9931108719052744
All Exemplars,VAE_BBox,0.9905092592592594
All Exemplars,VAE_BBox,0.9876312718786464
All Exemplars,VAE_Filter,0.995263724434876
All Exemplars,VAE_Filter,0.9841306884480746
All Exemplars,VAE_Filter,0.999273607748184
All Exemplars,VAE_Filter,0.9986547085201792
All Exemplars,VAE_Filter,0.999103139013453
All Exemplars,VAE_Filter,0.989599133261105
All Exemplars,VAE_Filter,0.994002306805075
All Exemplars,VAE_Filter,0.9959367945823928
All Exemplars,VAE_Filter,0.991712104689204
All Exemplars,VAE_Filter,0.9967707212055974
All Exemplars,VAE_Filter,0.9866957470010906
All Exemplars,VAE_Filter,0.9891657638136512
All Exemplars,VAE_Filter,0.9942571785268416
All Exemplars,VAE_Filter,0.9997578692493946
All Exemplars,VAE_Filter,0.9956942949407964
All Exemplars,VAE_Filter,0.9970276008492568
All Exemplars,VAE_Filter,0.9944444444444444
All Exemplars,VAE_Filter,0.9910344827586208
All Exemplars,VAE_Filter,0.9995449374288964
All Exemplars,VAE_Filter,0.998547215496368
All Exemplars,VAE_Filter,0.9957553058676654
All Exemplars,VAE_Filter,0.9978768577494692
All Exemplars,VAE_Filter,0.9968036529680364
All Exemplars,VAE_Filter,0.9887323943661972
All Exemplars,VAE_Filter,0.997952218430034
All Exemplars,VAE_Filter,0.9928980526918672
All Exemplars,VAE_Filter,0.9928735632183908
All Exemplars,VAE_Filter,0.995263724434876
All Exemplars,VAE_Filter,0.99375
All Exemplars,VAE_Filter,0.9841306884480746
All Exemplars,VAE_GMM,0.9939720129171152
All Exemplars,VAE_GMM,0.9890315052508752
All Exemplars,VAE_GMM,0.999273607748184
All Exemplars,VAE_GMM,0.9993273542600896
All Exemplars,VAE_GMM,0.9995515695067264
All Exemplars,VAE_GMM,0.988949079089924
All Exemplars,VAE_GMM,0.9951557093425604
All Exemplars,VAE_GMM,0.9952595936794582
All Exemplars,VAE_GMM,0.9906215921483096
All Exemplars,VAE_GMM,0.9944025834230356
All Exemplars,VAE_GMM,0.9923664122137404
All Exemplars,VAE_GMM,0.9869989165763814
All Exemplars,VAE_GMM,0.9952559300873908
All Exemplars,VAE_GMM,0.9995157384987892
All Exemplars,VAE_GMM,0.995263724434876
All Exemplars,VAE_GMM,0.9980891719745222
All Exemplars,VAE_GMM,0.9962962962962962
All Exemplars,VAE_GMM,0.9924137931034483
All Exemplars,VAE_GMM,0.9986348122866896
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9935081148564292
All Exemplars,VAE_GMM,0.997452229299363
All Exemplars,VAE_GMM,0.9965753424657532
All Exemplars,VAE_GMM,0.9882990249187432
All Exemplars,VAE_GMM,0.998179749715586
All Exemplars,VAE_GMM,0.993127147766323
All Exemplars,VAE_GMM,0.9864367816091956
All Exemplars,VAE_GMM,0.9961248654467167
All Exemplars,VAE_GMM,0.9962962962962962
All Exemplars,VAE_GMM,0.9836639439906651
