Exemplar_Size,Task 2,Task 3,Method
All Exemplars,0.10310786106032906,1.0,FeTrIL
All Exemplars,0.30420475319926876,1.0,FeTrIL
All Exemplars,0.2896341463414634,1.0,FeTrIL
All Exemplars,0.10037453183520598,1.0,FeTrIL
All Exemplars,0.36142322097378277,1.0,FeTrIL
All Exemplars,0.0,1.0,FeTrIL
All Exemplars,0.20465116279069767,1.0,FeTrIL
All Exemplars,0.21491525423728813,1.0,FeTrIL
All Exemplars,0.06814814814814815,1.0,FeTrIL
All Exemplars,0.10054844606946982,1.0,FeTrIL
All Exemplars,0.0,1.0,FeTrIL
All Exemplars,0.24168190127970748,1.0,FeTrIL
All Exemplars,0.19329268292682925,1.0,FeTrIL
All Exemplars,0.0,1.0,FeTrIL
All Exemplars,0.11931818181818184,1.0,FeTrIL
All Exemplars,0.0,1.0,FeTrIL
All Exemplars,0.26435643564356437,1.0,FeTrIL
All Exemplars,0.087,1.0,FeTrIL
All Exemplars,0.23327239488117,1.0,FeTrIL
All Exemplars,0.23460207612456746,1.0,FeTrIL
All Exemplars,0.1920731707317073,1.0,FeTrIL
All Exemplars,0.2022727272727273,1.0,FeTrIL
All Exemplars,0.07462121212121214,1.0,FeTrIL
All Exemplars,0.30674157303370786,1.0,FeTrIL
All Exemplars,0.10603290676416817,1.0,FeTrIL
All Exemplars,0.2099502487562189,1.0,FeTrIL
All Exemplars,0.19812734082397004,1.0,FeTrIL
All Exemplars,0.36893939393939396,1.0,FeTrIL
All Exemplars,0.17623762376237623,1.0,FeTrIL
All Exemplars,0.00073126142595978,1.0,FeTrIL
All Exemplars,1.0,1.0,DDGR
All Exemplars,1.0,1.0,DDGR
All Exemplars,0.9948170731707318,1.0,DDGR
All Exemplars,0.9898876404494382,1.0,DDGR
All Exemplars,0.9910112359550561,0.9993690851735015,DDGR
All Exemplars,0.9883895131086142,1.0,DDGR
All Exemplars,1.0,1.0,DDGR
All Exemplars,0.9905084745762714,1.0,DDGR
All Exemplars,0.9992592592592594,1.0,DDGR
All Exemplars,1.0,1.0,DDGR
All Exemplars,1.0,1.0,DDGR
All Exemplars,1.0,1.0,DDGR
All Exemplars,0.9914634146341464,1.0,DDGR
All Exemplars,0.9923333333333334,1.0,DDGR
All Exemplars,0.9977272727272728,1.0,DDGR
All Exemplars,0.9996296296296296,0.9992337164750957,DDGR
All Exemplars,0.9993399339933994,1.0,DDGR
All Exemplars,0.9906666666666668,1.0,DDGR
All Exemplars,1.0,1.0,DDGR
All Exemplars,0.9892733564013841,1.0,DDGR
All Exemplars,0.9932926829268294,1.0,DDGR
All Exemplars,0.9973484848484849,1.0,DDGR
All Exemplars,0.9981060606060606,1.0,DDGR
All Exemplars,0.9880149812734084,1.0,DDGR
All Exemplars,1.0,1.0,DDGR
All Exemplars,1.0,1.0,DDGR
All Exemplars,0.9925093632958802,1.0,DDGR
All Exemplars,0.9992424242424243,1.0,DDGR
All Exemplars,0.9996699669966997,1.0,DDGR
All Exemplars,1.0,1.0,DDGR
All Exemplars,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,VAE_BBox
All Exemplars,0.9945121951219512,1.0,VAE_BBox
All Exemplars,0.99250936329588,1.0,VAE_BBox
All Exemplars,0.9943820224719101,1.0,VAE_BBox
All Exemplars,0.9943820224719101,1.0,VAE_BBox
All Exemplars,1.0,1.0,VAE_BBox
All Exemplars,0.9938983050847459,1.0,VAE_BBox
All Exemplars,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,VAE_BBox
All Exemplars,0.9960365853658537,1.0,VAE_BBox
All Exemplars,0.9956666666666667,1.0,VAE_BBox
