Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.0961460446247464
All Exemplars,FeTrIL,0.114569536423841
All Exemplars,FeTrIL,0.1184931506849315
All Exemplars,FeTrIL,0.241860465116279
All Exemplars,FeTrIL,0.113572542901716
All Exemplars,FeTrIL,0.0959677419354838
All Exemplars,FeTrIL,0.113572542901716
All Exemplars,FeTrIL,0.1924812030075188
All Exemplars,FeTrIL,0.1988304093567251
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0958646616541353
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.2291390728476821
All Exemplars,FeTrIL,0.241860465116279
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.2198782961460446
All Exemplars,FeTrIL,0.4443017656500802
All Exemplars,FeTrIL,0.11107544141252
All Exemplars,FeTrIL,0.1170418006430868
All Exemplars,FeTrIL,0.1025352112676056
All Exemplars,FeTrIL,0.1170418006430868
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.1697171381031614
All Exemplars,FeTrIL,0.1919354838709677
All Exemplars,FeTrIL,0.1170418006430868
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0959677419354838
All Exemplars,FeTrIL,0.0019261637239165
All Exemplars,FeTrIL,0.2291390728476821
All Exemplars,DDGR,0.9991886409736308
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9750000000000002
All Exemplars,DDGR,0.9966777408637876
All Exemplars,DDGR,0.996879875195008
All Exemplars,DDGR,0.9991935483870968
All Exemplars,DDGR,0.9987519500780032
All Exemplars,DDGR,0.999624060150376
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9975659229208926
All Exemplars,DDGR,0.9992481203007518
All Exemplars,DDGR,0.9766990291262136
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9980066445182728
All Exemplars,DDGR,0.9995967741935484
All Exemplars,DDGR,0.999188640973631
All Exemplars,DDGR,0.9929373996789728
All Exemplars,DDGR,0.991011235955056
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9983098591549296
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.978252427184466
All Exemplars,DDGR,0.9993344425956738
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.997092084006462
All Exemplars,DDGR,0.979794520547945
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.990048154093098
All Exemplars,DDGR,1.0
All Exemplars,VAE_BBox,0.9987829614604464
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9801369863013696
All Exemplars,VAE_BBox,0.9976744186046512
All Exemplars,VAE_BBox,0.9984399375975042
All Exemplars,VAE_BBox,0.9991935483870968
All Exemplars,VAE_BBox,0.9981279251170048
All Exemplars,VAE_BBox,0.9992481203007518
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.999188640973631
All Exemplars,VAE_BBox,0.9992481203007518
All Exemplars,VAE_BBox,0.9724271844660194
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9966777408637876
All Exemplars,VAE_BBox,0.9995967741935484
All Exemplars,VAE_BBox,0.9975659229208926
All Exemplars,VAE_BBox,0.993900481540931
All Exemplars,VAE_BBox,0.9929373996789728
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9971830985915492
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9825242718446604
All Exemplars,VAE_BBox,0.9993344425956738
All Exemplars,VAE_BBox,0.9991935483870968
All Exemplars,VAE_BBox,0.99967845659164
All Exemplars,VAE_BBox,0.9987075928917608
All Exemplars,VAE_BBox,0.9815068493150684
All Exemplars,VAE_BBox,0.995967741935484
All Exemplars,VAE_BBox,0.990048154093098
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_Filter,0.9987829614604464
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9773972602739726
All Exemplars,VAE_Filter,0.9983388704318936
All Exemplars,VAE_Filter,0.9975039001560064
All Exemplars,VAE_Filter,0.9987903225806452
All Exemplars,VAE_Filter,0.9981279251170048
All Exemplars,VAE_Filter,0.999624060150376
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9995943204868156
All Exemplars,VAE_Filter,0.9992481203007518
All Exemplars,VAE_Filter,0.9844660194174756
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9976744186046512
All Exemplars,VAE_Filter,0.9983870967741936
All Exemplars,VAE_Filter,0.999188640973631
All Exemplars,VAE_Filter,0.9935794542536116
All Exemplars,VAE_Filter,0.9932584269662922
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9985915492957746
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9848543689320388
All Exemplars,VAE_Filter,0.9980033277870216
All Exemplars,VAE_Filter,0.9995967741935484
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9977382875605816
All Exemplars,VAE_Filter,0.98013698630137
All Exemplars,VAE_Filter,0.9987903225806452
All Exemplars,VAE_Filter,0.9932584269662922
All Exemplars,VAE_Filter,0.9996688741721854
All Exemplars,VAE_GMM,0.9959432048681542
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9763698630136984
All Exemplars,VAE_GMM,0.9990033222591362
All Exemplars,VAE_GMM,0.9990639625585024
All Exemplars,VAE_GMM,0.9991935483870968
All Exemplars,VAE_GMM,0.998439937597504
All Exemplars,VAE_GMM,0.999624060150376
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9995943204868156
All Exemplars,VAE_GMM,0.9992481203007518
All Exemplars,VAE_GMM,0.9801941747572817
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9990033222591364
All Exemplars,VAE_GMM,0.9991935483870968
All Exemplars,VAE_GMM,0.9975659229208926
All Exemplars,VAE_GMM,0.992295345104334
All Exemplars,VAE_GMM,0.9929373996789728
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9974647887323944
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9825242718446604
All Exemplars,VAE_GMM,0.9983361064891848
All Exemplars,VAE_GMM,0.9983870967741936
All Exemplars,VAE_GMM,1.0
All Exemplars,VAE_GMM,0.9980613893376412
All Exemplars,VAE_GMM,0.9726027397260276
All Exemplars,VAE_GMM,0.9987903225806452
All Exemplars,VAE_GMM,0.992295345104334
All Exemplars,VAE_GMM,1.0
