Exemplar_Size,Task 1,Task 2,Method
All Exemplars,0.9930923694779116,0.23130034522439588,FeTrIL
All Exemplars,0.9848324514991182,0.16283084004602988,FeTrIL
All Exemplars,0.9984402079722704,0.20851553509781354,FeTrIL
All Exemplars,0.994894366197183,0.18227848101265817,FeTrIL
All Exemplars,0.9901549680948039,0.16777905638665128,FeTrIL
All Exemplars,0.9953301127214171,0.1691599539700805,FeTrIL
All Exemplars,0.9914311759343665,0.19551208285385496,FeTrIL
All Exemplars,0.9925373134328357,0.18987341772151894,FeTrIL
All Exemplars,0.9813877551020408,0.1498273878020713,FeTrIL
All Exemplars,0.9943775100401606,0.1829689298043728,FeTrIL
All Exemplars,0.9928689883913764,0.18055235903337163,FeTrIL
All Exemplars,0.998528209321341,0.1930955120828538,FeTrIL
All Exemplars,0.9874779541446209,0.16823935558112765,FeTrIL
All Exemplars,0.9955985915492958,0.17468354430379746,FeTrIL
All Exemplars,0.9940418679549115,0.1706559263521288,FeTrIL
All Exemplars,0.9953413654618473,0.21150747986191018,FeTrIL
All Exemplars,0.9964125560538118,0.2182968929804372,FeTrIL
All Exemplars,0.9987443946188341,0.15327963176064435,FeTrIL
All Exemplars,0.9849462365591399,0.18078250863060982,FeTrIL
All Exemplars,0.9900778210116732,0.16248561565017255,FeTrIL
All Exemplars,0.982258064516129,0.16041426927502872,FeTrIL
All Exemplars,0.9988552739165986,0.21599539700805517,FeTrIL
All Exemplars,0.9947229551451187,0.15765247410817027,FeTrIL
All Exemplars,0.9950080515297905,0.16985040276179514,FeTrIL
All Exemplars,0.9842293906810037,0.19067894131185265,FeTrIL
All Exemplars,0.9824843610366398,0.1439585730724971,FeTrIL
All Exemplars,0.9982668977469672,0.16029919447640964,FeTrIL
All Exemplars,0.9953301127214171,0.1602991944764096,FeTrIL
All Exemplars,0.9967713004484304,0.18504027617951663,FeTrIL
All Exemplars,0.9841269841269842,0.1707710011507479,FeTrIL
All Exemplars,0.9921285140562249,0.5903337169159955,DDGR
All Exemplars,0.9788359788359788,0.6231300345224395,DDGR
All Exemplars,0.9956672443674177,0.6142692750287686,DDGR
All Exemplars,0.9919014084507042,0.6232451093210587,DDGR
All Exemplars,0.979398359161349,0.5510932105868814,DDGR
All Exemplars,0.9950080515297908,0.5592635212888377,DDGR
All Exemplars,0.9819507748404739,0.6064441887226698,DDGR
All Exemplars,0.985737976782753,0.5359033371691599,DDGR
All Exemplars,0.9800816326530611,0.5353279631760645,DDGR
All Exemplars,0.9889156626506024,0.5693901035673188,DDGR
All Exemplars,0.9849087893864013,0.5249712313003452,DDGR
All Exemplars,0.9975470155355683,0.5817031070195627,DDGR
All Exemplars,0.9772486772486773,0.5744533947065593,DDGR
All Exemplars,0.9941901408450704,0.6059838895281933,DDGR
All Exemplars,0.9932367149758454,0.6110471806674338,DDGR
All Exemplars,0.9934136546184739,0.6262370540851553,DDGR
All Exemplars,0.9962331838565023,0.6173762945914845,DDGR
All Exemplars,0.9971300448430493,0.6562715765247411,DDGR
All Exemplars,0.9799283154121865,0.6319907940161105,DDGR
All Exemplars,0.9852140077821012,0.6540851553509782,DDGR
All Exemplars,0.9758064516129032,0.5693901035673188,DDGR
All Exemplars,0.9975470155355683,0.5817031070195627,DDGR
All Exemplars,0.9859278803869834,0.6329113924050633,DDGR
All Exemplars,0.9932367149758454,0.5686996547756042,DDGR
All Exemplars,0.9768817204301075,0.5771001150747985,DDGR
All Exemplars,0.9742627345844503,0.6057537399309552,DDGR
All Exemplars,0.9960138648180242,0.6115074798619103,DDGR
All Exemplars,0.9924315619967793,0.6151898734177215,DDGR
All Exemplars,0.9973094170403588,0.6024165707710012,DDGR
All Exemplars,0.9793650793650794,0.6093210586881473,DDGR
All Exemplars,0.9911646586345381,0.6669735327963175,VAE_BBox
All Exemplars,0.978835978835979,0.7081703107019564,VAE_BBox
All Exemplars,0.9970537261698441,0.7911392405063291,VAE_BBox
All Exemplars,0.9920774647887324,0.7147295742232451,VAE_BBox
All Exemplars,0.9788514129443937,0.7182968929804372,VAE_BBox
All Exemplars,0.9933977455716585,0.5773302646720369,VAE_BBox
All Exemplars,0.9742935278030993,0.6783659378596087,VAE_BBox
All Exemplars,0.9862354892205639,0.679746835443038,VAE_BBox
All Exemplars,0.9799183673469389,0.6917146144994246,VAE_BBox
All Exemplars,0.9911646586345382,0.6975834292289989,VAE_BBox
All Exemplars,0.9840796019900498,0.6972382048331416,VAE_BBox
All Exemplars,0.9977105478331971,0.6196777905638665,VAE_BBox
All Exemplars,0.9811287477954146,0.7005753739930956,VAE_BBox
All Exemplars,0.9894366197183098,0.702301495972382,VAE_BBox
