Exemplar_Size,Task 2,Method
All Exemplars,0.28481927710843374,FeTrIL
All Exemplars,0.18853615520282183,FeTrIL
All Exemplars,0.25407279029462737,FeTrIL
All Exemplars,0.15070422535211267,FeTrIL
All Exemplars,0.19945305378304465,FeTrIL
All Exemplars,0.19838969404186796,FeTrIL
All Exemplars,0.24339106654512302,FeTrIL
All Exemplars,0.1887230514096186,FeTrIL
All Exemplars,0.12930612244897957,FeTrIL
All Exemplars,0.25542168674698795,FeTrIL
All Exemplars,0.217910447761194,FeTrIL
All Exemplars,0.27440719542109565,FeTrIL
All Exemplars,0.13580246913580243,FeTrIL
All Exemplars,0.13908450704225353,FeTrIL
All Exemplars,0.23880837359098223,FeTrIL
All Exemplars,0.20819277108433734,FeTrIL
All Exemplars,0.09201793721973092,FeTrIL
All Exemplars,0.17686098654708515,FeTrIL
All Exemplars,0.21630824372759858,FeTrIL
All Exemplars,0.20389105058365758,FeTrIL
All Exemplars,0.18458781362007168,FeTrIL
All Exemplars,0.30695012264922317,FeTrIL
All Exemplars,0.15127528583992964,FeTrIL
All Exemplars,0.1610305958132045,FeTrIL
All Exemplars,0.23172043010752685,FeTrIL
All Exemplars,0.2235924932975871,FeTrIL
All Exemplars,0.24142114384748697,FeTrIL
All Exemplars,0.1859903381642512,FeTrIL
All Exemplars,0.2873542600896862,FeTrIL
All Exemplars,0.13968253968253966,FeTrIL
All Exemplars,0.428433734939759,DDGR
All Exemplars,0.4223985890652557,DDGR
All Exemplars,0.43171577123050253,DDGR
All Exemplars,0.4253521126760563,DDGR
All Exemplars,0.29061075660893343,DDGR
All Exemplars,0.38357487922705313,DDGR
All Exemplars,0.3772105742935278,DDGR
All Exemplars,0.3313432835820896,DDGR
All Exemplars,0.34073469387755095,DDGR
All Exemplars,0.3998393574297189,DDGR
All Exemplars,0.3157545605306799,DDGR
All Exemplars,0.41537203597710537,DDGR
All Exemplars,0.3477954144620812,DDGR
All Exemplars,0.3982394366197183,DDGR
All Exemplars,0.45587761674718197,DDGR
All Exemplars,0.47855421686746985,DDGR
All Exemplars,0.40753363228699546,DDGR
All Exemplars,0.4692376681614349,DDGR
All Exemplars,0.4268817204301075,DDGR
All Exemplars,0.41634241245136183,DDGR
All Exemplars,0.3293906810035842,DDGR
All Exemplars,0.4147179067865904,DDGR
All Exemplars,0.4392260334212841,DDGR
All Exemplars,0.3964573268921094,DDGR
All Exemplars,0.3413978494623656,DDGR
All Exemplars,0.3892761394101877,DDGR
All Exemplars,0.4251299826689775,DDGR
All Exemplars,0.46151368760064415,DDGR
All Exemplars,0.385829596412556,DDGR
All Exemplars,0.4012345679012346,DDGR
All Exemplars,0.535582329317269,VAE_BBox
All Exemplars,0.5527336860670193,VAE_BBox
All Exemplars,0.6954939341421145,VAE_BBox
All Exemplars,0.5647887323943662,VAE_BBox
All Exemplars,0.5546034639927073,VAE_BBox
All Exemplars,0.4088566827697262,VAE_BBox
All Exemplars,0.49152233363719233,VAE_BBox
All Exemplars,0.5388059701492537,VAE_BBox
All Exemplars,0.5626122448979591,VAE_BBox
All Exemplars,0.578152610441767,VAE_BBox
All Exemplars,0.5640132669983416,VAE_BBox
All Exemplars,0.47113654946852,VAE_BBox
All Exemplars,0.5410934744268079,VAE_BBox
All Exemplars,0.5463028169014084,VAE_BBox
All Exemplars,0.4383252818035427,VAE_BBox
All Exemplars,0.5416867469879518,VAE_BBox
All Exemplars,0.6448430493273543,VAE_BBox
All Exemplars,0.6679820627802691,VAE_BBox
All Exemplars,0.46792114695340503,VAE_BBox
All Exemplars,0.6243190661478599,VAE_BBox
All Exemplars,0.5059139784946236,VAE_BBox
All Exemplars,0.4771872444807849,VAE_BBox
All Exemplars,0.6230430958663149,VAE_BBox
All Exemplars,0.4222222222222222,VAE_BBox
All Exemplars,0.5103942652329748,VAE_BBox
All Exemplars,0.46094727435210003,VAE_BBox
All Exemplars,0.692894280762565,VAE_BBox
All Exemplars,0.45942028985507244,VAE_BBox
All Exemplars,0.6478923766816144,VAE_BBox
All Exemplars,0.48324514991181655,VAE_BBox
All Exemplars,0.5701204819277109,VAE_Filter
All Exemplars,0.5047619047619047,VAE_Filter
All Exemplars,0.6821490467937609,VAE_Filter
All Exemplars,0.5147887323943662,VAE_Filter
All Exemplars,0.6067456700091157,VAE_Filter
All Exemplars,0.48276972624798714,VAE_Filter
All Exemplars,0.5536918869644485,VAE_Filter
All Exemplars,0.5784411276948591,VAE_Filter
All Exemplars,0.5500408163265307,VAE_Filter
All Exemplars,0.5916465863453816,VAE_Filter
All Exemplars,0.5482587064676616,VAE_Filter
All Exemplars,0.5105478331970564,VAE_Filter
All Exemplars,0.5574955908289241,VAE_Filter
All Exemplars,0.5325704225352113,VAE_Filter
All Exemplars,0.4111111111111111,VAE_Filter
All Exemplars,0.5693172690763052,VAE_Filter
All Exemplars,0.6403587443946188,VAE_Filter
All Exemplars,0.6681614349775785,VAE_Filter
All Exemplars,0.4464157706093189,VAE_Filter
All Exemplars,0.6821011673151751,VAE_Filter
All Exemplars,0.496236559139785,VAE_Filter
All Exemplars,0.4513491414554374,VAE_Filter
