Exemplar_Size,Method,Task 5
All Exemplars,FeTrIL,0.2381818181818181
All Exemplars,FeTrIL,0.2518181818181818
All Exemplars,FeTrIL,0.3518181818181817
All Exemplars,FeTrIL,0.3354545454545454
All Exemplars,FeTrIL,0.3636363636363636
All Exemplars,FeTrIL,0.2627272727272727
All Exemplars,FeTrIL,0.4081818181818182
All Exemplars,FeTrIL,0.3563636363636362
All Exemplars,FeTrIL,0.2363636363636363
All Exemplars,FeTrIL,0.2499999999999999
All Exemplars,FeTrIL,0.3836363636363636
All Exemplars,FeTrIL,0.4045454545454545
All Exemplars,FeTrIL,0.4209090909090909
All Exemplars,FeTrIL,0.3072727272727272
All Exemplars,FeTrIL,0.1709090909090908
All Exemplars,FeTrIL,0.389090909090909
All Exemplars,FeTrIL,0.1818181818181817
All Exemplars,FeTrIL,0.3527272727272726
All Exemplars,FeTrIL,0.4109090909090908
All Exemplars,FeTrIL,0.39
All Exemplars,FeTrIL,0.3809090909090908
All Exemplars,FeTrIL,0.3445454545454545
All Exemplars,FeTrIL,0.2963636363636363
All Exemplars,FeTrIL,0.419090909090909
All Exemplars,FeTrIL,0.3854545454545454
All Exemplars,FeTrIL,0.3363636363636363
All Exemplars,FeTrIL,0.4563636363636363
All Exemplars,FeTrIL,0.1318181818181817
All Exemplars,FeTrIL,0.4399999999999999
All Exemplars,FeTrIL,0.3845454545454546
All Exemplars,FeTrIL,0.2381818181818181
All Exemplars,FeTrIL,0.2518181818181818
All Exemplars,FeTrIL,0.3518181818181817
All Exemplars,FeTrIL,0.3354545454545454
All Exemplars,FeTrIL,0.3636363636363636
All Exemplars,FeTrIL,0.2627272727272727
All Exemplars,FeTrIL,0.4081818181818182
All Exemplars,FeTrIL,0.3563636363636362
All Exemplars,FeTrIL,0.2363636363636363
All Exemplars,FeTrIL,0.2499999999999999
All Exemplars,FeTrIL,0.3836363636363636
All Exemplars,FeTrIL,0.4045454545454545
All Exemplars,FeTrIL,0.4209090909090909
All Exemplars,FeTrIL,0.3072727272727272
All Exemplars,FeTrIL,0.1709090909090908
All Exemplars,FeTrIL,0.389090909090909
All Exemplars,FeTrIL,0.1818181818181817
All Exemplars,FeTrIL,0.3527272727272726
All Exemplars,FeTrIL,0.4109090909090908
All Exemplars,FeTrIL,0.39
All Exemplars,FeTrIL,0.3809090909090908
All Exemplars,FeTrIL,0.3445454545454545
All Exemplars,FeTrIL,0.2963636363636363
All Exemplars,FeTrIL,0.419090909090909
All Exemplars,FeTrIL,0.3854545454545454
All Exemplars,FeTrIL,0.3363636363636363
All Exemplars,FeTrIL,0.4563636363636363
All Exemplars,FeTrIL,0.1318181818181817
All Exemplars,FeTrIL,0.4399999999999999
All Exemplars,FeTrIL,0.3845454545454546
All Exemplars,DDGR,0.3645454545454544
All Exemplars,DDGR,0.2536363636363636
All Exemplars,DDGR,0.1518181818181818
All Exemplars,DDGR,0.1209090909090908
All Exemplars,DDGR,0.1845454545454544
All Exemplars,DDGR,0.3381818181818182
All Exemplars,DDGR,0.1627272727272726
All Exemplars,DDGR,0.3881818181818181
All Exemplars,DDGR,0.3099999999999999
All Exemplars,DDGR,0.4354545454545454
All Exemplars,DDGR,0.2581818181818181
All Exemplars,DDGR,0.159090909090909
All Exemplars,DDGR,0.3009090909090909
All Exemplars,DDGR,0.1163636363636363
All Exemplars,DDGR,0.3618181818181817
All Exemplars,DDGR,0.0745454545454545
All Exemplars,DDGR,0.1736363636363636
All Exemplars,DDGR,0.139090909090909
All Exemplars,DDGR,0.2981818181818181
All Exemplars,DDGR,0.3072727272727272
All Exemplars,DDGR,0.3454545454545454
All Exemplars,DDGR,0.2245454545454545
All Exemplars,DDGR,0.2599999999999999
All Exemplars,DDGR,0.3481818181818181
All Exemplars,DDGR,0.2327272727272726
All Exemplars,DDGR,0.4645454545454545
All Exemplars,DDGR,0.3481818181818181
All Exemplars,DDGR,0.3045454545454545
All Exemplars,DDGR,0.1509090909090909
All Exemplars,DDGR,0.229090909090909
All Exemplars,DDGR,0.3645454545454544
All Exemplars,DDGR,0.2536363636363636
All Exemplars,DDGR,0.1518181818181818
All Exemplars,DDGR,0.1209090909090908
All Exemplars,DDGR,0.1845454545454544
All Exemplars,DDGR,0.3381818181818182
All Exemplars,DDGR,0.1627272727272726
All Exemplars,DDGR,0.3881818181818181
All Exemplars,DDGR,0.3099999999999999
All Exemplars,DDGR,0.4354545454545454
All Exemplars,DDGR,0.2581818181818181
All Exemplars,DDGR,0.159090909090909
All Exemplars,DDGR,0.3009090909090909
All Exemplars,DDGR,0.1163636363636363
All Exemplars,DDGR,0.3618181818181817
All Exemplars,DDGR,0.0745454545454545
All Exemplars,DDGR,0.1736363636363636
All Exemplars,DDGR,0.139090909090909
All Exemplars,DDGR,0.2981818181818181
All Exemplars,DDGR,0.3072727272727272
All Exemplars,DDGR,0.3454545454545454
All Exemplars,DDGR,0.2245454545454545
All Exemplars,DDGR,0.2599999999999999
All Exemplars,DDGR,0.3481818181818181
All Exemplars,DDGR,0.2327272727272726
All Exemplars,DDGR,0.4645454545454545
All Exemplars,DDGR,0.3481818181818181
All Exemplars,DDGR,0.3045454545454545
All Exemplars,DDGR,0.1509090909090909
All Exemplars,DDGR,0.229090909090909
All Exemplars,VAE_BBox,0.44
All Exemplars,VAE_BBox,0.4345454545454545
All Exemplars,VAE_BBox,0.3572727272727272
All Exemplars,VAE_BBox,0.1345454545454545
All Exemplars,VAE_BBox,0.3090909090909091
All Exemplars,VAE_BBox,0.4118181818181817
All Exemplars,VAE_BBox,0.2872727272727272
All Exemplars,VAE_BBox,0.6163636363636364
All Exemplars,VAE_BBox,0.3254545454545454
All Exemplars,VAE_BBox,0.4854545454545454
All Exemplars,VAE_BBox,0.2272727272727272
All Exemplars,VAE_BBox,0.3
All Exemplars,VAE_BBox,0.6072727272727273
All Exemplars,VAE_BBox,0.2809090909090909
All Exemplars,VAE_BBox,0.519090909090909
All Exemplars,VAE_BBox,0.25
All Exemplars,VAE_BBox,0.4518181818181818
All Exemplars,VAE_BBox,0.3827272727272727
All Exemplars,VAE_BBox,0.3845454545454545
All Exemplars,VAE_BBox,0.5599999999999999
All Exemplars,VAE_BBox,0.53
All Exemplars,VAE_BBox,0.3145454545454544
All Exemplars,VAE_BBox,0.4127272727272727
All Exemplars,VAE_BBox,0.4945454545454545
All Exemplars,VAE_BBox,0.2827272727272726
All Exemplars,VAE_BBox,0.4163636363636364
All Exemplars,VAE_BBox,0.4818181818181818
All Exemplars,VAE_BBox,0.4054545454545454
All Exemplars,VAE_BBox,0.3754545454545454
All Exemplars,VAE_BBox,0.419090909090909
All Exemplars,VAE_BBox,0.44
All Exemplars,VAE_BBox,0.4345454545454545
All Exemplars,VAE_BBox,0.3572727272727272
All Exemplars,VAE_BBox,0.1345454545454545
All Exemplars,VAE_BBox,0.3090909090909091
All Exemplars,VAE_BBox,0.4118181818181817
All Exemplars,VAE_BBox,0.2872727272727272
All Exemplars,VAE_BBox,0.6163636363636364
All Exemplars,VAE_BBox,0.3254545454545454
All Exemplars,VAE_BBox,0.4854545454545454
All Exemplars,VAE_BBox,0.2272727272727272
All Exemplars,VAE_BBox,0.3
All Exemplars,VAE_BBox,0.6072727272727273
All Exemplars,VAE_BBox,0.2809090909090909
All Exemplars,VAE_BBox,0.519090909090909
All Exemplars,VAE_BBox,0.25
All Exemplars,VAE_BBox,0.4518181818181818
All Exemplars,VAE_BBox,0.3827272727272727
All Exemplars,VAE_BBox,0.3845454545454545
All Exemplars,VAE_BBox,0.5599999999999999
All Exemplars,VAE_BBox,0.53
All Exemplars,VAE_BBox,0.3145454545454544
All Exemplars,VAE_BBox,0.4127272727272727
All Exemplars,VAE_BBox,0.4945454545454545
All Exemplars,VAE_BBox,0.2827272727272726
All Exemplars,VAE_BBox,0.4163636363636364
All Exemplars,VAE_BBox,0.4818181818181818
All Exemplars,VAE_BBox,0.4054545454545454
All Exemplars,VAE_BBox,0.3754545454545454
All Exemplars,VAE_BBox,0.419090909090909
All Exemplars,VAE_Filter,0.4009090909090909
All Exemplars,VAE_Filter,0.3645454545454545
All Exemplars,VAE_Filter,0.2745454545454545
All Exemplars,VAE_Filter,0.1999999999999999
All Exemplars,VAE_Filter,0.2836363636363636
All Exemplars,VAE_Filter,0.3745454545454545
All Exemplars,VAE_Filter,0.339090909090909
All Exemplars,VAE_Filter,0.559090909090909
All Exemplars,VAE_Filter,0.2836363636363636
All Exemplars,VAE_Filter,0.5809090909090908
All Exemplars,VAE_Filter,0.2318181818181817
All Exemplars,VAE_Filter,0.3618181818181818
All Exemplars,VAE_Filter,0.5145454545454544
All Exemplars,VAE_Filter,0.3636363636363636
All Exemplars,VAE_Filter,0.53
All Exemplars,VAE_Filter,0.2318181818181817
All Exemplars,VAE_Filter,0.37
All Exemplars,VAE_Filter,0.4709090909090909
All Exemplars,VAE_Filter,0.189090909090909
All Exemplars,VAE_Filter,0.3763636363636363
All Exemplars,VAE_Filter,0.65
All Exemplars,VAE_Filter,0.2336363636363636
All Exemplars,VAE_Filter,0.3745454545454545
All Exemplars,VAE_Filter,0.5045454545454545
All Exemplars,VAE_Filter,0.2963636363636363
All Exemplars,VAE_Filter,0.5327272727272727
All Exemplars,VAE_Filter,0.5072727272727272
All Exemplars,VAE_Filter,0.4045454545454546
All Exemplars,VAE_Filter,0.4154545454545454
All Exemplars,VAE_Filter,0.47
All Exemplars,VAE_Filter,0.4009090909090909
All Exemplars,VAE_Filter,0.3645454545454545
All Exemplars,VAE_Filter,0.2745454545454545
All Exemplars,VAE_Filter,0.1999999999999999
All Exemplars,VAE_Filter,0.2836363636363636
All Exemplars,VAE_Filter,0.3745454545454545
All Exemplars,VAE_Filter,0.339090909090909
All Exemplars,VAE_Filter,0.559090909090909
All Exemplars,VAE_Filter,0.2836363636363636
All Exemplars,VAE_Filter,0.5809090909090908
All Exemplars,VAE_Filter,0.2318181818181817
All Exemplars,VAE_Filter,0.3618181818181818
All Exemplars,VAE_Filter,0.5145454545454544
All Exemplars,VAE_Filter,0.3636363636363636
All Exemplars,VAE_Filter,0.53
All Exemplars,VAE_Filter,0.2318181818181817
All Exemplars,VAE_Filter,0.37
All Exemplars,VAE_Filter,0.4709090909090909
All Exemplars,VAE_Filter,0.189090909090909
All Exemplars,VAE_Filter,0.3763636363636363
All Exemplars,VAE_Filter,0.65
All Exemplars,VAE_Filter,0.2336363636363636
All Exemplars,VAE_Filter,0.3745454545454545
All Exemplars,VAE_Filter,0.5045454545454545
All Exemplars,VAE_Filter,0.2963636363636363
All Exemplars,VAE_Filter,0.5327272727272727
All Exemplars,VAE_Filter,0.5072727272727272
All Exemplars,VAE_Filter,0.4045454545454546
All Exemplars,VAE_Filter,0.4154545454545454
All Exemplars,VAE_Filter,0.47
All Exemplars,VAE_GMM,0.5945454545454546
All Exemplars,VAE_GMM,0.7036363636363637
All Exemplars,VAE_GMM,0.4727272727272726
All Exemplars,VAE_GMM,0.3781818181818182
All Exemplars,VAE_GMM,0.4518181818181818
All Exemplars,VAE_GMM,0.7027272727272728
All Exemplars,VAE_GMM,0.5118181818181818
All Exemplars,VAE_GMM,0.7427272727272727
All Exemplars,VAE_GMM,0.6381818181818182
All Exemplars,VAE_GMM,0.7209090909090909
All Exemplars,VAE_GMM,0.5663636363636364
All Exemplars,VAE_GMM,0.5590909090909092
All Exemplars,VAE_GMM,0.5427272727272727
All Exemplars,VAE_GMM,0.3254545454545455
All Exemplars,VAE_GMM,0.6636363636363637
All Exemplars,VAE_GMM,0.55
All Exemplars,VAE_GMM,0.72
All Exemplars,VAE_GMM,0.499090909090909
All Exemplars,VAE_GMM,0.469090909090909
All Exemplars,VAE_GMM,0.4918181818181818
All Exemplars,VAE_GMM,0.6418181818181818
All Exemplars,VAE_GMM,0.5727272727272728
All Exemplars,VAE_GMM,0.5754545454545454
All Exemplars,VAE_GMM,0.7081818181818182
All Exemplars,VAE_GMM,0.3945454545454545
All Exemplars,VAE_GMM,0.6609090909090909
All Exemplars,VAE_GMM,0.4390909090909091
All Exemplars,VAE_GMM,0.6554545454545455
All Exemplars,VAE_GMM,0.4063636363636363
All Exemplars,VAE_GMM,0.5109090909090909
All Exemplars,VAE_GMM,0.5945454545454546
All Exemplars,VAE_GMM,0.7036363636363637
All Exemplars,VAE_GMM,0.4727272727272726
All Exemplars,VAE_GMM,0.3781818181818182
All Exemplars,VAE_GMM,0.4518181818181818
All Exemplars,VAE_GMM,0.7027272727272728
All Exemplars,VAE_GMM,0.5118181818181818
All Exemplars,VAE_GMM,0.7427272727272727
All Exemplars,VAE_GMM,0.6381818181818182
All Exemplars,VAE_GMM,0.7209090909090909
All Exemplars,VAE_GMM,0.5663636363636364
All Exemplars,VAE_GMM,0.5590909090909092
All Exemplars,VAE_GMM,0.5427272727272727
All Exemplars,VAE_GMM,0.3254545454545455
All Exemplars,VAE_GMM,0.6636363636363637
All Exemplars,VAE_GMM,0.55
All Exemplars,VAE_GMM,0.72
All Exemplars,VAE_GMM,0.499090909090909
All Exemplars,VAE_GMM,0.469090909090909
All Exemplars,VAE_GMM,0.4918181818181818
All Exemplars,VAE_GMM,0.6418181818181818
All Exemplars,VAE_GMM,0.5727272727272728
All Exemplars,VAE_GMM,0.5754545454545454
All Exemplars,VAE_GMM,0.7081818181818182
All Exemplars,VAE_GMM,0.3945454545454545
All Exemplars,VAE_GMM,0.6609090909090909
All Exemplars,VAE_GMM,0.4390909090909091
All Exemplars,VAE_GMM,0.6554545454545455
All Exemplars,VAE_GMM,0.4063636363636363
All Exemplars,VAE_GMM,0.5109090909090909
